PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt
1,2024-01-23,10:41:14.44,"Skenes, Paul",1000152460,Right,,,Fastball,Live,,93.30464,-0.250629608,-3.057865061,2117.345606,241.8382807,2:00,5.61946,2.06318,,-24.88201,9.21019,17.27453,3.30626,0.5796,84.68462,-4.807957109,0.1108030266,0.4202414484,-9.72365,4.78383,-1.75201,50,5.56867,6.49031,-135.26686,-1.65227,-17.94038,30.65808,-23.34776,7b81ac7f-7b10-4df9-9a07-b896a4b0f213,7f6bd7e0-a01e-4ce3-9843-1874e2b9619e,,Pitching,22280001,,,,,,,,,,,,,,,,,,,,21.23552056,1973.576638,0.9320994326,
2,2024-01-23,10:41:35.67,"Skenes, Paul",1000152460,Right,,,Sinker,Live,,87.9841,0.8496183226,-2.336053509,1666.683668,283.8081616,3:30,5.51761,2.04353,,-42.88468,-4.22677,17.03694,2.76073,1.21813,80.40109,-6.933322329,0.7686383913,0.4474974788,-9.26947,-2.37578,-1.79826,50,5.56821,4.4915,-127.58694,0.09807,-15.26181,26.53239,-36.08568,f7f669b1-3f90-4f8f-9a4e-a5e18cfc60c8,7f6bd7e0-a01e-4ce3-9843-1874e2b9619e,,Pitching,22280001,,,,,,,,,,,,,,,,,,,,33.61204789,1388.022255,0.8328048577,
3,2024-01-23,10:41:54.86,"Skenes, Paul",1000152460,Right,,,ChangeUp,Live,,81.88298,1.23373412,-2.623754684,1523.544368,265.6438852,2:45,5.44365,3.77763,4.86928,-41.5307,1.05799,14.55544,3.14076,2.52912,74.6456,-6.499000516,0.0948771593,0.4696978433,-8.47777,0.2012,-3.55266,50,5.52531,4.97714,-118.91997,1.2159,-12.08532,23.77015,-31.88723,308d7184-3e62-483c-bbf8-1361f487efb9,7f6bd7e0-a01e-4ce3-9843-1874e2b9619e,80.24827,Pitching,22280001,,,,,,,,,,,,,,,,,,,,27.64544265,1349.61022,0.8858358494,
4,2024-01-23,10:42:15.88,"Skenes, Paul",1000152460,Right,,,Fastball,Live,,92.23582,-0.4127480636,-5.707222835,1988.111826,240.4815241,2:00,5.58834,3.64581,5.10494,-24.58496,8.77079,15.59698,3.15242,-0.39911,84.08075,-4.998985352,-2.803799732,0.4156777505,-9.90842,4.79611,-3.16662,50,5.5371,12.79878,-133.55953,-1.8327,-17.90619,28.63475,-23.50667,eddc1c7e-29f7-4667-97d8-9285df62a266,7f6bd7e0-a01e-4ce3-9843-1874e2b9619e,90.67707,Pitching,22280001,,,,,,,,,,,,,,,,,,,,24.07253878,1815.205304,0.9130297806,
5,2024-01-23,10:42:37.26,"Skenes, Paul",1000152460,Right,,,ChangeUp,Live,,81.54003,,,1454.503388,,,5.45719,2.01472,,,,,1.5281,1.48707,73.99408,-8.280787822,1.238310563,0.4803416292,-10.18664,0.82484,-1.80787,50,5.38269,3.81066,-118.24926,-2.27025,-14.23715,25.26601,-31.02122,4448be5f-2914-4289-ab53-7c83cf9cbec8,7f6bd7e0-a01e-4ce3-9843-1874e2b9619e,,Pitching,22280001,,,,,,,,,,,,,,,,,,,,19.4246232,1371.712797,0.9430798226,
6,2024-01-23,10:43:02.18,"Skenes, Paul",1000152460,Right,,,Slider,Live,,81.35656,0.3024674512,-1.789752667,2289.149115,138.8425152,10:45,5.43087,2.17662,,-37.19603,8.363,-7.34594,2.62302,-0.16202,74.35154,-6.417977605,-3.121729168,0.4858012705,3.18061,4.1109,-1.96004,50,5.42458,3.97829,-117.98321,-0.85356,4.47646,22.76314,-26.38828,9ad24f66-0f49-4868-babc-1b7d1e60ba87,7f6bd7e0-a01e-4ce3-9843-1874e2b9619e,,Pitching,22280001,,,,,,,,,,,,,,,,,,,,,,,
7,2024-01-23,10:43:20.56,"Skenes, Paul",1000152460,Right,,,ChangeUp,Live,,81.81444,0.4706427591,-5.922470529,1701.355937,254.2685472,2:30,5.4976,3.72407,5.04942,-37.65005,5.02584,18.11936,2.80221,-0.3194,74.44579,-6.547923145,-2.546102792,0.4701784001,-11.37558,2.5435,-3.22236,50,5.51386,11.71105,-118.37699,-0.2046,-16.08349,23.35744,-28.57789,1c1cbb42-75a2-4abd-a557-d5436872b76f,7f6bd7e0-a01e-4ce3-9843-1874e2b9619e,80.16625,Pitching,22280001,,,,,,,,,,,,,,,,,,,,31.81056268,1445.804675,0.8497955324,
8,2024-01-23,10:43:37.51,"Skenes, Paul",1000152460,Right,,,Curveball,Live,,77.35785,0.6620365255,-4.95133651,2745.135916,53.27335323,7:45,5.78919,3.51061,4.21976,-57.99134,-8.62924,-11.56847,1.58712,-2.1631,71.12894,-9.897041187,-7.069643437,0.5056711644,4.49392,-4.67576,-2.99989,50,5.80631,10.0822,-111.90512,-0.64474,5.64913,21.82965,-38.05175,e5b14ac8-84ee-4f0f-ae28-bdc1ad219c74,7f6bd7e0-a01e-4ce3-9843-1874e2b9619e,74.53943,Pitching,22280001,,,,,,,,,,,,,,,,,,,,59.30181379,1401.434977,0.5105156976,
9,2024-01-23,10:43:54.53,"Skenes, Paul",1000152460,Right,,,Sinker,Live,,88.04073,-0.8287244875,-4.184627025,1698.111746,275.7391548,3:15,5.43631,2.08309,4.91289,-38.61552,-1.65198,16.34379,1.43994,-0.48176,80.2552,-8.008087743,-1.131365404,0.4375807212,-9.92764,-0.62997,-1.72209,50,5.33607,8.77584,-127.65941,-3.18514,-16.27126,27.95283,-33.20656,358f3150-86b0-4d70-841a-5e93d7440061,7f6bd7e0-a01e-4ce3-9843-1874e2b9619e,86.13825,Pitching,22280001,,,,,,,,,,,,,,,,,,,,19.06561673,1604.962006,0.9451451059,
10,2024-01-23,10:44:12.28,"Skenes, Paul",1000152460,Right,,,Slider,Live,,81.0853,-0.6114334431,-1.544165379,2437.648801,120.3649642,10:00,5.53463,2.19098,3.89621,-36.57731,8.44732,-14.49395,1.90269,-0.49107,74.15768,-7.274314992,-4.200495284,0.4829436585,6.97224,4.50511,-2.01264,50,5.43466,3.70658,-117.67002,-2.60513,9.7278,23.34798,-25.88844,69380d65-e206-4941-a2e6-3265cfffeb3f,7f6bd7e0-a01e-4ce3-9843-1874e2b9619e,78.04728,Pitching,22280001,,,,,,,,,,,,,,,,,,,65.94713129,66.62319655,967.2012703,0.3967762994,8:15
11,2024-01-23,10:44:28.99,"Skenes, Paul",1000152460,Right,,,ChangeUp,Live,,83.2945,-1.499743512,-6.844998345,1614.326696,251.0507116,2:15,5.44363,3.66356,4.75918,-35.38545,6.56838,19.18869,1.07554,-1.1984,75.63851,-8.053772462,-3.289810969,0.4661838332,-12.19239,3.92138,-3.04833,50,5.27986,13.78663,-120.17323,-4.34706,-17.70043,24.86494,-26.48114,20b8b574-5ef6-4c74-920d-52d2a2ebd8e9,7f6bd7e0-a01e-4ce3-9843-1874e2b9619e,80.85317,Pitching,22280001,,,,,,,,,,,,,,,,,,,,28.96977597,1412.334596,0.8748753268,
12,2024-01-23,10:44:46.86,"Skenes, Paul",1000152460,Right,,,Curveball,Live,,77.55422,-0.7899600238,-2.671579892,2714.764777,67.5816602,8:15,5.71872,3.49223,4.79801,-54.06391,-6.16915,-14.84866,0.47098,-0.25487,71.35045,-10.74088985,-5.438447026,0.4980987221,7.03131,-3.02078,-3.23894,50,5.6085,5.71161,-112.57169,-3.22443,8.91992,22.60726,-36.00621,c1262d69-d6c3-443a-be8c-911b781865b3,7f6bd7e0-a01e-4ce3-9843-1874e2b9619e,75.67263,Pitching,22280001,,,,,,,,,,,,,,,,,,,,51.34060708,1695.884744,0.6246893871,
