player_name,display_name,active,notes,id,pitcher,date,rel_speed,horz_break,induced_vert_break,original_pitch_type,new_pitch_type,new_pitcher,modified_at,pitch_key,created_at,PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallZAmb4,PitchSession,Flag,CalibrationId,EffVelocity,PracticeType,Device,HitType,BatSpeed,VerticalAttackAngle,HorizontalAttackAngle,session_id,play_id,camera_slot,camera_name,camera_target,video_type,azure_blob,azure_md5,cloudinary_url,cloudinary_public_id,uploaded_at
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2026-01-08,13:31:16,NA,NA,"Aase, Jonah",1000346902,Left,LSU_TIG,"Aase, Jonah",1000346902,Left,LSU_TIG,Undefined,1,Top,0,0,0,Undefined,Changeup,Undefined,Undefined,Undefined,Undefined,0,0,NA,79.6707,0.111332,-3.762863,2070.340945,227.544217,01:30:00,6.87377,2.21056,4.96111,-28.71624,17.4545,17.29343,4.58617,0.09142,72.03096,-5.214876,-0.721014,0.489052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9.66288,9.05292,-1.86057,50,6.86181,6.83883,-115.21659,-0.72012,-12.87321,23.18879,-20.11344,LSU_TIG,LSU_TIG,LSU,TeamExclusive,Team,20260108-LSU-Private-1,9a65c2e0-ecc8-11f0-880f-718c2bb2ce39,77.0725,NA,NA,7.63974,NA,NA,NA,NA,NA,NA,abecb9a7-baad-4958-9eda-3942d116c256,2026-01-08,19:31:16,2026-01-08T19:31:16Z,2026-01-08T19:31:16Z,NA,v3,5323,5323,NA,NA,NA,Undefined,LSU_TIG,1995d3b2-a55c-4730-a9d9-227e384babff,55.53928,-116.32609,11.59439,6.87324,0.24224,-10.05672,-2.20253,7.45477,-6.4366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,235.116898,-6.116124,2058.556564,0.994308,01:45:00,0.067414,-0.815857,-0.574311,-30.324677,15.985043,51.101702,0.126595,155.478851,-0.902488,24.311039,0.902488,-0.41169,-0.126595,7.98499,7.272895,0.41169,0.41169,-155.478851,-7.272895,0.126595,-24.311039,-7.98499,-0.126595,-0.41169,0.902488,-0.902488,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2026-01-08,13:31:32,NA,NA,"Aase, Jonah",1000346902,Left,LSU_TIG,"Aase, Jonah",1000346902,Left,LSU_TIG,Undefined,1,Top,0,0,0,Undefined,Four-Seam,Undefined,Undefined,Undefined,Undefined,0,0,NA,92.90905,-2.798803,-2.597172,2268.050912,203.402458,12:45:00,6.72965,1.76132,5.63956,-12.72548,20.42883,8.32437,3.05326,0.03031,83.89996,-5.262921,-1.112418,0.414421,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.98878,11.53008,-1.54563,50,6.48334,5.7094,-134.46066,-6.92182,-9.03149,32.18689,-11.30046,LSU_TIG,LSU_TIG,LSU,TeamExclusive,Team,20260108-LSU-Private-1,a3b5cb60-ecc8-11f0-880f-718c2bb2ce39,90.95213,NA,NA,9.0091,NA,NA,NA,NA,NA,NA,abecb9a7-baad-4958-9eda-3942d116c256,2026-01-08,19:31:32,2026-01-08T19:31:32Z,2026-01-08T19:31:32Z,NA,v3,5323,5323,NA,NA,NA,Undefined,LSU_TIG,de50ec6e-e3c7-4150-bc27-a42b1316024d,54.85971,-135.61897,16.09345,6.72512,-6.51515,-5.65023,-1.75695,6.03442,-4.51575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,224.766721,-2.905828,2265.134665,0.998714,01:30:00,0.052759,-0.700002,-0.712189,-31.724765,7.84567,43.41786,0.060052,159.990372,-0.937939,19.971977,0.937939,-0.34156,-0.060052,3.66339,3.442799,0.34156,0.34156,-159.990372,-3.442799,0.060052,-19.971977,-3.66339,-0.060052,-0.34156,0.937939,-0.937939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2026-01-08,13:31:48,NA,NA,"Aase, Jonah",1000346902,Left,LSU_TIG,"Aase, Jonah",1000346902,Left,LSU_TIG,Undefined,1,Top,0,0,0,Undefined,Four-Seam,Undefined,Undefined,Undefined,Undefined,0,0,NA,94.54564,-1.766904,-2.048888,2341.299102,217.32307,01:15:00,6.61471,1.79933,5.69098,-11.79371,20.181,14.49591,3.98347,1.09682,85.05723,-4.072748,0.54121,0.406982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.91827,11.08477,-1.63569,50,6.45864,4.20262,-136.95526,-4.52671,-14.82603,34.24962,-11.41914,LSU_TIG,LSU_TIG,LSU,TeamExclusive,Team,20260108-LSU-Private-1,ad2060c0-ecc8-11f0-880f-718c2bb2ce39,92.61461,NA,NA,9.48842,NA,NA,NA,NA,NA,NA,abecb9a7-baad-4958-9eda-3942d116c256,2026-01-08,19:31:48,2026-01-08T19:31:48Z,2026-01-08T19:31:48Z,NA,v3,5323,5323,NA,NA,NA,Undefined,LSU_TIG,c7f05432-4beb-4d08-ac50-7a1ca43e851b,54.8078,-138.15236,17.12481,6.60988,-4.12759,-5.70957,-1.79163,4.72082,-7.41302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,224.201713,0.840511,2341.047183,0.999892,01:30:00,-0.0188,-0.697232,-0.716599,-25.405523,11.249618,47.789501,0.065029,157.68308,-0.92314,22.26715,0.92314,-0.378926,-0.065029,4.029425,3.728497,0.378926,0.378926,-157.68308,-3.728497,0.065029,-22.26715,-4.029425,-0.065029,-0.378926,0.92314,-0.92314,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2026-01-08,13:32:00,NA,NA,"Aase, Jonah",1000346902,Left,LSU_TIG,"Aase, Jonah",1000346902,Left,LSU_TIG,Undefined,1,Top,0,0,0,Undefined,Slider,Undefined,Undefined,Undefined,Undefined,0,0,NA,87.5714,-1.676376,-2.227325,2470.517985,207.687497,01:00:00,6.7447,1.71646,5.5856,-30.83801,5.79855,2.48091,2.60767,-0.15794,80.94096,-7.322363,-1.784525,0.435641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.82658,3.70504,-1.52656,50,6.58028,4.83896,-127.13801,-4.83165,-3.0128,24.18061,-26.06287,LSU_TIG,LSU_TIG,LSU,TeamExclusive,Team,20260108-LSU-Private-1,b4747230-ecc8-11f0-880f-718c2bb2ce39,86.52178,NA,NA,6.63044,NA,NA,NA,NA,NA,NA,abecb9a7-baad-4958-9eda-3942d116c256,2026-01-08,19:32:00,2026-01-08T19:32:00Z,2026-01-08T19:32:00Z,NA,v3,5323,5323,NA,NA,NA,Undefined,LSU_TIG,e9808207-48af-4864-b40f-53c7615ef443,54.91764,-128.06989,12.09031,6.74712,-3.82723,-13.03144,-1.71528,4.95507,-1.5064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,224.692067,72.079354,760.17713,0.307699,01:30:00,-0.952533,-0.244146,-0.18186,-22.867059,25.690737,2.201846,-0.034258,128.016396,-0.615525,-51.940603,0.615525,-0.787372,0.034258,3.185604,-1.963228,0.787372,-0.787372,-128.016396,1.963228,0.034258,51.940603,-3.185604,-0.034258,0.787372,0.615525,-0.615525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2026-01-08,13:32:21,NA,NA,"Aase, Jonah",1000346902,Left,LSU_TIG,"Aase, Jonah",1000346902,Left,LSU_TIG,Undefined,1,Top,0,0,0,Undefined,Slider,Undefined,Undefined,Undefined,Undefined,0,0,NA,86.91876,-2.670241,-2.372943,2466.23682,211.781116,01:00:00,6.78886,1.32335,5.56459,-31.88002,5.74004,2.80571,1.63353,-0.66106,79.77876,-8.503176,-1.872119,0.44145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.10016,4.0237,-1.1203,50,6.53701,5.10161,-125.97562,-7.0147,-3.36715,26.14298,-25.72294,LSU_TIG,LSU_TIG,LSU,TeamExclusive,Team,20260108-LSU-Private-1,c0e8c520-ecc8-11f0-880f-718c2bb2ce39,85.38334,NA,NA,7.14,NA,NA,NA,NA,NA,NA,abecb9a7-baad-4958-9eda-3942d116c256,2026-01-08,19:32:21,2026-01-08T19:32:21Z,2026-01-08T19:32:21Z,NA,v3,5323,5323,NA,NA,NA,Undefined,LSU_TIG,2aa48f8d-80fc-49d2-a5d7-386e83df74d6,54.93816,-126.99627,13.07149,6.79127,-6.01045,-12.86147,-1.32204,5.23307,-1.68358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,231.394742,70.575566,820.17996,0.332563,01:45:00,-0.937743,-0.30354,-0.168822,-23.482934,28.536995,3.731987,-0.0192,130.647499,-0.651283,-49.3402,0.651283,-0.758592,0.0192,1.688642,-1.100171,0.758592,-0.758592,-130.647499,1.100171,0.0192,49.3402,-1.688642,-0.0192,0.758592,0.651283,-0.651283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2026-01-08,13:32:37,NA,NA,"Aase, Jonah",1000346902,Left,LSU_TIG,"Aase, Jonah",1000346902,Left,LSU_TIG,Undefined,1,Top,0,0,0,Undefined,Four-Seam,Undefined,Undefined,Undefined,Undefined,0,0,NA,94.01272,-2.665044,-3.300627,2356.991403,221.630024,01:30:00,6.45521,1.85861,5.66035,-13.60272,18.91414,15.72757,2.83032,0.08769,84.49229,-5.294116,-0.49569,0.410417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.96036,10.76028,-1.58872,50,6.22067,7.09099,-135.94993,-6.72257,-16.50906,34.1243,-12.34865,LSU_TIG,LSU_TIG,LSU,TeamExclusive,Team,20260108-LSU-Private-1,ca119690-ecc8-11f0-880f-718c2bb2ce39,91.83932,NA,NA,9.52043,NA,NA,NA,NA,NA,NA,abecb9a7-baad-4958-9eda-3942d116c256,2026-01-08,19:32:37,2026-01-08T19:32:37Z,2026-01-08T19:32:37Z,NA,v3,5323,5323,NA,NA,NA,Undefined,LSU_TIG,f0ee0987-8124-49bf-aecb-6b4074581c55,54.83893,-137.15915,17.06215,6.45114,-6.28498,-6.17432,-1.85036,7.676,-8.25453,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,227.915743,5.979295,2344.168437,0.99456,01:30:00,-0.107998,-0.742168,-0.661456,-21.424875,22.75982,51.908284,0.032173,159.835931,-0.938223,20.153177,0.938223,-0.344531,-0.032173,1.963986,1.843698,0.344531,0.344531,-159.835931,-1.843698,0.032173,-20.153177,-1.963986,-0.032173,-0.344531,0.938223,-0.938223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2026-01-08,13:32:52,NA,NA,"Aase, Jonah",1000346902,Left,LSU_TIG,"Aase, Jonah",1000346902,Left,LSU_TIG,Undefined,1,Top,0,0,0,Undefined,Splitter,Undefined,Undefined,Undefined,Undefined,0,0,NA,84.52213,0.631223,-1.22132,1113.976022,300.697162,04:00:00,6.50368,1.84252,5.98234,-45.45195,-5.46386,11.83485,3.3013,1.69646,75.64583,-7.785509,0.909867,0.455131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.39481,-2.39795,-1.75182,50,6.52994,2.10694,-122.48032,-0.24576,-9.44375,30.46187,-35.71531,LSU_TIG,LSU_TIG,LSU,TeamExclusive,Team,20260108-LSU-Private-1,d32420e0-ecc8-11f0-880f-718c2bb2ce39,82.81666,NA,NA,8.8763,NA,NA,NA,NA,NA,NA,abecb9a7-baad-4958-9eda-3942d116c256,2026-01-08,19:32:52,2026-01-08T19:32:52Z,2026-01-08T19:32:52Z,NA,v3,5323,5323,NA,NA,NA,Undefined,LSU_TIG,1d255e12-7f24-4223-ba68-6a54edd86ba5,54.51596,-123.59837,15.23094,6.51491,1.06511,-17.85765,-1.83552,2.45356,-4.72188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,262.803442,-40.501838,847.050798,0.760385,02:45:00,0.638946,-0.761504,-0.1089,-28.402435,-47.422783,58.647238,0.904748,136.107052,-0.306953,17.176409,0.306953,-0.295315,-0.904748,71.259518,64.789375,0.295315,0.295315,-136.107052,-64.789375,0.904748,-17.176409,-71.259518,-0.904748,-0.295315,0.306953,-0.306953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,2026-01-08,13:33:04,NA,NA,"Aase, Jonah",1000346902,Left,LSU_TIG,"Aase, Jonah",1000346902,Left,LSU_TIG,Undefined,1,Top,0,0,0,Undefined,Splitter,Undefined,Undefined,Undefined,Undefined,0,0,NA,85.11162,-1.90394,-2.042913,801.658406,223.723289,01:30:00,6.53029,1.81663,5.52037,-34.19179,6.13705,4.30185,1.89893,0.26411,76.02772,-8.230154,-1.275438,0.457066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.9026,4.28366,-1.64152,50,6.34202,4.20069,-123.03871,-5.28666,-4.31673,31.19555,-25.80341,LSU_TIG,LSU_TIG,LSU,TeamExclusive,Team,20260108-LSU-Private-1,da62fca0-ecc8-11f0-880f-718c2bb2ce39,82.466,NA,NA,9.0839,NA,NA,NA,NA,NA,NA,abecb9a7-baad-4958-9eda-3942d116c256,2026-01-08,19:33:04,2026-01-08T19:33:04Z,2026-01-08T19:33:04Z,NA,v3,5323,5323,NA,NA,NA,Undefined,LSU_TIG,fa9d2f4f-5bf4-4dcc-8731-47223d9d3788,54.97663,-124.2941,15.59778,6.53387,-4.24827,-12.90171,-1.81407,4.37441,-2.15837,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,244.8711,-36.787385,642.01875,0.800863,02:15:00,0.610087,-0.704769,-0.36207,-26.602578,-28.799239,53.392531,0.715016,149.833804,-0.604429,20.567388,0.604429,-0.351309,-0.715016,49.790949,45.644505,0.351309,0.351309,-149.833804,-45.644505,0.715016,-20.567388,-49.790949,-0.715016,-0.351309,0.604429,-0.604429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,2026-01-08,13:33:15,NA,NA,"Aase, Jonah",1000346902,Left,LSU_TIG,"Aase, Jonah",1000346902,Left,LSU_TIG,Undefined,1,Top,0,0,0,Undefined,Curveball,Undefined,Undefined,Undefined,Undefined,0,0,NA,81.04287,-1.557715,-1.19487,2779.580303,38.642443,07:15:00,7.02434,1.59268,4.9575,-52.80554,-8.18579,-7.76567,1.15137,-0.1836,74.19575,-11.022977,-2.570313,0.480767,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.47925,-3.14756,-1.47011,50,6.82954,2.77879,-117.43277,-5.1902,4.79156,25.10052,-36.50878,LSU_TIG,LSU_TIG,LSU,TeamExclusive,Team,20260108-LSU-Private-1,e0fff310-ecc8-11f0-880f-718c2bb2ce39,78.40057,NA,NA,6.84711,NA,NA,NA,NA,NA,NA,abecb9a7-baad-4958-9eda-3942d116c256,2026-01-08,19:33:15,2026-01-08T19:33:15Z,2026-01-08T19:33:15Z,NA,v3,5323,5323,NA,NA,NA,Undefined,LSU_TIG,4eecb11b-b921-47da-ae72-5416a3a46884,55.54666,-118.61241,12.55026,7.03314,-3.47441,-18.25439,-1.59542,2.5536,2.39578,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,6.627311,62.048394,1302.860511,0.468726,06:15:00,-0.874587,0.030063,0.483936,-86.03434,-42.883725,46.601676,0.094898,135.198027,-0.706344,44.545747,0.706344,-0.701479,-0.094898,7.651906,5.445439,0.701479,0.701479,-135.198027,-5.445439,0.094898,-44.545747,-7.651906,-0.094898,-0.701479,0.706344,-0.706344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,2026-01-08,13:33:47,NA,NA,"Aase, Jonah",1000346902,Left,LSU_TIG,"Aase, Jonah",1000346902,Left,LSU_TIG,Undefined,1,Top,0,0,0,Undefined,Four-Seam,Undefined,Undefined,Undefined,Undefined,0,0,NA,94.7576,-1.398781,-1.222743,2418.172257,222.326308,01:30:00,6.58805,1.5153,5.84128,-14.80639,16.79261,14.25847,4.05355,1.56687,85.3801,-4.244597,1.333775,0.404583,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.5513,9.29938,-1.42343,50,6.46526,2.25146,-137.37408,-3.78769,-14.23316,34.30945,-14.646,LSU_TIG,LSU_TIG,LSU,TeamExclusive,Team,20260108-LSU-Private-1,f441e960-ecc8-11f0-880f-718c2bb2ce39,93.16359,NA,NA,9.3775,NA,NA,NA,NA,NA,NA,abecb9a7-baad-4958-9eda-3942d116c256,2026-01-08,19:33:47,2026-01-08T19:33:47Z,2026-01-08T19:33:47Z,NA,v3,5323,5323,NA,NA,NA,Undefined,LSU_TIG,f796b93f-330c-42e8-b09d-f9d532fd5d9f,54.6569,-138.53226,17.15472,6.58477,-3.29328,-7.323,-1.50754,2.73194,-7.11658,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,217.612416,12.17987,2363.739396,0.97749,01:15:00,-0.212834,-0.601551,-0.76996,-6.369845,14.653773,58.335476,0.033768,155.898521,-0.912303,24.086862,0.912303,-0.408121,-0.033768,2.119795,1.935146,0.408121,0.408121,-155.898521,-1.935146,0.033768,-24.086862,-2.119795,-0.033768,-0.408121,0.912303,-0.912303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
