PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallZAmb4,BatSpeed,VerticalAttackAngle,HorizontalAttackAngle
1,2026-02-13,18:34:35.36,1,1,"Heer, Mitchell",1000077740,Right,SAL_JAG,"Zenor, Henry",10101738,Left,USC_UPS,Undefined,1,Top,0,0,0,Undefined,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,93.14784,-1.875867,-2.840454,1883.079344,206.452799,1:00,5.9743,1.74439,5.78181,-14.85351,17.94454,8.3428,2.98835,-0.20542,84.04067,-4.729267,-1.348752,0.412188,,,,,,,,,,,,-5.12154,10.05638,-1.51485,50,5.81051,6.31143,-134.90034,-4.85673,-9.32116,32.72723,-13.87144,SAL_JAG,USC_UPS,USouthAlabama,D1,SBELT,20260213-USouthAlabama-2,f0415fe0-093c-11f1-957e-e1c665abe209,91.44475,,,9.10717,,,,,,,5d33bbc2-dcd5-4e5d-af4d-28e40024d3fe,2026-02-14,00:34:35.36,2026-02-13T18:34:35.3688576-06:00,2026-02-14T00:34:35.3688576Z,,v3,471440,471513,4e998b2e4a12411ea691b84ba759f533,"Mathews, Duncan",835060,Right,SAL_JAG,674d9194-4ba7-4321-bf57-1e3288ef4f72,54.71623,-136.0397,16.36361,5.97119,-4.37381,-6.93572,-1.74022,6.63594,-4.66058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2026-02-13,18:34:48.36,1,2,"Heer, Mitchell",1000077740,Right,SAL_JAG,"Zenor, Henry",10101738,Left,USC_UPS,Undefined,1,Top,0,0,1,Undefined,Four-Seam,InPlay,Undefined,GroundBall,Out,1,0,,93.52643,-2.63117,-3.112223,2002.98317,209.688517,1:00,5.92851,1.65914,5.85118,-14.5817,17.72887,9.47434,2.26308,-0.44615,84.88843,-5.421934,-1.416442,0.409113,84.85696,5.439784,22.373332,728.208798,,,,93.60941,93.19787,22.106089,0.820522,-5.8813,10.2515,-1.41188,50,5.70599,6.96534,-135.51292,-6.67966,-10.84541,31.91353,-13.2698,SAL_JAG,USC_UPS,USouthAlabama,D1,SBELT,20260213-USouthAlabama-2,f8054a20-093c-11f1-957e-e1c665abe209,92.13204,4.17809,,8.63799,,,,1.80922,2.31955,0.34574,5d33bbc2-dcd5-4e5d-af4d-28e40024d3fe,2026-02-14,00:34:48.36,2026-02-13T18:34:48.3665920-06:00,2026-02-14T00:34:48.3665920Z,GroundBall,v3,471440,471513,4e998b2e4a12411ea691b84ba759f533,"Mathews, Duncan",835060,Right,SAL_JAG,26879177-6b55-4ee3-a448-4b4da0ac45cd,54.65162,-136.60399,15.95677,5.9266,-6.22598,-6.6349,-1.65635,7.33613,-5.4227,4.497117,1.8586,113.74809,-12.63755,,,,,,,2.36071,11.11691,-17.11174,,,,,,,0.36674,46.81052,-5.29896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2026-02-13,18:35:21.31,2,1,"Heer, Mitchell",1000077740,Right,SAL_JAG,"Coleman, Micah",1000419140,Right,USC_UPS,Undefined,1,Top,1,0,0,Undefined,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.22585,-0.449324,-1.768093,2214.600505,164.60946,11:30,5.89538,1.78268,5.90223,-27.79057,7.96308,-1.89469,3.16216,-0.01712,81.04651,-5.606491,-2.10809,0.43036,,,,,,,,,,,,0.49272,4.54532,-1.63942,50,5.84336,4.03593,-128.16332,-1.94447,0.82247,25.60689,-24.58705,SAL_JAG,USC_UPS,USouthAlabama,D1,SBELT,20260213-USouthAlabama-2,0bc52300-093d-11f1-957e-e1c665abe209,87.58358,,,7.17934,,,,,,,5d33bbc2-dcd5-4e5d-af4d-28e40024d3fe,2026-02-14,00:35:21.31,2026-02-13T18:35:21.3184000-06:00,2026-02-14T00:35:21.3184000Z,,v3,471440,471513,4e998b2e4a12411ea691b84ba759f533,"Mathews, Duncan",835060,Right,SAL_JAG,81d3a8c9-f34a-4f40-a6b1-baf1fd743524,54.59783,-129.0787,12.80345,5.89716,-1.06555,-12.29352,-1.78317,4.00653,0.41123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2026-02-13,18:35:36.05,2,2,"Heer, Mitchell",1000077740,Right,SAL_JAG,"Coleman, Micah",1000419140,Right,USC_UPS,Undefined,1,Top,1,0,1,Undefined,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,93.4189,-3.898318,-2.125983,1867.551092,201.721608,12:45,5.9778,1.56048,5.91629,-11.84083,20.46922,7.71115,1.36497,0.22905,84.918,-6.1935,-0.742597,0.40911,,,,,,,,,,,,-4.55158,11.93658,-1.39426,50,5.65782,4.67404,-135.24812,-9.52018,-8.38341,31.04292,-10.18844,SAL_JAG,USC_UPS,USouthAlabama,D1,SBELT,20260213-USouthAlabama-2,146e8b40-093d-11f1-957e-e1c665abe209,92.13272,,,8.5009,,,,,,,5d33bbc2-dcd5-4e5d-af4d-28e40024d3fe,2026-02-14,00:35:36.05,2026-02-13T18:35:36.0521728-06:00,2026-02-14T00:35:36.0521728Z,,v3,471440,471513,4e998b2e4a12411ea691b84ba759f533,"Mathews, Duncan",835060,Right,SAL_JAG,d297c1b8-8e96-455b-a264-ad67074c82ac,54.58255,-136.29587,15.52146,5.97334,-9.17631,-5.09422,-1.55679,4.95699,-4.19171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2026-02-13,18:35:50.66,2,3,"Heer, Mitchell",1000077740,Right,SAL_JAG,"Coleman, Micah",1000419140,Right,USC_UPS,Undefined,1,Top,1,1,1,Undefined,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,87.53799,-1.63338,-2.134299,2237.175457,135.761386,10:30,5.84634,1.7398,5.82792,-30.80887,5.67091,-4.44701,1.75902,-0.61582,80.63697,-7.303547,-2.93146,0.434708,,,,,,,,,,,,1.71697,3.64882,-1.5626,50,5.69435,4.91627,-127.11528,-4.68061,2.81481,25.57682,-26.19213,SAL_JAG,USC_UPS,USouthAlabama,D1,SBELT,20260213-USouthAlabama-2,1d290a80-093d-11f1-957e-e1c665abe209,86.70751,,,6.90102,,,,,,,5d33bbc2-dcd5-4e5d-af4d-28e40024d3fe,2026-02-14,00:35:50.66,2026-02-13T18:35:50.6601984-06:00,2026-02-14T00:35:50.6601984Z,,v3,471440,471513,4e998b2e4a12411ea691b84ba759f533,"Mathews, Duncan",835060,Right,SAL_JAG,c9005d11-0100-4b65-8a50-c294e42e61d1,54.67478,-128.05243,12.78841,5.84827,-3.72091,-13.09607,-1.74085,4.81313,1.4074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2026-02-13,18:36:11.48,2,4,"Heer, Mitchell",1000077740,Right,SAL_JAG,"Coleman, Micah",1000419140,Right,USC_UPS,Undefined,1,Top,1,1,2,Undefined,Four-Seam,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,92.94757,-2.547925,-2.378859,1943.444962,196.236455,12:30,6.05005,1.45535,5.88973,-10.71725,22.31482,6.13115,2.78745,-0.2439,83.29789,-4.68031,-1.280106,0.413656,,,,,,,,,,,,-3.92481,12.6104,-1.26697,50,5.83835,5.31245,-134.53267,-6.22159,-7.05149,34.54232,-9.5176,SAL_JAG,USC_UPS,USouthAlabama,D1,SBELT,20260213-USouthAlabama-2,2985b6c0-093d-11f1-957e-e1c665abe209,91.12026,,,9.64969,,,,,,,5d33bbc2-dcd5-4e5d-af4d-28e40024d3fe,2026-02-14,00:36:11.48,2026-02-13T18:36:11.4820000-06:00,2026-02-14T00:36:11.4820000Z,,v3,471440,471513,4e998b2e4a12411ea691b84ba759f533,"Mathews, Duncan",835060,Right,SAL_JAG,3f9a8efc-22bc-4c1a-a3f9-ecc042ea226d,54.60776,-135.71059,17.27116,6.04497,-5.89703,-4.7588,-1.45223,5.55291,-3.52574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.92131,2.623766,1.74464,0.879126,-1.6016,2.53605,0.3097,1.64678,4.38961,-2.89916,69.0443,6.92357,-55.75445,1.69062,81.36668,-5.38433,4.41086,14.17432,-12.86042,-2.96781,-66.34928,7.13855,High,High,High,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2026-02-13,18:36:43.64,3,1,"Heer, Mitchell",1000077740,Right,SAL_JAG,"Sweeney, Johnny",1000223685,Left,USC_UPS,Undefined,1,Top,2,0,0,Undefined,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,93.76937,-3.193793,-3.446521,1984.596486,211.870624,1:00,5.93095,1.39656,5.88532,-13.13253,19.18288,11.1982,1.86225,-0.87468,84.66602,-5.736043,-1.44191,0.409144,,,,,,,,,,,,-6.76701,11.12386,-1.12443,50,5.66496,7.65743,-135.62339,-7.93346,-12.45625,32.90536,-11.69802,SAL_JAG,USC_UPS,USouthAlabama,D1,SBELT,20260213-USouthAlabama-2,3cb86ad0-093d-11f1-957e-e1c665abe209,92.12511,,,9.10335,,,,,,,5d33bbc2-dcd5-4e5d-af4d-28e40024d3fe,2026-02-14,00:36:43.64,2026-02-13T18:36:43.6404736-06:00,2026-02-14T00:36:43.6404736Z,,v3,471440,471513,4e998b2e4a12411ea691b84ba759f533,"Mathews, Duncan",835060,Right,SAL_JAG,d7ea3884-c59d-412c-822f-1b732a8f7cd2,54.61296,-136.73802,16.45268,5.92699,-7.5372,-5.84901,-1.39096,8.07937,-6.22812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2026-02-13,18:36:58.54,3,2,"Heer, Mitchell",1000077740,Right,SAL_JAG,"Sweeney, Johnny",1000223685,Left,USC_UPS,Undefined,1,Top,2,0,1,Undefined,Splitter,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,85.22374,-0.186139,-3.452557,940.004343,292.205131,3:45,5.62396,2.22686,6.12363,-40.52526,-1.81961,7.79969,2.07446,-0.31884,77.24982,-7.688937,-2.047955,0.447774,63.28595,70.59075,-110.6154,2566.401935,,,,,8.35165,,,-5.15079,-0.50496,-1.96633,50,5.58874,7.14835,-123.54328,-1.74122,-7.84217,28.03253,-32.94285,SAL_JAG,USC_UPS,USouthAlabama,D1,SBELT,20260213-USouthAlabama-2,45a21060-093d-11f1-957e-e1c665abe209,84.17744,24.12812,,7.97392,,,,1.8277,1.62453,0.49761,5d33bbc2-dcd5-4e5d-af4d-28e40024d3fe,2026-02-14,00:36:58.54,2026-02-13T18:36:58.5414144-06:00,2026-02-14T00:36:58.5414144Z,,v3,471440,471513,4e998b2e4a12411ea691b84ba759f533,"Mathews, Duncan",835060,Right,SAL_JAG,d506ba7b-74aa-4a3b-8f8c-084c49686cc5,54.37744,-124.53259,14.01627,5.62967,-0.57864,-16.47142,-2.22348,7.42511,-3.92108,9.919698,1.82998,-10.96929,-7.50129,,,,,,,1.62466,87.53924,-22.7417,,,,,,,0.50047,-29.0071,-8.1811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Undefined,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2026-02-13,18:37:21.82,3,3,"Heer, Mitchell",1000077740,Right,SAL_JAG,"Sweeney, Johnny",1000223685,Left,USC_UPS,Undefined,1,Top,2,0,2,Undefined,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,93.07265,-1.832755,-1.767086,1932.343879,204.507574,12:45,5.97102,1.60342,5.73534,-13.74938,19.43958,8.27441,3.11709,0.64683,83.16546,-4.509166,-0.287163,0.414637,76.92227,47.121569,-150.24492,3633.298062,-98.43888,55.21568,-49.08958,219.04222,72.53724,-152.146691,3.144009,-4.81516,10.87875,-1.46132,50,5.81018,3.77777,-134.75211,-4.69137,-8.6496,35.5708,-12.63219,SAL_JAG,USC_UPS,USouthAlabama,D1,SBELT,20260213-USouthAlabama-2,537d1f40-093d-11f1-957e-e1c665abe209,90.90464,55.6711,,9.90719,,,,1.33298,2.49119,-0.68185,5d33bbc2-dcd5-4e5d-af4d-28e40024d3fe,2026-02-14,00:37:21.82,2026-02-13T18:37:21.8285056-06:00,2026-02-14T00:37:21.8285056Z,FlyBall,v3,471440,471513,4e998b2e4a12411ea691b84ba759f533,"Mathews, Duncan",835060,Right,SAL_JAG,7d290cc3-df52-469a-b702-9ca06c7efdbe,54.76206,-136.00335,17.7854,5.96739,-4.24702,-6.3161,-1.59956,4.08203,-4.3248,,1.333,-66.64632,2.27603,0.08155,-0.35546,0.18245,-0.06059,0.01187,-0.00098,2.49101,82.68069,-39.09797,6.59904,-1.38027,0.30564,-0.06615,0.01003,-0.0007,-0.68182,-38.10144,10.97862,-6.33011,2.18464,-0.67683,0.17721,-0.03076,0.00241,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2026-02-13,18:37:42.08,3,4,"Heer, Mitchell",1000077740,Right,SAL_JAG,"Sweeney, Johnny",1000223685,Left,USC_UPS,Undefined,1,Top,2,0,2,Undefined,Splitter,HitByPitch,Undefined,Undefined,Undefined,0,0,,85.62373,-2.290626,-4.614462,888.508478,237.126756,2:00,5.57066,2.10554,6.0943,-33.12958,5.88485,6.72725,0.68303,-1.61143,76.81936,-8.461233,-3.406631,0.449556,,,,,,,,,,,,-5.19662,4.22776,-1.75296,50,5.37605,9.72645,-123.70227,-6.00594,-7.82798,31.0782,-25.80553,SAL_JAG,USC_UPS,USouthAlabama,D1,SBELT,20260213-USouthAlabama-2,5f96cf10-093d-11f1-957e-e1c665abe209,83.84364,,,8.80436,,,,,,,5d33bbc2-dcd5-4e5d-af4d-28e40024d3fe,2026-02-14,00:37:42.08,2026-02-13T18:37:42.0883968-06:00,2026-02-14T00:37:42.0883968Z,,v3,471440,471513,4e998b2e4a12411ea691b84ba759f533,"Mathews, Duncan",835060,Right,SAL_JAG,aab63535-41dc-4d1a-944b-9e700536a23e,54.40643,-124.8044,15.5391,5.57282,-5.09079,-12.90277,-2.10282,10.00406,-3.91399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
