PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallZAmb4,BatSpeed,VerticalAttackAngle,HorizontalAttackAngle
1,2026-02-13,15:12:30.02,1,1,"Copeland, Caden",823280,Left,UNI_TEX,"Benavides, Ciro",1000279079,Right,TEX_A&M,Undefined,1,Top,0,0,0,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,84.81588,-3.080037,3.90949,2140.216159,127.589764,10:15,6.1809,-1.47114,6.19993,-24.66836,13.85414,-16.39544,1.27249,0.77724,77.8985,-7.698664,0.955273,0.446713,,,,,,,,,,,,9.59847,8.39898,1.18485,50,5.93596,-7.778,-122.8936,-7.34775,14.70337,23.97759,-19.30809,UNI_TEX,TEX_A&M,IrwinField,D2,LS,20260213-IrwinField-2,b50149c0-0920-11f1-97c9-d98b74e9ec20,84.37727,,,6.91739,,,,,,,9219c449-486e-412d-a0fe-c0c3308e9010,2026-02-13,21:12:30.02,2026-02-13T15:12:30.0254208-06:00,2026-02-13T21:12:30.0254208Z,,v3,,,,"Ketzner, Cole",1000138406,Right,UNI_TEX,a93f4184-21d6-4bc8-92fd-0ba63dd69790,54.30269,-123.73025,11.98879,6.18059,-6.67403,-9.65404,1.46519,-8.29104,7.35169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2026-02-13,15:12:45.58,1,2,"Copeland, Caden",823280,Left,UNI_TEX,"Benavides, Ciro",1000279079,Right,TEX_A&M,Undefined,1,Top,0,1,0,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,77.52888,-1.940148,2.209564,2369.213377,274.232676,3:15,5.93564,-1.61131,5.95612,-45.29597,0.89799,6.07807,0.35965,0.94538,72.12556,-10.203267,3.303561,0.489175,,,,,,,,,,,,-2.56362,1.34319,1.43214,50,5.7556,-4.55774,-112.6194,-5.1978,-3.30603,19.66299,-30.4419,UNI_TEX,TEX_A&M,IrwinField,D2,LS,20260213-IrwinField-2,be5019c0-0920-11f1-97c9-d98b74e9ec20,77.05313,,,5.40332,,,,,,,9219c449-486e-412d-a0fe-c0c3308e9010,2026-02-13,21:12:45.58,2026-02-13T15:12:45.5801344-06:00,2026-02-13T21:12:45.5801344Z,,v3,,,,"Ketzner, Cole",1000138406,Right,UNI_TEX,5364764b-a04d-47ef-a360-6351d895d5ac,54.54776,-113.41064,9.83149,5.94012,-3.97281,-15.22095,1.61286,-4.4247,-1.65302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2026-02-13,15:13:05.37,1,3,"Copeland, Caden",823280,Left,UNI_TEX,"Benavides, Ciro",1000279079,Right,TEX_A&M,Undefined,1,Top,0,2,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,85.01835,0.021527,2.499486,2149.078597,138.278704,10:30,6.10219,-1.5298,6.44971,-23.43852,14.52335,-11.85056,4.16878,-0.21938,77.44465,-4.437409,0.35251,0.443451,,,,,,,,,,,,6.87618,7.95095,1.35733,50,6.09306,-4.93849,-123.47813,-0.58891,10.58008,25.36684,-19.94028,UNI_TEX,TEX_A&M,IrwinField,D2,LS,20260213-IrwinField-2,ca156800-0920-11f1-97c9-d98b74e9ec20,84.99807,,,7.5737,,,,,,,9219c449-486e-412d-a0fe-c0c3308e9010,2026-02-13,21:13:05.37,2026-02-13T15:13:05.3738496-06:00,2026-02-13T21:13:05.3738496Z,,v3,,,,"Ketzner, Cole",1000138406,Right,UNI_TEX,c510446f-0be3-4c24-822f-923c18c49389,54.05013,-124.30739,12.68342,6.10166,0.06295,-9.97014,1.52443,-5.28436,5.29004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2026-02-13,15:13:21.62,1,4,"Copeland, Caden",823280,Left,UNI_TEX,"Benavides, Ciro",1000279079,Right,TEX_A&M,Undefined,1,Top,0,3,0,Fastball,Changeup,BallCalled,Walk,Undefined,Undefined,0,0,,85.09321,-2.583131,2.83596,2079.939782,112.678153,9:45,6.05259,-1.52999,6.26124,-29.01049,9.61052,-19.68324,1.24866,-0.55314,77.19308,-8.017992,-0.723136,0.447284,,,,,,,,,,,,11.06233,6.22839,1.3285,50,5.84672,-5.33649,-123.31857,-6.44334,16.80371,27.63095,-22.71313,UNI_TEX,TEX_A&M,IrwinField,D2,LS,20260213-IrwinField-2,d3c766a0-0920-11f1-97c9-d98b74e9ec20,84.26961,,,7.90013,,,,,,,9219c449-486e-412d-a0fe-c0c3308e9010,2026-02-13,21:13:21.62,2026-02-13T15:13:21.6251392-06:00,2026-02-13T21:13:21.6251392Z,,v3,,,,"Ketzner, Cole",1000138406,Right,UNI_TEX,1fb22bf8-f52b-4b1e-9f59-9d56dcf59c11,54.23897,-124.26473,13.81547,6.05404,-5.66558,-11.35656,1.52109,-5.9119,8.40185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2026-02-13,15:13:53.29,2,1,"Copeland, Caden",823280,Left,UNI_TEX,"Soto, Paul",1000521871,Right,TEX_A&M,Undefined,1,Top,0,0,0,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,84.57163,1.603602,1.209103,2134.72784,132.646752,10:30,6.11228,-1.65718,6.39582,-25.51009,12.60682,-12.47079,5.46204,-1.58419,77.55796,-3.216058,-1.049257,0.444355,,,,,,,,,,,,6.77989,6.50323,1.57548,50,6.21558,-2.12064,-122.9537,2.72305,10.43175,23.21216,-22.16795,UNI_TEX,TEX_A&M,IrwinField,D2,LS,20260213-IrwinField-2,e6a2abe0-0920-11f1-97c9-d98b74e9ec20,84.82504,,,7.01367,,,,,,,9219c449-486e-412d-a0fe-c0c3308e9010,2026-02-13,21:13:53.29,2026-02-13T15:13:53.2966912-06:00,2026-02-13T21:13:53.2966912Z,,v3,,,,"Ketzner, Cole",1000138406,Right,UNI_TEX,8c3769f9-3b24-470c-b240-d2d77def7be4,54.1049,-123.72623,11.60608,6.11268,3.46082,-11.08397,1.65183,-2.46782,5.21588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2026-02-13,15:14:28.76,2,2,"Copeland, Caden",823280,Left,UNI_TEX,"Soto, Paul",1000521871,Right,TEX_A&M,Undefined,1,Top,0,1,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,85.03933,-1.831062,3.344307,2104.626135,160.404408,11:15,6.0839,-1.71194,6.36656,-20.78607,17.6419,-5.80012,2.66326,0.88579,77.07398,-5.805331,2.296553,0.446165,,,,,,,,,,,,4.04193,10.14638,1.47234,50,5.94141,-6.97842,-123.24323,-4.48601,6.15094,26.90984,-16.73349,UNI_TEX,TEX_A&M,IrwinField,D2,LS,20260213-IrwinField-2,fbcbd8c0-0920-11f1-97c9-d98b74e9ec20,84.48101,,,7.96535,,,,,,,9219c449-486e-412d-a0fe-c0c3308e9010,2026-02-13,21:14:28.76,2026-02-13T15:14:28.7609344-06:00,2026-02-13T21:14:28.7609344Z,,v3,,,,"Ketzner, Cole",1000138406,Right,UNI_TEX,39d300b0-b221-48fe-bdee-c6542a91c89b,54.13209,-124.14218,13.45492,6.08193,-3.92701,-8.36675,1.70889,-7.18389,3.07547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2026-02-13,15:14:51.75,2,3,"Copeland, Caden",823280,Left,UNI_TEX,"Soto, Paul",1000521871,Right,TEX_A&M,Undefined,1,Top,0,1,1,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,85.25868,-1.032232,2.143205,2043.551558,156.436397,11:15,6.13779,-1.53841,6.32001,-21.51363,16.46162,-6.63355,3.39347,-0.11627,77.67474,-5.127635,0.943881,0.443529,66.01018,29.625384,-150.697803,4037.060946,,,,,38.70294,,,4.07949,9.24315,1.38466,50,6.05189,-4.38045,-123.80481,-2.81566,6.30135,25.82315,-17.89664,UNI_TEX,TEX_A&M,IrwinField,D2,LS,20260213-IrwinField-2,0976d6f0-0921-11f1-97c9-d98b74e9ec20,84.9831,21.03055,,7.58394,,,,0.94111,3.29804,0.17481,9219c449-486e-412d-a0fe-c0c3308e9010,2026-02-13,21:14:51.75,2026-02-13T15:14:51.7500416-06:00,2026-02-13T21:14:51.7500416Z,,v3,,,,"Ketzner, Cole",1000138406,Right,UNI_TEX,23dbb46a-93f3-407e-8fdd-ecfe80cf6f11,54.18033,-124.67369,12.91158,6.1365,-2.21349,-8.94832,1.53562,-4.59247,3.15067,,0.94111,-73.39068,5.79448,0.567,-0.47688,0.18564,-0.05488,0.0166,-0.00355,3.29804,47.85815,-26.85193,3.60023,-0.69761,0.12261,-0.02084,0.00294,0,0.17481,-41.18863,14.51357,-4.35807,1.11018,-0.23659,0.05344,-0.01191,0.00213,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2026-02-13,15:15:18.66,2,4,"Copeland, Caden",823280,Left,UNI_TEX,"Soto, Paul",1000521871,Right,TEX_A&M,Undefined,1,Top,0,1,2,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,79.27856,-2.796066,2.881647,2398.776973,225.283602,1:30,5.97525,-1.57465,6.15091,-36.36061,7.49142,6.28548,0.35629,1.61405,73.76659,-9.46984,4.014794,0.476613,,,,,,,,,,,,-2.54819,4.9639,1.35192,50,5.7431,-6.0079,-115.0728,-6.69018,-3.43888,20.0605,-25.4751,UNI_TEX,TEX_A&M,IrwinField,D2,LS,20260213-IrwinField-2,19851980-0921-11f1-97c9-d98b74e9ec20,79.08389,,,5.51197,,,,,,,9219c449-486e-412d-a0fe-c0c3308e9010,2026-02-13,21:15:18.66,2026-02-13T15:15:18.6636800-06:00,2026-02-13T21:15:18.6636800Z,,v3,,,,"Ketzner, Cole",1000138406,Right,UNI_TEX,813c9e3e-892a-45fb-b8c8-b8d4cfd4d27d,54.35285,-115.82914,10.03025,5.97723,-5.72969,-12.73755,1.57599,-5.87824,-1.71944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2026-02-13,15:15:40.95,2,5,"Copeland, Caden",823280,Left,UNI_TEX,"Soto, Paul",1000521871,Right,TEX_A&M,Undefined,1,Top,0,2,2,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,80.17218,-0.787781,3.942348,2448.627637,263.037703,2:45,5.90623,-1.69127,6.37383,-40.37034,2.01331,7.0363,1.81543,2.52824,74.68466,-8.224689,5.212326,0.468566,,,,,,,,,,,,-2.71299,1.57827,1.40304,50,5.8303,-8.26412,-116.44832,-2.78152,-3.761,19.90258,-29.98612,UNI_TEX,TEX_A&M,IrwinField,D2,LS,20260213-IrwinField-2,26d8cff0-0921-11f1-97c9-d98b74e9ec20,80.44215,,,5.48752,,,,,,,9219c449-486e-412d-a0fe-c0c3308e9010,2026-02-13,21:15:40.95,2026-02-13T15:15:40.9585152-06:00,2026-02-13T21:15:40.9585152Z,,v3,,,,"Ketzner, Cole",1000138406,Right,UNI_TEX,809e5f1e-78ee-452d-96b8-0bb225972cee,54.13037,-117.15213,9.95129,5.90991,-1.72113,-14.99306,1.69293,-8.13112,-1.8805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2026-02-13,15:16:03.62,2,6,"Copeland, Caden",823280,Left,UNI_TEX,"Soto, Paul",1000521871,Right,TEX_A&M,Undefined,1,Top,0,3,2,Fastball,Changeup,InPlay,Undefined,LineDrive,Double,0,1,,85.63169,-1.026787,2.580393,2129.515523,123.403698,10:00,6.05717,-1.62561,6.30416,-25.33486,12.46481,-16.9506,2.99886,-0.65915,77.8136,-5.81451,-0.484262,0.442502,90.61654,7.918584,40.659216,2600.253825,,,,120.8305,119.59549,44.936756,1.00218,9.65611,7.17067,1.4442,50,5.96954,-4.96112,-124.31489,-2.96311,14.97795,26.96676,-21.05135,UNI_TEX,TEX_A&M,IrwinField,D2,LS,20260213-IrwinField-2,344f77b0-0921-11f1-97c9-d98b74e9ec20,85.18023,6.85418,,7.8181,,,,2.32872,3.20309,0.79507,9219c449-486e-412d-a0fe-c0c3308e9010,2026-02-13,21:16:03.62,2026-02-13T15:16:03.6271616-06:00,2026-02-13T21:16:03.6271616Z,LineDrive,v3,,,,"Ketzner, Cole",1000138406,Right,UNI_TEX,b1da7ee6-0325-4845-9388-4c68d6fe21b9,54.19792,-125.2222,13.48338,6.05732,-2.25483,-10.52568,1.6196,-5.46506,7.48898,,2.32871,99.85951,-18.96573,2.48384,-0.05178,-0.72288,0.7864,-0.42922,0.09712,3.20309,18.30975,-24.14083,3.08394,-0.14493,-0.78997,0.92315,-0.51159,0.11619,0.79507,85.76887,-0.07225,-1.52749,-0.21613,1.16424,-1.30128,0.71959,-0.16346,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
