PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallZAmb4,BatSpeed,VerticalAttackAngle,HorizontalAttackAngle
1,2026-02-15,11:58:44.39,1,1,"Grant, Garrett",10179010,Right,FAU_OWL,"Berkland, Drew",804994,Right,NOT_IRI,Undefined,1,Top,0,0,0,Undefined,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAU_OWL,NOT_IRI,FAUBaseballStadium,D1,AMER,20260215-FAUBaseballStadium-1,466fbbe0-0b46-11f1-bcc5-a1bde045211f,,,,,,,,,,,2e6517d7-8d8f-4151-8c10-d0b89df0d6d0,2026-02-15,16:58:44.39,2026-02-15T11:58:44.3908352-05:00,2026-02-15T16:58:44.3908352Z,,v3,339,225,2a7debf87e024b448b7e7756d4240783,"Collier, Ian",822899,Right,FAU_OWL,adea25d3-8f76-4d31-bee0-4e1857c18cd9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2026-02-15,11:58:54.39,1,2,"Grant, Garrett",10179010,Right,FAU_OWL,"Berkland, Drew",804994,Right,NOT_IRI,Undefined,1,Top,0,0,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.01356,-2.421917,-3.198844,2499.05818,220.497041,1:15,5.68857,1.99635,6.08185,-18.02229,16.43399,13.05225,1.94115,0.12143,82.01668,-5.846595,-0.851688,0.422479,,,,,,,,,,,,-7.64764,9.51481,-1.75578,50,5.49148,6.74781,-130.48019,-6.05222,-13.13551,28.40279,-15.83152,FAU_OWL,NOT_IRI,FAUBaseballStadium,D1,AMER,20260215-FAUBaseballStadium-1,9d0297f0-0a8f-11f1-b19f-d3c811bde2ce,89.21722,,,7.99688,,,,,,,2e6517d7-8d8f-4151-8c10-d0b89df0d6d0,2026-02-15,16:58:54.39,2026-02-15T11:58:54.3908352-05:00,2026-02-15T16:58:54.3908352Z,,v3,339,225,2a7debf87e024b448b7e7756d4240783,"Collier, Ian",822899,Right,FAU_OWL,e8c5928c-0084-4d25-b4f0-49bc74dacebd,54.41758,-131.43829,14.20139,5.68663,-5.51819,-7.91576,-1.99088,7.1909,-6.56776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,233.440184,4.528678,2491.255966,0.996878,1:45,-0.078115,-0.803349,-0.590363,-46.024941,-14.591423,-48.032584,157.623583,5.532877,0.378916,0.096417,-0.920395,5.980268,22.266564,0.096417,0.378916,0.920395,-5.980268,-22.266564,-0.096417,-0.378916,0.920395,-157.623583,-5.532877,-0.378916,-0.096417,-0.920395,,,
3,2026-02-15,11:59:11.27,1,3,"Grant, Garrett",10179010,Right,FAU_OWL,"Berkland, Drew",804994,Right,NOT_IRI,Undefined,1,Top,0,0,2,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,76.53925,-0.348546,-2.021498,2852.638318,70.160828,8:15,5.69105,1.79233,5.75752,-51.95397,-4.53796,-16.06824,1.03691,-1.42918,71.63929,-9.771309,-4.900856,0.495603,,,,,,,,,,,,7.76709,-1.90539,-1.61452,50,5.62995,4.49688,-111.33517,-2.31364,9.84315,18.18255,-34.58874,FAU_OWL,NOT_IRI,FAUBaseballStadium,D1,AMER,20260215-FAUBaseballStadium-1,a7161780-0a8f-11f1-b19f-d3c811bde2ce,76.0537,,,4.89996,,,,,,,2e6517d7-8d8f-4151-8c10-d0b89df0d6d0,2026-02-15,16:59:11.27,2026-02-15T11:59:11.2735232-05:00,2026-02-15T16:59:11.2735232Z,,v3,339,225,2a7debf87e024b448b7e7756d4240783,"Collier, Ian",822899,Right,FAU_OWL,2d48b963-491e-4432-a253-204463b779ac,54.74741,-112.10781,9.09127,5.69704,-0.84386,-17.29437,-1.79672,4.07861,4.92157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,74.600045,60.650911,1398.162006,0.490129,8:30,-0.869373,0.46722,0.160923,-91.525403,-14.8643,43.151399,164.302277,15.221978,0.26107,0.262559,-0.928927,15.782838,15.133547,0.262559,0.26107,0.928927,-15.782838,-15.133547,-0.262559,-0.26107,0.928927,-164.302277,-15.221978,-0.26107,-0.262559,-0.928927,,,
4,2026-02-15,11:59:30.43,1,4,"Grant, Garrett",10179010,Right,FAU_OWL,"Berkland, Drew",804994,Right,NOT_IRI,Undefined,1,Top,0,1,2,Cutter,Cutter,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,85.28401,-0.005023,-3.664597,2401.520108,179.898606,12:00,5.68998,2.01161,5.81271,-24.62568,13.60328,-0.02201,3.63316,-1.40252,78.78809,-4.584304,-3.668556,0.445008,,,,,,,,,,,,-0.89256,7.29024,-1.7109,50,5.67483,7.92901,-123.78677,-0.79046,-1.40031,22.1428,-20.73669,FAU_OWL,NOT_IRI,FAUBaseballStadium,D1,AMER,20260215-FAUBaseballStadium-1,b26f8490-0a8f-11f1-b19f-d3c811bde2ce,84.70062,,,6.49593,,,,,,,2e6517d7-8d8f-4151-8c10-d0b89df0d6d0,2026-02-15,16:59:30.43,2026-02-15T11:59:30.4374272-05:00,2026-02-15T16:59:30.4374272Z,,v3,339,225,2a7debf87e024b448b7e7756d4240783,"Collier, Ian",822899,Right,FAU_OWL,556249d4-baac-42a3-bf68-c0a088a86f0a,54.68818,-124.62257,11.0714,5.68989,-0.00774,-10.36835,-2.01118,7.98186,-0.70015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,214.273297,51.699866,1488.416202,0.619781,1:15,-0.815875,-0.349093,-0.460958,-43.430147,-10.753076,-70.573928,178.253084,18.918767,0.028838,0.324227,-0.94554,18.926937,1.652519,0.324227,0.028838,0.94554,-18.926937,-1.652519,-0.324227,-0.028838,0.94554,-178.253084,-18.918767,-0.028838,-0.324227,-0.94554,,,
5,2026-02-15,11:59:55.12,1,5,"Grant, Garrett",10179010,Right,FAU_OWL,"Berkland, Drew",804994,Right,NOT_IRI,Undefined,1,Top,0,1,2,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,90.05613,-2.446128,-3.391967,2514.325422,241.226655,2:00,5.74265,1.90855,5.96144,-23.02907,11.35115,18.70434,1.54993,0.31823,82.64351,-6.741555,-0.033987,0.422013,,,,,,,,,,,,-10.54902,6.82024,-1.64964,50,5.53518,6.96053,-130.60637,-6.34384,-18.26707,26.86503,-20.3639,FAU_OWL,NOT_IRI,FAUBaseballStadium,D1,AMER,20260215-FAUBaseballStadium-1,c12d7960-0a8f-11f1-b19f-d3c811bde2ce,89.31582,,,7.41262,,,,,,,2e6517d7-8d8f-4151-8c10-d0b89df0d6d0,2026-02-15,16:59:55.12,2026-02-15T11:59:55.1262720-05:00,2026-02-15T16:59:55.1262720Z,,v3,339,225,2a7debf87e024b448b7e7756d4240783,"Collier, Ian",822899,Right,FAU_OWL,12f87721-289a-4e4b-8655-eb545dfa92a1,54.54015,-131.53694,13.43251,5.7427,-5.63845,-10.18195,-1.90171,7.59328,-9.13354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,236.925752,2.511888,2511.909532,0.999039,2:00,-0.0403,-0.838267,-0.543769,-49.257601,-17.533684,-50.168973,154.472447,9.368504,0.425197,0.162784,-0.890342,10.361102,25.163137,0.162784,0.425197,0.890342,-10.361102,-25.163137,-0.162784,-0.425197,0.890342,-154.472447,-9.368504,-0.425197,-0.162784,-0.890342,,,
6,2026-02-15,12:00:14.71,1,6,"Grant, Garrett",10179010,Right,FAU_OWL,"Berkland, Drew",804994,Right,NOT_IRI,Undefined,1,Top,0,2,2,Slider,Curveball,InPlay,Undefined,FlyBall,Out,1,0,,76.29244,1.883155,-1.326847,2774.811524,92.500673,9:00,5.68749,1.92647,5.58516,-46.17006,2.04528,-15.73442,3.59969,-0.62404,70.55679,-6.562296,-4.131941,0.499763,97.01021,51.511812,-7.740568,4373.027721,,,,,93.82832,,,7.67402,0.93213,-1.80174,50,5.81891,3.14434,-110.8523,2.1815,9.61565,18.51871,-31.00608,FAU_OWL,NOT_IRI,FAUBaseballStadium,D1,AMER,20260215-FAUBaseballStadium-1,ccdb4800-0a8f-11f1-b19f-d3c811bde2ce,75.42064,127.03871,,5.73565,,,,1.59505,2.05419,0.30275,2e6517d7-8d8f-4151-8c10-d0b89df0d6d0,2026-02-15,17:00:14.71,2026-02-15T12:00:14.7109376-05:00,2026-02-15T17:00:14.7109376Z,,v3,339,225,2a7debf87e024b448b7e7756d4240783,"Collier, Ian",822899,Right,FAU_OWL,f9292e90-f940-4c5b-9ff2-fa9bb036d1b2,54.91761,-111.6708,9.25936,5.6922,3.55193,-15.50304,-1.93132,2.71934,4.80782,180.820366,1.59505,87.74245,-32.18432,10.64254,-2.96668,0.78251,-0.19053,0.03614,-0.00363,2.05419,111.36893,-24.80303,1.18257,0.46924,-0.29284,0.09208,-0.01761,0.00157,0.30275,-11.92651,4.83485,-1.65219,0.4722,-0.12679,0.03108,-0.00587,0.00058,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Undefined,,,,82.255676,60.976398,1346.254918,0.48517,8:45,-0.856406,0.50922,0.085232,-85.439992,-24.220996,26.713052,165.03352,26.983678,0.230139,0.453737,-0.860906,27.791276,13.305273,0.453737,0.230139,0.860906,-27.791276,-13.305273,-0.453737,-0.230139,0.860906,-165.03352,-26.983678,-0.230139,-0.453737,-0.860906,,,
7,2026-02-15,12:00:52.44,2,1,"Grant, Garrett",10179010,Right,FAU_OWL,"Watters, Bino",827639,Left,NOT_IRI,Undefined,1,Top,1,0,0,ChangeUp,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,76.86599,1.84702,0.778479,2792.144761,90.470581,9:00,5.59711,2.14239,5.40277,-45.94211,1.31213,-15.42261,3.50009,1.58668,71.76548,-6.504203,-1.965264,0.494757,,,,,,,,,,,,7.93012,0.63996,-2.20064,50,5.72922,-0.93104,-111.81328,2.078,10.23965,16.39035,-31.3477,FAU_OWL,NOT_IRI,FAUBaseballStadium,D1,AMER,20260215-FAUBaseballStadium-1,e342e850-0a8f-11f1-b19f-d3c811bde2ce,76.18378,,,5.10051,,,,,,,2e6517d7-8d8f-4151-8c10-d0b89df0d6d0,2026-02-15,17:00:52.44,2026-02-15T12:00:52.4441088-05:00,2026-02-15T17:00:52.4441088Z,,v3,339,225,2a7debf87e024b448b7e7756d4240783,"Collier, Ian",822899,Right,FAU_OWL,8b3a1c50-0e4a-4668-ad03-af8638bf04f1,55.10069,-112.55849,8.19518,5.60234,3.50327,-15.67385,-2.14773,-1.3966,5.11982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,83.306144,65.436284,1160.708275,0.415705,8:45,-0.896295,0.441971,0.036282,-77.454564,-39.141338,27.891397,166.385164,25.548814,0.212377,0.43128,-0.876866,26.18992,12.26166,0.43128,0.212377,0.876866,-26.18992,-12.26166,-0.43128,-0.212377,0.876866,-166.385164,-25.548814,-0.212377,-0.43128,-0.876866,,,
8,2026-02-15,12:01:05.50,2,2,"Grant, Garrett",10179010,Right,FAU_OWL,"Watters, Bino",827639,Left,NOT_IRI,Undefined,1,Top,1,1,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,89.78842,-2.420604,-3.045996,2534.35916,221.200243,1:15,5.54957,2.05986,6.05393,-18.07328,15.91513,13.12217,1.79826,0.33112,83.39721,-5.811259,-0.686939,0.419601,73.46284,9.391404,-163.849369,924.964887,,,,118.85491,49.526,-160.932563,1.228336,-7.50744,9.0752,-1.83003,50,5.35115,6.41369,-130.43649,-6.07318,-13.15204,23.10068,-16.2755,FAU_OWL,NOT_IRI,FAUBaseballStadium,D1,AMER,20260215-FAUBaseballStadium-1,eb19e560-0a8f-11f1-b19f-d3c811bde2ce,89.82919,6.57766,,6.39121,,,,0.85092,1.71137,-0.39513,2e6517d7-8d8f-4151-8c10-d0b89df0d6d0,2026-02-15,17:01:05.50,2026-02-15T12:01:05.5055872-05:00,2026-02-15T17:01:05.5055872Z,GroundBall,v3,339,225,2a7debf87e024b448b7e7756d4240783,"Collier, Ian",822899,Right,FAU_OWL,9374979a-0129-4441-a1a1-2b5a16803b6e,54.44864,-131.22199,11.55034,5.54824,-5.51976,-8.13775,-2.05573,6.8609,-6.57602,253.048142,0.78241,-101.33892,7.57086,,,,,,,1.76273,17.01981,-15.05682,,,,,,,-0.36675,-29.88753,-1.17594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,,233.082047,14.183273,2457.104099,0.969517,1:45,-0.242714,-0.784782,-0.570269,-52.136755,-23.089241,-53.108001,167.174142,8.905159,0.219313,0.154799,-0.963296,9.129244,12.668668,0.154799,0.219313,0.963296,-9.129244,-12.668668,-0.154799,-0.219313,0.963296,-167.174142,-8.905159,-0.219313,-0.154799,-0.963296,,,
9,2026-02-15,12:01:24.03,2,3,"Grant, Garrett",10179010,Right,FAU_OWL,"Watters, Bino",827639,Left,NOT_IRI,Undefined,1,Top,1,1,1,Cutter,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,84.64786,-0.930087,-1.621337,2495.068276,174.615212,11:45,5.49849,2.14015,5.74521,-32.09203,6.30811,-0.50476,1.95776,0.58812,79.25459,-6.803554,-1.711721,0.446003,71.70179,13.469709,-134.309037,2456.041618,,,,121.40595,58.54866,-138.466564,1.340726,-0.09213,3.72209,-2.00503,50,5.40117,3.50653,-123.18023,-3.0881,-0.14462,19.45748,-26.33029,FAU_OWL,NOT_IRI,FAUBaseballStadium,D1,AMER,20260215-FAUBaseballStadium-1,f62d96e0-0a8f-11f1-b19f-d3c811bde2ce,84.51165,9.05279,,5.39327,,,,-0.28127,1.67346,-0.44376,2e6517d7-8d8f-4151-8c10-d0b89df0d6d0,2026-02-15,17:01:24.03,2026-02-15T12:01:24.0327680-05:00,2026-02-15T17:01:24.0327680Z,LineDrive,v3,339,225,2a7debf87e024b448b7e7756d4240783,"Collier, Ian",822899,Right,FAU_OWL,af79661c-4da7-4e3a-8cc2-0ed49490100e,54.75722,-123.9294,9.72874,5.50056,-2.07431,-13.16515,-2.14015,3.5121,-0.07231,63.47152,-0.28127,-71.43808,2.29203,0.60242,-0.30383,0.32923,-0.25997,0.1133,-0.02005,1.67345,24.49586,-21.45802,2.12303,-0.5447,0.34205,-0.23779,0.10027,-0.01744,-0.44376,-73.18279,11.52718,-1.49262,0.49278,-0.36662,0.28824,-0.12352,0.02137,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,,208.141879,58.898681,1288.835118,0.516553,1:00,-0.864734,-0.257503,-0.431193,-47.965801,-13.004199,-64.98409,166.280224,17.923138,0.225663,0.307741,-0.924322,18.414499,13.041897,0.307741,0.225663,0.924322,-18.414499,-13.041897,-0.307741,-0.225663,0.924322,-166.280224,-17.923138,-0.225663,-0.307741,-0.924322,,,
10,2026-02-15,12:01:41.42,2,4,"Grant, Garrett",10179010,Right,FAU_OWL,"Watters, Bino",827639,Left,NOT_IRI,Undefined,1,Top,1,1,2,Fastball,Four-Seam,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,88.51196,0.532285,-2.000221,2416.664546,222.183666,1:30,5.62492,1.95604,6.07852,-21.98084,13.12914,10.98292,4.286,1.01984,81.43795,-3.599066,-0.023588,0.426468,,,,,,,,,,,,-6.1454,6.94902,-1.80695,50,5.65428,4.04214,-128.66606,0.51653,-10.39294,24.48751,-20.42204,FAU_OWL,NOT_IRI,FAUBaseballStadium,D1,AMER,20260215-FAUBaseballStadium-1,006c6c30-0a90-11f1-b19f-d3c811bde2ce,88.38273,,,7.07401,,,,,,,2e6517d7-8d8f-4151-8c10-d0b89df0d6d0,2026-02-15,17:01:41.42,2026-02-15T12:01:41.4290000-05:00,2026-02-15T17:01:41.4290000Z,,v3,339,225,2a7debf87e024b448b7e7756d4240783,"Collier, Ian",822899,Right,FAU_OWL,09a92ed6-510f-4d85-9580-561dbf80f0a5,54.42145,-129.50481,12.24376,5.62461,1.21603,-10.21102,-1.95149,4.39812,-5.19647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.65698,,,1.281592,,,,1.99612,5.7107,4.00525,78.57193,5.62548,-46.22125,2.15667,67.7005,-6.30411,5.81047,17.42148,-13.70683,3.85059,-46.00171,5.41173,High,High,High,,,High,High,High,231.37061,14.15938,2343.243904,0.969619,1:45,-0.272621,-0.755162,-0.596162,-31.883801,-36.347602,-80.017082,167.921672,7.585435,0.207418,0.132004,-0.969305,7.755093,11.97106,0.132004,0.207418,0.969305,-7.755093,-11.97106,-0.132004,-0.207418,0.969305,-167.921672,-7.585435,-0.207418,-0.132004,-0.969305,,,
