PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallZAmb4,BatSpeed,VerticalAttackAngle,HorizontalAttackAngle
1,2026-02-14,13:07:33.50,1,1,"Marble, Andrew",1000282507,Right,SAM_BUL,"Davis, Charlie",1000231814,Left,BEL_BRU,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,88.67922,-3.810768,-0.999596,2111.06197,201.758524,12:45,5.74806,0.43622,5.7373,-16.83091,19.43399,7.23382,0.79112,0.10812,80.32635,-7.011101,0.295402,0.433426,,,,,,,,,,,,-4.03547,11.51024,-0.35766,50,5.42035,1.93658,-128.38889,-9.0462,-6.65042,29.72696,-13.20536,SAM_BUL,BEL_BRU,SamfordUniversity,D1,SOCON,20260214-SamfordUniversity-2,6993dd00-09d8-11f1-ac6b-3d93f9be0a74,86.96405,,,8.35287,,,,,,,91af40f8-b49b-48da-9c5b-a72c34a0cf3e,2026-02-14,19:07:33.50,2026-02-14T13:07:33.5094272-06:00,2026-02-14T19:07:33.5094272Z,,v3,471431,471514,f3b4ce37d9a344438430701a60f29d7d,"Perry, Hayden",1000091983,Right,SAM_BUL,4cc77863-111d-4ba9-9646-4ccb64fd396c,54.76219,-129.48682,14.86348,5.74546,-8.55848,-6.60268,-0.43372,2.18221,-3.32521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2026-02-14,13:07:46.20,1,2,"Marble, Andrew",1000282507,Right,SAM_BUL,"Davis, Charlie",1000231814,Left,BEL_BRU,Undefined,1,Top,0,1,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,87.93061,-2.417334,-1.955489,2028.012297,190.941564,12:15,5.76968,0.36465,5.67981,-19.69966,17.18458,3.06902,1.87194,-1.20322,79.63977,-6.137882,-1.407122,0.437111,,,,,,,,,,,,-2.17768,9.87666,-0.20182,50,5.55372,4.2194,-127.39366,-5.9896,-3.53694,29.02391,-16.13264,SAM_BUL,BEL_BRU,SamfordUniversity,D1,SOCON,20260214-SamfordUniversity-2,71276870-09d8-11f1-ac6b-3d93f9be0a74,86.23079,,,8.29085,,,,,,,91af40f8-b49b-48da-9c5b-a72c34a0cf3e,2026-02-14,19:07:46.20,2026-02-14T13:07:46.2047232-06:00,2026-02-14T19:07:46.2047232Z,,v3,471431,471514,f3b4ce37d9a344438430701a60f29d7d,"Perry, Hayden",1000091983,Right,SAM_BUL,f8651d1b-3f48-42bf-82a4-ccb0a1c4010d,54.81872,-128.48681,14.51196,5.76787,-5.38198,-8.06632,-0.36324,4.35261,-1.76847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2026-02-14,13:08:03.94,1,3,"Marble, Andrew",1000282507,Right,SAM_BUL,"Davis, Charlie",1000231814,Left,BEL_BRU,Undefined,1,Top,0,1,1,ChangeUp,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,76.34568,-0.48223,-2.484151,2122.554711,237.626852,2:00,5.69682,0.63667,6.35783,-38.9627,9.0489,11.4306,2.00567,-0.69855,68.86773,-7.806553,-0.41418,0.498706,77.68906,2.264464,66.265056,,,,,57.94472,54.8546,65.293897,0.530992,-6.84713,5.36544,-0.46191,50,5.64381,4.41793,-110.72691,-1.97477,-8.31775,23.73818,-25.65624,SAM_BUL,BEL_BRU,SamfordUniversity,D1,SOCON,20260214-SamfordUniversity-2,7bc6d450-09d8-11f1-ac6b-3d93f9be0a74,75.5805,2.72553,,7.47795,,,,3.46414,2.44272,0.65294,91af40f8-b49b-48da-9c5b-a72c34a0cf3e,2026-02-14,19:08:03.94,2026-02-14T13:08:03.9482368-06:00,2026-02-14T19:08:03.9482368Z,GroundBall,v3,471431,471514,f3b4ce37d9a344438430701a60f29d7d,"Perry, Hayden",1000091983,Right,SAM_BUL,0e46bdd7-d9c9-4872-814d-bcce4bb8f75c,54.14094,-111.61114,11.86909,5.69957,-1.0191,-12.82812,-0.63224,4.72776,-4.15887,,3.48284,45.35107,-11.92579,,,,,,,2.45481,4.19582,-16.64875,,,,,,,0.66325,103.96383,-11.47811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2026-02-14,13:08:23.03,1,4,"Marble, Andrew",1000282507,Right,SAM_BUL,"Davis, Charlie",1000231814,Left,BEL_BRU,Undefined,1,Top,0,1,2,Fastball,Four-Seam,InPlay,Undefined,GroundBall,Out,1,0,,90.66505,-3.370076,-0.477684,2099.840891,182.045519,12:00,5.90304,0.22152,5.47129,-15.67469,19.19288,0.64228,1.43921,-0.17201,82.36972,-6.340234,-0.363281,0.424994,37.22151,-53.750444,-115.678667,,,,,3.43189,3.43189,-13.452151,0.039052,-0.46996,11.07099,-0.17999,50,5.5963,1.06633,-131.32776,-8.22256,-0.81421,29.87364,-12.99274,SAM_BUL,BEL_BRU,SamfordUniversity,D1,SOCON,20260214-SamfordUniversity-2,871c22b0-09d8-11f1-ac6b-3d93f9be0a74,88.68944,1.73497,,8.29534,,,,3.88898,1.73497,0.3481,91af40f8-b49b-48da-9c5b-a72c34a0cf3e,2026-02-14,19:08:23.03,2026-02-14T13:08:23.0368256-06:00,2026-02-14T19:08:23.0368256Z,GroundBall,v3,471431,471514,f3b4ce37d9a344438430701a60f29d7d,"Perry, Hayden",1000091983,Right,SAM_BUL,6528c97d-2200-414f-8b88-4b3b3e783180,55.02798,-132.46656,14.93682,5.90031,-7.72727,-6.49637,-0.22123,1.09737,-0.40711,180,3.88978,-14.11556,,,,,,,,1.7375,-44.42756,,,,,,,,0.34978,-29.35793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2026-02-14,13:08:56.55,2,1,"Marble, Andrew",1000282507,Right,SAM_BUL,"Godsey, Landon",1000095692,Right,BEL_BRU,Undefined,1,Top,1,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,89.36756,-3.078615,-0.404574,2118.215982,204.768105,12:45,5.85234,0.29499,5.80308,-14.99146,20.50844,8.88323,1.73696,0.65898,80.99238,-5.956312,1.187427,0.42883,,,,,,,,,,,,-4.67366,11.7976,-0.26721,50,5.59064,0.53567,-129.52233,-7.37927,-7.85493,29.73933,-12.34609,SAM_BUL,BEL_BRU,SamfordUniversity,D1,SOCON,20260214-SamfordUniversity-2,9b1cae10-09d8-11f1-ac6b-3d93f9be0a74,87.89603,,,8.37517,,,,,,,91af40f8-b49b-48da-9c5b-a72c34a0cf3e,2026-02-14,19:08:56.55,2026-02-14T13:08:56.5599744-06:00,2026-02-14T19:08:56.5599744Z,,v3,471431,471514,f3b4ce37d9a344438430701a60f29d7d,"Perry, Hayden",1000091983,Right,SAM_BUL,771ea36a-5a94-46fb-9f55-1272f84cff50,54.69562,-130.59603,14.86966,5.84901,-6.93353,-6.17304,-0.29167,0.81927,-3.92747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2026-02-14,13:09:10.20,2,2,"Marble, Andrew",1000282507,Right,SAM_BUL,"Godsey, Landon",1000095692,Right,BEL_BRU,Undefined,1,Top,1,0,1,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,78.30983,-1.34217,-1.926079,2369.504375,87.578506,9:00,5.91916,0.36306,5.27734,-45.92376,1.04213,-11.7391,0.83063,-2.4249,71.93768,-9.659943,-4.011539,0.493245,,,,,,,,,,,,5.28933,1.41201,-0.17834,50,5.76307,4.28834,-113.53005,-4.24009,6.85419,22.1673,-30.34427,SAM_BUL,BEL_BRU,SamfordUniversity,D1,SOCON,20260214-SamfordUniversity-2,a3439fe0-09d8-11f1-ac6b-3d93f9be0a74,76.4173,,,6.37215,,,,,,,91af40f8-b49b-48da-9c5b-a72c34a0cf3e,2026-02-14,19:09:10.20,2026-02-14T13:09:10.2046720-06:00,2026-02-14T19:09:10.2046720Z,,v3,471431,471514,f3b4ce37d9a344438430701a60f29d7d,"Perry, Hayden",1000091983,Right,SAM_BUL,6b2f0d61-ddbc-46a4-840f-9e24ee8db8d1,55.22213,-114.54515,11.08365,5.92542,-2.85053,-15.17214,-0.36753,3.97447,3.42709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2026-02-14,13:09:29.03,2,3,"Marble, Andrew",1000282507,Right,SAM_BUL,"Godsey, Landon",1000095692,Right,BEL_BRU,Undefined,1,Top,1,1,1,Knuckleball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,76.53956,-1.744334,-2.998691,2245.859291,243.396704,2:00,5.72968,0.53703,6.23097,-37.68203,9.92028,16.49119,0.97752,-0.85777,69.82043,-8.769799,-0.018775,0.496576,,,,,,,,,,,,-9.51331,6.16319,-0.32106,50,5.58065,5.24779,-111.00022,-4.42196,-11.74331,21.83536,-24.56617,SAM_BUL,BEL_BRU,SamfordUniversity,D1,SOCON,20260214-SamfordUniversity-2,ae7f4bc0-09d8-11f1-ac6b-3d93f9be0a74,75.90473,,,6.71913,,,,,,,91af40f8-b49b-48da-9c5b-a72c34a0cf3e,2026-02-14,19:09:29.03,2026-02-14T13:09:29.0324480-06:00,2026-02-14T19:09:29.0324480Z,,v3,471431,471514,f3b4ce37d9a344438430701a60f29d7d,"Perry, Hayden",1000091983,Right,SAM_BUL,d096feae-6668-46eb-a0b3-dcaa92259577,54.26887,-111.83682,10.91768,5.73204,-3.48074,-12.28308,-0.53074,5.69772,-5.87165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2026-02-14,13:09:42.42,2,4,"Marble, Andrew",1000282507,Right,SAM_BUL,"Godsey, Landon",1000095692,Right,BEL_BRU,Undefined,1,Top,1,2,1,Slider,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,76.9772,0.487122,-1.774615,2330.690557,221.352166,1:30,5.71031,0.64607,6.0468,-30.96797,16.21981,12.8739,3.58085,0.07543,69.94739,-5.349549,0.541606,0.494409,63.11401,24.759005,166.042172,2853.463359,-108.46269,19.2776,18.32589,156.11927,60.13008,172.27301,2.186989,-7.16441,8.67315,-0.51474,50,5.73166,2.99974,-111.73292,0.11108,-8.98682,21.58965,-21.29469,SAM_BUL,BEL_BRU,SamfordUniversity,D1,SOCON,20260214-SamfordUniversity-2,b67a2480-09d8-11f1-ac6b-3d93f9be0a74,76.23739,22.62373,,7.02981,,,,0.44213,3.50699,-0.08853,91af40f8-b49b-48da-9c5b-a72c34a0cf3e,2026-02-14,19:09:42.42,2026-02-14T13:09:42.4281088-06:00,2026-02-14T19:09:42.4281088Z,LineDrive,v3,471431,471514,f3b4ce37d9a344438430701a60f29d7d,"Perry, Hayden",1000091983,Right,SAM_BUL,9ef9524a-c59e-4ceb-b586-84e36ea928b6,54.45153,-112.58979,10.79482,5.71048,0.95624,-10.64735,-0.64087,3.35641,-4.49341,296.731677,0.44214,-81.57773,4.86401,-0.20395,0.27202,-0.30053,0.21224,-0.07068,0.00885,3.507,38.7664,-21.03532,1.62031,-0.24792,-0.01936,0.0367,-0.01065,0.00104,-0.08853,20.27596,-6.46763,1.17991,-0.37999,0.20183,-0.11929,0.04089,-0.00536,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2026-02-14,13:10:03.83,2,5,"Marble, Andrew",1000282507,Right,SAM_BUL,"Godsey, Landon",1000095692,Right,BEL_BRU,Undefined,1,Top,1,2,2,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,75.27341,-1.719481,-2.970432,2110.566624,238.025453,2:00,5.69127,0.63754,6.18454,-38.17943,11.05217,14.98418,0.91928,-0.85911,68.78441,-8.830848,-0.265449,0.505002,,,,,,,,,,,,-8.70729,6.73347,-0.42081,50,5.54201,5.15843,-109.17064,-4.31838,-10.41363,20.83664,-24.12103,SAM_BUL,BEL_BRU,SamfordUniversity,D1,SOCON,20260214-SamfordUniversity-2,c33dcff0-09d8-11f1-ac6b-3d93f9be0a74,74.63816,,,6.489,,,,,,,91af40f8-b49b-48da-9c5b-a72c34a0cf3e,2026-02-14,19:10:03.83,2026-02-14T13:10:03.8312960-06:00,2026-02-14T19:10:03.8312960Z,,v3,471431,471514,f3b4ce37d9a344438430701a60f29d7d,"Perry, Hayden",1000091983,Right,SAM_BUL,edcc7c63-b941-4556-954c-440ff23992bd,54.31538,-109.99121,10.41832,5.69337,-3.36848,-12.06052,-0.63203,5.56852,-5.20681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2026-02-14,13:10:26.18,2,6,"Marble, Andrew",1000282507,Right,SAM_BUL,"Godsey, Landon",1000095692,Right,BEL_BRU,Undefined,1,Top,1,3,2,Fastball,Four-Seam,InPlay,Undefined,GroundBall,Out,1,0,,88.83884,-1.301192,-0.94152,1988.71684,204.393567,12:45,5.85256,0.35366,5.76694,-17.26284,18.82174,7.93898,3.20262,0.13891,80.00087,-4.610618,0.480028,0.432347,92.79788,2.132946,-24.57765,3277.167911,,,,63.8156,57.8388,-25.217657,0.496588,-4.36847,10.40316,-0.28072,50,5.73478,1.77747,-128.81367,-3.42653,-7.22168,30.78029,-14.97623,SAM_BUL,BEL_BRU,SamfordUniversity,D1,SOCON,20260214-SamfordUniversity-2,d0855160-09d8-11f1-ac6b-3d93f9be0a74,87.181,3.48694,,8.83797,,,,1.90104,3.23075,-0.00931,91af40f8-b49b-48da-9c5b-a72c34a0cf3e,2026-02-14,19:10:26.18,2026-02-14T13:10:26.1892096-06:00,2026-02-14T19:10:26.1892096Z,GroundBall,v3,471431,471514,f3b4ce37d9a344438430701a60f29d7d,"Perry, Hayden",1000091983,Right,SAM_BUL,96e719d9-4aed-48da-8a40-900c389f48fb,54.73111,-129.93926,15.39015,5.85007,-2.87887,-7.48812,-0.35055,2.04156,-3.61084,43.008681,1.9239,123.06553,-21.59154,,,,,,,3.25314,4.45588,-22.25048,,,,,,,-0.00775,-56.61417,3.77618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
