PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallZAmb4,BatSpeed,VerticalAttackAngle,HorizontalAttackAngle
1,2026-02-18,13:37:32.06,1,1,"Hinchliffe, Jackson",1000187241,Right,RIC_SPI,"Langley, Kyle",10281913,Left,JMU_DUK,Undefined,1,Top,0,0,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,89.75801,-0.680106,-2.374351,1982.769014,234.764341,1:45,5.60709,1.39387,4.93917,-22.60178,13.8865,17.77529,3.08024,0.6298,80.79838,-4.883411,0.758201,0.434759,,,,,,,,,,,,-9.48359,7.44721,-1.1784,50,5.52298,4.52134,-129.89748,-2.37884,-15.97666,30.76772,-19.62801,RIC_SPI,JMU_DUK,PittFieldUOR,D1,A10,20260218-PittFieldUOR-1,e3125c10-0cf8-11f1-be5a-41109de4155f,86.69741,,,8.95963,,,,,,,4b62fdd8-34e7-4e60-adbf-f0d068da7058,2026-02-18,18:37:32.06,2026-02-18T13:37:32.0676864-05:00,2026-02-18T18:37:32.0676864Z,,v3,471420,471327,7950837122ef44afaba819a35823fbad,"Rickabaugh, RJ",1000092128,Left,RIC_SPI,711257a1-404a-4995-a135-f55826680aba,55.55754,-131.20724,15.38386,5.60646,-1.54328,-9.81401,-1.38535,5.20145,-7.98833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2026-02-18,13:37:46.29,1,2,"Hinchliffe, Jackson",1000187241,Right,RIC_SPI,"Langley, Kyle",10281913,Left,JMU_DUK,Undefined,1,Top,0,0,1,Fastball,Slider,InPlay,Undefined,GroundBall,Out,1,0,,85.88224,-0.1344,-2.014175,2263.263606,198.580185,12:30,5.43545,1.50392,5.40221,-31.34506,7.72126,2.13252,2.69734,-0.20652,77.6845,-5.927194,-1.635075,0.449855,75.91261,-60.686716,55.979931,,,,,3.06255,2.12529,28.095781,0.028751,-1.71036,4.31296,-1.32594,50,5.40176,4.28472,-124.45541,-1.40123,-2.64809,27.97524,-25.49641,RIC_SPI,JMU_DUK,PittFieldUOR,D1,A10,20260218-PittFieldUOR-1,eb8f8430-0cf8-11f1-be5a-41109de4155f,83.78798,2.80102,,8.19773,,,,1.82175,2.80102,0.13877,4b62fdd8-34e7-4e60-adbf-f0d068da7058,2026-02-18,18:37:46.29,2026-02-18T13:37:46.2957056-05:00,2026-02-18T18:37:46.2957056Z,GroundBall,v3,471420,471327,7950837122ef44afaba819a35823fbad,"Rickabaugh, RJ",1000092128,Left,RIC_SPI,c0c69a4f-00e3-480b-ab81-2d78e5b71914,55.09565,-125.59559,13.98762,5.43769,-0.36208,-12.74821,-1.50277,4.39265,-1.32405,,1.82126,30.60447,,,,,,,,2.8026,-97.42366,,,,,,,,0.13803,45.33873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2026-02-18,13:38:14.36,2,1,"Hinchliffe, Jackson",1000187241,Right,RIC_SPI,"Seguin, Josiah",10277040,Left,JMU_DUK,Undefined,1,Top,1,0,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,89.27532,-0.417367,-1.610259,1964.723298,247.562779,2:15,5.58005,1.48237,4.86185,-26.14612,10.84442,23.00147,3.00602,1.87469,80.3979,-5.239207,2.440661,0.437741,,,,,,,,,,,,-11.76276,5.86366,-1.3441,50,5.51741,2.50753,-129.25449,-1.95102,-19.59498,30.78645,-22.40607,RIC_SPI,JMU_DUK,PittFieldUOR,D1,A10,20260218-PittFieldUOR-1,fc4ca460-0cf8-11f1-be5a-41109de4155f,86.10681,,,8.87742,,,,,,,4b62fdd8-34e7-4e60-adbf-f0d068da7058,2026-02-18,18:38:14.36,2026-02-18T13:38:14.3681024-05:00,2026-02-18T18:38:14.3681024Z,,v3,471420,471327,7950837122ef44afaba819a35823fbad,"Rickabaugh, RJ",1000092128,Left,RIC_SPI,8d24b341-d0c0-46ae-9503-32e1eeca7855,55.63548,-130.58987,15.39323,5.58095,-0.97914,-11.20304,-1.4713,3.35748,-9.79749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2026-02-18,13:38:26.50,2,2,"Hinchliffe, Jackson",1000187241,Right,RIC_SPI,"Seguin, Josiah",10277040,Left,JMU_DUK,Undefined,1,Top,1,1,0,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,86.29839,0.655119,-0.668373,2095.709186,236.514613,2:00,5.48326,1.54778,5.39906,-30.61884,7.91091,9.97382,3.54567,1.75258,78.20617,-5.008962,1.105738,0.446755,,,,,,,,,,,,-5.17229,4.18114,-1.49525,50,5.52057,1.01479,-125.14397,0.33598,-8.13087,27.31114,-25.60127,RIC_SPI,JMU_DUK,PittFieldUOR,D1,A10,20260218-PittFieldUOR-1,038a6eb0-0cf9-11f1-be5a-41109de4155f,84.36935,,,8.09222,,,,,,,4b62fdd8-34e7-4e60-adbf-f0d068da7058,2026-02-18,18:38:26.50,2026-02-18T13:38:26.5061888-05:00,2026-02-18T18:38:26.5061888Z,,v3,471420,471327,7950837122ef44afaba819a35823fbad,"Rickabaugh, RJ",1000092128,Left,RIC_SPI,d9e6c342-1107-47f7-b3d9-f84ff111b2c5,55.09757,-126.25155,13.65557,5.4859,1.37423,-12.80063,-1.54309,1.34453,-4.06544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2026-02-18,13:38:48.16,2,3,"Hinchliffe, Jackson",1000187241,Right,RIC_SPI,"Seguin, Josiah",10277040,Left,JMU_DUK,Undefined,1,Top,1,2,0,Fastball,Cutter,BallCalled,Undefined,Undefined,Undefined,0,0,,85.92104,1.265071,-1.347409,2180.093317,220.439247,1:15,5.41442,1.58321,5.48962,-30.65206,7.71103,5.56437,4.04409,0.78615,78.57027,-4.39426,-0.356611,0.445788,,,,,,,,,,,,-3.15811,3.91449,-1.46899,50,5.50464,2.69226,-124.71179,1.67342,-4.98394,24.59832,-25.99646,RIC_SPI,JMU_DUK,PittFieldUOR,D1,A10,20260218-PittFieldUOR-1,106ee890-0cf9-11f1-be5a-41109de4155f,84.55244,,,7.35077,,,,,,,4b62fdd8-34e7-4e60-adbf-f0d068da7058,2026-02-18,18:38:48.16,2026-02-18T13:38:48.1636352-05:00,2026-02-18T18:38:48.1636352Z,,v3,471420,471327,7950837122ef44afaba819a35823fbad,"Rickabaugh, RJ",1000092128,Left,RIC_SPI,939cf27a-0ba1-4b2a-841a-57d5317fcafe,55.0087,-125.69583,12.29916,5.4169,2.71339,-12.99823,-1.58068,2.89164,-2.49197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2026-02-18,13:39:01.86,2,4,"Hinchliffe, Jackson",1000187241,Right,RIC_SPI,"Seguin, Josiah",10277040,Left,JMU_DUK,Undefined,1,Top,1,3,0,Fastball,Sinker,BallCalled,Walk,Undefined,Undefined,0,0,,89.11059,-0.821269,-1.70256,2000.195435,240.266838,2:00,5.54858,1.37004,5.11851,-24.10517,12.66001,19.82143,2.7658,1.41755,80.27994,-5.302155,1.804631,0.436405,,,,,,,,,,,,-10.3328,6.93953,-1.22579,50,5.45318,2.8938,-129.04834,-2.72771,-17.16419,30.60021,-20.64653,RIC_SPI,JMU_DUK,PittFieldUOR,D1,A10,20260218-PittFieldUOR-1,189712e0-0cf9-11f1-be5a-41109de4155f,86.37034,,,8.83065,,,,,,,4b62fdd8-34e7-4e60-adbf-f0d068da7058,2026-02-18,18:39:01.86,2026-02-18T13:39:01.8655744-05:00,2026-02-18T18:39:01.8655744Z,,v3,471420,471327,7950837122ef44afaba819a35823fbad,"Rickabaugh, RJ",1000092128,Left,RIC_SPI,3e3e2c8f-4ddf-45a6-a78d-f2d26f88e4a9,55.37838,-130.31744,15.30011,5.54855,-1.87143,-10.32326,-1.36057,3.60565,-8.58209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2026-02-18,13:39:39.95,3,1,"Hinchliffe, Jackson",1000187241,Right,RIC_SPI,"Schmidly, Ike",1000182451,Right,JMU_DUK,Undefined,1,Top,1,0,0,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,79.45782,1.943256,-1.629234,2194.428138,155.093606,11:15,5.36518,1.68246,5.11251,-33.75163,13.04583,-5.21111,4.38473,-0.28711,70.78141,-4.338912,-2.549585,0.49236,,,,,,,,,,,,1.98441,6.32008,-1.52486,50,5.52301,3.49081,-114.80776,2.78201,2.58323,26.14245,-23.94676,RIC_SPI,JMU_DUK,PittFieldUOR,D1,A10,20260218-PittFieldUOR-1,2f53b100-0cf9-11f1-be5a-41109de4155f,76.55468,,,8.67641,,,,,,,4b62fdd8-34e7-4e60-adbf-f0d068da7058,2026-02-18,18:39:39.95,2026-02-18T13:39:39.9531008-05:00,2026-02-18T18:39:39.9531008Z,,v3,471420,471327,7950837122ef44afaba819a35823fbad,"Rickabaugh, RJ",1000092128,Left,RIC_SPI,aa87f7fa-6d99-43c0-bc62-b2673cf5e9bf,55.37941,-116.02622,13.07123,5.36733,3.89813,-11.97338,-1.68475,3.37041,1.29162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2026-02-18,13:40:16.40,3,2,"Hinchliffe, Jackson",1000187241,Right,RIC_SPI,"Schmidly, Ike",1000182451,Right,JMU_DUK,Undefined,1,Top,1,1,0,Slider,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,79.03211,0.976708,-1.199438,2470.800633,147.238747,11:00,5.40295,1.53832,5.08635,-36.88573,10.18201,-5.40977,3.25003,-0.0432,70.90547,-5.834092,-2.155515,0.493779,,,,,,,,,,,,2.2541,5.25481,-1.42044,50,5.46722,2.62505,-114.33754,0.69844,2.92374,25.04754,-25.35818,RIC_SPI,JMU_DUK,PittFieldUOR,D1,A10,20260218-PittFieldUOR-1,450a50d0-0cf9-11f1-be5a-41109de4155f,76.33456,,,8.12664,,,,,,,4b62fdd8-34e7-4e60-adbf-f0d068da7058,2026-02-18,18:40:16.40,2026-02-18T13:40:16.4057600-05:00,2026-02-18T18:40:16.4057600Z,,v3,471420,471327,7950837122ef44afaba819a35823fbad,"Rickabaugh, RJ",1000092128,Left,RIC_SPI,352e32e1-4e66-4af3-82fc-dffd1aad798c,55.40722,-115.516,12.52377,5.40629,1.89153,-12.67909,-1.54071,2.48749,1.46187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2026-02-18,13:40:57.90,3,3,"Hinchliffe, Jackson",1000187241,Right,RIC_SPI,"Schmidly, Ike",1000182451,Right,JMU_DUK,Undefined,1,Top,1,1,1,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,79.4119,0.380935,-2.449732,2372.903452,131.742723,10:30,5.32779,1.58324,5.01865,-39.02195,8.03221,-6.92827,2.43579,-1.30743,71.02462,-6.793325,-3.67129,0.493708,,,,,,,,,,,,2.53512,4.38941,-1.34262,50,5.33376,5.20715,-114.74679,-0.59164,3.29152,26.41276,-26.47497,RIC_SPI,JMU_DUK,PittFieldUOR,D1,A10,20260218-PittFieldUOR-1,5dc9eae0-0cf9-11f1-be5a-41109de4155f,76.34555,,,8.38729,,,,,,,4b62fdd8-34e7-4e60-adbf-f0d068da7058,2026-02-18,18:40:57.90,2026-02-18T13:40:57.9080000-05:00,2026-02-18T18:40:57.9080000Z,,v3,471420,471327,7950837122ef44afaba819a35823fbad,"Rickabaugh, RJ",1000092128,Left,RIC_SPI,fd38eeb1-52d1-4f77-a1d5-fb89ccfa78ac,55.47496,-116.00018,13.20638,5.33202,0.66471,-13.23749,-1.58601,5.05095,1.64576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.49,1.954987,0.728474,1.226514,-0.6044,2.18909,1.43792,-1.05389,5.93881,1.74644,127.28408,2.09007,-1.39927,-0.94827,115.96297,-9.39307,5.96328,12.01277,-12.3922,1.69321,-6.76989,3.50756,High,High,High,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2026-02-18,13:41:29.15,3,4,"Hinchliffe, Jackson",1000187241,Right,RIC_SPI,"Schmidly, Ike",1000182451,Right,JMU_DUK,Undefined,1,Top,1,2,1,Fastball,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,88.69786,-0.272622,-1.855411,1951.625928,243.326418,2:00,5.56608,1.28657,5.20303,-26.99273,9.97855,17.20162,3.06014,0.97438,79.93259,-5.273953,1.192786,0.437627,,,,,,,,,,,,-9.19571,5.4428,-1.12843,50,5.52092,3.3733,-128.49518,-1.6044,-15.1423,30.37588,-23.21153,RIC_SPI,JMU_DUK,PittFieldUOR,D1,A10,20260218-PittFieldUOR-1,7061be80-0cf9-11f1-be5a-41109de4155f,86.12921,,,8.76527,,,,,,,4b62fdd8-34e7-4e60-adbf-f0d068da7058,2026-02-18,18:41:29.15,2026-02-18T13:41:29.1584512-05:00,2026-02-18T18:41:29.1584512Z,,v3,471420,471327,7950837122ef44afaba819a35823fbad,"Rickabaugh, RJ",1000092128,Left,RIC_SPI,e3bef3e0-9c17-43f3-a42d-1ae7589b94b7,55.29529,-129.74093,15.18794,5.56719,-0.65246,-11.60576,-1.27951,3.9943,-7.57115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
