PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallZAmb4,BatSpeed,VerticalAttackAngle,HorizontalAttackAngle
1,2026-02-20,16:06:24.94,1,1,"Chapman, Noah",10087648,Left,UNC_SPA,"Spinosa, JC",1000309801,Right,CAN_GRI,Undefined,1,Top,0,0,0,Fastball,Sinker,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,91.63105,-1.05414,3.697102,2464.714634,137.223548,10:30,5.65591,-2.38269,5.74031,-18.57296,15.23095,-13.01871,3.12443,-0.02017,83.02375,-4.568692,1.373621,0.418461,,,,,,,,,,,,7.72398,8.40213,2.08265,50,5.55678,-7.99524,-132.72445,-3.04229,13.67712,30.34749,-17.29613,UNC_SPA,CAN_GRI,UNCGreensboro,D1,SOCON,20260220-UNCGreensboro-1,0434a030-0ea0-11f1-a91e-e990043936df,90.07399,,,8.6073,,,,,,,acc28982-cfa3-4665-b909-905359dfd063,2026-02-20,21:06:24.94,2026-02-20T16:06:24.9495552-05:00,2026-02-20T21:06:24.9495552Z,,v3,471372,471265,0784689f67bd44fcb3a030fe8d51081a,"Parsons, JJ",1000088589,Right,UNC_SPA,912ef172-aee4-4317-a978-b63562b9bc6a,54.75972,-133.80833,15.17375,5.65441,-2.42454,-8.64806,2.37694,-8.48373,6.83856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2026-02-20,16:06:39.95,1,2,"Chapman, Noah",10087648,Left,UNC_SPA,"Spinosa, JC",1000309801,Right,CAN_GRI,Undefined,1,Top,0,0,1,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,93.1255,-0.140555,3.372231,2506.423877,109.131896,9:45,5.56828,-2.77468,5.62932,-23.67171,9.53985,-23.88316,3.46426,-1.61466,83.39243,-4.57992,-0.887262,0.414778,,,,,,,,,,,,13.09835,5.23949,2.50232,50,5.54148,-6.80668,-134.79241,-1.18078,23.63103,34.59766,-22.7214,UNC_SPA,CAN_GRI,UNCGreensboro,D1,SOCON,20260220-UNCGreensboro-1,0d241220-0ea0-11f1-a91e-e990043936df,90.87372,,,9.73307,,,,,,,acc28982-cfa3-4665-b909-905359dfd063,2026-02-20,21:06:39.95,2026-02-20T16:06:39.9582720-05:00,2026-02-20T21:06:39.9582720Z,,v3,471372,471265,0784689f67bd44fcb3a030fe8d51081a,"Parsons, JJ",1000088589,Right,UNC_SPA,e6f1ed82-64da-445c-b808-8a1daa5d433d,54.86952,-136.03655,17.29883,5.56925,-0.36372,-11.3607,2.76237,-7.65645,11.81552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2026-02-20,16:06:54.10,1,3,"Chapman, Noah",10087648,Left,UNC_SPA,"Spinosa, JC",1000309801,Right,CAN_GRI,Undefined,1,Top,0,1,1,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,81.89996,-2.080652,2.814352,2510.2904,287.12022,3:30,5.6373,-2.77364,4.92934,-45.54888,-2.03961,11.11989,-0.12857,0.81563,75.48393,-10.231114,4.775676,0.474747,,,,,,,,,,,,-4.81004,-0.19268,2.48932,50,5.39587,-6.28512,-118.6351,-5.99954,-6.81039,24.0786,-32.44684,UNC_SPA,CAN_GRI,UNCGreensboro,D1,SOCON,20260220-UNCGreensboro-1,159aaa90-0ea0-11f1-a91e-e990043936df,79.39477,,,6.41604,,,,,,,acc28982-cfa3-4665-b909-905359dfd063,2026-02-20,21:06:54.10,2026-02-20T16:06:54.1053952-05:00,2026-02-20T21:06:54.1053952Z,,v3,471372,471265,0784689f67bd44fcb3a030fe8d51081a,"Parsons, JJ",1000088589,Right,UNC_SPA,b97dfc24-86ef-48dc-b4de-1a8f8fe4f006,55.57558,-119.76139,12.0393,5.641,-4.48182,-16.22342,2.77586,-5.96656,-3.40519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2026-02-20,16:07:10.20,1,4,"Chapman, Noah",10087648,Left,UNC_SPA,"Spinosa, JC",1000309801,Right,CAN_GRI,Undefined,1,Top,0,2,1,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,92.07584,-1.150588,3.467163,2541.68063,139.670013,10:45,5.67764,-2.49661,5.68975,-15.00576,18.39694,-14.67524,3.35264,-0.48402,83.67007,-4.019287,0.84957,0.41597,,,,,,,,,,,,8.41292,9.98441,2.21383,50,5.57142,-7.4173,-133.43538,-3.13065,15.12044,29.55219,-14.22917,UNC_SPA,CAN_GRI,UNCGreensboro,D1,SOCON,20260220-UNCGreensboro-1,1f343f30-0ea0-11f1-a91e-e990043936df,90.61331,,,8.40577,,,,,,,acc28982-cfa3-4665-b909-905359dfd063,2026-02-20,21:07:10.20,2026-02-20T16:07:10.2082560-05:00,2026-02-20T21:07:10.2082560Z,,v3,471372,471265,0784689f67bd44fcb3a030fe8d51081a,"Parsons, JJ",1000088589,Right,UNC_SPA,51339703-6487-47d3-883e-4ae661e433a6,54.8103,-134.4965,14.77609,5.67466,-2.61973,-7.11458,2.48991,-7.96023,7.56022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2026-02-20,16:07:30.63,1,5,"Chapman, Noah",10087648,Left,UNC_SPA,"Spinosa, JC",1000309801,Right,CAN_GRI,Undefined,1,Top,0,2,2,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,92.07736,-1.741771,3.715627,2527.46093,136.687847,10:30,5.52578,-2.43366,5.57986,-16.08225,17.83662,-15.6428,2.5549,-0.26207,82.88013,-4.816032,0.931854,0.419172,78.09232,19.582589,78.34985,3292.429462,14.52517,22.46309,109.03671,202.02498,78.14568,85.693597,2.310708,9.09414,9.92867,2.12412,50,5.36549,-7.93362,-133.2108,-4.55526,16.11224,32.35561,-14.58328,UNC_SPA,CAN_GRI,UNCGreensboro,D1,SOCON,20260220-UNCGreensboro-1,2b5e42b0-0ea0-11f1-a91e-e990043936df,89.92122,22.50969,,9.19722,,,,0.25334,2.20419,0.25492,acc28982-cfa3-4665-b909-905359dfd063,2026-02-20,21:07:30.63,2026-02-20T16:07:30.6395136-05:00,2026-02-20T21:07:30.6395136Z,LineDrive,v3,471372,471265,0784689f67bd44fcb3a030fe8d51081a,"Parsons, JJ",1000088589,Right,UNC_SPA,7a4d9fb2-48af-414f-a46f-b8e66dfa245d,54.91971,-134.40044,16.17781,5.52312,-4.01907,-7.29164,2.42671,-8.52603,8.05612,,0.25338,21.7899,-10.44861,2.56384,-0.79456,0.42339,-0.19842,0.05145,-0.00543,2.20415,38.38905,-19.57829,1.54882,-0.07653,-0.23485,0.15513,-0.04347,0.00473,0.25494,105.68697,-12.23517,2.64034,-0.5531,0.15775,-0.05477,0.01279,-0.00128,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2026-02-20,16:07:50.91,1,6,"Chapman, Noah",10087648,Left,UNC_SPA,"Spinosa, JC",1000309801,Right,CAN_GRI,Undefined,1,Top,0,2,2,Slider,Slider,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,82.58998,-0.397499,1.502137,2428.166755,285.585448,3:30,5.65557,-2.60718,4.93546,-43.33061,-0.5976,7.20221,1.66884,-0.58682,75.50334,-8.227816,2.77342,0.470493,,,,,,,,,,,,-3.12854,0.20689,2.45468,50,5.58085,-3.45179,-119.73515,-2.47292,-4.50946,24.65479,-31.87584,UNC_SPA,CAN_GRI,UNCGreensboro,D1,SOCON,20260220-UNCGreensboro-1,37795210-0ea0-11f1-a91e-e990043936df,80.11267,,,7.08665,,,,,,,acc28982-cfa3-4665-b909-905359dfd063,2026-02-20,21:07:50.91,2026-02-20T16:07:50.9100000-05:00,2026-02-20T21:07:50.9100000Z,,v3,471372,471265,0784689f67bd44fcb3a030fe8d51081a,"Parsons, JJ",1000088589,Right,UNC_SPA,bf9878fe-ed87-40c4-8a0f-32ec86deac54,55.56614,-120.87585,12.3274,5.66114,-0.99813,-15.93792,2.60956,-3.24315,-2.25473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.19927,,,0.924487,,,,3.11351,5.39846,2.62913,75.20671,5.06615,-49.57594,3.0937,78.38722,-0.28878,5.4057,12.15731,-13.60142,2.58825,-69.7913,14.73486,High,High,High,,,High,Low,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2026-02-20,16:08:13.48,2,1,"Chapman, Noah",10087648,Left,UNC_SPA,"Cox, Bennett",10275343,Right,CAN_GRI,Undefined,1,Top,1,0,0,ChangeUp,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,84.44518,-0.513209,3.829532,1891.118198,120.154408,10:00,5.67895,-2.48415,5.2575,-28.59482,12.2441,-18.48875,2.81275,-0.4213,76.05246,-5.82251,0.557674,0.459948,,,,,,,,,,,,10.44926,6.70855,2.14693,50,5.61117,-7.36442,-122.12484,-2.07952,15.55065,27.32615,-22.19035,UNC_SPA,CAN_GRI,UNCGreensboro,D1,SOCON,20260220-UNCGreensboro-1,44f10b40-0ea0-11f1-a91e-e990043936df,81.94937,,,8.39271,,,,,,,acc28982-cfa3-4665-b909-905359dfd063,2026-02-20,21:08:13.48,2026-02-20T16:08:13.4800384-05:00,2026-02-20T21:08:13.4800384Z,,v3,471372,471265,0784689f67bd44fcb3a030fe8d51081a,"Parsons, JJ",1000088589,Right,UNC_SPA,5f35ca8b-dacb-43ad-aca1-40627af9b9bd,55.24177,-123.29214,13.66307,5.67975,-1.13161,-11.09518,2.4757,-8.0287,7.77533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2026-02-20,16:08:23.02,2,2,"Chapman, Noah",10087648,Left,UNC_SPA,"Cox, Bennett",10275343,Right,CAN_GRI,Undefined,1,Top,1,0,1,Fastball,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,92.46786,-1.009814,3.497763,2457.89658,128.087675,10:15,5.5117,-2.60354,5.54873,-20.24702,13.3778,-15.51521,2.87891,-0.6237,83.2953,-4.820659,0.736735,0.417351,82.71179,40.085093,36.2807,4448.337793,83.08059,71.15,72.09449,293.89673,217.88076,47.907333,4.568321,8.94658,7.42563,2.31096,50,5.41105,-7.46422,-133.84796,-3.05913,16.00884,32.56609,-18.88673,UNC_SPA,CAN_GRI,UNCGreensboro,D1,SOCON,20260220-UNCGreensboro-1,4a9808f0-0ea0-11f1-a91e-e990043936df,90.31353,80.59569,,9.17256,,,,0.85353,2.59258,0.62187,acc28982-cfa3-4665-b909-905359dfd063,2026-02-20,21:08:23.02,2026-02-20T16:08:23.0257664-05:00,2026-02-20T21:08:23.0257664Z,FlyBall,v3,471372,471265,0784689f67bd44fcb3a030fe8d51081a,"Parsons, JJ",1000088589,Right,UNC_SPA,3409055c-61ea-4e3f-a46e-8d196337d01a,54.9509,-135.04717,16.28305,5.51089,-2.36365,-9.44336,2.59667,-8.05373,8.00442,,0.85234,74.84574,-14.18813,3.41871,-0.97318,0.32122,-0.0862,0.0129,-0.00075,2.59175,78.13389,-23.08919,2.5293,-0.59369,0.13148,-0.02359,0.00321,-0.00021,0.62172,54.93168,-2.11196,0.20081,-0.13016,0.08435,-0.02973,0.00534,-0.00038,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2026-02-20,16:08:56.26,2,3,"Chapman, Noah",10087648,Left,UNC_SPA,"Cox, Bennett",10275343,Right,CAN_GRI,Undefined,1,Top,1,0,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,93.64648,-3.268333,4.922585,2558.334991,140.418792,10:45,5.5675,-2.51191,5.61985,-11.82028,20.7784,-16.24765,1.51762,0.73957,85.02178,-5.559675,2.036973,0.410933,,,,,,,,,,,,9.83497,11.90583,2.10218,50,5.28031,-10.94092,-135.3128,-8.09749,18.14197,30.92224,-10.21208,UNC_SPA,CAN_GRI,UNCGreensboro,D1,SOCON,20260220-UNCGreensboro-1,5e60bb70-0ea0-11f1-a91e-e990043936df,91.72395,,,8.6247,,,,,,,acc28982-cfa3-4665-b909-905359dfd063,2026-02-20,21:08:56.26,2026-02-20T16:08:56.2698240-05:00,2026-02-20T21:08:56.2698240Z,,v3,471372,471265,0784689f67bd44fcb3a030fe8d51081a,"Parsons, JJ",1000088589,Right,UNC_SPA,84349aab-38c8-4f8b-b904-f01fb69cb231,54.88385,-136.42431,15.46112,5.56478,-7.73041,-5.10604,2.50717,-11.59304,9.07098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2026-02-20,16:09:08.62,2,4,"Chapman, Noah",10087648,Left,UNC_SPA,"Cox, Bennett",10275343,Right,CAN_GRI,Undefined,1,Top,1,1,2,Fastball,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,92.63205,-1.360194,3.924107,2558.270276,129.667897,10:15,5.55544,-2.58368,5.56604,-17.68899,15.49643,-17.35151,2.80742,-0.35796,84.2128,-4.696214,0.837582,0.414615,70.89585,37.905916,161.078374,3344.24171,-104.10262,40.65437,35.53368,183.85906,62.76951,161.517882,2.795676,9.92611,8.55689,2.2565,50,5.42643,-8.41399,-134.17021,-3.78275,18.03441,29.91938,-16.62735,UNC_SPA,CAN_GRI,UNCGreensboro,D1,SOCON,20260220-UNCGreensboro-1,65c63200-0ea0-11f1-a91e-e990043936df,90.90948,41.50478,,8.41925,,,,1.39785,2.97478,0.38224,acc28982-cfa3-4665-b909-905359dfd063,2026-02-20,21:09:08.62,2026-02-20T16:09:08.6258688-05:00,2026-02-20T21:09:08.6258688Z,FlyBall,v3,471372,471265,0784689f67bd44fcb3a030fe8d51081a,"Parsons, JJ",1000088589,Right,UNC_SPA,1c990b58-e02f-4f9e-992f-7a97a2461f99,54.93561,-135.26635,14.95969,5.55386,-3.17358,-8.31367,2.57686,-9.07471,9.01721,356.244689,1.39819,-77.62612,4.171,0.35482,0.39224,-0.45643,0.22562,-0.05292,0.00477,2.97499,63.87254,-30.42485,3.89618,-0.70025,0.13632,-0.04432,0.01316,-0.00155,0.38216,26.60883,-2.14771,0.09919,-0.16062,0.15186,-0.07467,0.01778,-0.00163,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
