PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallZAmb4,BatSpeed,VerticalAttackAngle,HorizontalAttackAngle
1,2026-02-20,18:31:38.41,1,1,"Estridge, Gaines",823322,Right,AIR_FOR,"Loudon, John",1000444437,Right,NAV_MID,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.25363,-1.184078,-1.020813,2238.910678,202.28493,12:45,6.50668,0.55686,6.0692,-15.7515,18.5697,7.12906,4.09801,0.20621,81.79329,-4.217885,0.262908,0.421651,,,,,,,,,,,,-3.95406,10.24678,-0.48138,50,6.40644,2.02808,-130.99564,-3.13057,-6.81306,29.83519,-14.51822,AIR_FOR,NAV_MID,UofSouthCarolina,D1,PAT,20260220-UofSouthCarolina-2,4dee96e0-0eb4-11f1-9d4d-0d674af58107,89.39257,,,8.46034,,,,,,,dd259b86-5091-44d9-9635-a57d4f7600b2,2026-02-20,23:31:38.41,2026-02-20T18:31:38.4137216-05:00,2026-02-20T23:31:38.4137216Z,,v3,471472,471474,,"Zapp, Walker",823311,Right,AIR_FOR,b7bbf6e9-742a-42ac-84b0-61e11cc4b321,54.4259,-131.99982,14.9176,6.50358,-2.64193,-7.25911,-0.5535,2.25739,-3.40653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2026-02-20,18:31:55.35,1,2,"Estridge, Gaines",823322,Right,AIR_FOR,"Loudon, John",1000444437,Right,NAV_MID,Undefined,1,Top,0,1,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.19765,-1.490451,-1.599597,2227.197189,199.207576,12:45,6.44397,0.5654,6.03629,-16.27741,18.04532,5.88776,3.70659,-0.42549,82.01485,-4.608183,-0.540379,0.42166,,,,,,,,,,,,-3.47969,10.04623,-0.44362,50,6.31873,3.40367,-130.90546,-3.85976,-6.00749,28.93836,-14.82976,AIR_FOR,NAV_MID,UofSouthCarolina,D1,PAT,20260220-UofSouthCarolina-2,580c0180-0eb4-11f1-9d4d-0d674af58107,89.39061,,,8.1828,,,,,,,dd259b86-5091-44d9-9635-a57d4f7600b2,2026-02-20,23:31:55.35,2026-02-20T18:31:55.3551872-05:00,2026-02-20T23:31:55.3551872Z,,v3,471472,471474,,"Zapp, Walker",823311,Right,AIR_FOR,303a3be6-b61b-4e58-8129-e512700a329e,54.4594,-131.88759,14.46918,6.44118,-3.35646,-7.41488,-0.5626,3.60756,-3.00374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2026-02-20,18:32:13.37,1,3,"Estridge, Gaines",823322,Right,AIR_FOR,"Loudon, John",1000444437,Right,NAV_MID,Undefined,1,Top,0,2,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.97755,-2.319734,-1.364162,2200.687581,185.724795,12:15,6.46932,0.42882,6.15046,-17.02324,16.6643,1.55543,2.90561,-0.70222,82.65815,-5.570374,-1.083651,0.41774,,,,,,,,,,,,-1.20528,9.62977,-0.32584,50,6.28394,3.07621,-131.9749,-5.82705,-2.11024,29.99518,-15.31372,AIR_FOR,NAV_MID,UofSouthCarolina,D1,PAT,20260220-UofSouthCarolina-2,62c97cb0-0eb4-11f1-9d4d-0d674af58107,90.22943,,,8.31939,,,,,,,dd259b86-5091-44d9-9635-a57d4f7600b2,2026-02-20,23:32:13.37,2026-02-20T18:32:13.3761024-05:00,2026-02-20T23:32:13.3761024Z,,v3,471472,471474,,"Zapp, Walker",823311,Right,AIR_FOR,4c7168f3-6611-4f5e-af35-d9b1f6092ebc,54.34449,-132.95864,14.99759,6.46681,-5.32481,-7.65686,-0.42786,3.14542,-1.05512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2026-02-20,18:32:32.37,1,4,"Estridge, Gaines",823322,Right,AIR_FOR,"Loudon, John",1000444437,Right,NAV_MID,Undefined,1,Top,0,2,1,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,90.73665,-2.304472,-1.577021,2198.140791,205.105475,12:45,6.45561,0.29073,6.00837,-15.9369,18.168,7.95729,2.99062,-0.50754,82.26254,-5.360136,-0.145977,0.42032,66.81546,57.109099,140.262975,5237.909725,-93.50134,67.98723,57.94356,171.73397,54.67973,148.503768,3.917927,-4.57756,10.39776,-0.17125,50,6.2659,3.28543,-131.59902,-5.74547,-7.95172,30.38764,-14.11193,AIR_FOR,NAV_MID,UofSouthCarolina,D1,PAT,20260220-UofSouthCarolina-2,6e15ca60-0eb4-11f1-9d4d-0d674af58107,89.67564,72.38197,,8.47412,,,,0.74272,2.98425,0.51713,dd259b86-5091-44d9-9635-a57d4f7600b2,2026-02-20,23:32:32.37,2026-02-20T18:32:32.3790336-05:00,2026-02-20T23:32:32.3790336Z,Popup,v3,471472,471474,,"Zapp, Walker",823311,Right,AIR_FOR,c32429aa-5e39-42a6-9e3f-47251b534929,54.48836,-132.63138,15.19382,6.45295,-5.26605,-7.05596,-0.28746,3.55557,-3.97586,331.701932,0.74434,-40.97146,-1.87243,1.29731,0.12938,-0.3273,0.13169,-0.02272,0.00147,2.98465,82.28008,-29.33423,3.79091,-0.74983,0.17596,-0.05283,0.01039,-0.00081,0.5178,34.00394,-7.74914,2.47959,-0.53098,0.10159,-0.02638,0.00557,-0.00048,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2026-02-20,18:32:57.03,1,5,"Estridge, Gaines",823322,Right,AIR_FOR,"Loudon, John",1000444437,Right,NAV_MID,Undefined,1,Top,0,2,2,Slider,Slider,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,87.36662,-1.104303,-2.223837,2293.276154,86.341744,9:00,6.30427,0.61554,5.94061,-35.74014,1.17579,-1.29028,2.30066,-1.55589,79.52044,-7.701179,-2.455733,0.437299,,,,,,,,,,,,-0.02949,1.35264,-0.43755,50,6.19643,4.9748,-126.71789,-3.6862,-0.04741,28.49502,-29.99835,AIR_FOR,NAV_MID,UofSouthCarolina,D1,PAT,20260220-UofSouthCarolina-2,7ceb8cf0-0eb4-11f1-9d4d-0d674af58107,86.19383,,,7.84617,,,,,,,dd259b86-5091-44d9-9635-a57d4f7600b2,2026-02-20,23:32:57.03,2026-02-20T18:32:57.0310000-05:00,2026-02-20T23:32:57.0310000Z,,v3,471472,471474,,"Zapp, Walker",823311,Right,AIR_FOR,575e899e-d6e3-4299-96ef-27098174d455,54.55572,-127.73823,14.24751,6.3092,-2.61204,-14.99918,-0.61572,4.9765,-0.02371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.46781,2.652527,1.67511,0.977417,-1.50159,1.89534,1.68137,-2.67138,4.99846,5.77332,71.10308,6.01454,53.66847,-2.60719,84.65914,-9.51471,5.03304,15.59332,-14.95742,5.76682,50.15745,-1.17022,High,High,High,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2026-02-20,18:33:30.45,2,1,"Estridge, Gaines",823322,Right,AIR_FOR,"Klug, Christian",1000180729,Right,NAV_MID,Undefined,1,Top,1,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,91.22128,-3.165618,-1.690977,2307.070124,196.517585,12:30,6.38809,0.35742,5.99975,-14.43241,19.40257,5.39961,2.2479,-0.7599,82.66312,-5.945394,-0.720248,0.418653,,,,,,,,,,,,-3.27343,11.26595,-0.22723,50,6.13076,3.66589,-132.16013,-7.69417,-5.73378,30.69901,-12.44056,AIR_FOR,NAV_MID,UofSouthCarolina,D1,PAT,20260220-UofSouthCarolina-2,90baf630-0eb4-11f1-9d4d-0d674af58107,90.03257,,,8.55816,,,,,,,dd259b86-5091-44d9-9635-a57d4f7600b2,2026-02-20,23:33:30.45,2026-02-20T18:33:30.4540672-05:00,2026-02-20T23:33:30.4540672Z,,v3,471472,471474,,"Zapp, Walker",823311,Right,AIR_FOR,d251870b-e9ee-4b05-9c2a-af14f604bc5b,54.49531,-133.20024,15.34951,6.38431,-7.27267,-6.22028,-0.35472,3.86015,-2.86689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2026-02-20,18:33:49.06,2,2,"Estridge, Gaines",823322,Right,AIR_FOR,"Klug, Christian",1000180729,Right,NAV_MID,Undefined,1,Top,1,0,1,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,84.85701,-1.944653,-2.572489,2231.262959,119.423281,10:00,6.28322,0.63302,5.75979,-37.2651,2.27701,-1.59228,1.36524,-1.89568,77.24643,-8.787729,-2.857711,0.452586,,,,,,,,,,,,-0.0048,2.22976,-0.41885,50,6.09973,5.58928,-122.92213,-5.46716,-0.00727,27.23983,-28.80555,AIR_FOR,NAV_MID,UofSouthCarolina,D1,PAT,20260220-UofSouthCarolina-2,9bd8b9d0-0eb4-11f1-9d4d-0d674af58107,83.28233,,,7.61058,,,,,,,dd259b86-5091-44d9-9635-a57d4f7600b2,2026-02-20,23:33:49.06,2026-02-20T18:33:49.0632704-05:00,2026-02-20T23:33:49.0632704Z,,v3,471472,471474,,"Zapp, Walker",823311,Right,AIR_FOR,78a13de0-5c97-4e5c-9403-1c923379cc09,54.73557,-123.9671,13.61992,6.28826,-4.36213,-14.40278,-0.63326,5.58956,-0.00363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2026-02-20,18:34:09.12,2,3,"Estridge, Gaines",823322,Right,AIR_FOR,"Klug, Christian",1000180729,Right,NAV_MID,Undefined,1,Top,1,1,1,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,91.02995,-1.052545,-0.571469,2322.706888,183.491155,12:00,6.41941,0.5666,5.87189,-13.27233,20.90474,1.20043,4.3356,0.13583,81.99039,-3.643715,-0.356125,0.420764,,,,,,,,,,,,-0.78913,11.3302,-0.52105,50,6.32655,1.26272,-132.00588,-2.75253,-1.3733,31.71008,-12.45694,AIR_FOR,NAV_MID,UofSouthCarolina,D1,PAT,20260220-UofSouthCarolina-2,a7ca9650-0eb4-11f1-9d4d-0d674af58107,89.58089,,,9.03957,,,,,,,dd259b86-5091-44d9-9635-a57d4f7600b2,2026-02-20,23:34:09.12,2026-02-20T18:34:09.1234304-05:00,2026-02-20T23:34:09.1234304Z,,v3,471472,471474,,"Zapp, Walker",823311,Right,AIR_FOR,75c46f69-6286-4638-9cfe-3ed796ab1ce5,54.62158,-133.11143,15.85504,6.41494,-2.31823,-6.22847,-0.56591,1.3106,-0.68665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2026-02-20,18:34:31.01,2,4,"Estridge, Gaines",823322,Right,AIR_FOR,"Klug, Christian",1000180729,Right,NAV_MID,Undefined,1,Top,1,1,2,Cutter,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,87.04292,-2.604887,-2.445591,2411.849955,162.309857,11:30,6.28403,0.62083,5.88344,-33.07006,3.96181,-0.88937,1.10538,-1.72568,80.0234,-8.675668,-2.605294,0.437985,,,,,,,,,,,,-0.23787,3.15311,-0.42291,50,6.05467,5.4274,-126.21255,-6.88669,-0.38307,26.06768,-27.09605,AIR_FOR,NAV_MID,UofSouthCarolina,D1,PAT,20260220-UofSouthCarolina-2,b4d64740-0eb4-11f1-9d4d-0d674af58107,86.05877,,,7.01952,,,,,,,dd259b86-5091-44d9-9635-a57d4f7600b2,2026-02-20,23:34:31.01,2026-02-20T18:34:31.0196736-05:00,2026-02-20T23:34:31.0196736Z,,v3,471472,471474,,"Zapp, Walker",823311,Right,AIR_FOR,96255b40-d755-483a-93d5-24eaa1c0e03b,54.61362,-127.16187,13.03384,6.2875,-5.89992,-13.54802,-0.62081,5.44135,-0.19153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2026-02-20,18:34:50.66,2,5,"Estridge, Gaines",823322,Right,AIR_FOR,"Klug, Christian",1000180729,Right,NAV_MID,Undefined,1,Top,1,2,2,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,91.86837,-1.859499,-0.317506,2318.424226,203.645347,12:45,6.40427,0.32528,5.93312,-15.59615,17.8828,7.3037,3.37881,0.63935,82.90316,-4.857518,0.994682,0.416445,63.1712,40.169153,156.779222,4276.407184,-105.52571,39.95014,31.05341,165.78087,54.1563,166.207511,2.97569,-3.85433,10.11847,-0.3041,50,6.24718,0.42112,-133.24781,-4.7722,-6.83018,32.46544,-14.24337,AIR_FOR,NAV_MID,UofSouthCarolina,D1,PAT,20260220-UofSouthCarolina-2,c082dd60-0eb4-11f1-9d4d-0d674af58107,90.51007,42.90269,,8.96521,,,,1.14521,3.42199,-0.61778,dd259b86-5091-44d9-9635-a57d4f7600b2,2026-02-20,23:34:50.66,2026-02-20T18:34:50.6617344-05:00,2026-02-20T23:34:50.6617344Z,FlyBall,v3,471472,471474,,"Zapp, Walker",823311,Right,AIR_FOR,9c4e230f-1962-4d08-86c2-fe261c81e2bf,54.56315,-134.35501,16.23272,6.40165,-4.28645,-7.12168,-0.32244,0.65406,-3.41509,315.197151,1.14554,-65.07862,2.74,0.21782,0.29534,-0.33491,0.1591,-0.03463,0.00286,3.42214,59.75848,-25.52539,2.70968,-0.50911,0.10168,-0.0345,0.00957,-0.00102,-0.61766,27.91008,-8.12126,1.87948,-0.4734,0.19167,-0.09009,0.02351,-0.0023,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
