player_name,display_name,active,notes,id,pitcher,date,rel_speed,horz_break,induced_vert_break,original_pitch_type,new_pitch_type,new_pitcher,modified_at,pitch_key,created_at,PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallZAmb4,PitchSession,Flag,CalibrationId,EffVelocity,PracticeType,Device,HitType,BatSpeed,VerticalAttackAngle,HorizontalAttackAngle,session_id,play_id,camera_slot,camera_name,camera_target,video_type,azure_blob,azure_md5,cloudinary_url,cloudinary_public_id,uploaded_at
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2026-02-21,17:32:11,1,1,"King, Aidan",827404,Right,FLA_GAT,"Lyons, Trenton",806150,Left,KEN_OWL,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,91.86685,-2.100068,-2.713854,2139.233167,224.936547,01:30:00,5.46345,1.53447,6.22668,-17.0008,15.85434,14.73131,2.10608,0.25631,83.66903,-5.345428,-0.055641,0.412547,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.38839,9.14327,-1.33849,50,5.29774,5.69598,-133.28314,-5.3781,-15.03085,29.68285,-15.7906,FLA_GAT,KEN_OWL,CondronBallpark,D1,SEC,20260221-CondronBallpark-1,29cbac00-0f75-11f1-9801-c9372e98626d,91.36528,NA,NA,8.19782,NA,NA,NA,NA,NA,NA,955ea978-563b-4a33-a47e-19066f0e1186,2026-02-21,22:32:11,2026-02-21T22:32:11Z,2026-02-21T22:32:11Z,NA,v3,471297,471506,15dd647eb05b46198615ee482a2aefff,"Bowen, Karson",702710,Right,FLA_GAT,65afa0fc-977b-43ca-aa0c-ad6bfa47357f,54.27127,-134.23101,14.84143,5.46143,-4.87386,-7.8953,-1.52804,6.17596,-7.51543,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,223.290335,7.533506,2120.768081,0.991368,01:30:00,-0.140155,-0.684125,-0.715772,-36.726932,-13.014784,-29.95672,-0.084748,176.901956,-0.994946,-3.086888,0.994946,-0.05385,0.084748,4.868642,-4.861561,0.05385,-0.05385,-176.901956,4.861561,0.084748,3.086888,-4.868642,-0.084748,0.05385,0.994946,-0.994946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2026-02-21,17:32:25,1,2,"King, Aidan",827404,Right,FLA_GAT,"Lyons, Trenton",806150,Left,KEN_OWL,Undefined,1,Top,0,0,1,Splitter,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,84.55216,0.369127,-3.930626,1802.584496,231.115569,01:45:00,5.12971,1.56413,6.1486,-25.43005,13.70304,15.32044,3.35242,-0.79677,76.52012,-4.441899,-1.176404,0.450239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9.03504,7.35819,-1.27204,50,5.14482,7.8048,-122.50827,0.05375,-13.61539,26.10432,-21.0856,FLA_GAT,KEN_OWL,CondronBallpark,D1,SEC,20260221-CondronBallpark-1,3280ad00-0f75-11f1-9801-c9372e98626d,83.71643,NA,NA,8.03205,NA,NA,NA,NA,NA,NA,955ea978-563b-4a33-a47e-19066f0e1186,2026-02-21,22:32:25,2026-02-21T22:32:25Z,2026-02-21T22:32:25Z,NA,v3,471297,471506,15dd647eb05b46198615ee482a2aefff,"Bowen, Karson",702710,Right,FLA_GAT,b5cbb0c3-5dd5-4fae-8d3e-7176f37124f2,54.34777,-123.43123,13.05216,5.12973,0.79926,-10.5428,-1.5565,8.28619,-6.80769,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,246.499638,-12.36583,1760.764841,0.9768,02:15:00,0.181187,-0.897143,-0.402872,25.69946,-2.830986,-2.079852,-0.193847,90.824864,-0.014123,-78.792599,0.014123,-0.98093,0.193847,85.832995,-11.177392,0.98093,-0.98093,-90.824864,11.177392,0.193847,78.792599,-85.832995,-0.193847,0.98093,0.014123,-0.014123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2026-02-21,17:32:39,1,3,"King, Aidan",827404,Right,FLA_GAT,"Lyons, Trenton",806150,Left,KEN_OWL,Undefined,1,Top,0,1,1,Splitter,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,85.46092,-0.553587,-3.645044,1786.151912,229.918273,01:45:00,5.13581,1.83918,6.26632,-25.22135,12.69016,13.60032,2.52261,-0.39253,77.87067,-5.312272,-1.192573,0.443156,101.47757,1.982379,49.726798,5081.074604,NA,NA,NA,78.52715,75.54676,51.190179,0.564771,-8.1876,7.11957,-1.57579,50,5.08239,7.38849,-123.99369,-1.93328,-12.69211,25.7827,-21.13754,FLA_GAT,KEN_OWL,CondronBallpark,D1,SEC,20260221-CondronBallpark-1,3abd70c0-0f75-11f1-9801-c9372e98626d,85.0545,3.23031,NA,7.59025,NA,NA,NA,3.19498,2.88337,0.38768,955ea978-563b-4a33-a47e-19066f0e1186,2026-02-21,22:32:39,2026-02-21T22:32:39Z,2026-02-21T22:32:39Z,GroundBall,v3,471297,471506,15dd647eb05b46198615ee482a2aefff,"Bowen, Karson",702710,Right,FLA_GAT,a547b28b-09e4-469e-9b54-c54f0c03ebd0,54.23351,-124.87089,12.89135,5.13593,-1.21413,-10.56877,-1.83451,7.82032,-6.34606,NA,3.19498,96.15332,-29.27654,6.65633,-1.60529,0.36974,-0.08671,0.01916,-0.00281,2.88337,5.14847,-19.43571,2.55688,-0.58979,0.1519,-0.03707,0.00859,-0.00132,0.38768,113.48766,-10.28553,-0.24334,0.40984,-0.17526,0.0482,-0.00571,-0.00164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA,247.372248,-16.292691,1714.421994,0.95984100000000006,02:15:00,0.265028,-0.883204,-0.386924,23.855557,30.446031,-73.596063,0.991003,154.121315,-0.12042,3.348978,0.12042,-0.058417,-0.991003,83.071773,82.308365,0.058417,0.058417,-154.121315,-82.308365,0.991003,-3.348978,-83.071773,-0.991003,-0.058417,0.12042,-0.12042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2026-02-21,17:32:59,1,4,"King, Aidan",827404,Right,FLA_GAT,"Lyons, Trenton",806150,Left,KEN_OWL,Undefined,1,Top,0,1,2,Splitter,Changeup,BallinDirt,Undefined,Undefined,Undefined,0,0,NA,84.27537,-2.310417,-3.032309,2146.305085,295.890171,03:45:00,5.56241,1.09615,6.13741,-42.65994,-2.67331,8.64993,-0.13201,-0.98809,76.09121,-10.179772,-1.469726,0.455123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5.58229,-0.19193,-0.8692,50,5.36398,6.13309,-122.02099,-6.31477,-8.19857,29.79763,-32.45591,FLA_GAT,KEN_OWL,CondronBallpark,D1,SEC,20260221-CondronBallpark-1,4644f2b0-0f75-11f1-9801-c9372e98626d,82.81812,NA,NA,8.18416,NA,NA,NA,NA,NA,NA,955ea978-563b-4a33-a47e-19066f0e1186,2026-02-21,22:32:59,2026-02-21T22:32:59Z,2026-02-21T22:32:59Z,NA,v3,471297,471506,15dd647eb05b46198615ee482a2aefff,"Bowen, Karson",702710,Right,FLA_GAT,0d9d8dfd-02f5-4c73-a48d-c487ee94854e,54.36109,-123.08137,14.89882,5.56815,-5.1598,-16.22796,-1.09265,6.42485,-4.09929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,269.42786,-41.765038,1600.891584,0.745883,03:00:00,0.694236,-0.718387,-0.044234,-35.945323,-43.603483,-65.588692,0.671057,118.581129,-0.35469,40.621448,0.35469,-0.651058,-0.671057,62.141097,42.148707,0.651058,0.651058,-118.581129,-42.148707,0.671057,-40.621448,-62.141097,-0.671057,-0.651058,0.35469,-0.35469,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2026-02-21,17:33:17,1,5,"King, Aidan",827404,Right,FLA_GAT,"Lyons, Trenton",806150,Left,KEN_OWL,Undefined,1,Top,0,2,2,Splitter,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,83.14456,-1.179433,-2.778464,1598.436203,271.798004,03:00:00,5.65801,1.06013,6.13053,-39.88105,1.1774,13.19032,1.24299,-0.41087,74.72007,-8.594907,-0.398053,0.461182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.74886,1.52315,-0.85419,50,5.5478,5.32358,-120.42797,-3.76021,-11.08907,28.95391,-29.99436,FLA_GAT,KEN_OWL,CondronBallpark,D1,SEC,20260221-CondronBallpark-1,50f04570-0f75-11f1-9801-c9372e98626d,81.73001,NA,NA,8.42449,NA,NA,NA,NA,NA,NA,955ea978-563b-4a33-a47e-19066f0e1186,2026-02-21,22:33:17,2026-02-21T22:33:17Z,2026-02-21T22:33:17Z,NA,v3,471297,471506,15dd647eb05b46198615ee482a2aefff,"Bowen, Karson",702710,Right,FLA_GAT,a3807284-716d-489c-ade2-f3b1b5328ac2,54.36527,-121.47296,14.47696,5.66398,-2.67767,-14.99718,-1.05355,5.7238,-5.54454,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,264.996688,-48.603139,1056.999143,0.661271,02:45:00,0.759855,-0.643171,-0.094616,-20.670153,-44.343737,-80.290716,0.811121,125.002206,-0.335491,28.626049,0.335491,-0.479091,-0.811121,67.529361,54.205638,0.479091,0.479091,-125.002206,-54.205638,0.811121,-28.626049,-67.529361,-0.811121,-0.479091,0.335491,-0.335491,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2026-02-21,17:33:33,1,6,"King, Aidan",827404,Right,FLA_GAT,"Lyons, Trenton",806150,Left,KEN_OWL,Undefined,1,Top,0,3,2,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,92.12661,-1.661641,-1.729991,2138.976824,220.90055,01:15:00,5.45243,1.35719,6.16137,-15.49938,17.68832,14.24308,2.6247,0.9455,82.67193,-4.666536,0.838838,0.414629,74.7367,9.011485,-171.18647,2089.874189,NA,NA,NA,NA,43.9772,NA,NA,-7.71725,9.9534300000000009,-1.23161,50,5.31788,3.36921,-133.48154,-4.26857,-13.67727,33.46911,-14.53357,FLA_GAT,KEN_OWL,CondronBallpark,D1,SEC,20260221-CondronBallpark-1,5a6d9f80-0f75-11f1-9801-c9372e98626d,90.90634,8.38706,NA,9.45468,NA,NA,NA,3.90302,2.1119,-0.73077,955ea978-563b-4a33-a47e-19066f0e1186,2026-02-21,22:33:33,2026-02-21T22:33:33Z,2026-02-21T22:33:33Z,NA,v3,471297,471506,15dd647eb05b46198615ee482a2aefff,"Bowen, Karson",702710,Right,FLA_GAT,7ac3d277-e158-457a-9650-b16d4d996dea,54.32929,-134.56268,16.73455,5.44818,-3.79909,-7.26679,-1.34758,3.81102,-6.83864,238.732429,3.9058,-107.06582,7.8718,NA,NA,NA,NA,NA,NA,2.10913,17.25058,-7.23034,NA,NA,NA,NA,NA,NA,-0.72422,-16.78019,-15.03865,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Low,Undefined,NA,NA,NA,226.40015,9.613849,2108.936391,0.985956,01:30:00,-0.166693,-0.718546,-0.675208,-37.468701,-3.628605,-31.133741,-0.137663,169.194742,-0.972918,-10.701163,0.972918,-0.185687,0.137663,8.053582,-7.912617,0.185687,-0.185687,-169.194742,7.912617,0.137663,10.701163,-8.053582,-0.137663,0.185687,0.972918,-0.972918,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2026-02-21,17:33:57,1,7,"King, Aidan",827404,Right,FLA_GAT,"Lyons, Trenton",806150,Left,KEN_OWL,Undefined,1,Top,0,3,2,Fastball,Four-Seam,StrikeCalled,Strikeout,Undefined,Undefined,0,0,NA,92.77828,-2.133744,-1.788346,2108.191501,220.556441,01:15:00,5.58628,1.34385,6.00626,-14.99678,17.95245,14.29682,2.35779,0.87784,83.24001,-5.036377,0.782667,0.413137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.87477,10.26229,-1.21074,50,5.41032,3.55191,-134.4083,-5.41743,-14.12705,34.3851,-13.76393,FLA_GAT,KEN_OWL,CondronBallpark,D1,SEC,20260221-CondronBallpark-1,6950cf90-0f75-11f1-9801-c9372e98626d,91.23475,NA,NA,9.53827,NA,NA,NA,NA,NA,NA,955ea978-563b-4a33-a47e-19066f0e1186,2026-02-21,22:33:57,2026-02-21T22:33:57Z,2026-02-21T22:33:57Z,NA,v3,471297,471506,15dd647eb05b46198615ee482a2aefff,"Bowen, Karson",702710,Right,FLA_GAT,ffeadab4-cd2f-4f87-b9b1-f6666d424ac8,54.48849,-135.5517,17.19255,5.58285,-4.95974,-6.88197,-1.33667,4.02167,-7.06352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.8346,2.644762,1.640294,1.004468,-1.364,2.10812,-0.9191,-0.19155,4.82618,-1.76908,82.36345,8.57012,-42.41974,-0.09297,88.95914,-6.79762,4.86191,16.49733,-12.73155,-1.90276,-47.54414,7.12035,High,High,High,NA,NA,High,Medium,High,224.375025,3.775276,2103.616669,0.99783,01:30:00,-0.062054,-0.699802,-0.711637,-35.928338,-1.1165,-19.219267,-0.132014,170.827499,-0.978573,-9.091538,0.978573,-0.158012,0.132014,7.683072,-7.585979,0.158012,-0.158012,-170.827499,7.585979,0.132014,9.091538,-7.683072,-0.132014,0.158012,0.978573,-0.978573,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,2026-02-21,17:34:25,2,1,"King, Aidan",827404,Right,FLA_GAT,"McCollum, Grayson",10110507,Right,KEN_OWL,Undefined,1,Top,1,0,0,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,86.13639,-0.740095,-2.081914,2457.996781,172.916194,11:45:00,5.45238,1.50195,6.0396,-32.64206,5.02548,-0.47004,2.04646,-0.46572,78.58012,-6.800414,-2.166513,0.441728,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.37654,3.20146,-1.33933,50,5.37725,4.56375,-125.01748,-2.69083,-0.59212,26.70953,-27.1397,FLA_GAT,KEN_OWL,CondronBallpark,D1,SEC,20260221-CondronBallpark-1,7a003420-0f75-11f1-9801-c9372e98626d,85.32947,NA,NA,7.55627,NA,NA,NA,NA,NA,NA,955ea978-563b-4a33-a47e-19066f0e1186,2026-02-21,22:34:25,2026-02-21T22:34:25Z,2026-02-21T22:34:25Z,NA,v3,471297,471506,15dd647eb05b46198615ee482a2aefff,"Bowen, Karson",702710,Right,FLA_GAT,f99827ae-3b44-4f46-84d3-358eb210bd4d,54.45745,-125.9662,13.35476,5.45571,-1.72683,-13.56985,-1.5018,4.58478,-0.29606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,194.180147,71.890594,764.025195,0.310832,12:30:00,-0.959723,-0.088416,-0.266672,13.593228,36.1845,-16.844513,0.527156,138.478872,-0.636231,34.284903,0.636231,-0.563308,-0.527156,39.64379,31.813492,0.563308,0.563308,-138.478872,-31.813492,0.527156,-34.284903,-39.64379,-0.527156,-0.563308,0.636231,-0.636231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,2026-02-21,17:34:39,2,2,"King, Aidan",827404,Right,FLA_GAT,"McCollum, Grayson",10110507,Right,KEN_OWL,Undefined,1,Top,1,0,1,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,92.50908,-0.62623,-2.247136,2140.699814,219.26751,01:15:00,5.58837,1.27975,6.1003,-15.58107,17.16426,13.09355,3.71031,0.29156,83.5075,-3.631872,0.110168,0.411857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.37737,9.34749,-1.11319,50,5.53182,4.68428,-134.1865,-1.89609,-13.30006,32.08061,-15.32222,FLA_GAT,KEN_OWL,CondronBallpark,D1,SEC,20260221-CondronBallpark-1,820b87a0-0f75-11f1-9801-c9372e98626d,91.51833,NA,NA,9.00158,NA,NA,NA,NA,NA,NA,955ea978-563b-4a33-a47e-19066f0e1186,2026-02-21,22:34:39,2026-02-21T22:34:39Z,2026-02-21T22:34:39Z,NA,v3,471297,471506,15dd647eb05b46198615ee482a2aefff,"Bowen, Karson",702710,Right,FLA_GAT,77ddd34c-fb5a-46b3-be8f-4384ebcd3232,54.39518,-135.2332,16.04031,5.58553,-1.39617,-7.66111,-1.2731,5.11822,-6.65003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,219.792496,14.003579,2077.079529,0.970281,01:15:00,-0.264232,-0.623596,-0.735737,-38.959055,-9.966079,-34.446045,-0.045409,179.696679,-0.998954,-0.303008,0.998954,-0.005288,0.045409,2.602654,-2.602617,0.005288,-0.005288,-179.696679,2.602617,0.045409,0.303008,-2.602654,-0.045409,0.005288,0.998954,-0.998954,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,2026-02-21,17:34:53,2,3,"King, Aidan",827404,Right,FLA_GAT,"McCollum, Grayson",10110507,Right,KEN_OWL,Undefined,1,Top,1,0,2,ChangeUp,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,84.03105,-1.592595,-2.937108,2481.521309,198.205144,12:30:00,5.54861,1.28565,6.02037,-33.56399,6.50666,1.66213,1.27416,-1.29868,76.06204,-7.833301,-2.638304,0.455601,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.81634,4.29575,-1.05637,50,5.4057,6.17985,-121.72743,-4.45404,-2.6794,27.65147,-25.83707,FLA_GAT,KEN_OWL,CondronBallpark,D1,SEC,20260221-CondronBallpark-1,8ab2cd00-0f75-11f1-9801-c9372e98626d,82.73124,NA,NA,7.96901,NA,NA,NA,NA,NA,NA,955ea978-563b-4a33-a47e-19066f0e1186,2026-02-21,22:34:53,2026-02-21T22:34:53Z,2026-02-21T22:34:53Z,NA,v3,471297,471506,15dd647eb05b46198615ee482a2aefff,"Bowen, Karson",702710,Right,FLA_GAT,eb31198d-7700-4d58-87fe-e9d0c8e862d7,54.47602,-122.73999,13.82574,5.55147,-3.50793,-12.91854,-1.28447,6.27796,-1.3397,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,184.176447,73.745976,694.568971,0.279896,12:15:00,-0.972137,-0.047058,-0.229643,8.299647,35.806514,-22.575105,0.513328,137.589045,-0.633626,35.366353,0.633626,-0.578802,-0.513328,39.012435,30.885766,0.578802,0.578802,-137.589045,-30.885766,0.513328,-35.366353,-39.012435,-0.513328,-0.578802,0.633626,-0.633626,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
