PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallZAmb4,BatSpeed,VerticalAttackAngle,HorizontalAttackAngle
1,2026-02-21,19:30:35.92,1,1,"Jasa, Carson",814215,Right,NEB,"Bolin, Robby",828621,Left,KAN_WIL,Undefined,1,Top,0,0,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,97.01926,-1.269936,-0.856666,2538.776622,232.202132,1:45,6.35776,1.34274,5.56376,-19.79627,10.62119,12.303,3.52137,1.56764,87.59199,-4.977424,1.339034,0.396947,,,,,,,,,,,,-6.4239,6.08158,-1.27682,50,6.23545,1.49273,-140.64248,-3.84941,-12.70382,35.66948,-20.14719,NEB,KAN_WIL,Arlington,D1,BIG10,20260221-Arlington-3,0d35ac30-0f8e-11f1-a26b-55b516bb75b7,94.95578,,,9.42727,,,,,,,a7f57cb8-2205-435e-8999-c4d9fe44ed0f,2026-02-22,01:30:35.92,2026-02-21T19:30:35.9205376-06:00,2026-02-22T01:30:35.9205376Z,,v3,4865,471328,,"Worthley, Jeter",10081852,Right,NEB,ad74baeb-ba24-4b52-a59d-d2264981ad4f,54.93086,-141.88753,17.83474,6.35754,-3.14617,-10.0736,-1.33666,1.93615,-6.35191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2026-02-21,19:30:47.27,1,2,"Jasa, Carson",814215,Right,NEB,"Bolin, Robby",828621,Left,KAN_WIL,Undefined,1,Top,0,1,0,Slider,Curveball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,86.65039,-0.793115,-1.301058,2890.2783,28.465593,7:00,6.34188,1.20305,5.08591,-46.55936,-8.19516,-5.08378,1.71415,-0.4471,79.82003,-9.167693,-2.202363,0.445794,,,,,,,,,,,,2.16386,-3.49654,-1.07579,50,6.22992,3.08441,-125.76923,-3.60872,3.46129,25.82245,-37.76712,NEB,KAN_WIL,Arlington,D1,BIG10,20260221-Arlington-3,13febbb0-0f8e-11f1-a26b-55b516bb75b7,84.55119,,,6.83036,,,,,,,a7f57cb8-2205-435e-8999-c4d9fe44ed0f,2026-02-22,01:30:47.27,2026-02-21T19:30:47.2722432-06:00,2026-02-22T01:30:47.2722432Z,,v3,4865,471328,,"Worthley, Jeter",10081852,Right,NEB,84c7d018-c412-4d4e-8585-266e2f85dbb7,55.41435,-126.87601,12.91122,6.34991,-1.98998,-18.88356,-1.20481,2.93605,1.73065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2026-02-21,19:30:59.96,1,3,"Jasa, Carson",814215,Right,NEB,"Bolin, Robby",828621,Left,KAN_WIL,Undefined,1,Top,0,1,1,Slider,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,87.17865,1.002618,-0.293514,3024.61293,35.006628,7:15,6.29356,1.20263,5.03317,-47.16046,-9.08312,-7.21634,3.30957,0.32435,79.70723,-7.511506,-1.57041,0.444124,,,,,,,,,,,,3.47929,-4.38733,-1.16859,50,6.3514,0.98153,-126.50107,0.28055,5.61357,26.84615,-39.25267,NEB,KAN_WIL,Arlington,D1,BIG10,20260221-Arlington-3,1b8bb770-0f8e-11f1-a26b-55b516bb75b7,84.86909,,,7.47141,,,,,,,a7f57cb8-2205-435e-8999-c4d9fe44ed0f,2026-02-22,01:30:59.96,2026-02-21T19:30:59.9654912-06:00,2026-02-22T01:30:59.9654912Z,,v3,4865,471328,,"Worthley, Jeter",10081852,Right,NEB,ea42e037-90b9-44ee-9f6d-f0523cfdd19f,55.46635,-127.65587,13.42308,6.30302,1.96903,-19.62634,-1.20562,0.74005,2.80678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2026-02-21,19:31:12.97,1,4,"Jasa, Carson",814215,Right,NEB,"Bolin, Robby",828621,Left,KAN_WIL,Undefined,1,Top,0,1,2,Curveball,Curveball,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,80.05233,1.437243,1.222686,2819.21368,41.112505,7:15,6.41265,0.97405,5.35675,-60.43964,-15.13229,-14.64662,2.72448,0.90032,72.41356,-9.538974,-1.387467,0.484457,,,,,,,,,,,,7.7141,-7.50559,-1.07331,50,6.4991,-1.8669,-116.04706,0.70257,10.29681,26.00176,-42.19257,NEB,KAN_WIL,Arlington,D1,BIG10,20260221-Arlington-3,23519d80-0f8e-11f1-a26b-55b516bb75b7,77.80342,,,7.63877,,,,,,,a7f57cb8-2205-435e-8999-c4d9fe44ed0f,2026-02-22,01:31:12.97,2026-02-21T19:31:12.9764352-06:00,2026-02-22T01:31:12.9764352Z,,v3,4865,471328,,"Worthley, Jeter",10081852,Right,NEB,3c7325ec-2783-4e04-8e1a-3a16304bf64d,55.14352,-117.19387,13.00088,6.42708,2.56346,-21.09628,-0.98096,-2.32104,5.1484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2026-02-21,19:31:42.41,2,1,"Jasa, Carson",814215,Right,NEB,"Kendrick, Micah",822394,Left,KAN_WIL,Undefined,1,Top,1,0,0,ChangeUp,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,85.31138,-0.81788,-1.280962,1668.215997,253.4482,2:30,6.3398,1.10375,5.8959,-33.8638,5.23485,12.70481,2.75826,0.97303,76.82491,-7.120436,1.002328,0.450041,,,,,,,,,,,,-6.86217,3.42158,-1.00758,50,6.25509,2.22962,-123.66521,-2.8974,-10.41378,29.26772,-26.98157,NEB,KAN_WIL,Arlington,D1,BIG10,20260221-Arlington-3,34e08ca0-0f8e-11f1-a26b-55b516bb75b7,83.75333,,,8.48647,,,,,,,a7f57cb8-2205-435e-8999-c4d9fe44ed0f,2026-02-22,01:31:42.41,2026-02-21T19:31:42.4124416-06:00,2026-02-22T01:31:42.4124416Z,,v3,4865,471328,,"Worthley, Jeter",10081852,Right,NEB,1afb3ea0-7888-483d-884d-241dc3685904,54.59828,-124.74873,14.63386,6.34386,-1.89852,-13.49078,-1.09726,2.61515,-5.20689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2026-02-21,19:31:53.79,2,2,"Jasa, Carson",814215,Right,NEB,"Kendrick, Micah",822394,Left,KAN_WIL,Undefined,1,Top,1,0,1,Slider,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,86.11234,-0.122607,-0.936726,2893.477937,64.566389,8:15,6.34156,1.07768,5.12301,-44.78739,-5.61626,-14.59804,2.49378,-1.0212,78.43836,-8.229166,-3.523687,0.450458,,,,,,,,,,,,6.95579,-2.34244,-0.97791,50,6.29532,2.70006,-124.87391,-2.03433,10.85259,27.93766,-35.82879,NEB,KAN_WIL,Arlington,D1,BIG10,20260221-Arlington-3,3bab49d0-0f8e-11f1-a26b-55b516bb75b7,83.67577,,,7.67398,,,,,,,a7f57cb8-2205-435e-8999-c4d9fe44ed0f,2026-02-22,01:31:53.79,2026-02-21T19:31:53.7911296-06:00,2026-02-22T01:31:53.7911296Z,,v3,4865,471328,,"Worthley, Jeter",10081852,Right,NEB,24122294-963c-406f-af5d-e1ccb9135b17,55.37566,-126.07085,13.96883,6.3496,-0.4993,-17.9144,-1.08363,2.2351,5.42629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2026-02-21,19:32:10.59,2,3,"Jasa, Carson",814215,Right,NEB,"Kendrick, Micah",822394,Left,KAN_WIL,Undefined,1,Top,1,0,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,97.81007,-0.430342,-0.691371,2655.961432,216.634229,1:15,6.65825,1.13739,5.42161,-13.45993,16.51088,11.51284,5.13346,1.44917,88.41697,-3.002653,1.356833,0.394022,,,,,,,,,,,,-5.93146,8.69575,-1.08399,50,6.61098,1.12548,-141.83535,-1.50224,-11.97726,35.08769,-14.61485,NEB,KAN_WIL,Arlington,D1,BIG10,20260221-Arlington-3,459e2200-0f8e-11f1-a26b-55b516bb75b7,95.66069,,,9.3931,,,,,,,a7f57cb8-2205-435e-8999-c4d9fe44ed0f,2026-02-22,01:32:10.59,2026-02-21T19:32:10.5922048-06:00,2026-02-22T01:32:10.5922048Z,,v3,4865,471328,,"Worthley, Jeter",10081852,Right,NEB,d1e58eea-b1b7-49f5-a3a1-e6846dc6f477,55.07297,-143.08481,17.54385,6.65521,-0.98181,-7.30742,-1.13166,1.55199,-5.98863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2026-02-21,19:32:23.00,2,4,"Jasa, Carson",814215,Right,NEB,"Kendrick, Micah",822394,Left,KAN_WIL,Undefined,1,Top,1,1,2,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,79.0931,3.121391,2.913836,2765.449173,38.782876,7:15,6.47387,1.13682,5.03475,-64.71913,-17.38761,-15.42776,4.03217,2.60255,70.93417,-8.580716,0.18905,0.495161,,,,,,,,,,,,8.55004,-8.9739,-1.4026,50,6.72108,-5.14683,-114.30137,3.77594,11.04133,25.75437,-43.76273,NEB,KAN_WIL,Arlington,D1,BIG10,20260221-Arlington-3,4d12b3c0-0f8e-11f1-a26b-55b516bb75b7,76.12152,,,8.15892,,,,,,,a7f57cb8-2205-435e-8999-c4d9fe44ed0f,2026-02-22,01:32:23.00,2026-02-21T19:32:23.0032384-06:00,2026-02-22T01:32:23.0032384Z,,v3,4865,471328,,"Worthley, Jeter",10081852,Right,NEB,34e61b9b-a63e-4c9f-bece-3b0abf125b59,55.46514,-115.52621,12.87719,6.49201,5.85723,-21.88137,-1.14533,-5.67194,5.52066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2026-02-21,19:32:39.09,2,5,"Jasa, Carson",814215,Right,NEB,"Kendrick, Micah",822394,Left,KAN_WIL,Undefined,1,Top,1,2,2,Slider,Curveball,InPlay,Undefined,GroundBall,Out,1,0,,86.37945,-0.952521,-0.218338,2776.700289,28.181168,7:00,6.33934,1.14857,5.17381,-46.77703,-8.0293,-4.9904,1.54485,0.52725,79.01916,-9.396841,-1.105279,0.448017,92.38866,1.021446,20.030151,1649.280306,,,,48.97188,47.48808,19.649011,0.364368,2.44331,-3.41795,-1.12422,50,6.21455,0.69582,-125.32558,-3.91373,3.84881,27.58728,-37.5582,NEB,KAN_WIL,Arlington,D1,BIG10,20260221-Arlington-3,56a43210-0f8e-11f1-a26b-55b516bb75b7,84.13168,1.81412,,7.36029,,,,2.1596,1.74315,-0.52612,a7f57cb8-2205-435e-8999-c4d9fe44ed0f,2026-02-22,01:32:39.09,2026-02-21T19:32:39.0922752-06:00,2026-02-22T01:32:39.0922752Z,GroundBall,v3,4865,471328,,"Worthley, Jeter",10081852,Right,NEB,a9cf5382-4a58-440c-89e4-d6af92f1fbfe,55.32637,-126.49261,13.79364,6.34651,-2.32489,-18.7791,-1.15022,0.53301,1.92441,297.663677,2.16523,127.08071,-17.7349,,,,,,,1.74803,2.23671,-19.34087,,,,,,,-0.52801,46.47396,0.47694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2026-02-21,19:33:07.63,3,1,"Jasa, Carson",814215,Right,NEB,"Evasco, AJ",10081822,Left,KAN_WIL,Undefined,1,Top,2,0,0,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,87.34172,-0.34873,0.037042,2900.411677,52.606432,7:45,6.46645,1.28552,5.14327,-41.76616,-4.18469,-6.97693,2.6576,0.73898,80.35695,-7.901226,-1.200643,0.441223,,,,,,,,,,,,3.47839,-1.61646,-1.28343,50,6.40155,0.2342,-126.82653,-2.43748,5.67192,25.66154,-34.80989,NEB,KAN_WIL,Arlington,D1,BIG10,20260221-Arlington-3,67a81f40-0f8e-11f1-a26b-55b516bb75b7,85.42715,,,6.98476,,,,,,,a7f57cb8-2205-435e-8999-c4d9fe44ed0f,2026-02-22,01:33:07.63,2026-02-21T19:33:07.6307456-06:00,2026-02-22T01:33:07.6307456Z,,v3,4865,471328,,"Worthley, Jeter",10081852,Right,NEB,92c13f40-7a0b-4b91-9809-c128f5e26600,55.35599,-127.90564,12.83077,6.47327,-0.97365,-17.40494,-1.28826,-0.00431,2.83596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
