PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallZAmb4,BatSpeed,VerticalAttackAngle,HorizontalAttackAngle
1,2026-02-21,13:07:06.11,1,1,"Kuhle, Max",1000091412,Left,JMU_DUK,"Farina, Ethan",10267677,Right,MOY_MOY,Undefined,1,Top,0,0,0,FourSeamFastBall,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,85.5355,-2.199045,1.597756,1979.360227,153.962153,11:15,5.87027,-1.72052,6.30514,-18.87084,18.73954,-8.56615,2.27002,-0.96203,78.29831,-5.798332,0.048432,0.441393,,,,,,,,,,,,4.88831,10.72028,1.60719,50,5.6996,-3.13495,-124.21562,-5.26293,7.63654,24.90915,-15.42672,JMU_DUK,MOY_MOY,EagleFieldJMU,D1,SBELT,20260221-EagleFieldJMU-1,225bd500-0f50-11f1-bf3a-1bdef2c7d451,85.39434,,,7.23719,,,,,,,14808664-dba3-4497-89d9-087fc22c2be7,2026-02-21,18:07:06.11,2026-02-21T13:07:06.1129728-05:00,2026-02-21T18:07:06.1129728Z,,v3,471327,le-moyne,ccb4459ce67045c7b6293b98022c6510,"Barrow, Ben",10078856,Right,JMU_DUK,65e37ebc-0e3d-4a8a-84ac-cf5961947fab,54.19215,-125.05346,12.45457,5.86789,-4.74405,-7.71336,1.71696,-3.39181,3.81827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2026-02-21,13:07:23.69,1,2,"Kuhle, Max",1000091412,Left,JMU_DUK,"Farina, Ethan",10267677,Right,MOY_MOY,Undefined,1,Top,0,0,1,ChangeUp,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,77.73707,-0.757336,2.880328,2223.344425,117.032403,10:00,5.78121,-1.86649,6.2661,-35.86636,10.00335,-16.58879,2.09321,-0.59115,70.97552,-7.465496,-0.117693,0.487455,67.14299,-28.521486,-82.94075,,,,,4.66446,3.22035,-45.823536,0.047842,9.53737,5.85772,1.66127,50,5.70756,-5.1076,-112.84515,-2.4845,12.21199,21.87574,-24.67363,JMU_DUK,MOY_MOY,EagleFieldJMU,D1,SBELT,20260221-EagleFieldJMU-1,2cd71710-0f50-11f1-bf3a-1bdef2c7d451,77.32497,2.25761,,6.76154,,,,2.73998,2.25761,0.77747,14808664-dba3-4497-89d9-087fc22c2be7,2026-02-21,18:07:23.69,2026-02-21T13:07:23.6944896-05:00,2026-02-21T18:07:23.6944896Z,GroundBall,v3,471327,le-moyne,ccb4459ce67045c7b6293b98022c6510,"Barrow, Ben",10078856,Right,JMU_DUK,c93f847e-487f-4b1c-bc41-6a284eadcca3,54.23313,-113.66281,10.93787,5.78319,-1.56227,-12.33681,1.86071,-5.56405,6.10599,180,2.73969,10.67139,,,,,,,,2.2589,-47.1886,,,,,,,,0.77982,-86.17469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2026-02-21,13:07:46.25,1,3,"Kuhle, Max",1000091412,Left,JMU_DUK,"Farina, Ethan",10267677,Right,MOY_MOY,Undefined,1,Top,0,0,2,ChangeUp,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,77.07071,-0.075976,2.968416,2138.867418,98.837333,9:15,5.70173,-1.95345,6.31708,-42.65144,4.12957,-16.13446,2.07737,-0.56148,70.13371,-8.028963,0.048904,0.492273,65.72518,49.457305,115.014466,3448.700579,,,,,47.16383,,,9.35867,2.62209,1.74376,50,5.67598,-5.24729,-111.85104,-1.34741,11.71492,22.41338,-28.89178,JMU_DUK,MOY_MOY,EagleFieldJMU,D1,SBELT,20260221-EagleFieldJMU-1,3a4affb0-0f50-11f1-bf3a-1bdef2c7d451,76.56814,47.00378,,6.937,,,,1.21739,2.07064,0.56997,14808664-dba3-4497-89d9-087fc22c2be7,2026-02-21,18:07:46.25,2026-02-21T13:07:46.2524928-05:00,2026-02-21T18:07:46.2524928Z,,v3,471327,le-moyne,ccb4459ce67045c7b6293b98022c6510,"Barrow, Ben",10078856,Right,JMU_DUK,6f0ea057-17cd-4408-9876-2ed8317b7bd1,54.18194,-112.68592,11.20669,5.70613,-0.27121,-14.44589,1.94734,-5.68366,5.85746,,1.21739,-26.49532,-3.92758,1.53526,-0.32371,-0.1196,0.25752,-0.19033,0.05606,2.07064,73.25401,-23.94576,2.42719,-0.47436,0.0892,-0.02667,0.01038,-0.00236,0.56997,56.78192,-9.38425,2.00389,-0.35151,-0.03225,0.11984,-0.09214,0.02737,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Undefined,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2026-02-21,13:08:06.89,1,4,"Kuhle, Max",1000091412,Left,JMU_DUK,"Farina, Ethan",10267677,Right,MOY_MOY,Undefined,1,Top,0,0,2,FourSeamFastBall,Four-Seam,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,85.88755,-1.464025,2.484473,2021.702893,143.172712,10:45,5.76499,-1.71248,6.06991,-20.26914,17.50843,-12.17489,2.71957,-0.42656,78.26858,-5.314014,0.293891,0.442373,,,,,,,,,,,,6.95433,9.80619,1.52618,50,5.64062,-4.91494,-124.62206,-3.75613,10.89996,25.82897,-16.80419,JMU_DUK,MOY_MOY,EagleFieldJMU,D1,SBELT,20260221-EagleFieldJMU-1,4694c030-0f50-11f1-bf3a-1bdef2c7d451,85.20515,,,7.61897,,,,,,,14808664-dba3-4497-89d9-087fc22c2be7,2026-02-21,18:08:06.89,2026-02-21T13:08:06.8915200-05:00,2026-02-21T18:08:06.8915200Z,,v3,471327,le-moyne,ccb4459ce67045c7b6293b98022c6510,"Barrow, Ben",10078856,Right,JMU_DUK,ecc6e347-a0c2-49ce-915d-6d3c8f138095,54.42673,-125.53619,12.91449,5.76303,-3.16141,-8.40209,1.70696,-5.30071,5.44998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2026-02-21,13:08:35.94,2,1,"Kuhle, Max",1000091412,Left,JMU_DUK,"Whelehan, Michael",10303132,Right,MOY_MOY,Undefined,1,Top,1,0,0,ChangeUp,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,74.86987,-0.016903,2.989686,2133.199796,105.888269,9:30,5.76635,-1.78789,6.19617,-43.2755,6.09926,-15.86863,2.14443,-0.3478,68.72442,-8.052546,0.125718,0.505736,,,,,,,,,,,,9.07008,3.64327,1.57057,50,5.74338,-5.13832,-108.70913,-1.23769,10.83126,19.42655,-27.82336,JMU_DUK,MOY_MOY,EagleFieldJMU,D1,SBELT,20260221-EagleFieldJMU-1,57ed3600-0f50-11f1-bf3a-1bdef2c7d451,74.52986,,,6.14544,,,,,,,14808664-dba3-4497-89d9-087fc22c2be7,2026-02-21,18:08:35.94,2026-02-21T13:08:35.9467520-05:00,2026-02-21T18:08:35.9467520Z,,v3,471327,le-moyne,ccb4459ce67045c7b6293b98022c6510,"Barrow, Ben",10078856,Right,JMU_DUK,363aa6b4-4b70-41f4-a48b-80af495b4eb6,54.30291,-109.47537,9.71327,5.77055,-0.14025,-13.91168,1.78166,-5.56553,5.41563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2026-02-21,13:08:51.83,2,2,"Kuhle, Max",1000091412,Left,JMU_DUK,"Whelehan, Michael",10303132,Right,MOY_MOY,Undefined,1,Top,1,0,1,FourSeamFastBall,Four-Seam,InPlay,Undefined,LineDrive,Double,0,0,,85.16858,-0.430989,2.653833,2065.000358,148.561724,11:00,5.81691,-1.65854,5.85937,-20.3482,18.34828,-10.44363,3.72038,-0.06155,77.55338,-4.291132,0.783237,0.447721,78.62421,10.76286,41.771561,1600.827045,79.14395,8.30151,76.39451,149.23325,144.95517,44.83597,1.53214,6.09807,9.88044,1.44928,50,5.77014,-5.30353,-123.57108,-1.51675,9.4022,25.27773,-16.94008,JMU_DUK,MOY_MOY,EagleFieldJMU,D1,SBELT,20260221-EagleFieldJMU-1,615cad60-0f50-11f1-bf3a-1bdef2c7d451,84.18741,10.86247,,7.6152,,,,0.3737,3.762,0.15172,14808664-dba3-4497-89d9-087fc22c2be7,2026-02-21,18:08:51.83,2026-02-21T13:08:51.8321152-05:00,2026-02-21T18:08:51.8321152Z,GroundBall,v3,471327,le-moyne,ccb4459ce67045c7b6293b98022c6510,"Barrow, Ben",10078856,Right,JMU_DUK,32420e33-0b91-46e4-b5a1-3aad103cdd45,54.6379,-124.5162,12.63887,5.81501,-0.88337,-8.47004,1.65414,-5.65507,4.7011,,0.3737,84.49044,-13.51513,2.82952,-0.57178,0.10383,-0.01517,0.00086,0.00011,3.762,21.53386,-16.96856,1.08119,-0.19573,0.04622,-0.01531,0.00492,-0.00071,0.15172,75.46727,-5.9049,1.18062,-0.21726,0.0403,-0.00874,0.00171,-0.00018,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2026-02-21,13:09:36.64,3,1,"Kuhle, Max",1000091412,Left,JMU_DUK,"Russ, Dominick",1000115630,Left,MOY_MOY,Undefined,1,Top,1,0,0,Slider,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,72.74746,2.197099,0.872854,2410.345083,323.14148,4:45,5.7606,-1.93238,5.61281,-60.39113,-7.01449,6.4926,2.7799,-0.57659,66.95818,-8.820122,2.033385,0.525832,,,,,,,,,,,,-3.03713,-3.64894,1.85357,50,5.90939,-1.84211,-105.63702,2.17215,-3.42715,18.22821,-36.29157,JMU_DUK,MOY_MOY,EagleFieldJMU,D1,SBELT,20260221-EagleFieldJMU-1,7c1e5900-0f50-11f1-bf3a-1bdef2c7d451,71.6815,,,5.78928,,,,,,,14808664-dba3-4497-89d9-087fc22c2be7,2026-02-21,18:09:36.64,2026-02-21T13:09:36.6415872-05:00,2026-02-21T18:09:36.6415872Z,,v3,471327,le-moyne,ccb4459ce67045c7b6293b98022c6510,"Barrow, Ben",10078856,Right,JMU_DUK,90e32b25-4dfd-40e4-a789-9b307ad80b25,54.88816,-106.47716,9.1141,5.77073,3.84482,-18.14578,1.93483,-1.68416,-1.71357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2026-02-21,13:09:57.16,3,2,"Kuhle, Max",1000091412,Left,JMU_DUK,"Russ, Dominick",1000115630,Left,MOY_MOY,Undefined,1,Top,1,0,1,ChangeUp,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,75.51874,1.088955,3.136153,2008.189419,105.062236,9:30,5.71045,-1.71435,6.18024,-41.90305,6.44615,-18.47615,3.22575,-0.35508,69.42087,-6.699278,-0.194054,0.500456,63.59869,3.080531,-45.566762,4975.381485,,,,45.76942,45.76942,-48.337971,0.538044,10.39831,3.49689,1.48645,50,5.77156,-5.37376,-109.67194,0.90904,12.70499,18.81738,-27.90141,JMU_DUK,MOY_MOY,EagleFieldJMU,D1,SBELT,20260221-EagleFieldJMU-1,885c32a0-0f50-11f1-bf3a-1bdef2c7d451,75.31617,3.209,,6.09786,,,,-0.53137,2.90149,0.35031,14808664-dba3-4497-89d9-087fc22c2be7,2026-02-21,18:09:57.16,2026-02-21T13:09:57.1628032-05:00,2026-02-21T18:09:57.1628032Z,GroundBall,v3,471327,le-moyne,ccb4459ce67045c7b6293b98022c6510,"Barrow, Ben",10078856,Right,JMU_DUK,eba2cd7c-851c-4998-b752-083484fe4d8d,54.3196,-110.4106,9.40869,5.71438,2.00429,-13.95071,1.70718,-5.87248,6.3525,73.961543,-0.51407,64.77273,-13.56873,,,,,,,2.91799,4.59937,-18.68159,,,,,,,0.35289,-66.5766,4.39592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2026-02-21,13:10:24.37,3,3,"Kuhle, Max",1000091412,Left,JMU_DUK,"Russ, Dominick",1000115630,Left,MOY_MOY,Undefined,1,Top,1,0,2,Slider,Curveball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,73.23634,2.173154,1.723126,2294.900086,334.62155,5:15,5.69433,-1.79935,5.4267,-66.23783,-12.81953,6.90654,2.21178,0.39055,67.14202,-9.844324,2.953493,0.526037,62.85613,-64.818082,88.151147,,,,,1.25687,1.25687,28.645874,0.025685,-2.96063,-6.63681,1.64154,50,5.8408,-3.44909,-106.25001,1.88976,-3.35408,19.72806,-39.69286,JMU_DUK,MOY_MOY,EagleFieldJMU,D1,SBELT,20260221-EagleFieldJMU-1,989296a0-0f50-11f1-bf3a-1bdef2c7d451,71.65358,2.15134,,6.09431,,,,1.07039,2.15134,-0.40845,14808664-dba3-4497-89d9-087fc22c2be7,2026-02-21,18:10:24.37,2026-02-21T13:10:24.3776512-05:00,2026-02-21T18:10:24.3776512Z,GroundBall,v3,471327,le-moyne,ccb4459ce67045c7b6293b98022c6510,"Barrow, Ben",10078856,Right,JMU_DUK,4d37b985-d77e-4f6c-abdf-fbf9c59e76c3,55.07562,-107.18828,9.86403,5.70603,3.77757,-19.84643,1.80179,-3.28957,-1.67704,,1.07037,1.27055,,,,,,,,2.1527,-83.75798,,,,,,,,-0.40909,39.36073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2026-02-21,13:11:00.35,3,4,"Kuhle, Max",1000091412,Left,JMU_DUK,"Russ, Dominick",1000115630,Left,MOY_MOY,Undefined,1,Top,1,0,2,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,77.69326,-0.985907,4.710598,2149.392891,105.481958,9:30,5.66977,-1.7954,6.51869,-38.86282,6.70367,-18.72674,1.52345,0.97594,71.08909,-8.248342,1.318743,0.485841,,,,,,,,,,,,11.20501,4.25248,1.47439,50,5.58425,-8.65029,-112.61325,-2.99414,14.32154,21.34672,-26.73879,JMU_DUK,MOY_MOY,EagleFieldJMU,D1,SBELT,20260221-EagleFieldJMU-1,adfceb30-0f50-11f1-bf3a-1bdef2c7d451,77.58185,,,6.60417,,,,,,,14808664-dba3-4497-89d9-087fc22c2be7,2026-02-21,18:11:00.35,2026-02-21T13:11:00.3559424-05:00,2026-02-21T18:11:00.3559424Z,,v3,471327,le-moyne,ccb4459ce67045c7b6293b98022c6510,"Barrow, Ben",10078856,Right,JMU_DUK,9bc938d5-9b0a-42a0-9be3-08b6d85cf332,53.98082,-113.36534,10.67336,5.67314,-2.05209,-13.36939,1.78804,-9.15486,7.16077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
