PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallZAmb4,BatSpeed,VerticalAttackAngle,HorizontalAttackAngle
1,2026-02-21,10:59:45.53,1,1,"Harpster, Michael",10099161,Right,ETS_BUC,"Donohue, Gavin",1000302007,Right,SAC_PIO,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,93.56949,-1.159283,-2.992447,2202.032832,211.08229,1:00,5.18113,2.64097,6.36671,-14.56583,17.1432,9.66438,2.89893,0.69017,84.53046,-3.986243,-1.245633,0.405287,,,,,,,,,,,,-5.91197,9.58304,-2.4285,50,5.09012,6.67601,-135.69045,-3.12254,-10.90238,32.70512,-14.50176,ETS_BUC,SAC_PIO,EastTennesseeState,D1,SOCON,20260221-EastTennesseeState-1,57f09690-0f3e-11f1-9716-85071aaf1de1,93.00176,,,9.03903,,,,,,,aa5be37d-6adf-4465-83e1-facab3496d34,2026-02-21,15:59:45.53,2026-02-21T10:59:45.5364608-05:00,2026-02-21T15:59:45.5364608Z,,v3,4844,471423,9797ffb363974cbebaa012d0199952e4,"Ault, Mason",10179837,Right,ETS_BUC,419b8e8b-4724-46e3-9223-5116ba69a570,54.1294,-136.68213,16.35256,5.17813,-2.68282,-7.25088,-2.63594,7.00659,-5.45119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,220.919659,18.273985,2090.9798,0.949568,1:15,-0.337961,-0.628184,-0.700833,-50.455721,-37.055307,-42.748577,163.696531,-4.257517,0.27995,-0.074239,-0.95714,4.435195,-16.257229,0.074239,-0.27995,0.95714,-4.435195,16.257229,-0.074239,0.27995,0.95714,-163.696531,4.257517,-0.27995,0.074239,-0.95714,,,
2,2026-02-21,11:00:01.07,1,2,"Harpster, Michael",10099161,Right,ETS_BUC,"Donohue, Gavin",1000302007,Right,SAC_PIO,Undefined,1,Top,0,0,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,93.23056,-0.814056,-2.922518,2288.228325,210.120646,1:00,5.22218,2.63275,6.42247,-16.00485,15.88068,8.56382,3.13911,0.65761,84.17594,-3.906896,-1.372892,0.406414,,,,,,,,,,,,-5.33091,8.84229,-2.42755,50,5.1565,6.53539,-135.21615,-2.34832,-9.75514,32.67373,-15.99331,ETS_BUC,SAC_PIO,EastTennesseeState,D1,SOCON,20260221-EastTennesseeState-1,6119dd30-0f3e-11f1-9716-85071aaf1de1,92.74405,,,9.05462,,,,,,,aa5be37d-6adf-4465-83e1-facab3496d34,2026-02-21,16:00:01.07,2026-02-21T11:00:01.0762240-05:00,2026-02-21T16:00:01.0762240Z,,v3,4844,471423,9797ffb363974cbebaa012d0199952e4,"Ault, Mason",10179837,Right,ETS_BUC,7b2f4e6e-c510-4008-97b8-b2541e240edc,54.07313,-136.19683,16.33687,5.21978,-1.86829,-7.99665,-2.6281,6.82818,-4.87757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,219.392752,21.843574,2123.940699,0.928203,1:15,-0.399767,-0.594295,-0.697854,-51.830384,-43.933496,-54.132959,162.071979,-6.608207,0.305777,-0.115079,-0.945123,6.942238,-17.80491,0.115079,-0.305777,0.945123,-6.942238,17.80491,-0.115079,0.305777,0.945123,-162.071979,6.608207,-0.305777,0.115079,-0.945123,,,
3,2026-02-21,11:00:16.98,1,3,"Harpster, Michael",10099161,Right,ETS_BUC,"Donohue, Gavin",1000302007,Right,SAC_PIO,Undefined,1,Top,0,0,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,93.39261,0.321046,-2.391345,2446.054882,211.66382,1:00,5.20361,2.63623,6.52956,-14.90788,16.66556,9.6093,4.25606,1.24201,84.33929,-2.580044,-0.647993,0.40442,,,,,,,,,,,,-5.72575,8.9239,-2.47362,50,5.21908,5.25634,-135.56866,0.38956,-10.54277,32.576,-15.74259,ETS_BUC,SAC_PIO,EastTennesseeState,D1,SOCON,20260221-EastTennesseeState-1,6a9ab9b0-0f3e-11f1-9716-85071aaf1de1,93.2013,,,9.05332,,,,,,,aa5be37d-6adf-4465-83e1-facab3496d34,2026-02-21,16:00:16.98,2026-02-21T11:00:16.9833472-05:00,2026-02-21T16:00:16.9833472Z,,v3,4844,471423,9797ffb363974cbebaa012d0199952e4,"Ault, Mason",10179837,Right,ETS_BUC,9e2da702-7d68-43eb-a7fa-145bec875b8b,53.96663,-136.51848,16.288,5.20103,0.84857,-7.8713,-2.63136,5.56374,-5.27138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,218.544703,28.254637,2154.613386,0.880852,1:15,-0.50479,-0.54622,-0.668454,-52.621247,-48.862105,-70.834328,163.948423,-9.211091,0.272937,-0.160072,-0.948621,9.577979,-15.839119,0.160072,-0.272937,0.948621,-9.577979,15.839119,-0.160072,0.272937,0.948621,-163.948423,9.211091,-0.272937,0.160072,-0.948621,,,
4,2026-02-21,11:00:32.84,1,4,"Harpster, Michael",10099161,Right,ETS_BUC,"Donohue, Gavin",1000302007,Right,SAC_PIO,Undefined,1,Top,0,1,2,Cutter,Slider,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,85.1274,1.78761,-1.607017,2817.355995,66.531091,8:15,5.03784,2.66605,5.97025,-40.45979,-1.9065,-7.19276,3.32472,0.57636,77.73759,-5.683304,-2.898866,0.446891,,,,,,,,,,,,3.22736,-1.12551,-2.5348,50,5.15707,3.75554,-123.60553,2.48323,4.97438,25.49508,-33.90882,ETS_BUC,SAC_PIO,EastTennesseeState,D1,SOCON,20260221-EastTennesseeState-1,7427cb30-0f3e-11f1-9716-85071aaf1de1,84.34361,,,7.38981,,,,,,,aa5be37d-6adf-4465-83e1-facab3496d34,2026-02-21,16:00:32.84,2026-02-21T11:00:32.8470000-05:00,2026-02-21T16:00:32.8470000Z,,v3,4844,471423,9797ffb363974cbebaa012d0199952e4,"Ault, Mason",10179837,Right,ETS_BUC,7ffb4981-aa82-4fca-96e5-dd4a3fc25d76,54.52969,-124.53632,12.74754,5.04381,3.7212,-16.95441,-2.66859,3.57393,2.48719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.14499,2.936423,1.984666,0.951758,-1.60705,3.01105,-0.4213,0.48413,5.47842,1.69661,72.74747,8.29147,-52.02708,0.53575,81.00447,-5.37524,5.5077,15.61077,-13.31778,1.62994,-62.20941,6.10596,High,High,High,,,High,Medium,High,101.031856,77.788606,595.924789,0.211519,9:15,-0.971175,0.237998,-0.013245,-96.295712,-18.068363,89.17218,178.487618,-12.031058,0.025813,-0.208442,-0.977694,12.035128,-1.479155,0.208442,-0.025813,0.977694,-12.035128,1.479155,-0.208442,0.025813,0.977694,-178.487618,12.031058,-0.025813,0.208442,-0.977694,,,
5,2026-02-21,11:01:02.45,2,1,"Harpster, Michael",10099161,Right,ETS_BUC,"Cook, Will",804250,Left,SAC_PIO,Undefined,1,Top,1,0,0,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,93.62996,-1.7124,-4.192722,2332.49001,206.808079,1:00,5.17366,2.55845,6.56829,-12.53953,19.08765,9.06315,2.55429,-0.53656,84.27009,-4.186665,-2.552268,0.404764,,,,,,,,,,,,-6.07292,10.8726,-2.273,50,5.04981,9.56038,-135.57873,-4.33334,-11.13499,33.77001,-12.23864,ETS_BUC,SAC_PIO,EastTennesseeState,D1,SOCON,20260221-EastTennesseeState-1,85b86800-0f3e-11f1-9716-85071aaf1de1,93.12205,,,9.35987,,,,,,,aa5be37d-6adf-4465-83e1-facab3496d34,2026-02-21,16:01:02.45,2026-02-21T11:01:02.4541696-05:00,2026-02-21T16:01:02.4541696Z,,v3,4844,471423,9797ffb363974cbebaa012d0199952e4,"Ault, Mason",10179837,Right,ETS_BUC,3b1412c2-badd-421a-84b6-f736860b014f,53.92799,-136.55361,16.88501,5.16981,-3.98004,-6.11932,-2.55363,9.88183,-5.5675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,222.319819,27.934678,2060.713534,0.883482,1:30,-0.497035,-0.608554,-0.618562,-55.17747,-42.821171,-52.569715,163.277883,-2.129237,0.287532,-0.037154,-0.95705,2.223162,-16.710233,0.037154,-0.287532,0.95705,-2.223162,16.710233,-0.037154,0.287532,0.95705,-163.277883,2.129237,-0.287532,0.037154,-0.95705,,,
6,2026-02-21,11:01:20.50,2,2,"Harpster, Michael",10099161,Right,ETS_BUC,"Cook, Will",804250,Left,SAC_PIO,Undefined,1,Top,1,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,93.21636,0.298445,-1.965987,2431.658671,198.537228,12:30,5.21163,2.60189,6.52769,-16.8328,14.93257,4.63359,4.08286,1.18373,84.0203,-2.9565,-1.125123,0.405647,,,,,,,,,,,,-3.02803,8.03595,-2.46697,50,5.22485,4.44917,-135.30589,0.25701,-5.53825,33.2155,-17.47636,ETS_BUC,SAC_PIO,EastTennesseeState,D1,SOCON,20260221-EastTennesseeState-1,90763150-0f3e-11f1-9716-85071aaf1de1,92.91928,,,9.19606,,,,,,,aa5be37d-6adf-4465-83e1-facab3496d34,2026-02-21,16:01:20.50,2026-02-21T11:01:20.5055488-05:00,2026-02-21T16:01:20.5055488Z,,v3,4844,471423,9797ffb363974cbebaa012d0199952e4,"Ault, Mason",10179837,Right,ETS_BUC,87918f69-910c-4bee-ba45-ba8002009afe,53.96779,-136.27644,16.60775,5.20988,0.76767,-8.73818,-2.59934,4.611,-2.76913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,218.845114,28.790628,2131.070333,0.876385,1:15,-0.507598,-0.547168,-0.665546,114.770112,28.332982,-22.535403,159.407119,-5.033432,0.350369,-0.087737,-0.932493,5.375057,-20.509885,0.087737,-0.350369,0.932493,-5.375057,20.509885,-0.087737,0.350369,0.932493,-159.407119,5.033432,-0.350369,0.087737,-0.932493,,,
7,2026-02-21,11:01:37.63,2,3,"Harpster, Michael",10099161,Right,ETS_BUC,"Cook, Will",804250,Left,SAC_PIO,Undefined,1,Top,1,1,1,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,92.69801,-0.828611,-3.765977,2476.808353,211.441966,1:00,5.20828,2.54097,6.6801,-16.48296,15.38922,8.74512,3.07505,-0.1801,83.98313,-4.01497,-2.178121,0.406329,71.19801,43.361019,-125.41152,3708.966125,,,,,42.59903,,,-5.76024,8.68965,-2.29219,50,5.14596,8.50614,-134.47061,-2.37312,-10.45228,31.6073,-16.40617,ETS_BUC,SAC_PIO,EastTennesseeState,D1,SOCON,20260221-EastTennesseeState-1,9ad5fc20-0f3e-11f1-9716-85071aaf1de1,92.76345,35.95543,,8.71488,,,,0.44959,3.04374,0.18527,aa5be37d-6adf-4465-83e1-facab3496d34,2026-02-21,16:01:37.63,2026-02-21T11:01:37.6381440-05:00,2026-02-21T16:01:37.6381440Z,,v3,4844,471423,9797ffb363974cbebaa012d0199952e4,"Ault, Mason",10179837,Right,ETS_BUC,0e80553d-75f4-4993-82bb-6027c09878ac,53.81828,-135.36512,15.80365,5.20656,-1.90881,-8.20308,-2.53711,8.80195,-5.22614,32.44484,0.44959,-43.99147,-1.52002,1.54664,-1.27768,3.73564,-8.07507,9.11503,-4.06886,3.04374,71.69668,-28.96842,3.69212,-1.63936,3.69164,-7.84681,8.80351,-3.90389,0.18527,-61.87594,7.62152,-0.86159,0.21627,-0.33058,0.69873,-0.76256,0.32596,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,,219.38146,31.511858,2111.55841,0.852532,1:15,-0.556967,-0.548417,-0.62372,112.137533,26.806631,-32.625485,162.334145,-7.262944,0.30103,-0.126423,-0.945197,7.618273,-17.519501,0.126423,-0.30103,0.945197,-7.618273,17.519501,-0.126423,0.30103,0.945197,-162.334145,7.262944,-0.30103,0.126423,-0.945197,,,
8,2026-02-21,11:01:59.76,2,4,"Harpster, Michael",10099161,Right,ETS_BUC,"Cook, Will",804250,Left,SAC_PIO,Undefined,1,Top,1,1,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,93.50885,1.049179,-1.748333,2453.482636,211.724676,1:00,5.20682,2.52733,6.49396,-14.33107,17.19147,9.96422,4.97625,1.75225,84.41105,-1.74691,0.059152,0.404094,,,,,,,,,,,,-5.68638,8.94603,-2.40844,50,5.27356,3.71674,-135.75384,2.14032,-10.50177,32.58948,-15.65227,ETS_BUC,SAC_PIO,EastTennesseeState,D1,SOCON,20260221-EastTennesseeState-1,a7e619e0-0f3e-11f1-9716-85071aaf1de1,93.2765,,,9.0978,,,,,,,aa5be37d-6adf-4465-83e1-facab3496d34,2026-02-21,16:01:59.76,2026-02-21T11:01:59.7625344-05:00,2026-02-21T16:01:59.7625344Z,,v3,4844,471423,9797ffb363974cbebaa012d0199952e4,"Ault, Mason",10179837,Right,ETS_BUC,ce093335-83d3-4fe6-9fb2-7e60f74739cf,54.00162,-136.7111,16.29474,5.20393,2.60009,-7.82614,-2.52214,4.02521,-5.25088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,219.900921,27.979687,2166.704808,0.883114,1:15,-0.499899,-0.557798,-0.662542,-57.723185,-42.074933,-60.679421,164.401398,-10.017775,0.264797,-0.173954,-0.948484,10.392649,-15.354872,0.173954,-0.264797,0.948484,-10.392649,15.354872,-0.173954,0.264797,0.948484,-164.401398,10.017775,-0.264797,0.173954,-0.948484,,,
9,2026-02-21,11:02:18.53,2,5,"Harpster, Michael",10099161,Right,ETS_BUC,"Cook, Will",804250,Left,SAC_PIO,Undefined,1,Top,1,2,2,Cutter,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,85.3494,-0.230036,-2.595969,2759.121117,82.331348,8:45,4.98728,2.56765,5.81948,-38.60274,-0.11665,-9.58174,1.55629,-0.64609,78.49551,-7.308528,-4.311376,0.446502,89.93703,-6.417705,60.756791,,,,,16.77544,15.778,55.408563,0.112992,4.20516,0.31264,-2.34924,50,4.94531,5.99885,-123.92822,-1.82358,6.53168,25.0531,-31.68844,ETS_BUC,SAC_PIO,EastTennesseeState,D1,SOCON,20260221-EastTennesseeState-1,b37e1690-0f3e-11f1-9716-85071aaf1de1,84.41723,1.66785,,6.85389,,,,2.2801,1.66785,0.87179,aa5be37d-6adf-4465-83e1-facab3496d34,2026-02-21,16:02:18.53,2026-02-21T11:02:18.5389056-05:00,2026-02-21T16:02:18.5389056Z,GroundBall,v3,4844,471423,9797ffb363974cbebaa012d0199952e4,"Ault, Mason",10179837,Right,ETS_BUC,8c7fd78d-cb0e-40f1-9c42-9ae1be9d1ff7,54.68173,-124.87108,12.52655,4.9915,-0.631,-15.84422,-2.57037,5.75303,3.26584,180,2.27877,64.10788,,,,,,,,1.66815,-14.76079,,,,,,,,0.86944,114.50469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Medium,,,,96.253117,75.728546,680.168044,0.246516,9:15,-0.970335,0.241157,0.017116,86.848085,32.200214,81.679584,175.738451,6.96741,0.073761,0.121305,-0.989871,6.986536,4.230021,0.121305,0.073761,0.989871,-6.986536,-4.230021,-0.121305,-0.073761,0.989871,-175.738451,-6.96741,-0.073761,-0.121305,-0.989871,,,
10,2026-02-21,11:02:40.86,2,6,"Harpster, Michael",10099161,Right,ETS_BUC,"Cook, Will",804250,Left,SAC_PIO,Undefined,1,Top,1,2,2,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,93.62758,-0.927085,-2.747418,2403.51709,209.341079,1:00,5.17411,2.51509,6.6379,-16.1815,15.08898,7.87894,2.97589,0.65456,84.76908,-4.055396,-1.315491,0.402475,78.56368,8.674182,-174.044035,1399.680514,,,,116.17087,57.59737,-173.11186,1.178142,-4.99532,8.54725,-2.33232,50,5.1046,6.20612,-135.92654,-2.62682,-9.25013,32.63822,-16.34659,ETS_BUC,SAC_PIO,EastTennesseeState,D1,SOCON,20260221-EastTennesseeState-1,c04f0870-0f3e-11f1-9716-85071aaf1de1,93.65167,7.14676,,8.85851,,,,0.88739,2.86744,-0.64998,aa5be37d-6adf-4465-83e1-facab3496d34,2026-02-21,16:02:40.86,2026-02-21T11:02:40.8616448-05:00,2026-02-21T16:02:40.8616448Z,GroundBall,v3,4844,471423,9797ffb363974cbebaa012d0199952e4,"Ault, Mason",10179837,Right,ETS_BUC,fc7853c9-c3c7-47e5-90ca-dfc1e53aa4f2,53.86024,-136.85031,16.31911,5.1724,-2.16416,-8.1733,-2.51167,6.46793,-4.62507,267.087203,0.88739,-113.29335,15.33433,-2.92867,0.1258,0.96282,-1.2633,0.73777,-0.16519,2.86744,17.37875,-18.40728,1.90604,-1.35791,2.3565,-2.69326,1.52772,-0.33755,-0.64998,-11.81908,0.59429,0.01251,-0.6467,1.52974,-1.80539,1.02996,-0.2281,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,,220.264789,34.86596,1972.065696,0.820492,1:15,-0.592367,-0.539481,-0.598383,109.319295,33.772529,-28.803778,159.095002,-6.752068,0.354345,-0.117573,-0.927694,7.222991,-20.753286,0.117573,-0.354345,0.927694,-7.222991,20.753286,-0.117573,0.354345,0.927694,-159.095002,6.752068,-0.354345,0.117573,-0.927694,,,
