PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallZAmb4,BatSpeed,VerticalAttackAngle,HorizontalAttackAngle
1,2026-02-21,17:05:12.47,1,1,"Hugas, Miguel",10111451,Right,MER_BEA,"Fishel, Ben",10105617,Right,COL_LION,Undefined,1,Top,0,0,0,TwoSeamFastBall,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,95.56321,-3.028434,-2.905815,2486.008543,231.496101,1:45,5.7198,0.96434,5.55496,-16.38611,15.32843,17.73088,1.51824,-0.27559,85.66635,-6.142542,0.2537,0.405323,,,,,,,,,,,,-9.8456,9.08473,-0.72459,50,5.44694,6.14244,-138.1261,-7.8568,-18.64722,36.40407,-14.96785,MER_BEA,COL_LION,MercerUniversity,D1,SOCON,20260221-MercerUniversity-1,654f4150-0f71-11f1-81f8-ab309ab6359c,92.99369,,,9.89687,,,,,,,e0df1b81-7652-48ef-a95b-9e51ba5d71c7,2026-02-21,22:05:12.47,2026-02-21T17:05:12.4730000-05:00,2026-02-21T22:05:12.4730000Z,,v3,471354,471274,9ec8cd140eac4046880828c9bce95b51,"LaPointe, Dylan",807315,Right,MER_BEA,970b7d02-4bd3-454f-b13d-db9ec9c43cfd,54.94207,-139.42253,18.20203,5.71724,-7.32376,-7.48393,-0.95516,6.80651,-9.32361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2026-02-21,17:05:27.64,1,2,"Hugas, Miguel",10111451,Right,MER_BEA,"Fishel, Ben",10105617,Right,COL_LION,Undefined,1,Top,0,0,1,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,77.94331,1.06275,1.224996,2529.675407,98.598063,9:15,5.77644,0.81114,5.37571,-43.64573,3.70591,-13.72469,3.136,0.81606,70.76849,-6.951106,-1.216028,0.495266,,,,,,,,,,,,7.23067,2.03969,-0.91096,50,5.84112,-1.86563,-113.00854,0.63849,9.25304,22.60112,-29.56386,MER_BEA,COL_LION,MercerUniversity,D1,SOCON,20260221-MercerUniversity-1,6e679800-0f71-11f1-81f8-ab309ab6359c,76.10538,,,7.17482,,,,,,,e0df1b81-7652-48ef-a95b-9e51ba5d71c7,2026-02-21,22:05:27.64,2026-02-21T17:05:27.6430000-05:00,2026-02-21T22:05:27.6430000Z,,v3,471354,471274,9ec8cd140eac4046880828c9bce95b51,"LaPointe, Dylan",807315,Right,MER_BEA,81123fc6-2b20-4788-b61d-062ea81cdf08,55.12347,-114.0286,11.30056,5.7822,1.97281,-14.78193,-0.81733,-2.28325,4.62652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2026-02-21,17:05:44.45,1,3,"Hugas, Miguel",10111451,Right,MER_BEA,"Fishel, Ben",10105617,Right,COL_LION,Undefined,1,Top,0,1,1,Slider,Slider,HitByPitch,Undefined,Undefined,Undefined,0,0,,76.06423,1.14215,2.577341,2431.96376,89.333933,9:00,5.72788,0.91508,5.53661,-47.80881,1.50441,-12.65016,2.81262,2.27161,69.34937,-7.62879,0.322512,0.505421,,,,,,,,,,,,7.23138,0.81878,-1.12993,50,5.79499,-4.49852,-110.30672,0.68486,8.83967,21.06183,-31.17317,MER_BEA,COL_LION,MercerUniversity,D1,SOCON,20260221-MercerUniversity-1,786322c0-0f71-11f1-81f8-ab309ab6359c,74.57636,,,6.71486,,,,,,,e0df1b81-7652-48ef-a95b-9e51ba5d71c7,2026-02-21,22:05:44.45,2026-02-21T17:05:44.4540000-05:00,2026-02-21T22:05:44.4540000Z,,v3,471354,471274,9ec8cd140eac4046880828c9bce95b51,"LaPointe, Dylan",807315,Right,MER_BEA,7f33c995-5d90-4fbb-aec4-6b9a552818ad,54.9657,-111.25082,10.53092,5.73298,2.0822,-15.58658,-0.91941,-4.89476,4.41984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2026-02-21,17:06:34.35,2,1,"Hugas, Miguel",10111451,Right,MER_BEA,"Brewer, Jackson",831451,Left,COL_LION,Undefined,1,Top,0,0,0,TwoSeamFastBall,Sinker,InPlay,Undefined,GroundBall,Out,1,0,,93.76896,-2.628928,-2.406911,2338.288013,241.142286,2:00,5.79819,1.08656,5.51524,-20.82962,11.86304,19.40092,1.6002,0.45131,84.80724,-6.517143,1.051086,0.411525,68.37479,-38.129646,32.029618,,,,,3.94264,3.94264,10.110357,0.026979,-10.56859,7.15524,-0.8902,50,5.55505,4.80218,-135.77853,-6.98618,-19.47859,33.25923,-18.98648,MER_BEA,COL_LION,MercerUniversity,D1,SOCON,20260221-MercerUniversity-1,9617f6b0-0f71-11f1-81f8-ab309ab6359c,91.59202,1.67482,,8.96172,,,,2.07252,1.67482,-0.43952,e0df1b81-7652-48ef-a95b-9e51ba5d71c7,2026-02-21,22:06:34.35,2026-02-21T17:06:34.3580000-05:00,2026-02-21T22:06:34.3580000Z,GroundBall,v3,471354,471274,9ec8cd140eac4046880828c9bce95b51,"LaPointe, Dylan",807315,Right,MER_BEA,ea2aa222-bb66-4f95-aa5a-34101e03b9ed,54.98509,-136.9942,16.62961,5.79772,-6.2922,-9.49324,-1.07874,5.51414,-9.7393,,2.07177,67.04806,,,,,,,,1.67552,-62.07838,,,,,,,,-0.43998,41.94449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2026-02-21,17:07:10.73,3,1,"Hugas, Miguel",10111451,Right,MER_BEA,"Snyder, Hunter",1000147222,Right,COL_LION,Undefined,1,Top,1,0,0,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,85.29867,-2.464712,-3.710312,2051.018623,242.797801,2:00,5.65189,1.0728,5.85036,-27.7534,11.23741,19.17875,1.04257,-0.78157,77.45661,-7.6366,-0.274785,0.44942,,,,,,,,,,,,-10.90508,6.90922,-0.78188,50,5.43489,7.21604,-123.46716,-6.21247,-16.66541,26.87285,-21.61525,MER_BEA,COL_LION,MercerUniversity,D1,SOCON,20260221-MercerUniversity-1,abd0e070-0f71-11f1-81f8-ab309ab6359c,83.86904,,,7.84207,,,,,,,e0df1b81-7652-48ef-a95b-9e51ba5d71c7,2026-02-21,22:07:10.73,2026-02-21T17:07:10.7350000-05:00,2026-02-21T22:07:10.7350000Z,,v3,471354,471274,9ec8cd140eac4046880828c9bce95b51,"LaPointe, Dylan",807315,Right,MER_BEA,f8daa293-9121-4364-89ef-76c879eec7ac,54.64944,-124.475,13.43642,5.65268,-5.40181,-10.80763,-1.06423,7.84106,-8.3327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2026-02-21,17:07:29.35,3,2,"Hugas, Miguel",10111451,Right,MER_BEA,"Snyder, Hunter",1000147222,Right,COL_LION,Undefined,1,Top,1,1,0,Cutter,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,80.7339,-2.359636,-2.22654,2634.080006,107.300657,9:30,5.66833,1.00994,5.15283,-40.93451,3.2574,-6.01831,0.0328,-1.58873,74.53889,-9.743568,-3.293215,0.478457,,,,,,,,,,,,2.39992,2.66764,-0.79683,50,5.4159,4.79438,-117.01522,-6.27856,3.32489,22.24401,-28.4783,MER_BEA,COL_LION,MercerUniversity,D1,SOCON,20260221-MercerUniversity-1,b6e9c210-0f71-11f1-81f8-ab309ab6359c,78.7792,,,6.19501,,,,,,,e0df1b81-7652-48ef-a95b-9e51ba5d71c7,2026-02-21,22:07:29.35,2026-02-21T17:07:29.3570000-05:00,2026-02-21T22:07:29.3570000Z,,v3,471354,471274,9ec8cd140eac4046880828c9bce95b51,"LaPointe, Dylan",807315,Right,MER_BEA,37516c64-f641-4b9c-9adc-b97ce8e45a76,55.34892,-118.02764,11.122,5.67217,-4.98239,-14.23915,-1.0116,4.64305,1.66244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2026-02-21,17:07:55.36,3,3,"Hugas, Miguel",10111451,Right,MER_BEA,"Snyder, Hunter",1000147222,Right,COL_LION,Undefined,1,Top,1,2,0,TwoSeamFastBall,Sinker,InPlay,Undefined,GroundBall,Out,1,0,,92.51698,-2.269472,-1.861904,2340.46455,240.847879,2:00,5.91961,0.97529,5.42601,-21.40978,12.29607,19.86308,2.00754,0.88598,83.5784,-6.26386,1.673718,0.417854,67.48494,-11.390831,-4.166525,,,,,11.67038,11.36821,-9.042224,0.102439,-10.65083,7.2643,-0.82462,50,5.70361,3.44101,-134.01684,-6.08024,-19.09031,32.87312,-19.15374,MER_BEA,COL_LION,MercerUniversity,D1,SOCON,20260221-MercerUniversity-1,c660cdb0-0f71-11f1-81f8-ab309ab6359c,90.20489,2.09777,,8.93858,,,,1.63855,2.09777,-0.95899,e0df1b81-7652-48ef-a95b-9e51ba5d71c7,2026-02-21,22:07:55.36,2026-02-21T17:07:55.3640000-05:00,2026-02-21T22:07:55.3640000Z,GroundBall,v3,471354,471274,9ec8cd140eac4046880828c9bce95b51,"LaPointe, Dylan",807315,Right,MER_BEA,322f2749-e391-41e3-a155-e059280a6699,55.07472,-135.2559,16.43656,5.91918,-5.3583,-9.57687,-0.96788,4.16056,-9.54515,113.560403,1.63851,96.7779,-2.56365,,,,,,,2.09779,-19.55075,-9.07876,,,,,,,-0.95898,-7.05113,-14.56762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2026-02-21,17:08:31.85,4,1,"Hugas, Miguel",10111451,Right,MER_BEA,"Fellows, Cole",828747,Left,COL_LION,Undefined,1,Top,2,0,0,Cutter,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,85.0274,-3.424513,-1.96215,2515.969152,182.727658,12:00,5.68276,0.99734,5.52048,-30.92025,8.27741,0.33697,-0.10154,-0.8099,78.55111,-9.063519,-1.90202,0.450611,,,,,,,,,,,,-0.69941,5.45709,-0.82669,50,5.36332,4.20873,-123.25031,-8.44842,-1.07925,23.76241,-23.75308,MER_BEA,COL_LION,MercerUniversity,D1,SOCON,20260221-MercerUniversity-1,dc261380-0f71-11f1-81f8-ab309ab6359c,83.64748,,,6.47629,,,,,,,e0df1b81-7652-48ef-a95b-9e51ba5d71c7,2026-02-21,22:08:31.85,2026-02-21T17:08:31.8500000-05:00,2026-02-21T22:08:31.8500000Z,,v3,471354,471274,9ec8cd140eac4046880828c9bce95b51,"LaPointe, Dylan",807315,Right,MER_BEA,739c87b9-25dd-48c9-9d24-78d90069db60,54.98133,-124.20698,11.88121,5.6842,-7.49211,-11.87654,-0.99701,4.25218,-0.53963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2026-02-21,17:08:55.61,4,2,"Hugas, Miguel",10111451,Right,MER_BEA,"Fellows, Cole",828747,Left,COL_LION,Undefined,1,Top,2,1,0,ChangeUp,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,84.1706,-1.052971,-3.195543,2007.88202,242.582847,2:00,5.6556,1.10161,5.90745,-28.8499,11.02103,18.54784,2.2724,-0.32206,76.30718,-6.448558,0.131447,0.454464,,,,,,,,,,,,-10.4476,6.38229,-0.8552,50,5.55458,6.05998,-121.99409,-3.14952,-15.57983,26.34525,-22.65656,MER_BEA,COL_LION,MercerUniversity,D1,SOCON,20260221-MercerUniversity-1,ea518c50-0f71-11f1-81f8-ab309ab6359c,82.93818,,,7.86342,,,,,,,e0df1b81-7652-48ef-a95b-9e51ba5d71c7,2026-02-21,22:08:55.61,2026-02-21T17:08:55.6170000-05:00,2026-02-21T22:08:55.6170000Z,,v3,471354,471274,9ec8cd140eac4046880828c9bce95b51,"LaPointe, Dylan",807315,Right,MER_BEA,505b1bb2-cef5-4368-8360-35ea4a169f55,54.59213,-122.98179,13.17263,5.65674,-2.30011,-11.32828,-1.09334,6.64408,-7.78991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2026-02-21,17:09:13.75,4,3,"Hugas, Miguel",10111451,Right,MER_BEA,"Fellows, Cole",828747,Left,COL_LION,Undefined,1,Top,2,1,1,ChangeUp,Changeup,InPlay,Undefined,GroundBall,Single,0,1,,84.42564,-2.040303,-2.268083,2014.210174,237.376864,2:00,5.72508,1.03156,6.08279,-26.9997,12.45347,17.24304,1.58517,0.36899,76.47561,-7.113088,0.839046,0.452077,97.07714,0.193101,28.888976,3096.098318,,,,41.46995,39.87858,27.748915,0.293714,-9.64882,7.48288,-0.86544,50,5.55309,4.17752,-122.41499,-5.17108,-14.43481,27.34755,-20.97952,MER_BEA,COL_LION,MercerUniversity,D1,SOCON,20260221-MercerUniversity-1,f51e97e0-0f71-11f1-81f8-ab309ab6359c,83.37615,1.73578,,7.95003,,,,2.10708,1.73326,-0.37555,e0df1b81-7652-48ef-a95b-9e51ba5d71c7,2026-02-21,22:09:13.75,2026-02-21T17:09:13.7590000-05:00,2026-02-21T22:09:13.7590000Z,GroundBall,v3,471354,471274,9ec8cd140eac4046880828c9bce95b51,"LaPointe, Dylan",807315,Right,MER_BEA,2759492f-b28b-42bd-9b2e-3a53652dca17,54.41744,-123.3979,13.67377,5.72539,-4.41704,-10.48976,-1.0249,4.69633,-7.21741,311.30598,2.11239,124.41994,-22.7263,,,,,,,1.73741,0.29138,-21.17825,,,,,,,-0.37519,68.76928,-5.97355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
