PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallZAmb4,BatSpeed,VerticalAttackAngle,HorizontalAttackAngle
1,2026-02-22,13:03:35.34,1,1,"Bell, Talan",803829,Left,CLE_TIG,"Zyons, Zac",1000240490,Left,BRY_BUL,Undefined,1,Top,0,0,0,FourSeamFastBall,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.98865,-3.202025,2.555019,2175.941352,143.908378,10:45,5.48486,-1.02458,5.42765,-18.11178,16.49489,-11.17276,0.97043,0.43897,82.91715,-6.595135,0.568447,0.423401,,,,,,,,,,,,6.38335,9.58292,0.80602,50,5.18822,-5.37333,-131.7381,-7.98361,11.17293,29.03395,-15.40083,CLE_TIG,BRY_BUL,KingsmoreStadium,D1,ACC,20260222-KingsmoreStadium-1,ceb6c4e0-1018-11f1-8ecf-a95c8a86e37f,89.02312,,,8.0715,,,,,,,d9d3a0c8-23e0-4003-ae9b-e594a96b0ee3,2026-02-22,18:03:35.34,2026-02-22T13:03:35.3464832-05:00,2026-02-22T18:03:35.3464832Z,,v3,471272,471248,c4ca2e35914d45f087d3c21c0da76b5d,"Jarrell, Jacob",703447,Right,CLE_TIG,71878f5d-ed42-4f91-b93d-e6b4730b632b,55.07151,-132.85112,14.51698,5.48296,-7.39322,-7.70042,1.02022,-5.80165,5.58646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2026-02-22,13:03:49.80,1,2,"Bell, Talan",803829,Left,CLE_TIG,"Zyons, Zac",1000240490,Left,BRY_BUL,Undefined,1,Top,0,1,0,FourSeamFastBall,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,91.94137,-2.366766,1.844428,2227.202785,159.752603,11:15,5.50597,-1.0249,5.31972,-14.20186,20.0934,-6.94863,2.0989,0.12761,82.84083,-5.090167,0.61131,0.421491,78.85324,12.814173,46.142399,3553.780017,,,,119.56124,116.80773,48.957787,1.23423,4.08213,11.19528,0.86313,50,5.28194,-3.96105,-133.09241,-5.93668,7.21744,32.37236,-12.38007,CLE_TIG,BRY_BUL,KingsmoreStadium,D1,ACC,20260222-KingsmoreStadium-1,d752bfa0-1018-11f1-8ecf-a95c8a86e37f,89.42645,9.17767,,9.10055,,,,2.37495,2.26244,-0.17302,d9d3a0c8-23e0-4003-ae9b-e594a96b0ee3,2026-02-22,18:03:49.80,2026-02-22T13:03:49.8058752-05:00,2026-02-22T18:03:49.8058752Z,LineDrive,v3,471272,471248,c4ca2e35914d45f087d3c21c0da76b5d,"Jarrell, Jacob",703447,Right,CLE_TIG,10c217c0-6b9c-4ea2-bbd9-2266a666275c,55.17775,-134.3459,16.18618,5.50254,-5.45731,-6.19004,1.02192,-4.24052,3.60872,,2.37493,78.13749,-17.36685,4.38588,-1.5327,0.85107,-0.29463,-0.02248,0.02954,2.26244,25.65027,-25.31732,3.13091,-0.67307,0.1285,-0.007,-0.0081,0.00243,-0.17302,81.31404,-6.92028,0.07974,0.46593,-0.47541,0.25406,-0.05369,-0.00047,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2026-02-22,13:04:10.95,1,3,"Bell, Talan",803829,Left,CLE_TIG,"Zyons, Zac",1000240490,Left,BRY_BUL,Undefined,1,Top,0,1,1,FourSeamFastBall,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.57959,0.067806,-0.079585,2177.324656,165.341408,11:30,5.51243,-0.97519,5.31173,-14.99572,19.8319,-4.83496,4.32644,-1.45281,81.61347,-2.830699,-0.937873,0.42475,,,,,,,,,,,,2.35,10.20867,0.98587,50,5.50828,0.42278,-132.52515,-0.27765,4.08448,34.31364,-14.43071,CLE_TIG,BRY_BUL,KingsmoreStadium,D1,ACC,20260222-KingsmoreStadium-1,e3f108c0-1018-11f1-8ecf-a95c8a86e37f,88.74033,,,9.96612,,,,,,,d9d3a0c8-23e0-4003-ae9b-e594a96b0ee3,2026-02-22,18:04:10.95,2026-02-22T13:04:10.9585920-05:00,2026-02-22T18:04:10.9585920Z,,v3,471272,471248,c4ca2e35914d45f087d3c21c0da76b5d,"Jarrell, Jacob",703447,Right,CLE_TIG,934dd82b-dcc8-446a-96a1-0c4af88110eb,55.17973,-133.85957,17.15682,5.50817,0.28355,-7.21535,0.97252,0.26393,2.04224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2026-02-22,13:04:29.34,1,4,"Bell, Talan",803829,Left,CLE_TIG,"Zyons, Zac",1000240490,Left,BRY_BUL,Undefined,1,Top,0,2,1,FourSeamFastBall,Sinker,HitByPitch,Undefined,Undefined,Undefined,0,0,,91.29759,0.011344,1.218575,1902.205764,133.791139,10:30,5.41348,-1.33538,4.97727,-18.74533,16.8658,-16.1128,3.86209,-1.52704,81.13405,-3.540988,-1.624006,0.429501,,,,,,,,,,,,8.42902,8.73158,1.23182,50,5.4004,-2.02392,-132.04657,-0.62698,14.47379,35.30884,-17.18077,CLE_TIG,BRY_BUL,KingsmoreStadium,D1,ACC,20260222-KingsmoreStadium-1,eee4d630-1018-11f1-8ecf-a95c8a86e37f,87.75863,,,10.16353,,,,,,,d9d3a0c8-23e0-4003-ae9b-e594a96b0ee3,2026-02-22,18:04:29.34,2026-02-22T13:04:29.3414912-05:00,2026-02-22T18:04:29.3414912Z,,v3,471272,471248,c4ca2e35914d45f087d3c21c0da76b5d,"Jarrell, Jacob",703447,Right,CLE_TIG,722a255d-474b-4c50-996e-f61643d9fdbc,55.51883,-133.51413,17.65442,5.41162,0.08711,-8.59038,1.32845,-2.6255,7.2369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2026-02-22,13:05:06.85,2,1,"Bell, Talan",803829,Left,CLE_TIG,"Greger, Gavin",808834,Left,BRY_BUL,Undefined,1,Top,0,0,0,Curveball,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,81.58197,-0.717459,2.171219,2491.198313,313.553863,4:30,5.41487,-1.08734,4.94581,-51.70928,-7.67874,9.64729,0.42724,1.7694,74.5829,-10.003563,3.875516,0.477583,,,,,,,,,,,,-4.10984,-3.18339,0.86806,50,5.30215,-4.89323,-118.19769,-3.44667,-5.73852,25.26343,-36.61893,CLE_TIG,BRY_BUL,KingsmoreStadium,D1,ACC,20260222-KingsmoreStadium-1,054c9d90-1019-11f1-8ecf-a95c8a86e37f,78.9234,,,6.99908,,,,,,,d9d3a0c8-23e0-4003-ae9b-e594a96b0ee3,2026-02-22,18:05:06.85,2026-02-22T13:05:06.8596224-05:00,2026-02-22T18:05:06.8596224Z,,v3,471272,471248,c4ca2e35914d45f087d3c21c0da76b5d,"Jarrell, Jacob",703447,Right,CLE_TIG,da5a60e9-59ea-4511-8f46-2fae7e637987,55.55516,-119.37914,12.63171,5.42329,-1.73418,-18.30947,1.09061,-4.62487,-2.86926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2026-02-22,13:05:39.12,2,2,"Bell, Talan",803829,Left,CLE_TIG,"Greger, Gavin",808834,Left,BRY_BUL,Undefined,1,Top,0,1,0,Curveball,Curveball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,80.59159,0.148875,1.897303,2356.92209,319.298853,4:45,5.48612,-1.07832,5.07743,-53.77263,-8.47402,8.73008,1.14549,1.43844,72.88809,-9.57496,3.443255,0.484411,,,,,,,,,,,,-3.66965,-3.73937,0.89128,50,5.45798,-4.23816,-116.67777,-1.70341,-4.94513,26.54925,-37.2131,CLE_TIG,BRY_BUL,KingsmoreStadium,D1,ACC,20260222-KingsmoreStadium-1,1887dd20-1019-11f1-8ecf-a95c8a86e37f,77.81089,,,7.7035,,,,,,,d9d3a0c8-23e0-4003-ae9b-e594a96b0ee3,2026-02-22,18:05:39.12,2026-02-22T13:05:39.1223808-05:00,2026-02-22T18:05:39.1223808Z,,v3,471272,471248,c4ca2e35914d45f087d3c21c0da76b5d,"Jarrell, Jacob",703447,Right,CLE_TIG,dd131561-3203-4dae-a186-6ded2deb2f66,55.42132,-117.90491,13.27462,5.49696,0.01661,-18.60655,1.08189,-4.00959,-2.47257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2026-02-22,13:05:58.48,2,3,"Bell, Talan",803829,Left,CLE_TIG,"Greger, Gavin",808834,Left,BRY_BUL,Undefined,1,Top,0,1,1,Curveball,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,80.37637,0.61399,-0.158034,2336.97654,315.340189,4:30,5.46067,-1.19327,4.90286,-54.8966,-9.77103,11.11319,1.46666,-0.41664,73.61037,-9.257857,1.805831,0.483485,,,,,,,,,,,,-5.53677,-4.5761,1.19892,50,5.47432,-0.1534,-116.61038,-0.84143,-7.56659,23.46462,-38.42778,CLE_TIG,BRY_BUL,KingsmoreStadium,D1,ACC,20260222-KingsmoreStadium-1,240af240-1019-11f1-8ecf-a95c8a86e37f,77.95993,,,6.76601,,,,,,,d9d3a0c8-23e0-4003-ae9b-e594a96b0ee3,2026-02-22,18:05:58.48,2026-02-22T13:05:58.4899584-05:00,2026-02-22T18:05:58.4899584Z,,v3,471272,471248,c4ca2e35914d45f087d3c21c0da76b5d,"Jarrell, Jacob",703447,Right,CLE_TIG,0990137d-d829-4599-adb9-2dbe236ae26f,55.59906,-117.73164,11.73231,5.47065,0.99486,-19.21389,1.19761,0.20818,-3.7833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2026-02-22,13:06:18.81,2,4,"Bell, Talan",803829,Left,CLE_TIG,"Greger, Gavin",808834,Left,BRY_BUL,Undefined,1,Top,0,1,2,FourSeamFastBall,Four-Seam,InPlay,Undefined,Popup,Out,1,0,,91.12687,-1.385126,2.11447,2262.459358,144.638261,10:45,5.50283,-0.91904,5.70873,-15.55477,19.01737,-12.56024,2.91496,0.0052,81.59293,-4.389215,-0.130565,0.423189,98.19145,23.516812,25.48479,1880.210068,97.46127,42.86849,51.00205,326.02582,296.13638,33.355771,4.101044,7.11012,10.51079,0.74989,50,5.37753,-4.31139,-131.97851,-3.63957,12.2788,33.55888,-14.02246,CLE_TIG,BRY_BUL,KingsmoreStadium,D1,ACC,20260222-KingsmoreStadium-1,30278840-1019-11f1-8ecf-a95c8a86e37f,89.06758,55.37369,,9.53394,,,,1.75511,2.95292,-0.01095,d9d3a0c8-23e0-4003-ae9b-e594a96b0ee3,2026-02-22,18:06:18.81,2026-02-22T13:06:18.8165120-05:00,2026-02-22T18:06:18.8165120Z,LineDrive,v3,471272,471248,c4ca2e35914d45f087d3c21c0da76b5d,"Jarrell, Jacob",703447,Right,CLE_TIG,7ea8d820-f9da-47e7-8426-7ad1bf3ba25b,54.78823,-133.19048,16.77944,5.49982,-3.13316,-7.01123,0.9136,-4.75484,6.1394,217.132252,1.75425,119.22603,-24.64427,5.76716,-1.4537,0.35572,-0.07051,0.00857,-0.00044,2.95368,57.44405,-17.34581,0.89614,0.07073,-0.08711,0.02698,-0.00355,0.00017,-0.01094,56.81817,-3.73614,-0.12577,0.16464,-0.04311,0.00492,-2E-05,-2E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2026-02-22,13:07:47.69,3,1,"Bell, Talan",803829,Left,CLE_TIG,"Garcia, Ellis",804570,Right,BRY_BUL,Undefined,1,Top,1,0,0,FourSeamFastBall,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.31792,-2.392169,3.234458,2239.649014,152.601925,11:00,5.43887,-1.0008,5.69679,-18.993,14.9665,-7.17615,1.62201,1.41858,83.29147,-5.957495,1.953773,0.419423,,,,,,,,,,,,4.58248,8.63162,0.73355,50,5.22591,-7.16021,-132.29138,-6.15771,8.09824,28.95806,-16.92009,CLE_TIG,BRY_BUL,KingsmoreStadium,D1,ACC,20260222-KingsmoreStadium-1,651c8230-1019-11f1-8ecf-a95c8a86e37f,89.86742,,,8.02645,,,,,,,d9d3a0c8-23e0-4003-ae9b-e594a96b0ee3,2026-02-22,18:07:47.69,2026-02-22T13:07:47.6915200-05:00,2026-02-22T18:07:47.6915200Z,,v3,471272,471248,c4ca2e35914d45f087d3c21c0da76b5d,"Jarrell, Jacob",703447,Right,CLE_TIG,bff75beb-8416-44f2-ab37-83af885ff50e,54.80218,-133.33841,14.47903,5.4375,-5.54593,-8.46004,0.99773,-7.45302,4.04912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2026-02-22,13:08:05.22,3,2,"Bell, Talan",803829,Left,CLE_TIG,"Garcia, Ellis",804570,Right,BRY_BUL,Undefined,1,Top,1,1,0,FourSeamFastBall,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,91.43331,-2.603538,2.331253,2203.569323,162.836103,11:30,5.47072,-0.97767,5.47967,-11.88662,22.80269,-6.63048,2.04037,0.65232,81.90667,-4.938125,1.151939,0.423906,,,,,,,,,,,,4.0961,12.69583,0.77756,50,5.23438,-5.07103,-132.21874,-6.30762,7.1111,33.26294,-10.13328,CLE_TIG,BRY_BUL,KingsmoreStadium,D1,ACC,20260222-KingsmoreStadium-1,6f92bb30-1019-11f1-8ecf-a95c8a86e37f,88.91703,,,9.52664,,,,,,,d9d3a0c8-23e0-4003-ae9b-e594a96b0ee3,2026-02-22,18:08:05.22,2026-02-22T13:08:05.2223488-05:00,2026-02-22T18:08:05.2223488Z,,v3,471272,471248,c4ca2e35914d45f087d3c21c0da76b5d,"Jarrell, Jacob",703447,Right,CLE_TIG,8f2ab7ed-55c5-4b8c-a8ff-bdf3e87b1384,55.01519,-133.47447,16.63147,5.46528,-5.92507,-5.06664,0.97406,-5.33949,3.55555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
