PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallZAmb4,BatSpeed,VerticalAttackAngle,HorizontalAttackAngle
1,2026-02-22,13:04:24.68,1,1,"Gardner, Grant",1000277895,Right,APP_MOU,"Guerrero, Julio",10113500,Right,SIU_SAL,Undefined,1,Top,0,0,0,Cutter,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,85.57648,1.367098,-0.357406,2426.255806,113.317276,9:45,5.75639,2.08716,5.53523,-35.09644,3.20823,-4.92717,4.1098,1.34249,78.92262,-5.0688,-1.235957,0.445448,,,,,,,,,,,,2.3915,1.635,-2.05283,50,5.85168,0.98512,-124.36446,1.70577,3.78097,22.72293,-29.58909,APP_MOU,SIU_SAL,LPFrans,D1,SBELT,20260222-LPFrans-1,ec234530-1018-11f1-934b-0530c6438f9f,84.61686,,,6.65386,,,,,,,23a78c3f-ea7d-48cf-ad8e-f0c424c2b044,2026-02-22,18:04:24.68,2026-02-22T13:04:24.6835712-05:00,2026-02-22T18:04:24.6835712Z,,v3,471230,471447,,"Walker, Tommy",811738,Right,APP_MOU,01dd9be3-7cbd-459f-b6c0-16fa5bf83443,54.96444,-125.26824,11.36147,5.76043,2.88265,-14.79455,-2.08903,0.83474,1.89049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2026-02-22,13:04:43.56,1,2,"Gardner, Grant",1000277895,Right,APP_MOU,"Guerrero, Julio",10113500,Right,SIU_SAL,Undefined,1,Top,0,1,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.99181,0.169299,-1.35991,2083.439009,190.471112,12:15,5.80663,2.0329,6.15637,-14.22379,19.77899,3.42303,4.77777,1.06153,81.50794,-2.619944,-0.742838,0.41969,,,,,,,,,,,,-2.19681,10.463,-1.93118,50,5.81192,2.98136,-131.93116,0.05376,-3.79905,32.99798,-14.08006,APP_MOU,SIU_SAL,LPFrans,D1,SBELT,20260222-LPFrans-1,f755f060-1018-11f1-934b-0530c6438f9f,89.81019,,,9.48387,,,,,,,23a78c3f-ea7d-48cf-ad8e-f0c424c2b044,2026-02-22,18:04:43.56,2026-02-22T13:04:43.5613184-05:00,2026-02-22T18:04:43.5613184Z,,v3,471230,471447,,"Walker, Tommy",811738,Right,APP_MOU,035ca134-f814-446a-9755-6d475c72422c,54.33698,-133.01148,16.49899,5.80261,0.51472,-7.04003,-2.03083,3.10574,-1.89952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2026-02-22,13:05:02.79,1,3,"Gardner, Grant",1000277895,Right,APP_MOU,"Guerrero, Julio",10113500,Right,SIU_SAL,Undefined,1,Top,0,2,0,Cutter,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,86.97213,-1.251237,-2.647905,2566.934131,94.457372,9:15,5.72845,2.03017,5.65859,-35.37183,1.46232,-6.11075,1.61251,-0.95015,81.0115,-7.689722,-3.739195,0.436814,,,,,,,,,,,,2.4748,1.35925,-1.80201,50,5.59986,6.09765,-126.36418,-4.03762,4.0549,22.53305,-29.94694,APP_MOU,SIU_SAL,LPFrans,D1,SBELT,20260222-LPFrans-1,02d3fc70-1019-11f1-934b-0530c6438f9f,86.28942,,,5.96064,,,,,,,23a78c3f-ea7d-48cf-ad8e-f0c424c2b044,2026-02-22,18:05:02.79,2026-02-22T13:05:02.7912192-05:00,2026-02-22T18:05:02.7912192Z,,v3,471230,471447,,"Walker, Tommy",811738,Right,APP_MOU,2cf0a114-1e41-4ea9-823e-92905893580c,54.84266,-127.22478,11.26653,5.73222,-2.89386,-14.97347,-2.03194,5.94278,2.02745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2026-02-22,13:05:19.58,1,4,"Gardner, Grant",1000277895,Right,APP_MOU,"Guerrero, Julio",10113500,Right,SIU_SAL,Undefined,1,Top,0,3,0,Fastball,Four-Seam,BallCalled,Walk,Undefined,Undefined,0,0,,90.35939,0.134337,-1.462143,2302.385819,202.82185,12:45,5.79917,1.92466,6.07618,-16.45454,17.50095,6.91654,4.5523,1.14786,82.43682,-3.014399,-0.217096,0.419398,,,,,,,,,,,,-3.94532,9.28465,-1.81503,50,5.80062,3.05546,-131.26383,-0.15264,-6.88458,27.74419,-15.97226,APP_MOU,SIU_SAL,LPFrans,D1,SBELT,20260222-LPFrans-1,0cd29470-1019-11f1-934b-0530c6438f9f,89.87274,,,7.92257,,,,,,,23a78c3f-ea7d-48cf-ad8e-f0c424c2b044,2026-02-22,18:05:19.58,2026-02-22T13:05:19.5847168-05:00,2026-02-22T18:05:19.5847168Z,,v3,471230,471447,,"Walker, Tommy",811738,Right,APP_MOU,12a50d67-adab-4ee8-98cb-d8bd8d3fbaa6,54.42111,-132.19498,13.87209,5.79675,0.38342,-7.98613,-1.92145,3.28652,-3.44229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2026-02-22,13:06:00.69,2,1,"Gardner, Grant",1000277895,Right,APP_MOU,"Watson, Kylen",831312,Left,SIU_SAL,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.02468,-0.679646,0.248488,2257.612789,215.74466,1:15,5.77996,2.34128,5.74466,-18.1591,16.13001,10.74178,3.63388,3.46779,82.19703,-4.132536,2.171,0.421453,,,,,,,,,,,,-5.32992,8.74993,-2.36829,50,5.71251,-1.06247,-132.01943,-2.1267,-9.29141,31.32114,-16.92073,APP_MOU,SIU_SAL,LPFrans,D1,SBELT,20260222-LPFrans-1,25560fe0-1019-11f1-934b-0530c6438f9f,89.43442,,,8.82765,,,,,,,23a78c3f-ea7d-48cf-ad8e-f0c424c2b044,2026-02-22,18:06:00.69,2026-02-22T13:06:00.6944256-05:00,2026-02-22T18:06:00.6944256Z,,v3,471230,471447,,"Walker, Tommy",811738,Right,APP_MOU,06190d3f-a934-4651-952f-24857d458ce4,54.75047,-133.14169,15.66057,5.77785,-1.52042,-8.46037,-2.33618,-0.72955,-4.64571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2026-02-22,13:06:33.13,2,2,"Gardner, Grant",1000277895,Right,APP_MOU,"Watson, Kylen",831312,Left,SIU_SAL,Undefined,1,Top,0,1,0,ChangeUp,Splitter,StrikeCalled,Undefined,Undefined,Undefined,0,0,,82.72139,1.26977,-2.07736,1057.0232,281.31073,3:30,5.7467,2.33881,6.07893,-40.16227,0.27949,4.71961,3.57563,0.80924,75.94756,-6.158501,-1.227637,0.457706,,,,,,,,,,,,-2.98319,0.21453,-2.18057,50,5.82388,4.17625,-120.17326,1.36409,-4.37308,22.75882,-31.85955,APP_MOU,SIU_SAL,LPFrans,D1,SBELT,20260222-LPFrans-1,38af37b0-1019-11f1-934b-0530c6438f9f,82.35081,,,6.77383,,,,,,,23a78c3f-ea7d-48cf-ad8e-f0c424c2b044,2026-02-22,18:06:33.13,2026-02-22T13:06:33.1329024-05:00,2026-02-22T18:06:33.1329024Z,,v3,471230,471447,,"Walker, Tommy",811738,Right,APP_MOU,1175632d-45b3-4a04-a8ec-5ac5bc0f599a,54.42052,-121.00754,11.37941,5.75247,2.53198,-15.92977,-2.3366,4.33656,-2.18654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2026-02-22,13:07:23.87,2,3,"Gardner, Grant",1000277895,Right,APP_MOU,"Watson, Kylen",831312,Left,SIU_SAL,Undefined,1,Top,0,1,1,ChangeUp,Splitter,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,84.15238,-1.346083,-4.039333,1077.145444,258.272395,2:30,5.7116,2.25311,5.55667,-37.65719,3.1663,7.96339,1.31244,-0.86365,76.00454,-8.26605,-2.621735,0.459861,,,,,,,,,,,,-5.37559,2.47295,-1.90896,50,5.57034,8.25999,-121.6731,-4.17746,-7.91002,27.97698,-28.53516,APP_MOU,SIU_SAL,LPFrans,D1,SBELT,20260222-LPFrans-1,56f59d40-1019-11f1-934b-0530c6438f9f,81.96488,,,8.14784,,,,,,,23a78c3f-ea7d-48cf-ad8e-f0c424c2b044,2026-02-22,18:07:23.87,2026-02-22T13:07:23.8725120-05:00,2026-02-22T18:07:23.8725120Z,,v3,471230,471447,,"Walker, Tommy",811738,Right,APP_MOU,20321432-90dd-4ef4-8978-2d4a830f461d,54.94086,-122.80392,13.98849,5.71588,-3.02407,-14.26758,-2.24929,8.57971,-3.95501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2026-02-22,13:07:41.07,2,4,"Gardner, Grant",1000277895,Right,APP_MOU,"Watson, Kylen",831312,Left,SIU_SAL,Undefined,1,Top,0,1,2,ChangeUp,Splitter,InPlay,Undefined,GroundBall,Single,0,0,,84.34093,0.935413,-2.046958,1149.457843,285.518176,3:30,5.70955,2.21289,5.84418,-39.28262,0.06087,4.18229,3.30594,0.65832,77.26321,-6.301156,-1.297153,0.451448,94.15641,3.382743,-14.122688,1814.187975,,,,100.7606,92.88744,-17.602689,0.841273,-2.71449,0.125,-2.04873,50,5.76259,4.21087,-122.48309,0.66431,-4.12163,24.30149,-31.98423,APP_MOU,SIU_SAL,LPFrans,D1,SBELT,20260222-LPFrans-1,61369570-1019-11f1-934b-0530c6438f9f,83.49231,4.3453,,7.07772,,,,0.59459,3.2387,-0.51321,23a78c3f-ea7d-48cf-ad8e-f0c424c2b044,2026-02-22,18:07:41.07,2026-02-22T13:07:41.0756096-05:00,2026-02-22T18:07:41.0756096Z,GroundBall,v3,471230,471447,,"Walker, Tommy",811738,Right,APP_MOU,f2208583-2957-45ca-aa33-aae6fac016f5,54.656,-123.40341,12.15075,5.71449,1.87559,-15.99212,-2.21115,4.36697,-2.06082,102.407973,0.73469,131.39307,-21.69465,,,,,,,3.26925,7.65321,-13.75599,,,,,,,-0.4734,-34.30278,-1.65856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2026-02-22,13:08:18.52,3,1,"Gardner, Grant",1000277895,Right,APP_MOU,"Sprawling, Kristian",10035074,Right,SIU_SAL,Undefined,1,Top,0,0,0,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,78.59171,5.031462,-0.482336,2393.041577,75.376331,8:30,5.68434,2.52288,5.69197,-51.78786,-4.5641,-24.63139,6.07016,0.02073,69.66436,-4.548709,-4.873015,0.494597,,,,,,,,,,,,11.9176,-3.33957,-2.46875,50,6.0781,2.0003,-113.39878,8.22063,15.04739,26.59747,-36.39064,APP_MOU,SIU_SAL,LPFrans,D1,SBELT,20260222-LPFrans-1,77883cc0-1019-11f1-934b-0530c6438f9f,76.20837,,,8.92735,,,,,,,23a78c3f-ea7d-48cf-ad8e-f0c424c2b044,2026-02-22,18:08:18.52,2026-02-22T13:08:18.5299968-05:00,2026-02-22T18:08:18.5299968Z,,v3,471230,471447,,"Walker, Tommy",811738,Right,APP_MOU,ef61d4f5-b5d0-4d75-b4f1-956bd7f47127,54.80239,-114.51963,13.29874,5.69936,9.75418,-18.19532,-2.53968,1.36618,7.52369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2026-02-22,13:08:46.81,3,2,"Gardner, Grant",1000277895,Right,APP_MOU,"Sprawling, Kristian",10035074,Right,SIU_SAL,Undefined,1,Top,0,1,0,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,81.93449,-0.658083,-2.763779,2556.856872,54.558321,7:45,5.63456,2.1241,5.66325,-51.16322,-9.04347,-14.49934,0.75657,-1.66335,75.7241,-9.924786,-5.355827,0.467105,,,,,,,,,,,,6.57244,-4.00902,-1.88103,50,5.54657,6.31481,-118.93846,-3.15659,9.37586,23.6933,-37.89305,APP_MOU,SIU_SAL,LPFrans,D1,SBELT,20260222-LPFrans-1,88662b60-1019-11f1-934b-0530c6438f9f,80.69375,,,6.21039,,,,,,,23a78c3f-ea7d-48cf-ad8e-f0c424c2b044,2026-02-22,18:08:46.81,2026-02-22T13:08:46.8130304-05:00,2026-02-22T18:08:46.8130304Z,,v3,471230,471447,,"Walker, Tommy",811738,Right,APP_MOU,2da75b9b-407a-4b01-9761-8fd5b2dc5549,54.83928,-119.89859,11.84665,5.64337,-1.62103,-18.94653,-2.12923,5.93487,4.68793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
