PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallZAmb4,BatSpeed,VerticalAttackAngle,HorizontalAttackAngle
1,2026-02-21,16:26:03.50,1,1,"Penney, Landon",1000180929,Left,CAT_UNI,"Krese, Chip",10300768,Right,STE_INS,Undefined,1,Top,0,0,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,85.51682,-0.317593,2.817094,2223.172711,160.2556,11:15,5.88373,-1.6486,5.95038,-23.61832,14.5395,-4.78591,3.62063,0.56742,78.16115,-4.756625,1.958751,0.444593,,,,,,,,,,,,3.2126,7.90752,1.42696,50,5.84518,-5.90887,-124.08349,-1.40305,5.01176,24.68447,-19.83803,CAT_UNI,STE_INS,CatholicUniversity,D3,Team,20260221-CatholicUniversity-2,ed981380-0f6b-11f1-85d9-2d8818ff8931,84.77957,,,7.35566,,,,,,,ca2721f4-2aac-42c5-bf1d-b18c58b675af,2026-02-21,21:26:03.50,2026-02-21T16:26:03.5049984-05:00,2026-02-21T21:26:03.5049984Z,,v3,643-144599,643-145917,,"Fisher, Matthew",1000396234,Right,CAT_UNI,deb86dd2-8043-4b7c-b9d2-b1f6e1499091,54.54571,-124.98452,12.34223,5.88318,-0.67892,-9.91902,1.64598,-6.0918,2.50588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,154.198548,-37.159063,1771.783476,0.796962,11:15,0.636634,0.350224,-0.687052,36.772829,-60.798915,-30.586184,155.061963,-6.123052,0.419232,-0.106664,-0.901591,6.747102,-24.78614,0.106664,-0.419232,0.901591,-6.747102,24.78614,-0.106664,0.419232,0.901591,-155.061963,6.123052,-0.419232,0.106664,-0.901591,,,
2,2026-02-21,16:26:16.69,1,2,"Penney, Landon",1000180929,Left,CAT_UNI,"Krese, Chip",10300768,Right,STE_INS,Undefined,1,Top,0,1,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,85.70567,-1.302571,1.791666,2151.808446,167.108372,11:30,5.74752,-2.01492,5.8114,-23.19226,15.14623,-3.17496,2.60279,-0.61292,78.08104,-5.658324,1.222859,0.445645,,,,,,,,,,,,2.13122,8.48524,1.8699,50,5.62703,-3.75646,-124.33269,-3.54258,3.32128,25.96079,-18.95064,CAT_UNI,STE_INS,CatholicUniversity,D3,Team,20260221-CatholicUniversity-2,f543bad0-0f6b-11f1-85d9-2d8818ff8931,84.57953,,,7.62463,,,,,,,ca2721f4-2aac-42c5-bf1d-b18c58b675af,2026-02-21,21:26:16.69,2026-02-21T16:26:16.6975488-05:00,2026-02-21T21:26:16.6975488Z,,v3,643-144599,643-145917,,"Fisher, Matthew",1000396234,Right,CAT_UNI,e899c257-9321-4227-9c8a-d794a44d7750,54.6844,-125.30698,12.98039,5.74663,-2.83138,-9.47532,2.01322,-3.88111,1.66064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,152.990083,-35.645453,1748.642821,0.812639,11:00,0.596583,0.382208,-0.705695,58.390854,18.645248,-59.763541,168.366309,-11.944171,0.197288,-0.206958,-0.958251,12.187273,-11.378415,0.206958,-0.197288,0.958251,-12.187273,11.378415,-0.206958,0.197288,0.958251,-168.366309,11.944171,-0.197288,0.206958,-0.958251,,,
3,2026-02-21,16:26:31.58,1,3,"Penney, Landon",1000180929,Left,CAT_UNI,"Krese, Chip",10300768,Right,STE_INS,Undefined,1,Top,0,1,1,Fastball,Four-Seam,InPlay,Undefined,FlyBall,Triple,0,0,,86.37077,-2.107405,2.345323,2197.09017,168.493062,11:30,5.97105,-1.81982,6.09494,-22.37218,15.03087,-2.80547,2.15497,0.11688,78.75131,-6.324692,1.84027,0.440175,95.51655,30.318926,-10.949141,1744.732733,107.68049,57.50272,-22.46993,362.66486,362.66486,-13.18448,4.728701,2.14327,8.75567,1.64062,50,5.7968,-5.02066,-125.28805,-5.27203,3.38745,26.65085,-18.33574,CAT_UNI,STE_INS,CatholicUniversity,D3,Team,20260221-CatholicUniversity-2,fe24d4e0-0f6b-11f1-85d9-2d8818ff8931,85.63065,78.09212,,7.61946,,,,1.17838,2.12058,-0.10588,ca2721f4-2aac-42c5-bf1d-b18c58b675af,2026-02-21,21:26:31.58,2026-02-21T16:26:31.5822592-05:00,2026-02-21T21:26:31.5822592Z,FlyBall,v3,643-144599,643-145917,,"Fisher, Matthew",1000396234,Right,CAT_UNI,f518cf49-a9a1-4df9-8c93-4c9a539fcf77,54.40287,-126.22114,13.32542,5.97015,-4.63007,-9.16787,1.81847,-5.13926,1.69372,168.182082,1.17803,118.73913,-21.61301,5.43063,-1.28762,0.30477,-0.05923,0.00714,-0.00037,2.12256,70.67181,-18.13302,0.63272,0.31162,-0.20194,0.05394,-0.00691,0.00034,-0.10571,-22.97317,1.97779,-0.28031,0.04449,-0.0149,0.00469,-0.00073,4E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,,154.029452,-38.096403,1729.052308,0.786974,11:15,0.632343,0.367078,-0.682199,37.215005,-45.590613,-38.685203,162.203066,-8.025516,0.302651,-0.139614,-0.94282,8.423223,-17.61689,0.139614,-0.302651,0.94282,-8.423223,17.61689,-0.139614,0.302651,0.94282,-162.203066,8.025516,-0.302651,0.139614,-0.94282,,,
4,2026-02-21,16:27:19.93,2,1,"Penney, Landon",1000180929,Left,CAT_UNI,"Reichlin, Jack",10303476,Right,STE_INS,Undefined,1,Top,0,0,0,Fastball,Sinker,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,86.32897,-1.496345,2.654734,2174.196928,156.12078,11:15,5.89808,-1.74573,5.9773,-24.15462,13.51009,-5.41634,2.4963,0.26557,78.53044,-6.034619,1.682064,0.441712,,,,,,,,,,,,3.57441,7.76548,1.53871,50,5.76633,-5.58486,-125.18749,-4.01397,5.63212,26.94639,-19.93809,CAT_UNI,STE_INS,CatholicUniversity,D3,Team,20260221-CatholicUniversity-2,1af626a0-0f6c-11f1-85d9-2d8818ff8931,85.33269,,,7.79853,,,,,,,ca2721f4-2aac-42c5-bf1d-b18c58b675af,2026-02-21,21:27:19.93,2026-02-21T16:27:19.9347712-05:00,2026-02-21T21:27:19.9347712Z,,v3,643-144599,643-145917,,"Fisher, Matthew",1000396234,Right,CAT_UNI,9ca17bf7-f0c0-4cc8-84e2-ff478e2cb12f,54.51977,-126.15661,13.4732,5.89779,-3.2969,-9.96905,1.74321,-5.78741,2.81606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,152.723605,-40.816375,1645.45024,0.756808,11:00,0.674821,0.363783,-0.642089,34.672134,-59.815526,-31.396755,158.529334,-9.817141,0.360665,-0.170504,-0.916978,10.533368,-21.141048,0.170504,-0.360665,0.916978,-10.533368,21.141048,-0.170504,0.360665,0.916978,-158.529334,9.817141,-0.360665,0.170504,-0.916978,,,
5,2026-02-21,16:27:35.28,2,2,"Penney, Landon",1000180929,Left,CAT_UNI,"Reichlin, Jack",10303476,Right,STE_INS,Undefined,1,Top,0,0,1,Slider,Curveball,InPlay,Undefined,GroundBall,FieldersChoice,1,0,,73.03839,1.522025,2.06207,1984.473663,320.68743,4:45,5.875,-1.91667,5.42292,-63.90751,-9.81107,9.57123,1.97627,0.81323,66.60853,-10.090193,3.766667,0.529366,65.62361,-10.407544,-47.396483,,,,,14.00318,14.00318,-42.104894,0.123634,-4.17894,-4.99209,1.72661,50,5.96533,-4.15897,-105.88437,0.77815,-4.66577,20.87057,-37.7477,CAT_UNI,STE_INS,CatholicUniversity,D3,Team,20260221-CatholicUniversity-2,242adef0-0f6c-11f1-85d9-2d8818ff8931,71.20304,2.15669,,6.42986,,,,2.44071,2.15669,-0.74612,ca2721f4-2aac-42c5-bf1d-b18c58b675af,2026-02-21,21:27:35.28,2026-02-21T16:27:35.2823296-05:00,2026-02-21T21:27:35.2823296Z,GroundBall,v3,643-144599,643-145917,,"Fisher, Matthew",1000396234,Right,CAT_UNI,24e141e0-a56a-4135-967b-e164e4d94c1d,55.07842,-106.88068,10.43529,5.88517,2.58012,-18.87385,1.91984,-3.93624,-2.33289,,2.43652,64.29086,,,,,,,,2.15782,-17.44418,,,,,,,,-0.74156,-69.90718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,,321.888935,-57.915878,1054.080583,0.531164,4:45,0.822682,-0.350217,0.44782,44.222657,-46.691952,-80.170337,130.203744,30.387381,0.658833,0.505844,-0.556831,42.253048,41.21095,0.505844,0.658833,0.556831,-42.253048,-41.21095,-0.505844,-0.658833,0.556831,-130.203744,-30.387381,-0.658833,-0.505844,-0.556831,,,
6,2026-02-21,16:28:16.13,3,1,"Penney, Landon",1000180929,Left,CAT_UNI,"Sterling, Quinton",1000311182,Right,STE_INS,Undefined,1,Top,1,0,0,Fastball,Cutter,BallCalled,Undefined,Undefined,Undefined,0,0,,85.44873,1.371424,2.231177,2042.018373,158.781303,11:15,5.93955,-1.49912,5.39647,-29.87037,9.48449,-3.16386,4.73677,0.32917,77.3482,-4.165913,1.669394,0.451513,,,,,,,,,,,,2.2361,4.76796,1.30222,50,6.04147,-4.68054,-123.77442,1.91866,3.44284,26.43818,-24.83299,CAT_UNI,STE_INS,CatholicUniversity,D3,Team,20260221-CatholicUniversity-2,3c771dc0-0f6c-11f1-85d9-2d8818ff8931,83.48022,,,8.10053,,,,,,,ca2721f4-2aac-42c5-bf1d-b18c58b675af,2026-02-21,21:28:16.13,2026-02-21T16:28:16.1389568-05:00,2026-02-21T21:28:16.1389568Z,,v3,643-144599,643-145917,,"Fisher, Matthew",1000396234,Right,CAT_UNI,ce1cbad1-3b5e-4173-9a86-3b81fa83ce10,55.09753,-124.8585,13.21909,5.94192,2.93692,-12.41649,1.49704,-4.82172,1.72142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,159.35588,-45.466599,1432.118411,0.701325,11:15,0.743561,0.230129,-0.62782,66.913092,-2.332006,-55.010251,167.170201,-17.176127,0.212152,-0.29531,-0.931549,17.589117,-12.248511,0.29531,-0.212152,0.931549,-17.589117,12.248511,-0.29531,0.212152,0.931549,-167.170201,17.176127,-0.212152,0.29531,-0.931549,,,
7,2026-02-21,16:28:53.57,3,2,"Penney, Landon",1000180929,Left,CAT_UNI,"Sterling, Quinton",1000311182,Right,STE_INS,Undefined,1,Top,1,1,0,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,71.56502,1.615885,0.546016,1950.605242,306.385816,4:15,5.93878,-1.66446,5.24301,-69.77232,-12.71233,20.08159,1.6435,0.52217,65.0097,-11.01906,4.117283,0.543672,,,,,,,,,,,,-9.81981,-6.27599,1.59884,50,6.03559,-1.7369,-103.72876,0.65608,-10.4422,21.23175,-38.8478,CAT_UNI,STE_INS,CatholicUniversity,D3,Team,20260221-CatholicUniversity-2,52e092d0-0f6c-11f1-85d9-2d8818ff8931,69.32934,,,6.55532,,,,,,,ca2721f4-2aac-42c5-bf1d-b18c58b675af,2026-02-21,21:28:53.57,2026-02-21T16:28:53.5737856-05:00,2026-02-21T21:28:53.5737856Z,,v3,643-144599,643-145917,,"Fisher, Matthew",1000396234,Right,CAT_UNI,b4ca7d38-2714-4267-af88-ed8181c967e7,55.2587,-104.79961,10.61587,5.95309,2.61542,-19.4239,1.67316,-1.21023,-5.2211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,320.587674,-47.642796,1314.221498,0.673751,4:45,0.721609,-0.44843,0.527438,40.948234,-43.053321,-87.552677,120.369228,34.633675,0.709902,0.568327,-0.415985,53.797911,45.226935,0.568327,0.709902,0.415985,-53.797911,-45.226935,-0.568327,-0.709902,0.415985,-120.369228,-34.633675,-0.709902,-0.568327,-0.415985,,,
8,2026-02-21,16:29:12.35,3,3,"Penney, Landon",1000180929,Left,CAT_UNI,"Sterling, Quinton",1000311182,Right,STE_INS,Undefined,1,Top,1,2,0,Fastball,Cutter,HitByPitch,Undefined,Undefined,Undefined,0,0,,84.63764,0.371848,3.483508,2217.45347,168.900299,11:45,5.96009,-1.45745,5.70088,-26.63722,12.92422,-2.28051,4.08747,1.60249,76.99345,-4.601881,3.077042,0.452697,,,,,,,,,,,,2.19102,6.843,1.1664,50,5.9749,-7.37501,-122.66361,-0.0527,3.32056,25.4621,-21.80323,CAT_UNI,STE_INS,CatholicUniversity,D3,Team,20260221-CatholicUniversity-2,5df99b80-0f6c-11f1-85d9-2d8818ff8931,83.262,,,7.64419,,,,,,,ca2721f4-2aac-42c5-bf1d-b18c58b675af,2026-02-21,21:29:12.35,2026-02-21T16:29:12.3505664-05:00,2026-02-21T21:29:12.3505664Z,,v3,643-144599,643-145917,,"Fisher, Matthew",1000396234,Right,CAT_UNI,3a42eb00-b237-4995-a841-44e0f03c8429,54.79749,-123.65545,12.73105,5.96041,0.79661,-10.90161,1.4562,-7.50436,1.66028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,155.989079,-45.959327,1541.504555,0.695169,11:15,0.75792,0.2782,-0.590053,20.242027,-75.520397,-2.829011,157.335585,0.238323,0.38533,0.00416,-0.92277,0.258267,22.664208,0.00416,0.38533,0.92277,-0.258267,-22.664208,-0.00416,-0.38533,0.92277,-157.335585,-0.238323,-0.38533,-0.00416,-0.92277,,,
9,2026-02-21,16:30:02.35,4,1,"Penney, Landon",1000180929,Left,CAT_UNI,"Zitko, Griffin",1000214607,Right,STE_INS,Undefined,1,Top,1,0,0,Slider,Curveball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,71.66236,0.791654,-0.130498,1892.501681,302.637874,4:00,6.06195,-1.61761,5.18881,-65.15504,-8.44792,16.33013,1.37717,-0.37954,65.3851,-10.996089,2.772666,0.541989,,,,,,,,,,,,-8.24359,-3.98496,1.6166,50,6.0857,-0.36136,-103.92437,-0.66352,-8.8487,20.42223,-36.45153,CAT_UNI,STE_INS,CatholicUniversity,D3,Team,20260221-CatholicUniversity-2,7bd72d20-0f6c-11f1-85d9-2d8818ff8931,69.5447,,,6.27726,,,,,,,ca2721f4-2aac-42c5-bf1d-b18c58b675af,2026-02-21,21:30:02.35,2026-02-21T16:30:02.3504896-05:00,2026-02-21T21:30:02.3504896Z,,v3,643-144599,643-145917,,"Fisher, Matthew",1000396234,Right,CAT_UNI,df89b6c6-ba81-4ea0-abf5-5bca1c6a4f90,55.31253,-104.96315,10.21112,6.0723,1.19058,-18.22577,1.62354,0.08873,-4.42435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,325.900991,-48.543819,1252.92517,0.662047,4:45,0.745509,-0.381479,0.546525,109.733916,-15.768803,44.662191,130.506962,23.639263,0.696527,0.400977,-0.595036,33.974832,44.148993,0.400977,0.696527,0.595036,-33.974832,-44.148993,-0.400977,-0.696527,0.595036,-130.506962,-23.639263,-0.696527,-0.400977,-0.595036,,,
10,2026-02-21,16:30:28.24,4,2,"Penney, Landon",1000180929,Left,CAT_UNI,"Zitko, Griffin",1000214607,Right,STE_INS,Undefined,1,Top,1,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,85.99491,0.311112,2.735597,2217.098617,170.376371,11:45,5.98049,-1.72556,6.07046,-21.08481,16.73143,-2.62236,4.51164,0.58925,77.99185,-3.701078,2.264369,0.442599,,,,,,,,,,,,2.14252,8.87489,1.51486,50,5.99325,-5.84909,-124.70037,0.08603,3.35238,26.55467,-18.28771,CAT_UNI,STE_INS,CatholicUniversity,D3,Team,20260221-CatholicUniversity-2,8b37ca90-0f6c-11f1-85d9-2d8818ff8931,85.16159,,,8.00306,,,,,,,ca2721f4-2aac-42c5-bf1d-b18c58b675af,2026-02-21,21:30:28.24,2026-02-21T16:30:28.2494976-05:00,2026-02-21T21:30:28.2494976Z,,v3,643-144599,643-145917,,"Fisher, Matthew",1000396234,Right,CAT_UNI,202dc739-5e6b-4e5f-b9a8-e333f259c718,54.42349,-125.63881,13.27734,5.97879,0.73231,-9.14386,1.72366,-5.96757,1.67619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,150.935217,-34.652145,1823.827962,0.822619,11:00,0.604421,0.396534,-0.690968,37.308934,-40.117537,-51.845076,155.84036,-13.199311,0.398468,-0.228339,-0.888304,14.415815,-23.482435,0.228339,-0.398468,0.888304,-14.415815,23.482435,-0.228339,0.398468,0.888304,-155.84036,13.199311,-0.398468,0.228339,-0.888304,,,
