PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallZAmb4,BatSpeed,VerticalAttackAngle,HorizontalAttackAngle
1,2026-02-21,15:46:24.93,1,1,"Hartzog, Holton",10283454,Left,WIL_CAR,"Parks, Cade",10974200,Right,WIL_BAP,Undefined,1,Top,0,0,0,FourSeamFastBall,Cutter,InPlay,Undefined,GroundBall,Out,1,0,,84.78689,-0.451683,0.368782,2109.321679,205.52457,12:45,5.93303,-1.10299,5.79229,-29.10415,9.95611,4.15626,3.08745,-0.41354,77.49791,-5.862411,1.113703,0.44982,91.02976,-8.117479,31.150074,,,,,17.66162,16.73367,32.947937,0.13426,-2.01445,5.58583,1.07009,50,5.87841,-0.9618,-123.1379,-1.91918,-3.08553,25.00473,-23.61833,WIL_CAR,WIL_BAP,WilliamCarey,NAIA,NAIA,20260221-WilliamCarey-2,c4f75a00-0f6e-11f1-baae-0b5c93e6e3ea,83.79445,2.9399,,7.28898,,,,0.05053,2.9399,0.38784,dea7233b-a672-481b-bccb-3fa09194c391,2026-02-21,21:46:24.93,2026-02-21T15:46:24.9350000-06:00,2026-02-21T21:46:24.9350000Z,GroundBall,v3,,,,"Hernandez, Franklin",1000527441,Right,WIL_CAR,ab4ed0b3-831d-4739-9ae7-13046a979816,54.71113,-124.09087,12.50237,5.93439,-1.01905,-11.80917,1.1045,-0.84421,-1.54277,303.464928,0.05081,113.08839,-22.92678,,,,,,,2.94028,-18.88898,-22.44702,,,,,,,0.3876,68.39478,1.98224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,,169.505543,-63.327366,946.858144,0.448892,11:45,0.895736,0.088803,-0.435627,25.653331,-57.85502,-4.326313,173.862913,-16.528631,0.10249,-0.284494,-0.953183,16.618663,-5.882574,0.284494,-0.10249,0.953183,-16.618663,5.882574,-0.284494,0.10249,0.953183,-173.862913,16.528631,-0.10249,0.284494,-0.953183,,,
2,2026-02-21,15:46:55.92,2,1,"Hartzog, Holton",10283454,Left,WIL_CAR,"Mink, Gavin",10019058,Right,WIL_BAP,Undefined,1,Top,1,0,0,FourSeamFastBall,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,84.69909,-2.668773,1.878815,2228.247185,204.249699,12:45,6.03194,-1.05224,5.69788,-28.10643,11.19709,4.48492,1.19939,1.07313,77.88354,-7.850559,2.680929,0.451219,,,,,,,,,,,,-1.79646,6.80111,0.8913,50,5.78979,-4.2056,-122.87666,-6.64848,-2.74409,24.55544,-21.78536,WIL_CAR,WIL_BAP,WilliamCarey,NAIA,NAIA,20260221-WilliamCarey-2,d778e680-0f6e-11f1-baae-0b5c93e6e3ea,83.53476,,,6.81555,,,,,,,dea7233b-a672-481b-bccb-3fa09194c391,2026-02-21,21:46:55.92,2026-02-21T15:46:55.9230000-06:00,2026-02-21T21:46:55.9230000Z,,v3,,,,"Hernandez, Franklin",1000527441,Right,WIL_CAR,1fcdab76-0be3-44df-be1d-dc295958dd48,54.80862,-123.83388,12.27772,6.03241,-5.79925,-10.89268,1.05316,-4.09864,-1.37205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,166.669398,-66.009386,905.976308,0.406587,11:30,0.920739,0.136185,-0.365641,39.849269,-62.889898,-14.685922,176.090617,-18.360972,0.064708,-0.315003,-0.946882,18.400914,-3.710074,0.315003,-0.064708,0.946882,-18.400914,3.710074,-0.315003,0.064708,0.946882,-176.090617,18.360972,-0.064708,0.315003,-0.946882,,,
3,2026-02-21,15:47:17.56,2,2,"Hartzog, Holton",10283454,Left,WIL_CAR,"Mink, Gavin",10019058,Right,WIL_BAP,Undefined,1,Top,1,0,1,ChangeUp,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,78.55452,2.53124,-0.479315,1211.850277,220.786348,1:15,5.89806,-1.17632,5.6126,-37.28955,9.46501,6.65587,5.15502,-1.06909,70.28062,-4.430268,0.707999,0.492134,,,,,,,,,,,,-3.46792,4.48394,1.21319,50,6.09133,0.67769,-113.66683,3.85274,-4.44651,24.71336,-26.42483,WIL_CAR,WIL_BAP,WilliamCarey,NAIA,NAIA,20260221-WilliamCarey-2,e45cc420-0f6e-11f1-baae-0b5c93e6e3ea,76.58977,,,8.27391,,,,,,,dea7233b-a672-481b-bccb-3fa09194c391,2026-02-21,21:47:17.56,2026-02-21T15:47:17.5690000-06:00,2026-02-21T21:47:17.5690000Z,,v3,,,,"Hernandez, Franklin",1000527441,Right,WIL_CAR,a4c03771-29bb-4807-beb9-47817d46edbc,54.88471,-114.72395,12.35668,5.90235,4.98306,-13.21242,1.18013,0.86789,-2.22325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,198.753975,-65.528893,501.989977,0.414234,12:45,0.900088,-0.173245,-0.399785,-9.881433,-19.758725,83.181306,158.812141,57.15096,0.196048,0.840103,-0.50576,58.951168,11.305947,0.840103,0.196048,0.50576,-58.951168,-11.305947,-0.840103,-0.196048,0.50576,-158.812141,-57.15096,-0.196048,-0.840103,-0.50576,,,
4,2026-02-21,15:47:30.67,2,3,"Hartzog, Holton",10283454,Left,WIL_CAR,"Mink, Gavin",10019058,Right,WIL_BAP,Undefined,1,Top,1,1,1,FourSeamFastBall,Cutter,BallCalled,Undefined,Undefined,Undefined,0,0,,84.02431,-0.085468,0.03327,2325.185206,205.051685,12:45,6.08221,-1.17158,5.72957,-24.28631,15.54485,6.67296,3.97874,-0.58452,76.7272,-4.640326,1.227236,0.454237,,,,,,,,,,,,-3.35236,8.30622,1.16482,50,6.0602,-0.34956,-122.00069,-0.92932,-5.04948,24.13942,-19.6628,WIL_CAR,WIL_BAP,WilliamCarey,NAIA,NAIA,20260221-WilliamCarey-2,ec2939e0-0f6e-11f1-baae-0b5c93e6e3ea,82.97958,,,7.29711,,,,,,,dea7233b-a672-481b-bccb-3fa09194c391,2026-02-21,21:47:30.67,2026-02-21T15:47:30.6780000-06:00,2026-02-21T21:47:30.6780000Z,,v3,,,,"Hernandez, Franklin",1000527441,Right,WIL_CAR,80021331-23b2-4aeb-b8f4-a964143f8623,54.77176,-122.94122,12.06971,6.08148,-0.16321,-9.8314,1.1746,-0.15282,-2.52474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,163.812679,-64.566857,998.568471,0.429458,11:30,0.903147,0.121071,-0.411908,37.987757,-58.070553,-22.541879,176.136515,-10.636694,0.066222,-0.184581,-0.980584,10.660367,-3.797002,0.184581,-0.066222,0.980584,-10.660367,3.797002,-0.184581,0.066222,0.980584,-176.136515,10.636694,-0.066222,0.184581,-0.980584,,,
5,2026-02-21,15:47:44.35,2,4,"Hartzog, Holton",10283454,Left,WIL_CAR,"Mink, Gavin",10019058,Right,WIL_BAP,Undefined,1,Top,1,2,1,FourSeamFastBall,Cutter,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,85.02977,-3.090529,1.201443,2339.922108,186.29431,12:15,5.9451,-1.07622,5.73991,-28.4712,10.52445,1.02244,0.69107,0.12797,78.10768,-8.339424,1.384647,0.449448,,,,,,,,,,,,-0.18661,6.60118,0.97547,50,5.66985,-2.6268,-123.32865,-7.59218,-0.28681,25.01132,-22.02861,WIL_CAR,WIL_BAP,WilliamCarey,NAIA,NAIA,20260221-WilliamCarey-2,f44974f0-0f6e-11f1-baae-0b5c93e6e3ea,83.86386,,,6.92209,,,,,,,dea7233b-a672-481b-bccb-3fa09194c391,2026-02-21,21:47:44.35,2026-02-21T15:47:44.3580000-06:00,2026-02-21T21:47:44.3580000Z,,v3,,,,"Hernandez, Franklin",1000527441,Right,WIL_CAR,7fdfb6f0-d95b-419d-a77e-342a65df58e3,54.76576,-124.2914,12.50566,5.94577,-6.74424,-11.0143,1.07637,-2.61576,-0.14341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,165.821475,-67.867742,881.55594,0.376746,11:30,0.927451,0.142089,-0.345899,25.613659,-66.233291,6.629585,176.172179,-23.614861,0.061168,-0.400587,-0.914215,23.661863,-3.506856,0.400587,-0.061168,0.914215,-23.661863,3.506856,-0.400587,0.061168,0.914215,-176.172179,23.614861,-0.061168,0.400587,-0.914215,,,
6,2026-02-21,15:48:35.50,2,5,"Hartzog, Holton",10283454,Left,WIL_CAR,"Mink, Gavin",10019058,Right,WIL_BAP,Undefined,1,Top,1,2,2,Curveball,Curveball,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,72.70345,2.99511,-1.774937,2372.178297,299.782452,4:00,5.86549,-0.75432,5.59994,-64.03326,-9.13367,19.67351,3.32974,-0.77261,65.19889,-8.760761,1.738571,0.533281,,,,,,,,,,,,-10.42981,-4.88847,0.89405,50,6.08221,2.51448,-105.20838,3.46952,-11.3767,22.30726,-37.50634,WIL_CAR,WIL_BAP,WilliamCarey,NAIA,NAIA,20260221-WilliamCarey-2,12d9b4c0-0f6f-11f1-baae-0b5c93e6e3ea,70.68028,,,7.50456,,,,,,,dea7233b-a672-481b-bccb-3fa09194c391,2026-02-21,21:48:35.50,2026-02-21T15:48:35.5020000-06:00,2026-02-21T21:48:35.5020000Z,,v3,,,,"Hernandez, Franklin",1000527441,Right,WIL_CAR,ed9effa1-59bc-4b2b-8822-3edbb84a6211,54.90423,-106.24313,11.15363,5.88092,5.2093,-18.75317,0.76517,3.0422,-5.68835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.38619,2.782701,1.798912,0.983789,-2.00521,2.77693,0.66197,-4.68514,5.18719,4.48248,65.87009,8.03518,58.95007,-4.63915,77.17588,-5.58812,5.22462,17.48048,-14.85763,4.50141,58.11492,-2.81165,High,High,High,,,High,High,High,313.094631,-38.804884,1848.601887,0.779285,4:30,0.612285,-0.601021,0.513693,-57.295129,-43.13412,18.682401,132.686483,-30.403868,0.633987,-0.506092,-0.584749,40.875712,-39.344874,0.506092,-0.633987,0.584749,-40.875712,39.344874,-0.506092,0.633987,0.584749,-132.686483,30.403868,-0.633987,0.506092,-0.584749,,,
7,2026-02-21,15:49:01.66,3,1,"Hartzog, Holton",10283454,Left,WIL_CAR,"Aaron, Lawson",10102542,Right,WIL_BAP,Undefined,1,Top,2,0,0,Curveball,Curveball,BallinDirt,Undefined,Undefined,Undefined,0,0,,74.59035,-0.214002,-0.775765,2394.56172,312.489464,4:30,5.85528,-0.73874,5.10362,-67.57882,-14.53406,18.07088,0.02203,0.03609,67.65244,-12.379548,2.438941,0.524195,,,,,,,,,,,,-9.40319,-6.8165,0.79675,50,5.78136,0.77702,-108.0773,-2.70161,-10.79281,24.02894,-39.99791,WIL_CAR,WIL_BAP,WilliamCarey,NAIA,NAIA,20260221-WilliamCarey-2,226b4d40-0f6f-11f1-baae-0b5c93e6e3ea,71.90541,,,6.93791,,,,,,,dea7233b-a672-481b-bccb-3fa09194c391,2026-02-21,21:49:01.66,2026-02-21T15:49:01.6630000-06:00,2026-02-21T21:49:01.6630000Z,,v3,,,,"Hernandez, Franklin",1000527441,Right,WIL_CAR,8132631c-8f16-4852-9e3f-529cfa338a38,55.40452,-109.27228,12.01447,5.86626,-0.71248,-19.99896,0.74476,1.31376,-5.39641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,316.260839,-45.620167,1674.784749,0.699412,4:30,0.723296,-0.480884,0.495574,-97.758343,8.28432,4.995104,135.773127,-30.643454,0.600099,-0.509694,-0.616517,39.581626,-36.877003,0.509694,-0.600099,0.616517,-39.581626,36.877003,-0.509694,0.600099,0.616517,-135.773127,30.643454,-0.600099,0.509694,-0.616517,,,
8,2026-02-21,15:49:17.25,3,2,"Hartzog, Holton",10283454,Left,WIL_CAR,"Aaron, Lawson",10102542,Right,WIL_BAP,Undefined,1,Top,2,1,0,FourSeamFastBall,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,83.45077,-1.958091,-0.331587,2352.581177,229.123865,1:45,6.00738,-1.11425,5.59517,-32.86112,7.85205,7.5393,1.43983,-0.7956,76.47371,-7.999753,1.016342,0.459239,,,,,,,,,,,,-3.93559,4.92823,1.1376,50,5.81791,0.39636,-121.10257,-5.24595,-5.82177,24.51386,-24.88395,WIL_CAR,WIL_BAP,WilliamCarey,NAIA,NAIA,20260221-WilliamCarey-2,2bb3b4a0-0f6f-11f1-baae-0b5c93e6e3ea,82.07582,,,6.97706,,,,,,,dea7233b-a672-481b-bccb-3fa09194c391,2026-02-21,21:49:17.25,2026-02-21T15:49:17.2500000-06:00,2026-02-21T21:49:17.2500000Z,,v3,,,,"Hernandez, Franklin",1000527441,Right,WIL_CAR,5d6e2130-cffd-4e0c-af2e-63b713bb1168,54.90934,-122.09228,12.25693,6.00943,-4.2413,-12.44198,1.11685,0.63141,-2.91088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,180.301106,-73.153533,681.797053,0.289808,12:00,0.954885,0.03118,-0.295335,8.116187,-60.805472,13.580014,167.879419,-19.127098,0.198378,-0.327665,-0.923733,19.530523,-11.442136,0.327665,-0.198378,0.923733,-19.530523,11.442136,-0.327665,0.198378,0.923733,-167.879419,19.127098,-0.198378,0.327665,-0.923733,,,
9,2026-02-21,15:49:31.76,3,3,"Hartzog, Holton",10283454,Left,WIL_CAR,"Aaron, Lawson",10102542,Right,WIL_BAP,Undefined,1,Top,2,2,0,FourSeamFastBall,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,84.18349,0.48879,-1.327453,2357.776389,222.867738,1:30,6.0005,-1.01083,5.48246,-32.27136,7.6593,5.97335,3.76873,-1.7554,77.18159,-5.45587,-0.263525,0.454804,,,,,,,,,,,,-3.35898,4.11307,1.12325,50,6.02157,2.57989,-122.22941,-0.0784,-5.09599,23.45079,-25.93399,WIL_CAR,WIL_BAP,WilliamCarey,NAIA,NAIA,20260221-WilliamCarey-2,34544340-0f6f-11f1-baae-0b5c93e6e3ea,82.87617,,,7.0019,,,,,,,dea7233b-a672-481b-bccb-3fa09194c391,2026-02-21,21:49:31.76,2026-02-21T15:49:31.7690000-06:00,2026-02-21T21:49:31.7690000Z,,v3,,,,"Hernandez, Franklin",1000527441,Right,WIL_CAR,ef265bb2-c256-427e-83e7-ae04cb62e4fc,55.02108,-123.18898,11.72539,6.00307,0.98278,-12.96699,1.01342,2.78841,-2.548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,169.971972,-68.087407,879.902576,0.373192,11:45,0.919512,0.057067,-0.388896,17.404538,-61.967907,0.001446,174.749474,-14.069376,0.088766,-0.243097,-0.965932,14.12629,-5.092598,0.243097,-0.088766,0.965932,-14.12629,5.092598,-0.243097,0.088766,0.965932,-174.749474,14.069376,-0.088766,0.243097,-0.965932,,,
10,2026-02-21,15:49:47.73,3,4,"Hartzog, Holton",10283454,Left,WIL_CAR,"Aaron, Lawson",10102542,Right,WIL_BAP,Undefined,1,Top,2,3,0,FourSeamFastBall,Slider,BallCalled,Walk,Undefined,Undefined,0,0,,84.382,-2.143355,1.600789,2295.035231,227.434831,1:30,5.93196,-0.88414,5.78121,-32.16608,7.46996,6.71831,1.25532,1.16566,77.27754,-8.070564,2.804932,0.453123,,,,,,,,,,,,-2.9952,4.8,0.74766,50,5.73532,-3.68476,-122.42777,-5.64109,-4.51778,25.56845,-24.93399,WIL_CAR,WIL_BAP,WilliamCarey,NAIA,NAIA,20260221-WilliamCarey-2,3dd4f8b0-0f6f-11f1-baae-0b5c93e6e3ea,83.18359,,,7.10446,,,,,,,dea7233b-a672-481b-bccb-3fa09194c391,2026-02-21,21:49:47.73,2026-02-21T15:49:47.7320000-06:00,2026-02-21T21:49:47.7320000Z,,v3,,,,"Hernandez, Franklin",1000527441,Right,WIL_CAR,aea87c2b-bf61-4072-8c52-5c96665c2888,54.7242,-123.41045,12.78423,5.93371,-4.68279,-12.467,0.88594,-3.51112,-2.25889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,171.545107,-66.56881,912.614872,0.397647,11:45,0.92534,0.092741,-0.367619,17.227724,-65.377884,7.998564,176.777143,-19.316519,0.053055,-0.330786,-0.942213,19.344846,-3.041252,0.330786,-0.053055,0.942213,-19.344846,3.041252,-0.330786,0.053055,0.942213,-176.777143,19.316519,-0.053055,0.330786,-0.942213,,,
