PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallZAmb4,BatSpeed,VerticalAttackAngle,HorizontalAttackAngle
1,2026-02-25,13:01:14.36,1,1,"Sheets, Seaver",1000113227,Right,ULM_WAR,"Adams, Rayfield",1000524828,Left,ALC_BRA,Undefined,1,Top,0,0,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,85.87154,-1.474493,-1.781513,2107.807316,204.730199,12:45,5.72979,1.72321,5.36669,-19.44623,19.46536,8.35445,2.72571,0.74841,77.99549,-5.142071,-0.297346,0.448963,69.37505,18.513383,-166.1259,1413.100603,,,,,42.47727,,,-4.63929,10.538,-1.56907,50,5.58386,3.48948,-124.42309,-3.79825,-7.23764,26.08837,-15.73408,ULM_WAR,ALC_BRA,WarHawkField,D1,SBELT,20260225-WarHawkField-1,5b2ff3f0-127c-11f1-82bc-0dd8f29e5919,83.95436,12.09853,,7.87604,,,,0.9248,2.38494,-0.69785,7a265dc9-1323-46df-9b76-02c790045ac9,2026-02-25,19:01:14.36,2026-02-25T13:01:14.3622656-06:00,2026-02-25T19:01:14.3622656Z,,v3,471389,471229,d1179d0a429a429c8b0b8e85c5ffa4ae,"White, Zachary",10103154,Right,ULM_WAR,d99804a0-3ab4-4bed-9022-e9127ebac773,55.12772,-125.49364,13.04418,5.72647,-3.15259,-7.86704,-1.71835,3.78648,-3.61882,10.500951,0.92757,-93.7501,4.07936,,,,,,,2.3924,32.09081,-23.79158,,,,,,,-0.69821,-23.12546,2.26297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Undefined,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2026-02-25,13:01:32.34,1,2,"Sheets, Seaver",1000113227,Right,ULM_WAR,"Adams, Rayfield",1000524828,Left,ALC_BRA,Undefined,1,Top,0,0,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,86.78182,-1.756376,-1.801052,2068.058509,214.150456,1:15,5.60111,1.85567,5.59028,-20.94186,16.87977,10.56871,2.21458,1.05408,78.81636,-5.697038,0.084846,0.442631,,,,,,,,,,,,-5.86075,9.44107,-1.70798,50,5.43688,3.497,-125.80297,-4.51554,-9.32549,27.21778,-17.15163,ULM_WAR,ALC_BRA,WarHawkField,D1,SBELT,20260225-WarHawkField-1,65e3d230-127c-11f1-82bc-0dd8f29e5919,85.15548,,,7.96547,,,,,,,7a265dc9-1323-46df-9b76-02c790045ac9,2026-02-25,19:01:32.34,2026-02-25T13:01:32.3463168-06:00,2026-02-25T19:01:32.3463168Z,,v3,471389,471229,d1179d0a429a429c8b0b8e85c5ffa4ae,"White, Zachary",10103154,Right,ULM_WAR,2bfbf12c-ed1d-403c-a8ed-9bad7e2f3c06,54.90712,-126.86019,13.60889,5.59934,-3.84932,-8.57582,-1.85085,3.85923,-4.66274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2026-02-25,13:01:50.97,1,3,"Sheets, Seaver",1000113227,Right,ULM_WAR,"Adams, Rayfield",1000524828,Left,ALC_BRA,Undefined,1,Top,0,0,2,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,88.70634,-1.505796,-1.937796,2053.56362,215.385255,1:15,5.62471,1.77697,5.48965,-19.43832,16.63572,10.99414,2.59502,0.87961,81.05653,-5.151745,0.019911,0.432284,,,,,,,,,,,,-6.09473,9.16075,-1.61491,50,5.47984,3.87161,-128.70018,-4.02061,-10.22233,26.71029,-16.80921,ULM_WAR,ALC_BRA,WarHawkField,D1,SBELT,20260225-WarHawkField-1,70ff4be0-127c-11f1-82bc-0dd8f29e5919,87.19379,,,7.64981,,,,,,,7a265dc9-1323-46df-9b76-02c790045ac9,2026-02-25,19:01:50.97,2026-02-25T13:01:50.9707264-06:00,2026-02-25T19:01:50.9707264Z,,v3,471389,471229,d1179d0a429a429c8b0b8e85c5ffa4ae,"White, Zachary",10103154,Right,ULM_WAR,9d4bdb20-57fc-49c6-ad3a-8a25546ddfb0,55.00993,-129.73577,13.35514,5.62309,-3.3689,-8.40461,-1.7727,4.26794,-5.11116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2026-02-25,13:02:19.20,1,4,"Sheets, Seaver",1000113227,Right,ULM_WAR,"Adams, Rayfield",1000524828,Left,ALC_BRA,Undefined,1,Top,0,0,2,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,89.259,-1.784784,-1.76292,2047.503153,207.758653,1:00,5.72075,1.69755,5.37239,-16.87757,18.72351,9.28276,2.6396,0.81773,81.95934,-4.955532,-0.113607,0.42944,74.29089,57.335165,-74.791775,3907.438744,,,,,55.94042,,,-5.14866,10.22099,-1.5464,50,5.54908,3.57648,-129.55326,-4.58713,-8.7994,25.64777,-14.70564,ULM_WAR,ALC_BRA,WarHawkField,D1,SBELT,20260225-WarHawkField-1,81cce6d0-127c-11f1-82bc-0dd8f29e5919,87.77105,69.25615,,7.29966,,,,1.2849,2.62816,-0.81748,7a265dc9-1323-46df-9b76-02c790045ac9,2026-02-25,19:02:19.20,2026-02-25T13:02:19.2032256-06:00,2026-02-25T19:02:19.2032256Z,,v3,471389,471229,d1179d0a429a429c8b0b8e85c5ffa4ae,"White, Zachary",10103154,Right,ULM_WAR,410e9560-11b3-4980-a4b7-f9c0f90e44fa,55.12814,-130.56453,12.82388,5.71852,-4.0073,-7.35282,-1.69426,3.92344,-4.3997,,1.2849,15.42712,-7.9298,2.32186,-0.6259,0.26277,-0.15612,0.06353,-0.01091,2.62816,91.72698,-27.88426,3.40327,-0.72506,0.1702,-0.0595,0.01782,-0.00239,-0.81748,-56.74859,2.08467,0.34064,-0.22713,0.14839,-0.10073,0.04391,-0.00788,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Undefined,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2026-02-25,13:02:41.20,1,5,"Sheets, Seaver",1000113227,Right,ULM_WAR,"Adams, Rayfield",1000524828,Left,ALC_BRA,Undefined,1,Top,0,0,2,ChangeUp,Cutter,BallCalled,Undefined,Undefined,Undefined,0,0,,86.22705,0.437096,-0.914636,2113.894189,198.988686,12:45,5.53929,1.99569,5.70611,-29.88265,7.69898,2.26921,3.4564,1.33251,79.32443,-5.08776,-0.508718,0.441224,,,,,,,,,,,,-1.38732,4.15355,-1.92045,50,5.55738,1.90526,-125.30543,-0.06848,-2.22025,23.76417,-25.52682,ULM_WAR,ALC_BRA,WarHawkField,D1,SBELT,20260225-WarHawkField-1,8ef0b3a0-127c-11f1-82bc-0dd8f29e5919,85.42697,,,6.90263,,,,,,,7a265dc9-1323-46df-9b76-02c790045ac9,2026-02-25,19:02:41.20,2026-02-25T13:02:41.2007936-06:00,2026-02-25T19:02:41.2007936Z,,v3,471389,471229,d1179d0a429a429c8b0b8e85c5ffa4ae,"White, Zachary",10103154,Right,ULM_WAR,63ea1c73-600c-406c-b0e4-1931951ee718,54.79334,-126.21122,11.88209,5.54144,0.90448,-12.76341,-1.99468,1.98989,-1.11012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2026-02-25,13:02:58.19,1,6,"Sheets, Seaver",1000113227,Right,ULM_WAR,"Adams, Rayfield",1000524828,Left,ALC_BRA,Undefined,1,Top,0,1,2,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,88.94799,-2.086167,-2.261246,2176.985968,201.355537,12:45,5.72479,1.63859,5.29883,-15.10576,21.25194,7.82654,2.50499,0.16673,80.82166,-4.964019,-0.873535,0.43398,73.41748,31.223536,-48.872082,3406.224029,63.76191,46.22609,-89.6348,234.26189,138.40021,-59.876004,3.538496,-4.58284,11.61634,-1.43887,50,5.52453,4.73374,-128.86377,-5.153,-7.66851,27.9996,-12.73635,ULM_WAR,ALC_BRA,WarHawkField,D1,SBELT,20260225-WarHawkField-1,990f2fb0-127c-11f1-82bc-0dd8f29e5919,86.85301,47.18228,,8.12634,,,,0.22107,2.49592,-0.09942,7a265dc9-1323-46df-9b76-02c790045ac9,2026-02-25,19:02:58.19,2026-02-25T13:02:58.1963264-06:00,2026-02-25T19:02:58.1963264Z,FlyBall,v3,471389,471229,d1179d0a429a429c8b0b8e85c5ffa4ae,"White, Zachary",10103154,Right,ULM_WAR,2646ba79-dced-4483-9522-30e169d8f458,55.19965,-129.98865,13.9998,5.72128,-4.64132,-6.36818,-1.63524,5.04182,-3.83426,132.092573,0.22067,60.58085,-15.54513,4.32665,-1.21086,0.37176,-0.10353,0.01782,-0.00126,2.49639,55.80217,-18.89289,0.85699,0.19119,-0.17704,0.06069,-0.0094,0.00053,-0.09923,-69.36646,5.20805,-0.69752,0.13644,-0.07694,0.03323,-0.00712,0.00057,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2026-02-25,13:03:20.24,1,7,"Sheets, Seaver",1000113227,Right,ULM_WAR,"Adams, Rayfield",1000524828,Left,ALC_BRA,Undefined,1,Top,0,1,2,Fastball,Four-Seam,HitByPitch,Undefined,Undefined,Undefined,0,0,,86.0787,-0.614392,-3.509011,2034.108445,198.390847,12:30,5.50085,1.969,5.81874,-24.63123,13.37619,4.03638,2.87591,-0.96133,78.50787,-5.222589,-2.787727,0.443717,,,,,,,,,,,,-3.08902,7.37804,-1.68396,50,5.43594,7.49012,-124.79728,-2.11908,-4.85507,25.9091,-20.5778,ULM_WAR,ALC_BRA,WarHawkField,D1,SBELT,20260225-WarHawkField-1,a6328750-127c-11f1-82bc-0dd8f29e5919,84.94711,,,7.57083,,,,,,,7a265dc9-1323-46df-9b76-02c790045ac9,2026-02-25,19:03:20.24,2026-02-25T13:03:20.2497536-06:00,2026-02-25T19:03:20.2497536Z,,v3,471389,471229,d1179d0a429a429c8b0b8e85c5ffa4ae,"White, Zachary",10103154,Right,ULM_WAR,eec757da-c8a0-4528-9204-f2315926771b,54.68131,-125.76541,12.95455,5.50076,-1.35016,-10.2889,-1.96723,7.67153,-2.42754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2026-02-25,13:03:58.09,2,1,"Sheets, Seaver",1000113227,Right,ULM_WAR,"Davis, Kanious",807234,Right,ALC_BRA,Undefined,1,Top,0,0,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,88.54621,-0.734458,-2.026079,2134.142259,203.46602,12:45,5.75661,1.64214,5.38224,-15.523,21.61422,8.75957,3.77408,0.47207,79.06863,-3.739128,-0.470266,0.438607,77.06229,8.022136,175.770733,1814.052271,,,,65.70635,31.97907,172.904386,0.65228,-4.9417,11.35898,-1.46651,50,5.68005,4.10115,-128.04788,-2.05129,-8.04216,31.32312,-13.68826,ULM_WAR,ALC_BRA,WarHawkField,D1,SBELT,20260225-WarHawkField-1,bcc04d40-127c-11f1-82bc-0dd8f29e5919,85.93661,5.93158,,9.47757,,,,,,,7a265dc9-1323-46df-9b76-02c790045ac9,2026-02-25,19:03:58.09,2026-02-25T13:03:58.0959232-06:00,2026-02-25T19:03:58.0959232Z,GroundBall,v3,471389,471229,d1179d0a429a429c8b0b8e85c5ffa4ae,"White, Zachary",10103154,Right,ULM_WAR,1d3e4db6-3520-4c70-a14f-83e33b61d248,55.10688,-129.29109,15.66156,5.75068,-1.50801,-6.84413,-1.63562,4.42034,-4.02108,,5.82439,-112.60188,5.57659,,,,,,,4.14542,15.42435,-33.43091,,,,,,,-1.26314,8.53398,8.99433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2026-02-25,13:04:23.67,2,2,"Sheets, Seaver",1000113227,Right,ULM_WAR,"Davis, Kanious",807234,Right,ALC_BRA,Undefined,1,Top,0,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,1,0,,88.09906,-1.719871,-4.416526,2157.409223,208.033921,1:00,5.75853,1.48513,5.82271,-16.77214,19.79155,9.85949,2.75663,-1.80748,79.79922,-4.930152,-2.657568,0.435208,,,,,,,,,,,,-6.31827,10.9615,-1.12899,50,5.60756,9.41682,-127.43606,-4.30115,-10.31279,28.00895,-14.28246,ULM_WAR,ALC_BRA,WarHawkField,D1,SBELT,20260225-WarHawkField-1,cc03c5c0-127c-11f1-82bc-0dd8f29e5919,86.60797,,,8.29984,,,,,,,7a265dc9-1323-46df-9b76-02c790045ac9,2026-02-25,19:04:23.67,2026-02-25T13:04:23.6750000-06:00,2026-02-25T19:04:23.6750000Z,,v3,471389,471229,d1179d0a429a429c8b0b8e85c5ffa4ae,"White, Zachary",10103154,Right,ULM_WAR,8ce6c954-560c-466b-998a-24f1bc411556,54.67428,-128.4593,14.00448,5.75516,-3.77938,-7.14123,-1.47989,9.79357,-5.15639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.79952,1.734445,0.866867,0.867578,-1.41375,2.50708,1.93655,-2.3995,6.14981,4.88607,63.51319,2.37492,61.27016,-2.35277,84.96792,-10.51667,6.16253,6.78166,-12.87439,4.89414,67.96802,-3.45862,High,High,High,,,High,Medium,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2026-02-25,13:04:51.24,2,3,"Sheets, Seaver",1000113227,Right,ULM_WAR,"Davis, Kanious",807234,Right,ALC_BRA,Undefined,1,Top,1,1,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,86.60275,-1.624306,-2.334403,2083.240912,191.723403,12:30,5.54827,1.74696,5.70956,-21.63966,16.16501,3.08776,2.22996,-0.17186,78.73279,-5.693963,-1.782676,0.442531,,,,,,,,,,,,-2.25815,9.07701,-1.55328,50,5.39887,4.98635,-125.53573,-4.23423,-3.57984,26.97204,-17.78427,ULM_WAR,ALC_BRA,WarHawkField,D1,SBELT,20260225-WarHawkField-1,dc744c90-127c-11f1-82bc-0dd8f29e5919,85.17461,,,7.86996,,,,,,,7a265dc9-1323-46df-9b76-02c790045ac9,2026-02-25,19:04:51.24,2026-02-25T13:04:51.2493056-06:00,2026-02-25T19:04:51.2493056Z,,v3,471389,471229,d1179d0a429a429c8b0b8e85c5ffa4ae,"White, Zachary",10103154,Right,ULM_WAR,e03da1f6-f746-43dc-9336-984bceac4b4c,54.78781,-126.56024,13.48602,5.54687,-3.55871,-8.89213,-1.74526,5.12233,-1.78992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
