PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallZAmb4,BatSpeed,VerticalAttackAngle,HorizontalAttackAngle
1,2026-02-13,16:53:01.24,1,1,"Thornton, Isaac",1000396778,Right,EAS_TEX,"Goddard, Keegan",10872686,Left,CHA_UNI,Undefined,1,Top,0,0,0,Undefined,,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EAS_TEX,CHA_UNI,TIGERBALLPARK,D3,Team,20260213-TIGERBALLPARK-Private-1,fdca4300-092f-11f1-b767-431f9b72f0cc,,,,,,,,,,,7dbc8a72-0289-4423-ac63-40ff8ccf0263,2026-02-13,22:53:01.24,2026-02-13T16:53:01.2470000-06:00,2026-02-13T22:53:01.2470000Z,,v3,,,,"Nolen, Kahne",1000460703,Right,EAS_TEX,b756a408-0cb9-4703-880f-08b8bc835672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2026-02-13,16:53:02.24,1,2,"Thornton, Isaac",1000396778,Right,EAS_TEX,"Goddard, Keegan",10872686,Left,CHA_UNI,Undefined,1,Top,0,1,0,Undefined,,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EAS_TEX,CHA_UNI,TIGERBALLPARK,D3,Team,20260213-TIGERBALLPARK-Private-1,02d17e40-0930-11f1-b767-431f9b72f0cc,,,,,,,,,,,7dbc8a72-0289-4423-ac63-40ff8ccf0263,2026-02-13,22:53:02.24,2026-02-13T16:53:02.2470000-06:00,2026-02-13T22:53:02.2470000Z,,v3,,,,"Nolen, Kahne",1000460703,Right,EAS_TEX,856a93d4-8c8e-4ed9-85f6-296d84b8cf5a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2026-02-13,16:53:03.24,1,3,"Thornton, Isaac",1000396778,Right,EAS_TEX,"Goddard, Keegan",10872686,Left,CHA_UNI,Undefined,1,Top,0,1,1,Undefined,,InPlay,Undefined,GroundBall,Out,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EAS_TEX,CHA_UNI,TIGERBALLPARK,D3,Team,20260213-TIGERBALLPARK-Private-1,03b6fc40-0930-11f1-b767-431f9b72f0cc,,,,,,,,,,,7dbc8a72-0289-4423-ac63-40ff8ccf0263,2026-02-13,22:53:03.24,2026-02-13T16:53:03.2470000-06:00,2026-02-13T22:53:03.2470000Z,,v3,,,,"Nolen, Kahne",1000460703,Right,EAS_TEX,04f14b81-badd-4e95-a094-9b9d5baeb446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2026-02-13,16:53:04.24,2,1,"Thornton, Isaac",1000396778,Right,EAS_TEX,"Nopper, Ryan",1000230554,Right,CHA_UNI,Undefined,1,Top,1,0,0,Undefined,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EAS_TEX,CHA_UNI,TIGERBALLPARK,D3,Team,20260213-TIGERBALLPARK-Private-1,03ed4e80-0930-11f1-b767-431f9b72f0cc,,,,,,,,,,,7dbc8a72-0289-4423-ac63-40ff8ccf0263,2026-02-13,22:53:04.24,2026-02-13T16:53:04.2470000-06:00,2026-02-13T22:53:04.2470000Z,,v3,,,,"Nolen, Kahne",1000460703,Right,EAS_TEX,adafa254-4759-49b8-adc3-da992ca94ae9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2026-02-13,16:53:05.24,2,2,"Thornton, Isaac",1000396778,Right,EAS_TEX,"Nopper, Ryan",1000230554,Right,CHA_UNI,Undefined,1,Top,1,0,1,Undefined,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EAS_TEX,CHA_UNI,TIGERBALLPARK,D3,Team,20260213-TIGERBALLPARK-Private-1,042d8bd0-0930-11f1-b767-431f9b72f0cc,,,,,,,,,,,7dbc8a72-0289-4423-ac63-40ff8ccf0263,2026-02-13,22:53:05.24,2026-02-13T16:53:05.2470000-06:00,2026-02-13T22:53:05.2470000Z,,v3,,,,"Nolen, Kahne",1000460703,Right,EAS_TEX,a75022fb-7edc-4e36-a68e-84900b7da7c6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2026-02-13,16:53:06.24,2,3,"Thornton, Isaac",1000396778,Right,EAS_TEX,"Nopper, Ryan",1000230554,Right,CHA_UNI,Undefined,1,Top,1,0,2,Undefined,,InPlay,Undefined,GroundBall,Out,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EAS_TEX,CHA_UNI,TIGERBALLPARK,D3,Team,20260213-TIGERBALLPARK-Private-1,06011350-0930-11f1-b767-431f9b72f0cc,,,,,,,,,,,7dbc8a72-0289-4423-ac63-40ff8ccf0263,2026-02-13,22:53:06.24,2026-02-13T16:53:06.2470000-06:00,2026-02-13T22:53:06.2470000Z,,v3,,,,"Nolen, Kahne",1000460703,Right,EAS_TEX,1d1a86a5-4005-46e6-a9b7-43c5e4fe9f32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2026-02-13,16:53:07.24,3,1,"Thornton, Isaac",1000396778,Right,EAS_TEX,"Campopiano, Matthew",1000268889,Left,CHA_UNI,Undefined,1,Top,2,0,0,Undefined,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EAS_TEX,CHA_UNI,TIGERBALLPARK,D3,Team,20260213-TIGERBALLPARK-Private-1,063ac0f0-0930-11f1-b767-431f9b72f0cc,,,,,,,,,,,7dbc8a72-0289-4423-ac63-40ff8ccf0263,2026-02-13,22:53:07.24,2026-02-13T16:53:07.2470000-06:00,2026-02-13T22:53:07.2470000Z,,v3,,,,"Nolen, Kahne",1000460703,Right,EAS_TEX,d7eb54ec-486e-48c8-ba43-f77943fbe6cc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2026-02-13,16:53:08.24,3,2,"Thornton, Isaac",1000396778,Right,EAS_TEX,"Campopiano, Matthew",1000268889,Left,CHA_UNI,Undefined,1,Top,2,0,1,Undefined,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EAS_TEX,CHA_UNI,TIGERBALLPARK,D3,Team,20260213-TIGERBALLPARK-Private-1,0811f1f0-0930-11f1-b767-431f9b72f0cc,,,,,,,,,,,7dbc8a72-0289-4423-ac63-40ff8ccf0263,2026-02-13,22:53:08.24,2026-02-13T16:53:08.2470000-06:00,2026-02-13T22:53:08.2470000Z,,v3,,,,"Nolen, Kahne",1000460703,Right,EAS_TEX,8bc16856-34f3-4fcc-a711-e6514c8ed620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2026-02-13,16:53:09.24,3,3,"Thornton, Isaac",1000396778,Right,EAS_TEX,"Campopiano, Matthew",1000268889,Left,CHA_UNI,Undefined,1,Top,2,0,2,Undefined,,InPlay,Undefined,GroundBall,Out,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EAS_TEX,CHA_UNI,TIGERBALLPARK,D3,Team,20260213-TIGERBALLPARK-Private-1,08392900-0930-11f1-b767-431f9b72f0cc,,,,,,,,,,,7dbc8a72-0289-4423-ac63-40ff8ccf0263,2026-02-13,22:53:09.24,2026-02-13T16:53:09.2470000-06:00,2026-02-13T22:53:09.2470000Z,,v3,,,,"Nolen, Kahne",1000460703,Right,EAS_TEX,b4bd89cc-d50f-44a7-a0e3-a3c4fc2c4e04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2026-02-13,16:53:10.24,1,1,"Bradley, Luke",1000268887,Right,CHA_UNI,"Livesay, Carson",1000096461,Left,EAS_TEX,Undefined,1,Bottom,0,0,0,Undefined,,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EAS_TEX,CHA_UNI,TIGERBALLPARK,D3,Team,20260213-TIGERBALLPARK-Private-1,3fe68c30-0930-11f1-b767-431f9b72f0cc,,,,,,,,,,,7dbc8a72-0289-4423-ac63-40ff8ccf0263,2026-02-13,22:53:10.24,2026-02-13T16:53:10.2470000-06:00,2026-02-13T22:53:10.2470000Z,,v3,,,,"Perez, Lucas",10121099,Right,CHA_UNI,3e969319-ed4d-4ecf-9095-b20968ed3598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
