PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallZAmb4,BatSpeed,VerticalAttackAngle,HorizontalAttackAngle
1,2026-02-20,10:52:00.49,1,1,"McKinney, Carter",10184571,Right,JOH_LOG,"Lipp, Ethan",1000533189,Left,SCC_C,Undefined,1,Top,0,0,0,Fastball,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,87.24498,-1.865651,-2.961628,1999.007008,232.325528,1:45,5.72339,1.30202,6.73463,-22.52576,13.9017,16.15753,2.13861,-0.06013,78.08465,-6.203123,-0.017385,0.434396,65.91712,21.021072,-154.022428,2710.198357,,,,122.88848,57.92537,-158.468349,1.627112,-9.56201,8.40489,-1.11228,50,5.59162,5.93248,-126.45349,-4.70214,-15.09026,31.87924,-18.90993,JOH_LOG,SCC_C,JohnALogan,JUCO,NJCAA,20260220-JohnALogan-1,7a0382a0-0e7c-11f1-976a-2d3dbd7f8c0f,86.76976,14.56846,,9.16033,,,,0.75304,2.06859,0.05957,5483fa0c-da33-46e7-b9a8-33a0c3a21050,2026-02-20,16:52:00.49,2026-02-20T10:52:00.4950000-06:00,2026-02-20T16:52:00.4950000Z,LineDrive,v3,,,,"Craft, Eli",1000463339,Right,JOH_LOG,9cd2d0a7-97b9-4370-bbd4-c7a8ccf35a6a,53.76057,-127.39802,15.93962,5.72264,-4.14187,-9.45496,-1.29467,6.37958,-7.54513,36.266776,0.75304,-81.12585,5.63086,0.63318,-0.28818,0.32665,-0.26279,0.1155,-0.02071,2.06859,34.68002,-26.03328,3.11461,-0.86053,0.63179,-0.40715,0.14789,-0.02187,0.05957,-39.52816,7.92804,-0.56723,0.01728,0.17044,-0.16659,0.07774,-0.0145,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2026-02-20,10:52:15.18,1,2,"McKinney, Carter",10184571,Right,JOH_LOG,"Lipp, Ethan",1000533189,Left,SCC_C,Undefined,1,Top,0,0,1,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,87.56733,-4.0268,-2.922891,2189.886476,234.934459,1:45,5.73057,1.38556,6.69582,-23.21734,13.0965,16.62914,0.10267,0.09622,78.69243,-8.452476,0.107809,0.433718,,,,,,,,,,,,-9.9665,8.74961,-1.19757,50,5.45285,5.87603,-126.73873,-9.54845,-15.79272,32.12591,-18.30958,JOH_LOG,SCC_C,JohnALogan,JUCO,NJCAA,20260220-JohnALogan-1,82c22090-0e7c-11f1-976a-2d3dbd7f8c0f,86.90541,,,8.8749,,,,,,,5483fa0c-da33-46e7-b9a8-33a0c3a21050,2026-02-20,16:52:15.18,2026-02-20T10:52:15.1850000-06:00,2026-02-20T16:52:15.1850000Z,,v3,,,,"Craft, Eli",1000463339,Right,JOH_LOG,7616faa1-1c65-465b-ac53-2e1cf8792faf,53.80264,-127.69899,16.06296,5.73008,-9.00117,-9.15479,-1.38026,6.34808,-7.89636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2026-02-20,10:52:33.11,1,3,"McKinney, Carter",10184571,Right,JOH_LOG,"Lipp, Ethan",1000533189,Left,SCC_C,Undefined,1,Top,0,1,1,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,87.20762,-2.885417,-3.145375,2055.738422,233.556778,1:45,5.72488,1.28862,6.74252,-23.25411,13.68036,16.38072,1.14466,-0.22288,77.29382,-7.370592,-0.159442,0.437409,,,,,,,,,,,,-9.95091,8.80016,-1.08761,50,5.52604,6.32684,-126.17942,-6.96364,-15.43108,34.78186,-18.52748,JOH_LOG,SCC_C,JohnALogan,JUCO,NJCAA,20260220-JohnALogan-1,8d738dd0-0e7c-11f1-976a-2d3dbd7f8c0f,86.17214,,,9.9138,,,,,,,5483fa0c-da33-46e7-b9a8-33a0c3a21050,2026-02-20,16:52:33.11,2026-02-20T10:52:33.1100000-06:00,2026-02-20T16:52:33.1100000Z,,v3,,,,"Craft, Eli",1000463339,Right,JOH_LOG,3152f932-de88-479e-bfbb-15c411277480,53.75274,-127.20967,17.39093,5.72418,-6.41485,-9.26374,-1.28178,6.78391,-7.71554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2026-02-20,10:52:46.98,1,4,"McKinney, Carter",10184571,Right,JOH_LOG,"Lipp, Ethan",1000533189,Left,SCC_C,Undefined,1,Top,0,2,1,ChangeUp,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,82.45635,-2.759325,-3.053897,2145.798302,201.112125,12:45,5.66895,1.36196,6.27367,-34.6497,6.55091,1.96083,0.23234,-1.2924,75.00014,-9.198259,-2.699459,0.46198,,,,,,,,,,,,-2.04106,4.65425,-1.13718,50,5.4477,6.3053,-119.4752,-6.78273,-2.90061,26.62968,-25.55984,JOH_LOG,SCC_C,JohnALogan,JUCO,NJCAA,20260220-JohnALogan-1,95bd22d0-0e7c-11f1-976a-2d3dbd7f8c0f,81.58887,,,7.45622,,,,,,,5483fa0c-da33-46e7-b9a8-33a0c3a21050,2026-02-20,16:52:46.98,2026-02-20T10:52:46.9820000-06:00,2026-02-20T16:52:46.9820000Z,,v3,,,,"Craft, Eli",1000463339,Right,JOH_LOG,14514674-cb23-4265-99fa-fde447213059,54.22562,-120.41336,13.31484,5.67079,-5.88226,-12.77992,-1.36111,6.40749,-1.4503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2026-02-20,10:53:05.61,1,5,"McKinney, Carter",10184571,Right,JOH_LOG,"Lipp, Ethan",1000533189,Left,SCC_C,Undefined,1,Top,0,3,1,Fastball,Four-Seam,BallCalled,Walk,Undefined,Undefined,0,0,,87.17693,-1.708311,-0.602161,2180.815077,219.486818,1:15,5.68302,1.25386,6.62734,-20.39509,16.22154,12.1806,2.4187,1.71753,77.92749,-5.655279,1.615676,0.435522,,,,,,,,,,,,-6.53689,9.5256,-1.21702,50,5.55879,0.8456,-126.42457,-4.27435,-10.30174,32.08365,-17.16225,JOH_LOG,SCC_C,JohnALogan,JUCO,NJCAA,20260220-JohnALogan-1,a0d7b220-0e7c-11f1-976a-2d3dbd7f8c0f,86.54535,,,9.24944,,,,,,,5483fa0c-da33-46e7-b9a8-33a0c3a21050,2026-02-20,16:53:05.61,2026-02-20T10:53:05.6140000-06:00,2026-02-20T16:53:05.6140000Z,,v3,,,,"Craft, Eli",1000463339,Right,JOH_LOG,cc34a762-af6f-439a-8770-d5f520728ab4,53.86471,-127.40157,16.04182,5.68099,-3.75173,-8.58113,-1.24755,1.1593,-5.15087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2026-02-20,10:53:35.10,2,1,"McKinney, Carter",10184571,Right,JOH_LOG,"Goering, Brennan",1000532639,Right,SCC_C,Undefined,1,Top,0,0,0,Fastball,Sinker,InPlay,Undefined,FlyBall,Double,0,0,,86.79214,-0.718814,-2.393032,2001.124778,228.444473,1:30,5.74569,1.33085,6.93825,-22.05946,14.39646,14.64875,3.25253,0.37217,77.60004,-4.998388,0.287281,0.434566,101.6005,43.842801,-26.953155,3151.833256,97.80311,103.80841,-50.34326,346.98456,310.37504,-28.766756,6.440924,-8.64851,8.31973,-1.18594,50,5.6931,4.73407,-125.96105,-2.11069,-13.5352,31.75606,-19.15339,JOH_LOG,SCC_C,JohnALogan,JUCO,NJCAA,20260220-JohnALogan-1,b2665320-0e7c-11f1-976a-2d3dbd7f8c0f,86.73588,150.24291,,9.1921,,,,2.43202,3.28392,-0.30272,5483fa0c-da33-46e7-b9a8-33a0c3a21050,2026-02-20,16:53:35.10,2026-02-20T10:53:35.1020000-06:00,2026-02-20T16:53:35.1020000Z,FlyBall,v3,,,,"Craft, Eli",1000463339,Right,JOH_LOG,3e9dd9b3-dcc0-47f3-9b26-d52077481867,53.55722,-126.85469,15.87803,5.74491,-1.5717,-9.57669,-1.32451,5.11496,-6.7676,176.026166,2.44515,95.58721,-22.60528,5.26964,-0.81416,0.07594,-0.00346,7E-05,-0,3.27888,103.27961,-21.82862,1.74053,-0.11464,-0.05767,0.01993,-0.00249,0.00011,-0.30862,-48.6189,10.18447,-2.28254,0.33204,-0.0265,0.00061,3E-05,0,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2026-02-20,10:54:26.45,3,1,"McKinney, Carter",10184571,Right,JOH_LOG,"Glency, Jaiden",1000211517,Right,SCC_C,Undefined,1,Top,0,0,0,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,81.18731,-0.798717,-0.840421,1913.838349,178.089891,12:00,5.55834,1.54233,6.13746,-33.46939,9.51449,-0.2615,2.03094,0.74379,72.78902,-7.093888,-0.887615,0.471872,,,,,,,,,,,,-0.16307,5.67717,-1.47812,50,5.48051,1.73637,-117.69041,-2.62366,-0.22275,27.74479,-24.41839,JOH_LOG,SCC_C,JohnALogan,JUCO,NJCAA,20260220-JohnALogan-1,d109f3e0-0e7c-11f1-976a-2d3dbd7f8c0f,79.87852,,,8.39829,,,,,,,5483fa0c-da33-46e7-b9a8-33a0c3a21050,2026-02-20,16:54:26.45,2026-02-20T10:54:26.4540000-06:00,2026-02-20T16:54:26.4540000Z,,v3,,,,"Craft, Eli",1000463339,Right,JOH_LOG,cd7b7399-4b1d-4c4f-b191-f4b9f9da8808,54.35631,-118.71294,13.8724,5.56062,-1.72373,-12.2092,-1.54227,1.74458,-0.11138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2026-02-20,10:54:39.86,3,2,"McKinney, Carter",10184571,Right,JOH_LOG,"Glency, Jaiden",1000211517,Right,SCC_C,Undefined,1,Top,0,0,1,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,87.99634,-2.451875,-3.370189,2009.741042,223.893253,1:30,5.78997,1.11109,6.8981,-18.33379,17.46162,15.39339,2.0235,-0.67959,78.34857,-6.044544,-0.558952,0.430611,,,,,,,,,,,,-9.39079,10.58123,-0.903,50,5.62841,6.92698,-127.42365,-5.87101,-14.97507,33.52343,-15.30071,JOH_LOG,SCC_C,JohnALogan,JUCO,NJCAA,20260220-JohnALogan-1,d90011b0-0e7c-11f1-976a-2d3dbd7f8c0f,87.53247,,,9.64777,,,,,,,5483fa0c-da33-46e7-b9a8-33a0c3a21050,2026-02-20,16:54:39.86,2026-02-20T10:54:39.8610000-06:00,2026-02-20T16:54:39.8610000Z,,v3,,,,"Craft, Eli",1000463339,Right,JOH_LOG,61ffc269-ef4e-41d5-b2b0-ee212d31fdfb,53.59622,-128.36628,16.76171,5.78744,-5.44077,-7.65035,-1.10369,7.34805,-7.48753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2026-02-20,10:54:57.06,3,3,"McKinney, Carter",10184571,Right,JOH_LOG,"Glency, Jaiden",1000211517,Right,SCC_C,Undefined,1,Top,0,0,2,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,87.61172,-3.096013,-4.211856,2175.747865,248.04355,2:15,5.82327,1.09129,6.75873,-27.25549,9.165,19.03607,0.71386,-1.17615,78.22619,-8.281929,-0.744055,0.434355,,,,,,,,,,,,-11.49694,6.42284,-0.82096,50,5.61004,8.58634,-126.64074,-7.62623,-18.1149,33.03688,-22.05402,JOH_LOG,SCC_C,JohnALogan,JUCO,NJCAA,20260220-JohnALogan-1,e341f440-0e7c-11f1-976a-2d3dbd7f8c0f,86.77805,,,9.38553,,,,,,,5483fa0c-da33-46e7-b9a8-33a0c3a21050,2026-02-20,16:54:57.06,2026-02-20T10:54:57.0640000-06:00,2026-02-20T16:54:57.0640000Z,,v3,,,,"Craft, Eli",1000463339,Right,JOH_LOG,1d363c17-1d8f-41f2-9a38-785bbe588731,53.73504,-127.61138,16.51844,5.82458,-6.97827,-11.02701,-1.08105,9.11856,-9.05745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2026-02-20,10:55:16.88,3,4,"McKinney, Carter",10184571,Right,JOH_LOG,"Glency, Jaiden",1000211517,Right,SCC_C,Undefined,1,Top,0,1,2,Slider,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,82.13779,-1.166154,-2.414368,2065.51892,230.449083,1:45,5.61571,1.47392,6.42522,-35.32187,6.05307,5.46307,1.59924,-0.29132,74.10746,-7.795749,-1.423624,0.462956,,,,,,,,,,,,-3.69358,3.98028,-1.30427,50,5.5168,4.82584,-119.12703,-3.44451,-5.19402,27.45597,-26.57689,JOH_LOG,SCC_C,JohnALogan,JUCO,NJCAA,20260220-JohnALogan-1,ef14fe20-0e7c-11f1-976a-2d3dbd7f8c0f,81.41681,,,8.03033,,,,,,,5483fa0c-da33-46e7-b9a8-33a0c3a21050,2026-02-20,16:55:16.88,2026-02-20T10:55:16.8830000-06:00,2026-02-20T16:55:16.8830000Z,,v3,,,,"Craft, Eli",1000463339,Right,JOH_LOG,bae9f29e-170a-4a93-b4a7-d39fbd319800,54.07127,-120.0617,13.72799,5.61866,-2.53977,-13.28845,-1.47156,5.00266,-2.59701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
