PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallZAmb4,BatSpeed,VerticalAttackAngle,HorizontalAttackAngle
1,2026-02-27,18:43:23.56,1,1,"Marsten, Duncan",824024,Right,WAK_DEA,"Vannoy, Matthew",1000111908,Left,DAV_WIL,Undefined,1,Top,0,0,0,Fastball,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,94.89152,-1.552217,-2.832033,2337.0478,229.728546,1:45,5.68283,1.77627,6.59041,-16.11395,14.21713,15.60938,2.91564,0.47998,86.41985,-4.648366,0.003688,0.396383,75.67919,20.164582,-165.843785,1464.987669,-106.01803,16.00719,-29.32865,162.81636,48.1154,-164.253362,1.816043,-9.04552,8.22658,-1.5886,50,5.56964,6.18479,-137.81545,-4.18424,-17.32492,31.80901,-16.41764,WAK_DEA,DAV_WIL,David F. Couch,D1,ACC,20260227-David F. Couch-2,1b11d8e0-1436-11f1-8a6e-29c050d25d15,95.09092,18.17896,,8.47167,,,,1.40143,2.76355,-0.37823,b4f9791b-eac0-4b83-b077-fb073b929f4f,2026-02-27,23:43:23.56,2026-02-27T18:43:23.5639296-05:00,2026-02-27T23:43:23.5639296Z,LineDrive,v3,471484,471280,4a890f7a2ff647dca26df5142158fcd0,"Keenan, Jimmy",823766,Right,WAK_DEA,4bef19d6-d630-4d41-b45d-b859f1051092,53.90893,-138.71473,15.90451,5.68137,-3.72009,-8.20882,-1.77038,6.67459,-8.66246,344.849575,1.34097,-100.54179,7.45294,,,,,,,3.22507,34.75632,-20.23741,,,,,,,-0.32591,-25.87932,0.93739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,,227.295183,10.482745,2298.041877,0.98331,1:30,-0.195051,-0.727256,-0.658068,-45.662271,-9.702327,-52.696016,159.868871,5.894831,0.34235,0.102703,-0.933943,6.275427,20.020108,0.102703,0.34235,0.933943,-6.275427,-20.020108,-0.102703,-0.34235,0.933943,-159.868871,-5.894831,-0.34235,-0.102703,-0.933943,,,
2,2026-02-27,18:43:38.99,1,2,"Marsten, Duncan",824024,Right,WAK_DEA,"Vannoy, Matthew",1000111908,Left,DAV_WIL,Undefined,1,Top,0,0,1,Curveball,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,84.54866,0.457191,-0.7121,2345.767256,107.078521,9:30,5.33295,1.8866,6.17493,-35.01203,4.12886,-8.97115,2.83756,0.48132,76.49789,-6.083558,-2.331462,0.450284,,,,,,,,,,,,4.39236,2.41193,-1.82844,50,5.35008,1.87925,-122.73643,-0.13,6.60069,27.65787,-28.5495,WAK_DEA,DAV_WIL,David F. Couch,D1,ACC,20260227-David F. Couch-2,24597cf0-1436-11f1-8a6e-29c050d25d15,83.7081,,,8.05076,,,,,,,b4f9791b-eac0-4b83-b077-fb073b929f4f,2026-02-27,23:43:38.99,2026-02-27T18:43:38.9967872-05:00,2026-02-27T23:43:38.9967872Z,,v3,471484,471280,4a890f7a2ff647dca26df5142158fcd0,"Keenan, Jimmy",823766,Right,WAK_DEA,b244a875-29a6-4f53-8b91-25b31ab4acb3,54.32161,-123.70644,13.82893,5.33708,0.87129,-14.27475,-1.8903,1.64775,3.30034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,143.830799,78.38252,472.383015,0.201377,10:45,-0.980479,0.126659,-0.150393,57.950499,-22.550859,63.528072,155.947841,-28.895304,0.356828,-0.483211,-0.799488,31.14876,-20.905494,0.483211,-0.356828,0.799488,-31.14876,20.905494,-0.483211,0.356828,0.799488,-155.947841,28.895304,-0.356828,0.483211,-0.799488,,,
3,2026-02-27,18:43:52.17,1,3,"Marsten, Duncan",824024,Right,WAK_DEA,"Vannoy, Matthew",1000111908,Left,DAV_WIL,Undefined,1,Top,0,0,2,ChangeUp,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,91.802,-3.322633,-4.237243,1798.139062,252.834013,2:30,5.35458,1.97814,6.46933,-26.07997,6.7039,18.14296,0.11795,-0.40854,83.83064,-8.198758,-0.950566,0.412099,,,,,,,,,,,,-10.84319,4.79949,-1.68701,50,5.10793,9.14367,-132.9461,-8.55957,-19.289,30.11381,-23.63619,WAK_DEA,DAV_WIL,David F. Couch,D1,ACC,20260227-David F. Couch-2,2c24ba30-1436-11f1-8a6e-29c050d25d15,91.4645,,,7.97136,,,,,,,b4f9791b-eac0-4b83-b077-fb073b929f4f,2026-02-27,23:43:52.17,2026-02-27T18:43:52.1702400-05:00,2026-02-27T23:43:52.1702400Z,,v3,471484,471280,4a890f7a2ff647dca26df5142158fcd0,"Keenan, Jimmy",823766,Right,WAK_DEA,2b3e169d-016f-42bd-afed-caac0a503e06,54.03143,-133.85615,15.05691,5.35581,-7.84528,-11.81809,-1.97214,9.72659,-9.6445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,246.530549,1.850452,1797.201357,0.999479,2:15,-0.008568,-0.917125,-0.398509,55.043249,-34.034549,74.176315,179.345575,72.975785,0.003344,0.956181,-0.292757,72.976831,0.191596,0.956181,0.003344,0.292757,-72.976831,-0.191596,-0.956181,-0.003344,0.292757,-179.345575,-72.975785,-0.003344,-0.956181,-0.292757,,,
4,2026-02-27,18:44:12.15,1,4,"Marsten, Duncan",824024,Right,WAK_DEA,"Vannoy, Matthew",1000111908,Left,DAV_WIL,Undefined,1,Top,0,1,2,Fastball,Sinker,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,98.92759,-2.105585,-3.54041,2509.950794,235.296047,1:45,5.68503,1.82681,6.34044,-15.08682,13.53906,18.00454,2.48471,0.06356,88.81346,-5.015653,-0.287699,0.38508,,,,,,,,,,,,-10.52335,8.04567,-1.57703,50,5.52442,8.0538,-143.28198,-5.72402,-21.47517,38.77137,-15.75513,WAK_DEA,DAV_WIL,David F. Couch,D1,ACC,20260227-David F. Couch-2,380ece80-1436-11f1-8a6e-29c050d25d15,97.88209,,,10.11414,,,,,,,b4f9791b-eac0-4b83-b077-fb073b929f4f,2026-02-27,23:44:12.15,2026-02-27T18:44:12.1580000-05:00,2026-02-27T23:44:12.1580000Z,,v3,471484,471280,4a890f7a2ff647dca26df5142158fcd0,"Keenan, Jimmy",823766,Right,WAK_DEA,c12956c9-7f7d-48bd-86bc-92204b19626c,54.15679,-144.4024,19.38569,5.68325,-5.26872,-7.87757,-1.81874,8.67439,-10.73759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.54024,2.620177,1.76256,0.857617,1.18491,2.46433,-0.06242,1.72811,5.55805,-2.67523,74.54766,3.91416,-50.2332,1.76298,90.77335,-6.89523,5.56967,8.44353,-12.09954,-2.74362,-63.75675,9.79424,High,High,High,,,High,Medium,High,232.673694,8.873365,2479.910897,0.988032,1:45,-0.162037,-0.790815,-0.590217,-69.457479,-5.295344,-29.251013,168.522127,17.585678,0.18969,0.302132,-0.934202,17.921793,10.934691,0.302132,0.18969,0.934202,-17.921793,-10.934691,-0.302132,-0.18969,0.934202,-168.522127,-17.585678,-0.18969,-0.302132,-0.934202,,,
5,2026-02-27,18:44:45.29,2,1,"Marsten, Duncan",824024,Right,WAK_DEA,"Daly, Jameson",1000097079,Left,DAV_WIL,Undefined,1,Top,1,0,0,Cutter,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,86.52109,-0.931279,-2.707645,2451.275491,120.33296,10:00,5.39605,1.88076,6.3873,-32.25911,4.12827,-5.28351,1.85014,-1.05197,80.06783,-6.916518,-3.663714,0.434157,,,,,,,,,,,,2.06969,2.71248,-1.6836,50,5.31409,6.14491,-125.77223,-3.04997,3.33772,23.89006,-27.79976,WAK_DEA,DAV_WIL,David F. Couch,D1,ACC,20260227-David F. Couch-2,4bd759f0-1436-11f1-8a6e-29c050d25d15,86.81755,,,6.45327,,,,,,,b4f9791b-eac0-4b83-b077-fb073b929f4f,2026-02-27,23:44:45.29,2026-02-27T18:44:45.2926976-05:00,2026-02-27T23:44:45.2926976Z,,v3,471484,471280,4a890f7a2ff647dca26df5142158fcd0,"Keenan, Jimmy",823766,Right,WAK_DEA,5fcb184e-308d-4261-9b3a-700eb31ddd6e,54.11291,-126.55106,11.94503,5.39875,-2.14369,-13.89988,-1.88216,6.0361,1.66886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,175.476158,77.868947,515.131795,0.210148,11:45,-0.986615,0.000683,-0.163068,67.143856,-16.205148,74.321288,161.654645,-17.08301,0.300857,-0.293757,-0.907299,17.940435,-17.509111,0.293757,-0.300857,0.907299,-17.940435,17.509111,-0.293757,0.300857,0.907299,-161.654645,17.08301,-0.300857,0.293757,-0.907299,,,
6,2026-02-27,18:45:00.59,2,2,"Marsten, Duncan",824024,Right,WAK_DEA,"Daly, Jameson",1000097079,Left,DAV_WIL,Undefined,1,Top,1,0,1,Cutter,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,83.92347,-0.093299,-2.066974,2482.009075,54.601977,7:45,5.67576,1.59186,6.12743,-42.9151,-3.76473,-6.90906,2.01321,-0.89536,77.54997,-7.982948,-3.31309,0.450339,,,,,,,,,,,,3.03118,-1.60327,-1.43024,50,5.64625,4.66348,-122.01839,-1.60217,4.58205,23.40854,-34.59761,WAK_DEA,DAV_WIL,David F. Couch,D1,ACC,20260227-David F. Couch-2,54ef6280-1436-11f1-8a6e-29c050d25d15,83.69797,,,6.3735,,,,,,,b4f9791b-eac0-4b83-b077-fb073b929f4f,2026-02-27,23:45:00.59,2026-02-27T18:45:00.5944832-05:00,2026-02-27T23:45:00.5944832Z,,v3,471484,471280,4a890f7a2ff647dca26df5142158fcd0,"Keenan, Jimmy",823766,Right,WAK_DEA,fbccb7c9-d76a-41fc-baa4-e2ce33d53613,54.37382,-122.85462,11.70427,5.68141,-0.36623,-17.2988,-1.59391,4.49979,2.29103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,65.267873,80.365544,415.393171,0.167362,8:15,-0.982975,0.150405,0.105542,-83.331209,40.942174,65.53986,167.524514,-15.863948,0.207794,-0.273354,-0.939201,16.227607,-11.993128,0.273354,-0.207794,0.939201,-16.227607,11.993128,-0.273354,0.207794,0.939201,-167.524514,15.863948,-0.207794,0.273354,-0.939201,,,
7,2026-02-27,18:45:16.02,2,3,"Marsten, Duncan",824024,Right,WAK_DEA,"Daly, Jameson",1000097079,Left,DAV_WIL,Undefined,1,Top,1,1,1,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,89.48401,0.658055,-2.637441,1626.897115,246.331472,2:15,5.3921,1.84519,6.80598,-24.63659,9.27284,18.58029,3.94021,0.98512,81.1919,-4.03729,0.752508,0.419113,,,,,,,,,,,,-10.58197,5.05689,-1.68037,50,5.42549,5.28072,-130.0207,0.80654,-17.97333,29.24819,-23.58496,WAK_DEA,DAV_WIL,David F. Couch,D1,ACC,20260227-David F. Couch-2,5e26b2e0-1436-11f1-8a6e-29c050d25d15,89.93373,,,8.29212,,,,,,,b4f9791b-eac0-4b83-b077-fb073b929f4f,2026-02-27,23:45:16.02,2026-02-27T18:45:16.0292352-05:00,2026-02-27T23:45:16.0292352Z,,v3,471484,471280,4a890f7a2ff647dca26df5142158fcd0,"Keenan, Jimmy",823766,Right,WAK_DEA,fb50eb91-802b-459e-a894-42ebefb9fe71,53.69235,-130.84866,14.62409,5.39321,1.47419,-11.79248,-1.83706,5.7895,-8.98667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,245.372274,6.171865,1617.46742,0.994204,2:15,-0.136823,-0.902471,-0.408442,38.484426,-47.670023,60.284398,175.668309,61.104564,0.036497,0.875503,-0.481832,61.173849,2.091599,0.875503,0.036497,0.481832,-61.173849,-2.091599,-0.875503,-0.036497,0.481832,-175.668309,-61.104564,-0.036497,-0.875503,-0.481832,,,
8,2026-02-27,18:45:30.98,2,4,"Marsten, Duncan",824024,Right,WAK_DEA,"Daly, Jameson",1000097079,Left,DAV_WIL,Undefined,1,Top,1,2,1,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,95.3595,-1.763947,-2.447016,2426.755236,220.631658,1:15,5.56062,1.6499,6.69813,-10.13882,19.8547,16.16647,3.10077,0.75818,86.49724,-3.786742,0.496265,0.394171,,,,,,,,,,,,-9.19871,11.26823,-1.49243,50,5.43848,5.24694,-138.48469,-4.45212,-17.73594,32.98997,-10.44781,WAK_DEA,DAV_WIL,David F. Couch,D1,ACC,20260227-David F. Couch-2,670fe340-1436-11f1-8a6e-29c050d25d15,95.62447,,,8.86226,,,,,,,b4f9791b-eac0-4b83-b077-fb073b929f4f,2026-02-27,23:45:30.98,2026-02-27T18:45:30.9858304-05:00,2026-02-27T23:45:30.9858304Z,,v3,471484,471280,4a890f7a2ff647dca26df5142158fcd0,"Keenan, Jimmy",823766,Right,WAK_DEA,fa1ac3be-bab9-49b4-a56c-d7ab227b5f59,53.79954,-139.38688,16.49498,5.55632,-4.1664,-5.2239,-1.64255,5.73198,-8.86797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,227.315745,14.214502,2352.455824,0.969383,1:30,-0.251357,-0.719815,-0.647059,-54.1995,-21.485257,-44.421131,176.217761,10.422359,0.064876,0.180903,-0.981359,10.444608,3.719747,0.180903,0.064876,0.981359,-10.444608,-3.719747,-0.180903,-0.064876,0.981359,-176.217761,-10.422359,-0.064876,-0.180903,-0.981359,,,
9,2026-02-27,18:45:47.96,2,5,"Marsten, Duncan",824024,Right,WAK_DEA,"Daly, Jameson",1000097079,Left,DAV_WIL,Undefined,1,Top,1,2,2,Cutter,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,86.07082,-0.298978,-1.200266,2485.682339,129.303529,10:15,5.40897,1.84248,6.13225,-32.32714,5.16689,-4.82965,2.43864,0.33047,78.60278,-6.315935,-2.071409,0.44071,92.7717,24.653359,33.283529,3594.687324,87.95186,44.23225,66.06368,330.45876,276.52509,46.933349,4.35484,2.16232,3.09319,-1.7483,50,5.36932,2.80673,-125.0585,-1.68723,3.40455,26.58596,-27.30385,WAK_DEA,DAV_WIL,David F. Couch,D1,ACC,20260227-David F. Couch-2,713208d0-1436-11f1-8a6e-29c050d25d15,85.5267,55.98856,,7.46803,,,,3.19211,2.65575,-0.40332,b4f9791b-eac0-4b83-b077-fb073b929f4f,2026-02-27,23:45:47.96,2026-02-27T18:45:47.9686656-05:00,2026-02-27T23:45:47.9686656Z,LineDrive,v3,471484,471280,4a890f7a2ff647dca26df5142158fcd0,"Keenan, Jimmy",823766,Right,WAK_DEA,2da1d408-b204-4167-aba5-2f11e230b00c,54.36702,-125.98346,13.29298,5.4115,-0.7373,-13.65193,-1.84389,2.68828,1.70227,,3.19226,103.37575,-25.36697,6.38372,-1.51312,0.33828,-0.07081,0.0103,-0.00064,2.65544,56.76125,-16.45938,0.53568,0.21062,-0.11638,0.03692,-0.00573,0.00033,-0.40308,67.86008,-2.10646,-1.20994,0.5641,-0.13804,0.01851,-0.00062,-7E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,,156.388947,78.011515,516.313771,0.207715,11:15,-0.982382,0.07809,-0.169786,73.835229,-28.594437,55.787542,147.482536,-18.626529,0.5094,-0.319398,-0.79906,21.787448,-30.623857,0.319398,-0.5094,0.79906,-21.787448,30.623857,-0.319398,0.5094,0.79906,-147.482536,18.626529,-0.5094,0.319398,-0.79906,,,
10,2026-02-27,18:46:30.05,2,6,"Marsten, Duncan",824024,Right,WAK_DEA,"Daly, Jameson",1000097079,Left,DAV_WIL,Undefined,1,Top,1,2,2,Curveball,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,83.44352,2.50288,0.372353,2396.879935,39.382828,7:15,5.65746,1.61029,6.41964,-41.25298,-2.08398,-2.66126,4.52204,1.73081,76.58572,-5.171912,-0.110011,0.450446,,,,,,,,,,,,1.48536,-1.37839,-1.63573,50,5.81776,-0.68996,-121.30938,4.02243,2.22105,22.95984,-34.23517,WAK_DEA,DAV_WIL,David F. Couch,D1,ACC,20260227-David F. Couch-2,8a456830-1436-11f1-8a6e-29c050d25d15,83.67804,,,6.8578,,,,,,,b4f9791b-eac0-4b83-b077-fb073b929f4f,2026-02-27,23:46:30.05,2026-02-27T18:46:30.0525568-05:00,2026-02-27T23:46:30.0525568Z,,v3,471484,471280,4a890f7a2ff647dca26df5142158fcd0,"Keenan, Jimmy",823766,Right,WAK_DEA,0654101b-ef06-4889-8870-c569abce8894,54.08024,-122.07919,11.47992,5.66365,5.17029,-17.11758,-1.61135,-0.76443,1.11052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,66.517443,76.075229,576.80363,0.240648,8:15,-0.960651,0.262893,0.08965,76.615107,-10.943065,56.200272,161.646955,-21.251246,0.29346,-0.362458,-0.884593,22.281157,-17.065218,0.362458,-0.29346,0.884593,-22.281157,17.065218,-0.362458,0.29346,0.884593,-161.646955,21.251246,-0.29346,0.362458,-0.884593,,,
