PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallZAmb4,BatSpeed,VerticalAttackAngle,HorizontalAttackAngle
1,2026-03-01,13:05:17.60,1,1,"Montgomery, Kellan",811574,Right,SAN_GAU,"Flaharty, Matt",809820,Left,UTA_UTE,Undefined,1,Top,0,0,0,Sinker,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,93.33139,-1.834448,-2.760916,2255.912092,234.83338,1:45,5.6412,2.03605,5.1847,-18.9347,14.38729,18.75202,2.33485,0.9992,84.42151,-5.375715,0.558154,0.415467,,,,,,,,,,,,-9.99697,8.03796,-1.79342,50,5.45664,5.56029,-135.07322,-5.01203,-18.3123,31.75446,-17.45024,SAN_GAU,UTA_UTE,CaesarUyesaka,D1,BW,20260301-CaesarUyesaka-1,59de5120-15b2-11f1-b4c6-03791bf439b2,90.72301,,,8.90988,,,,,,,a82371be-8ab5-437c-b44d-ebfb9a44555d,2026-03-01,21:05:17.60,2026-03-01T13:05:17.6030000-08:00,2026-03-01T21:05:17.6030000Z,,v3,471258,471475,f2218c94d16b463eb2a53ba6f03b2c98,"Vargas, Nathan",1000119588,Right,SAN_GAU,203576ed-329f-468d-b131-ea53e7dc231d,55.30897,-136.3156,15.87723,5.63938,-4.3293,-8.72512,-2.02498,6.27675,-9.15615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2026-03-01,13:05:33.94,1,2,"Montgomery, Kellan",811574,Right,SAN_GAU,"Flaharty, Matt",809820,Left,UTA_UTE,Undefined,1,Top,0,0,1,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,77.25265,5.042547,1.976671,2617.630837,34.06463,7:15,5.60208,2.26196,4.8008,-69.5937,-19.16013,-14.31217,4.59569,2.94294,68.67649,-7.507323,-0.536554,0.51113,,,,,,,,,,,,7.58886,-10.32812,-2.44599,50,6.04575,-3.2086,-111.35015,7.14764,9.26281,25.17653,-44.78036,SAN_GAU,UTA_UTE,CaesarUyesaka,D1,BW,20260301-CaesarUyesaka-1,63a73320-15b2-11f1-b4c6-03791bf439b2,73.74335,,,8.57616,,,,,,,a82371be-8ab5-437c-b44d-ebfb9a44555d,2026-03-01,21:05:33.94,2026-03-01T13:05:33.9470000-08:00,2026-03-01T21:05:33.9470000Z,,v3,471258,471475,f2218c94d16b463eb2a53ba6f03b2c98,"Vargas, Nathan",1000119588,Right,SAN_GAU,dda9250c-ab27-4024-b8ba-cda6f9409632,55.69808,-112.63113,12.58826,5.62412,9.42606,-22.39018,-2.27075,-3.67989,4.6314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2026-03-01,13:05:47.35,1,3,"Montgomery, Kellan",811574,Right,SAN_GAU,"Flaharty, Matt",809820,Left,UTA_UTE,Undefined,1,Top,0,1,1,Curveball,Curveball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,78.73798,1.647336,-1.356079,2648.959752,35.229757,7:15,5.60257,2.30148,5.06068,-62.84921,-15.47528,-12.13347,1.9194,0.01137,71.34337,-9.693518,-3.504391,0.495383,,,,,,,,,,,,5.53851,-7.68906,-2.16255,50,5.70926,3.20887,-114.0655,0.94864,7.1446,25.06522,-42.09284,SAN_GAU,UTA_UTE,CaesarUyesaka,D1,BW,20260301-CaesarUyesaka-1,6ba60380-15b2-11f1-b4c6-03791bf439b2,76.08749,,,7.39461,,,,,,,a82371be-8ab5-437c-b44d-ebfb9a44555d,2026-03-01,21:05:47.35,2026-03-01T13:05:47.3520000-08:00,2026-03-01T21:05:47.3520000Z,,v3,471258,471475,f2218c94d16b463eb2a53ba6f03b2c98,"Vargas, Nathan",1000119588,Right,SAN_GAU,8032eb1c-c741-4d91-82a6-8447a16d7ab1,55.43948,-115.2546,12.53261,5.61689,2.94553,-21.04642,-2.30674,2.86993,3.5723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2026-03-01,13:06:03.81,1,4,"Montgomery, Kellan",811574,Right,SAN_GAU,"Flaharty, Matt",809820,Left,UTA_UTE,Undefined,1,Top,0,1,2,Slider,Slider,InPlay,Undefined,GroundBall,Out,1,0,,84.80358,0.546412,-1.471803,2765.382669,34.138502,7:15,5.32601,2.56517,4.80192,-47.17034,-5.91138,-5.0417,1.91306,0.7502,76.44232,-7.975204,-2.359553,0.462307,67.95364,-53.402221,37.670742,,,,,3.27215,3.27215,2.326726,0.025001,1.99099,-2.70166,-2.41394,50,5.33933,3.38367,-122.74626,-0.72078,2.97495,28.9663,-36.21087,SAN_GAU,UTA_UTE,CaesarUyesaka,D1,BW,20260301-CaesarUyesaka-1,756bff50-15b2-11f1-b4c6-03791bf439b2,81.53115,2.00677,,8.36126,,,,2.08987,2.00677,-0.77787,a82371be-8ab5-437c-b44d-ebfb9a44555d,2026-03-01,21:06:03.81,2026-03-01T13:06:03.8150000-08:00,2026-03-01T21:06:03.8150000Z,GroundBall,v3,471258,471475,f2218c94d16b463eb2a53ba6f03b2c98,"Vargas, Nathan",1000119588,Right,SAN_GAU,80388e12-40fc-49a1-86f7-3a95c77b0c8a,55.69544,-124.08302,14.48315,5.33404,0.95031,-18.10543,-2.56693,3.24638,1.48748,,2.08928,47.18099,,,,,,,,2.00778,-80.26725,,,,,,,,-0.77834,36.42714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2026-03-01,13:06:36.03,2,1,"Montgomery, Kellan",811574,Right,SAN_GAU,"Jacobs, Luke",10305101,Left,UTA_UTE,Undefined,1,Top,1,0,0,ChangeUp,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,83.99616,-0.86763,-1.965546,1476.930344,253.544874,2:30,5.60539,2.22751,5.15496,-37.91616,3.50858,6.71784,1.62844,0.93638,75.85518,-7.80074,-0.775133,0.463235,,,,,,,,,,,,-3.96599,2.50748,-2.04918,50,5.49571,3.87328,-121.58582,-3.24764,-5.83583,27.62374,-28.48439,SAN_GAU,UTA_UTE,CaesarUyesaka,D1,BW,20260301-CaesarUyesaka-1,88a6c9b0-15b2-11f1-b4c6-03791bf439b2,81.36786,,,8.14098,,,,,,,a82371be-8ab5-437c-b44d-ebfb9a44555d,2026-03-01,21:06:36.03,2026-03-01T13:06:36.0360000-08:00,2026-03-01T21:06:36.0360000Z,,v3,471258,471475,f2218c94d16b463eb2a53ba6f03b2c98,"Vargas, Nathan",1000119588,Right,SAN_GAU,9b308348-387d-4842-b6a3-2f28f560b7dc,55.33938,-122.79291,13.81187,5.61042,-2.00294,-14.2422,-2.22401,4.1283,-2.91791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2026-03-01,13:06:54.21,2,2,"Montgomery, Kellan",811574,Right,SAN_GAU,"Jacobs, Luke",10305101,Left,UTA_UTE,Undefined,1,Top,1,0,1,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,83.90143,2.170126,-0.224444,2718.998693,82.018993,8:45,5.36662,2.57253,4.68876,-42.33983,-0.41252,-13.09721,3.89976,1.26799,76.00693,-5.49599,-2.522695,0.466037,,,,,,,,,,,,6.27961,-0.38366,-2.53742,50,5.54928,1.09017,-121.48264,2.90572,9.30134,25.76172,-32.74235,SAN_GAU,UTA_UTE,CaesarUyesaka,D1,BW,20260301-CaesarUyesaka-1,937582f0-15b2-11f1-b4c6-03791bf439b2,80.87873,,,7.8945,,,,,,,a82371be-8ab5-437c-b44d-ebfb9a44555d,2026-03-01,21:06:54.21,2026-03-01T13:06:54.2120000-08:00,2026-03-01T21:06:54.2120000Z,,v3,471258,471475,f2218c94d16b463eb2a53ba6f03b2c98,"Vargas, Nathan",1000119588,Right,SAN_GAU,fdabd4d6-a275-4f21-b087-5dfa3be37b3f,55.80733,-122.70797,12.88086,5.37403,4.46307,-16.37118,-2.57875,0.64777,4.65067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2026-03-01,13:07:13.35,2,3,"Montgomery, Kellan",811574,Right,SAN_GAU,"Jacobs, Luke",10305101,Left,UTA_UTE,Undefined,1,Top,1,1,1,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,77.96614,4.592729,0.041145,2701.716054,42.043692,7:30,5.56275,2.17841,4.74301,-62.7257,-13.79454,-14.01717,4.70125,1.04933,70.17681,-6.705323,-2.418772,0.503459,,,,,,,,,,,,6.77618,-7.53878,-2.16964,50,5.97032,0.53778,-112.63172,6.63057,8.57026,23.40125,-41.70884,SAN_GAU,UTA_UTE,CaesarUyesaka,D1,BW,20260301-CaesarUyesaka-1,9ee1dbc0-15b2-11f1-b4c6-03791bf439b2,74.86691,,,7.78933,,,,,,,a82371be-8ab5-437c-b44d-ebfb9a44555d,2026-03-01,21:07:13.35,2026-03-01T13:07:13.3510000-08:00,2026-03-01T21:07:13.3510000Z,,v3,471258,471475,f2218c94d16b463eb2a53ba6f03b2c98,"Vargas, Nathan",1000119588,Right,SAN_GAU,459e09ab-8f4f-4ba8-b40f-a403e12b1e58,55.75619,-113.82138,11.70062,5.57934,8.75095,-20.85442,-2.18591,0.10209,4.28513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2026-03-01,13:07:29.44,2,4,"Montgomery, Kellan",811574,Right,SAN_GAU,"Jacobs, Luke",10305101,Left,UTA_UTE,Undefined,1,Top,1,2,1,ChangeUp,Splitter,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,81.34899,1.316604,-1.998002,1037.425625,310.257525,4:15,5.35692,2.26339,5.30746,-49.30207,-5.28126,8.17,2.48524,1.06801,73.22906,-7.689352,-0.546619,0.47753,,,,,,,,,,,,-4.72177,-2.52185,-2.08805,50,5.44121,3.75782,-117.77412,0.90566,-6.4986,26.56266,-35.64491,SAN_GAU,UTA_UTE,CaesarUyesaka,D1,BW,20260301-CaesarUyesaka-1,a87e2f80-15b2-11f1-b4c6-03791bf439b2,78.9321,,,8.11993,,,,,,,a82371be-8ab5-437c-b44d-ebfb9a44555d,2026-03-01,21:07:29.44,2026-03-01T13:07:29.4450000-08:00,2026-03-01T21:07:29.4450000Z,,v3,471258,471475,f2218c94d16b463eb2a53ba6f03b2c98,"Vargas, Nathan",1000119588,Right,SAN_GAU,331388c4-ae63-4e4b-bbb0-fb700419e78a,55.18818,-118.9385,13.28133,5.36726,2.46816,-17.82245,-2.25902,4.04269,-3.2493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2026-03-01,13:07:47.74,2,5,"Montgomery, Kellan",811574,Right,SAN_GAU,"Jacobs, Luke",10305101,Left,UTA_UTE,Undefined,1,Top,1,2,2,Sinker,Sinker,InPlay,Undefined,GroundBall,Single,0,0,,91.74797,-1.719936,-2.70899,2236.738608,254.200013,2:30,5.46723,2.10172,5.32621,-27.34155,7.22878,20.9669,1.5726,1.30511,82.54087,-6.771957,1.015731,0.423178,95.11491,3.899511,-9.591902,1511.486344,,,,99.26602,87.52925,-14.018947,0.762088,-11.49938,4.54563,-1.87273,50,5.2921,5.31467,-132.79586,-5.0282,-20.13873,33.54855,-24.21334,SAN_GAU,UTA_UTE,CaesarUyesaka,D1,BW,20260301-CaesarUyesaka-1,b359ba00-15b2-11f1-b4c6-03791bf439b2,89.06996,3.04845,,9.2071,,,,1.45656,1.61128,-1.3111,a82371be-8ab5-437c-b44d-ebfb9a44555d,2026-03-01,21:07:47.74,2026-03-01T13:07:47.7450000-08:00,2026-03-01T21:07:47.7450000Z,GroundBall,v3,471258,471475,f2218c94d16b463eb2a53ba6f03b2c98,"Vargas, Nathan",1000119588,Right,SAN_GAU,db19254e-2c0d-47c0-8782-0d911ee56bce,55.17182,-134.09607,16.77428,5.46879,-4.08979,-12.10667,-2.09383,6.09516,-10.06937,95.785965,1.49529,136.54939,-15.98711,,,,,,,1.62886,9.17745,-14.87581,,,,,,,-1.2674,-23.971,-7.83637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2026-03-01,13:08:29.10,3,1,"Montgomery, Kellan",811574,Right,SAN_GAU,"Noonan, Nevan",805160,Right,UTA_UTE,Undefined,1,Top,1,0,0,Sinker,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,91.01324,-0.974583,-4.954455,2263.351926,248.816439,2:15,5.49867,2.44652,5.45902,-25.79868,9.29418,20.54367,2.43304,-0.49058,81.6191,-5.77828,-1.312653,0.426364,,,,,,,,,,,,-11.97993,5.3737,-2.02369,50,5.39517,10.44758,-131.44171,-3.17958,-20.57942,32.56073,-22.94295,SAN_GAU,UTA_UTE,CaesarUyesaka,D1,BW,20260301-CaesarUyesaka-1,cbffffb0-15b2-11f1-b4c6-03791bf439b2,88.40431,,,9.39414,,,,,,,a82371be-8ab5-437c-b44d-ebfb9a44555d,2026-03-01,21:08:29.10,2026-03-01T13:08:29.1090000-08:00,2026-03-01T21:08:29.1090000Z,,v3,471258,471475,f2218c94d16b463eb2a53ba6f03b2c98,"Vargas, Nathan",1000119588,Right,SAN_GAU,26a14186-f0c1-4ef3-8bad-1c4f77fca00d,55.03773,-132.68379,16.28037,5.49977,-2.30439,-11.47148,-2.4372,11.23262,-10.28971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
