PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallZAmb4,BatSpeed,VerticalAttackAngle,HorizontalAttackAngle
1,2026-03-01,13:04:12.81,1,1,"DiGiacomo, Fenix",815171,Right,VCU_RAM,"Becker, Eric",806027,Left,VIR_CAV,Undefined,1,Top,0,0,0,Fastball,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,,92.17233,-2.614368,-2.071922,1757.441942,210.688753,1:00,6.21598,1.46447,5.89398,-16.83658,16.61501,9.12756,2.38239,0.30061,83.03454,-5.830948,-0.434308,0.416275,107.73665,18.914,4.797893,1365.494063,109.56715,36.70884,9.74325,362.54398,346.38836,4.266438,4.051452,-5.36941,9.72548,-1.30298,50,5.99583,4.43189,-133.50798,-6.60565,-9.53016,33.20135,-14.91234,VCU_RAM,VIR_CAV,TheDiamond,D1,A10,20260301-TheDiamond-1,0df8e130-1599-11f1-a69c-7d59195ff86e,90.54704,52.15154,,9.13779,,,,1.16821,2.39782,-0.27232,e4e29ef7-edb6-4321-b81f-d8060758eab4,2026-03-01,18:04:12.81,2026-03-01T13:04:12.8105472-05:00,2026-03-01T18:04:12.8105472Z,LineDrive,v3,471479,471482,0edf1d0ce7224511913b15b1edf6f1b1,"Lee, Jacob",1000115663,Right,VCU_RAM,0c946d1f-1a44-4421-95cd-fa5f5a33d961,54.60259,-134.64771,16.60067,6.2138,-6.09375,-7.45617,-1.46073,4.75904,-4.76508,188.86625,1.16829,148.95559,-31.45519,7.98188,-1.75887,0.33636,-0.05186,0.00548,-0.00027,2.3977,51.22338,-12.12171,-1.44177,0.73734,-0.19505,0.03184,-0.00251,5E-05,-0.27236,12.50362,-0.27641,-1.02981,0.43313,-0.11957,0.02341,-0.0029,0.00016,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2026-03-01,13:04:44.57,2,1,"DiGiacomo, Fenix",815171,Right,VCU_RAM,"Gracia, AJ",1000091685,Left,VIR_CAV,Undefined,1,Top,1,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,92.5856,-3.751582,-2.216654,1929.457763,200.469221,12:45,6.20326,1.34772,6.01382,-13.84879,19.35198,6.74701,1.56636,-0.14444,83.12759,-6.438782,-1.0039,0.414711,,,,,,,,,,,,-4.22292,11.58753,-1.17752,50,5.90111,4.88971,-133.9144,-9.15092,-7.51268,34.39686,-11.55961,VCU_RAM,VIR_CAV,TheDiamond,D1,A10,20260301-TheDiamond-1,20e69d00-1599-11f1-a69c-7d59195ff86e,90.88848,,,9.45801,,,,,,,e4e29ef7-edb6-4321-b81f-d8060758eab4,2026-03-01,18:04:44.57,2026-03-01T13:04:44.5731328-05:00,2026-03-01T18:04:44.5731328Z,,v3,471479,471482,0edf1d0ce7224511913b15b1edf6f1b1,"Lee, Jacob",1000115663,Right,VCU_RAM,88411988-9c04-4789-aec8-232727e71103,54.48178,-135.06067,17.19843,6.19965,-8.7657,-5.7798,-1.34465,5.14007,-3.75634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2026-03-01,13:05:00.16,2,2,"DiGiacomo, Fenix",815171,Right,VCU_RAM,"Gracia, AJ",1000091685,Left,VIR_CAV,Undefined,1,Top,1,0,1,ChangeUp,Changeup,InPlay,Undefined,FlyBall,HomeRun,0,1,,82.06862,-1.305672,-3.535897,2191.432789,236.038141,1:45,5.97849,1.92137,6.38261,-28.74509,12.16544,16.06524,2.37947,0.00331,74.99174,-6.714244,-0.629942,0.460351,103.74312,30.906406,26.105469,2892.890969,96.29285,63.31814,53.17548,394.71234,264.10909,37.950457,5.540138,-9.44103,7.12181,-1.67383,50,5.87098,6.78306,-119.08582,-3.51838,-13.50867,23.63739,-21.98383,VCU_RAM,VIR_CAV,TheDiamond,D1,A10,20260301-TheDiamond-1,2a3b6070-1599-11f1-a69c-7d59195ff86e,81.87763,99.1708,,7.07688,,,,2.19561,2.43127,-0.06164,e4e29ef7-edb6-4321-b81f-d8060758eab4,2026-03-01,18:05:00.16,2026-03-01T13:05:00.1635328-05:00,2026-03-01T18:05:00.1635328Z,FlyBall,v3,471479,471482,0edf1d0ce7224511913b15b1edf6f1b1,"Lee, Jacob",1000115663,Right,VCU_RAM,cb51b32d-bee0-4596-9906-6e078f9ce0b3,54.11635,-119.9001,11.81869,5.97913,-2.76107,-10.99192,-1.91552,7.24841,-6.75434,209.462062,2.20127,117.12739,-27.63676,6.43897,-1.18754,0.17199,-0.02046,0.00193,-9E-05,2.43131,78.1442,-17.47573,0.57006,0.23863,-0.15577,0.04225,-0.00537,0.00026,-0.06174,57.44897,-4.0196,0.30187,0.05283,-0.02763,0.00539,-0.00051,2E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2026-03-01,13:05:44.24,3,1,"DiGiacomo, Fenix",815171,Right,VCU_RAM,"Tiroly, Joe",1000278564,Right,VIR_CAV,Undefined,1,Top,1,0,0,Curveball,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,80.14618,1.137038,-1.454283,2053.568912,42.09221,7:30,6.04722,1.70497,5.71127,-51.14294,-6.47985,-7.33843,2.84508,-0.2617,72.30815,-8.257502,-2.768118,0.481001,,,,,,,,,,,,3.20866,-3.13858,-1.57874,50,6.1113,3.24288,-116.16611,0.5659,4.2891,26.17717,-36.36948,VCU_RAM,VIR_CAV,TheDiamond,D1,A10,20260301-TheDiamond-1,44798430-1599-11f1-a69c-7d59195ff86e,78.3625,,,7.83803,,,,,,,e4e29ef7-edb6-4321-b81f-d8060758eab4,2026-03-01,18:05:44.24,2026-03-01T13:05:44.2408448-05:00,2026-03-01T18:05:44.2408448Z,,v3,471479,471482,0edf1d0ce7224511913b15b1edf6f1b1,"Lee, Jacob",1000115663,Right,VCU_RAM,95fa0030-aa0f-44e9-b7be-a945febb40a3,54.78548,-117.23953,13.08859,6.05752,2.05726,-18.18474,-1.70811,3.067,2.14455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2026-03-01,13:05:56.95,3,2,"DiGiacomo, Fenix",815171,Right,VCU_RAM,"Tiroly, Joe",1000278564,Right,VIR_CAV,Undefined,1,Top,1,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.28712,-4.64053,-3.493594,1939.470077,202.003103,12:45,6.2319,0.99662,6.00264,-14.0882,20.20237,7.62678,0.74081,-1.60878,82.0522,-7.367446,-2.125546,0.421462,,,,,,,,,,,,-5.05587,12.28064,-0.72572,50,5.85799,7.70729,-131.72378,-11.06758,-8.71689,32.86223,-11.00079,VCU_RAM,VIR_CAV,TheDiamond,D1,A10,20260301-TheDiamond-1,4c0c7360-1599-11f1-a69c-7d59195ff86e,89.43249,,,9.23492,,,,,,,e4e29ef7-edb6-4321-b81f-d8060758eab4,2026-03-01,18:05:56.95,2026-03-01T13:05:56.9526784-05:00,2026-03-01T18:05:56.9526784Z,,v3,471479,471482,0edf1d0ce7224511913b15b1edf6f1b1,"Lee, Jacob",1000115663,Right,VCU_RAM,ae7b11ed-14db-474a-b4fb-6c0e1a6c31ff,54.49153,-132.83959,16.43111,6.22744,-10.69405,-5.5004,-0.99243,8.00326,-4.35845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2026-03-01,13:06:11.05,3,3,"DiGiacomo, Fenix",815171,Right,VCU_RAM,"Tiroly, Joe",1000278564,Right,VIR_CAV,Undefined,1,Top,1,1,1,Curveball,Curveball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,79.87237,0.336976,-1.478018,2291.85497,39.487687,7:15,6.10363,1.4248,5.71539,-56.83822,-11.44914,-10.9041,1.68113,-0.86103,71.73881,-10.068205,-3.433674,0.484894,,,,,,,,,,,,4.99114,-5.44575,-1.29436,50,6.09703,3.41488,-115.71906,-1.2545,6.54507,28.21099,-39.31524,VCU_RAM,VIR_CAV,TheDiamond,D1,A10,20260301-TheDiamond-1,547920c0-1599-11f1-a69c-7d59195ff86e,77.7333,,,8.13356,,,,,,,e4e29ef7-edb6-4321-b81f-d8060758eab4,2026-03-01,18:06:11.05,2026-03-01T13:06:11.0560256-05:00,2026-03-01T18:06:11.0560256Z,,v3,471479,471482,0edf1d0ce7224511913b15b1edf6f1b1,"Lee, Jacob",1000115663,Right,VCU_RAM,ee7634ef-5f61-4fce-a3a9-8adf3220f9b0,54.78248,-116.87916,14.1055,6.11538,0.36223,-19.65762,-1.42925,3.14573,3.27254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2026-03-01,13:06:34.24,3,4,"DiGiacomo, Fenix",815171,Right,VCU_RAM,"Tiroly, Joe",1000278564,Right,VIR_CAV,Undefined,1,Top,1,1,2,Slider,Slider,InPlay,Undefined,GroundBall,Out,1,0,,84.51475,-0.367001,-2.011565,2111.493017,59.886359,8:00,6.03582,1.67683,5.91162,-39.92203,-0.11366,-2.70984,2.36815,-0.41675,76.30386,-7.749031,-2.49839,0.454107,88.06502,-12.380583,-21.352563,,,,,13.49619,12.92101,-16.173383,0.090102,0.71461,0.45449,-1.51389,50,5.98374,4.41183,-122.53411,-2.12502,1.06417,28.845,-31.49721,VCU_RAM,VIR_CAV,TheDiamond,D1,A10,20260301-TheDiamond-1,62467400-1599-11f1-a69c-7d59195ff86e,83.00334,2.50039,,8.21089,,,,2.35313,2.50039,0.38817,e4e29ef7-edb6-4321-b81f-d8060758eab4,2026-03-01,18:06:34.24,2026-03-01T13:06:34.2426112-05:00,2026-03-01T18:06:34.2426112Z,GroundBall,v3,471479,471482,0edf1d0ce7224511913b15b1edf6f1b1,"Lee, Jacob",1000115663,Right,VCU_RAM,a923bab7-781c-492e-bd23-6840a16d525e,54.58552,-123.60885,14.4225,6.04105,-0.95146,-15.74861,-1.67753,4.37218,0.53209,180,2.34959,117.74288,,,,,,,,2.50122,-27.75048,,,,,,,,0.38955,-46.03051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2026-03-01,13:07:05.46,4,1,"DiGiacomo, Fenix",815171,Right,VCU_RAM,"Harris, Sam",806117,Left,VIR_CAV,Undefined,1,Top,2,0,0,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,80.13017,-0.155364,-0.071553,2210.308028,59.381296,8:00,6.06349,1.59384,5.61303,-51.99105,-7.41504,-15.17068,1.5859,0.26283,72.93372,-9.641705,-2.788886,0.480532,,,,,,,,,,,,7.70166,-3.30063,-1.5776,50,6.0166,0.7382,-116.29108,-2.0901,10.36256,25.35993,-36.61504,VCU_RAM,VIR_CAV,TheDiamond,D1,A10,20260301-TheDiamond-1,74dfce40-1599-11f1-a69c-7d59195ff86e,78.43905,,,7.19645,,,,,,,e4e29ef7-edb6-4321-b81f-d8060758eab4,2026-03-01,18:07:05.46,2026-03-01T13:07:05.4647296-05:00,2026-03-01T18:07:05.4647296Z,,v3,471479,471482,0edf1d0ce7224511913b15b1edf6f1b1,"Lee, Jacob",1000115663,Right,VCU_RAM,5cafa75e-4635-4f85-92cf-7c351aa948fb,54.88687,-117.35194,12.67996,6.072,-0.55842,-18.30752,-1.59942,0.30471,5.18128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2026-03-01,13:07:19.13,4,2,"DiGiacomo, Fenix",815171,Right,VCU_RAM,"Harris, Sam",806117,Left,VIR_CAV,Undefined,1,Top,2,1,0,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,81.71714,-0.353711,-2.416312,2209.235619,11.216532,6:15,6.10854,1.45753,5.5733,-53.07605,-9.95241,-2.28083,1.35486,-0.99078,74.20077,-10.013424,-2.824077,0.472638,,,,,,,,,,,,0.34165,-4.46681,-1.24786,50,6.04341,5.08975,-118.42684,-2.61332,0.47554,26.81418,-38.39142,VCU_RAM,VIR_CAV,TheDiamond,D1,A10,20260301-TheDiamond-1,7d02c870-1599-11f1-a69c-7d59195ff86e,79.74899,,,7.51637,,,,,,,e4e29ef7-edb6-4321-b81f-d8060758eab4,2026-03-01,18:07:19.13,2026-03-01T13:07:19.1386624-05:00,2026-03-01T18:07:19.1386624Z,,v3,471479,471482,0edf1d0ce7224511913b15b1edf6f1b1,"Lee, Jacob",1000115663,Right,VCU_RAM,9e7fa9e4-4a4a-4ef7-8cba-3cfa10915b20,54.92533,-119.53683,13.40709,6.1187,-1.02409,-19.19571,-1.45815,5.07006,0.23777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2026-03-01,13:07:37.66,4,3,"DiGiacomo, Fenix",815171,Right,VCU_RAM,"Harris, Sam",806117,Left,VIR_CAV,Undefined,1,Top,2,2,0,ChangeUp,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,83.53369,-0.642719,-3.770254,2105.217012,247.904291,2:15,5.92652,1.76406,6.10902,-32.24683,7.79185,15.86942,2.64367,-0.40481,76.05703,-6.658432,-0.915414,0.455419,86.2567,8.681364,44.788831,3776.257455,,,,114.95846,114.21772,48.628451,1.021695,-9.38445,4.58729,-1.4828,50,5.86015,7.38375,-121.12811,-2.35168,-13.8439,25.221,-25.40691,VCU_RAM,VIR_CAV,TheDiamond,D1,A10,20260301-TheDiamond-1,880562f0-1599-11f1-a69c-7d59195ff86e,82.7643,6.63914,,7.47666,,,,2.80763,2.59431,0.78037,e4e29ef7-edb6-4321-b81f-d8060758eab4,2026-03-01,18:07:37.66,2026-03-01T13:07:37.6615936-05:00,2026-03-01T18:07:37.6615936Z,GroundBall,v3,471479,471482,0edf1d0ce7224511913b15b1edf6f1b1,"Lee, Jacob",1000115663,Right,VCU_RAM,1907b47c-a1f4-4f7b-bcc9-1815b5e76d49,54.39027,-122.03881,12.6105,5.9285,-1.43426,-12.70346,-1.75845,7.88364,-6.92195,,2.80763,88.75623,-19.53313,3.30507,-0.6755,0.03115,0.13506,-0.12421,0.04064,2.59431,19.09527,-23.70226,3.004,-0.63125,0.10089,0.04525,-0.05521,0.0189,0.78037,88.1044,-3.78029,-0.75203,0.2685,-0.0484,-0.05603,0.06183,-0.02148,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
