PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallZAmb4,BatSpeed,VerticalAttackAngle,HorizontalAttackAngle
1,2026-03-02,13:04:40.95,1,1,"Ketelsen, Brock",828176,Left,STA_CAR,"Quiban, Rominic",1000111279,Left,NEV_WOL,Undefined,1,Top,0,0,0,Fastball,Four-Seam,InPlay,Undefined,Popup,Out,1,0,,91.01241,-3.011986,0.793091,1978.134486,161.133065,11:15,6.74395,-0.36048,5.83256,-13.08166,20.66229,-6.70016,2.85123,-0.18158,83.47854,-5.518651,-0.408119,0.41809,81.37317,73.721067,26.430748,,,,,53.22523,53.22523,41.766798,5.87398,3.67961,11.75123,0.29993,50,6.4905,-1.54833,-132.11188,-7.31975,6.52075,27.43358,-11.3494,STA_CAR,NEV_WOL,KleinField,D1,ACC,20260302-KleinField-1,6e68dab0-167b-11f1-bf36-556e7965ad11,90.15399,147.15849,,7.53387,,,,1.62156,2.79039,0.11105,de9515af-15d5-42f8-a865-0b410fdd44e1,2026-03-02,21:04:40.95,2026-03-02T13:04:40.9529344-08:00,2026-03-02T21:04:40.9529344Z,Popup,v3,471454,471377,8042348139ca444399dad98df98e228a,"Lavin, Luke",806138,Right,STA_CAR,1d1186a4-17be-43fc-85c3-87683f31e4dd,54.66852,-133.07779,13.71679,6.74118,-6.92015,-5.6747,0.35849,-1.77792,3.26038,182.851074,1.62109,29.97452,-15.94969,5.74236,-1.58043,0.36497,-0.06147,0.00604,-0.00025,2.79434,114.53052,-28.81482,3.43525,-0.72221,0.20206,-0.04851,0.00617,-0.0003,0.109,14.92499,-5.61205,1.9507,-0.54357,0.12512,-0.02011,0.00184,-7E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Low,,,,161.344099,-9.46923,1951.180617,0.986374,11:30,0.160633,0.323734,-0.932413,-33.860721,-16.225685,78.175852,175.114045,28.518886,0.074838,0.477448,-0.875467,28.606475,4.291903,0.477448,0.074838,0.875467,-28.606475,-4.291903,-0.477448,-0.074838,0.875467,-175.114045,-28.518886,-0.074838,-0.477448,-0.875467,,,
2,2026-03-02,13:05:14.95,2,1,"Ketelsen, Brock",828176,Left,STA_CAR,"Kwon, Junhyuk",833429,Right,NEV_WOL,Undefined,1,Top,1,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.6302,-2.345711,1.645741,2117.341573,175.847909,11:45,6.90081,-0.16177,5.63449,-13.42253,20.16785,-1.38689,3.59163,1.25854,83.84664,-4.910564,1.398191,0.417137,,,,,,,,,,,,1.14858,11.17461,0.02265,50,6.69267,-3.75666,-132.9277,-5.83202,2.0594,27.93246,-12.13783,STA_CAR,NEV_WOL,KleinField,D1,ACC,20260302-KleinField-1,82b7d430-167b-11f1-bf36-556e7965ad11,90.35988,,,7.78356,,,,,,,de9515af-15d5-42f8-a865-0b410fdd44e1,2026-03-02,21:05:14.95,2026-03-02T13:05:14.9572608-08:00,2026-03-02T21:05:14.9572608Z,,v3,471454,471377,8042348139ca444399dad98df98e228a,"Lavin, Luke",806138,Right,STA_CAR,67f48ccb-dcfb-4c9b-b8e1-d0ca5ade0fa2,54.86367,-133.94582,13.96623,6.89718,-5.38961,-6.06891,0.16095,-3.83172,1.0297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,163.160435,-13.195571,2061.436452,0.973597,11:30,0.243214,0.291151,-0.925245,-42.544396,-24.156488,75.417422,175.529015,-33.157735,0.065261,-0.546946,-0.83462,33.23774,-3.741828,0.546946,-0.065261,0.83462,-33.23774,3.741828,-0.546946,0.065261,0.83462,-175.529015,33.157735,-0.065261,0.546946,-0.83462,,,
3,2026-03-02,13:05:27.25,2,2,"Ketelsen, Brock",828176,Left,STA_CAR,"Kwon, Junhyuk",833429,Right,NEV_WOL,Undefined,1,Top,1,1,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.6979,-4.217899,0.436937,2196.237062,168.805748,11:45,6.76542,-0.53578,5.69698,-12.68532,21.4984,-4.04323,1.77044,-0.46553,83.39005,-6.636616,-0.286136,0.420805,,,,,,,,,,,,2.17095,12.36918,0.50167,50,6.40286,-0.82595,-131.45357,-10.04429,3.8196,26.4283,-10.41146,STA_CAR,NEV_WOL,KleinField,D1,ACC,20260302-KleinField-1,8a1ef870-167b-11f1-bf36-556e7965ad11,89.57216,,,7.30785,,,,,,,de9515af-15d5-42f8-a865-0b410fdd44e1,2026-03-02,21:05:27.25,2026-03-02T13:05:27.2583168-08:00,2026-03-02T21:05:27.2583168Z,,v3,471454,471377,8042348139ca444399dad98df98e228a,"Lavin, Luke",806138,Right,STA_CAR,854f9c09-1ab2-43f4-8da0-664129cd898f,54.80235,-132.41554,13.21415,6.76157,-9.66532,-5.20573,0.53426,-0.96498,1.9098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,162.100454,-5.986104,2184.261458,0.994547,11:30,0.088737,0.312516,-0.945759,-35.196926,-17.465027,70.306029,178.185501,36.433812,0.025475,0.593894,-0.80414,36.447544,1.459757,0.593894,0.025475,0.80414,-36.447544,-1.459757,-0.593894,-0.025475,0.80414,-178.185501,-36.433812,-0.025475,-0.593894,-0.80414,,,
4,2026-03-02,13:05:41.41,2,3,"Ketelsen, Brock",828176,Left,STA_CAR,"Kwon, Junhyuk",833429,Right,NEV_WOL,Undefined,1,Top,1,1,1,ChangeUp,Slider,BallinDirt,Undefined,Undefined,Undefined,0,0,,79.26794,-3.243968,1.747406,935.998978,130.478887,10:15,6.58652,-0.3219,5.76816,-38.89837,6.05583,-5.37028,0.32135,0.85731,73.00726,-10.353145,0.78322,0.482566,,,,,,,,,,,,3.29701,4.40614,0.18078,50,6.29395,-3.31115,-114.92273,-7.73126,4.38705,22.30338,-26.31118,STA_CAR,NEV_WOL,KleinField,D1,ACC,20260302-KleinField-1,93062d00-167b-11f1-bf36-556e7965ad11,78.1084,,,6.26069,,,,,,,de9515af-15d5-42f8-a865-0b410fdd44e1,2026-03-02,21:05:41.41,2026-03-02T13:05:41.4157312-08:00,2026-03-02T21:05:41.4157312Z,,v3,471454,471377,8042348139ca444399dad98df98e228a,"Lavin, Luke",806138,Right,STA_CAR,878783a9-44da-46a7-8136-40af6780aa75,54.73315,-115.83767,11.15169,6.58896,-6.65192,-13.15559,0.3203,-3.49112,2.19353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,127.410732,33.302012,782.296793,0.835788,10:15,-0.569983,0.631734,-0.525387,22.142135,-17.625726,-53.326613,101.468108,9.557955,0.966431,0.166045,-0.196062,40.261243,75.112202,0.166045,0.966431,0.196062,-40.261243,-75.112202,-0.166045,-0.966431,0.196062,-101.468108,-9.557955,-0.966431,-0.166045,-0.196062,,,
5,2026-03-02,13:05:58.32,2,4,"Ketelsen, Brock",828176,Left,STA_CAR,"Kwon, Junhyuk",833429,Right,NEV_WOL,Undefined,1,Top,1,2,1,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,91.386,-3.287739,1.167635,2201.934371,171.124982,11:45,6.81758,-0.31414,5.64733,-12.09052,22.171,-3.26752,2.73935,0.50284,82.52738,-5.642359,0.584061,0.421284,79.76304,69.121248,97.216851,7428.39548,,,,,7.88861,,,2.02941,12.65406,0.21723,50,6.53111,-2.55078,-132.31919,-7.91326,3.55156,31.6296,-10.0287,STA_CAR,NEV_WOL,KleinField,D1,ACC,20260302-KleinField-1,9c8caed0-167b-11f1-bf36-556e7965ad11,89.47048,23.65648,,8.85862,,,,1.54447,2.68065,-0.50203,de9515af-15d5-42f8-a865-0b410fdd44e1,2026-03-02,21:05:58.32,2026-03-02T13:05:58.3294464-08:00,2026-03-02T21:05:58.3294464Z,,v3,471454,471377,8042348139ca444399dad98df98e228a,"Lavin, Luke",806138,Right,STA_CAR,53149584-6eb2-4256-a8ba-abb22a054592,54.85025,-133.47356,15.8148,6.81324,-7.54725,-5.01435,0.31269,-2.6804,1.77578,340.429504,1.5461,-5.34379,-8.9611,,,,,,,2.68261,109.17638,-31.77085,,,,,,,-0.50229,41.37942,-1.44366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Undefined,,,,164.478092,-10.39338,2165.805737,0.983592,11:30,0.184291,0.273129,-0.94416,40.257299,23.468865,-88.781377,171.512423,-28.954487,0.129146,-0.484115,-0.865421,29.222548,-7.420261,0.484115,-0.129146,0.865421,-29.222548,7.420261,-0.484115,0.129146,0.865421,-171.512423,28.954487,-0.129146,0.484115,-0.865421,,,
6,2026-03-02,13:06:18.47,2,5,"Ketelsen, Brock",828176,Left,STA_CAR,"Kwon, Junhyuk",833429,Right,NEV_WOL,Undefined,1,Top,1,2,2,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,79.00303,-0.435232,-0.09586,1130.973829,132.390001,10:30,6.56293,-0.5005,5.74458,-37.71687,7.68272,-6.70835,3.01462,-1.14878,71.90148,-7.417599,-1.298061,0.48495,,,,,,,,,,,,3.36217,4.5367,0.5125,50,6.50405,0.45364,-114.63048,-2.05614,4.42939,23.14544,-26.1973,STA_CAR,NEV_WOL,KleinField,D1,ACC,20260302-KleinField-1,a8c04f40-167b-11f1-bf36-556e7965ad11,77.72431,,,7.10154,,,,,,,de9515af-15d5-42f8-a865-0b410fdd44e1,2026-03-02,21:06:18.47,2026-03-02T13:06:18.4767488-08:00,2026-03-02T21:06:18.4767488Z,,v3,471454,471377,8042348139ca444399dad98df98e228a,"Lavin, Luke",806138,Right,STA_CAR,9f88c649-00a5-4769-b1f3-039354498044,54.75191,-115.58597,11.57272,6.56661,-0.97466,-13.09865,0.49755,0.27079,2.21469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,130.160297,35.435849,921.478109,0.814765,10:15,-0.585383,0.618257,-0.524486,6.353306,-40.795835,-44.401089,162.141605,-80.676586,0.049682,-0.98679,-0.154201,81.118475,-2.847741,0.98679,-0.049682,0.154201,-81.118475,2.847741,-0.98679,0.049682,0.154201,-162.141605,80.676586,-0.049682,0.98679,-0.154201,,,
7,2026-03-02,13:06:51.32,2,6,"Ketelsen, Brock",828176,Left,STA_CAR,"Kwon, Junhyuk",833429,Right,NEV_WOL,Undefined,1,Top,1,3,2,Fastball,Four-Seam,InPlay,Undefined,GroundBall,Out,1,0,,91.12934,-4.23399,0.851727,2088.127876,176.650706,12:00,6.61565,-0.32615,5.84702,-12.26379,21.91371,-1.21075,1.6515,0.3645,82.57349,-6.613978,0.634637,0.420767,99.78171,-3.198484,-37.257952,,,,,33.55157,26.39294,-35.858553,0.218953,0.88417,12.88572,0.25759,50,6.26368,-1.90859,-131.90021,-10.0743,1.54102,30.84972,-9.71558,STA_CAR,NEV_WOL,KleinField,D1,ACC,20260302-KleinField-1,bc2a18e0-167b-11f1-bf36-556e7965ad11,89.58035,1.80386,,8.55585,,,,2.00567,1.80386,-0.31277,de9515af-15d5-42f8-a865-0b410fdd44e1,2026-03-02,21:06:51.32,2026-03-02T13:06:51.3251328-08:00,2026-03-02T21:06:51.3251328Z,GroundBall,v3,471454,471377,8042348139ca444399dad98df98e228a,"Lavin, Luke",806138,Right,STA_CAR,66d17ae7-57fa-4442-b3a9-0fdb3b063196,54.65117,-132.98361,15.42486,6.61149,-9.7331,-4.85779,0.32557,-1.96271,0.77051,165.915492,2.00582,116.28938,-5.74693,,,,,,,1.80353,-8.14589,-0.40976,,,,,,,-0.31275,-88.46171,0.57704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Medium,,,,163.290555,-10.13086,2055.571001,0.984409,11:30,0.168519,0.29525,-0.940441,47.044589,18.892227,-82.424809,176.585327,-35.109998,0.048725,-0.575148,-0.816597,35.157915,-2.792824,0.575148,-0.048725,0.816597,-35.157915,2.792824,-0.575148,0.048725,0.816597,-176.585327,35.109998,-0.048725,0.575148,-0.816597,,,
8,2026-03-02,13:07:26.05,3,1,"Ketelsen, Brock",828176,Left,STA_CAR,"Dobie, Jayce",833435,Right,NEV_WOL,Undefined,1,Top,2,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,92.2646,-4.674244,1.388744,2127.024725,163.935184,11:30,6.72847,-0.41925,5.80526,-11.84024,21.67245,-5.88713,1.38377,0.38195,83.42667,-6.975327,0.334183,0.416655,,,,,,,,,,,,3.44622,12.89654,0.30884,50,6.33715,-2.97361,-133.40184,-11.20747,6.13183,32.07924,-9.22744,STA_CAR,NEV_WOL,KleinField,D1,ACC,20260302-KleinField-1,d0d84960-167b-11f1-bf36-556e7965ad11,90.46448,,,8.83793,,,,,,,de9515af-15d5-42f8-a865-0b410fdd44e1,2026-03-02,21:07:26.05,2026-03-02T13:07:26.0570112-08:00,2026-03-02T21:07:26.0570112Z,,v3,471454,471377,8042348139ca444399dad98df98e228a,"Lavin, Luke",806138,Right,STA_CAR,d6b88379-1dae-4868-a097-82ca50e06ab2,54.69255,-134.52553,16.03962,6.72407,-10.88425,-4.61372,0.41676,-3.1884,3.06592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,161.517494,-9.612694,2097.159311,0.985959,11:30,0.163582,0.325132,-0.931413,-39.519842,-25.85087,85.602334,173.064161,-31.34262,0.103136,-0.520155,-0.847822,31.529889,-5.919776,0.520155,-0.103136,0.847822,-31.529889,5.919776,-0.520155,0.103136,0.847822,-173.064161,31.34262,-0.103136,0.520155,-0.847822,,,
9,2026-03-02,13:07:38.78,3,2,"Ketelsen, Brock",828176,Left,STA_CAR,"Dobie, Jayce",833435,Right,NEV_WOL,Undefined,1,Top,2,1,0,ChangeUp,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,78.21969,-0.90608,1.227188,1138.78987,103.171087,9:30,6.52383,-0.56195,5.57776,-42.42061,4.55063,-12.08796,2.14226,-0.42294,70.85233,-8.713419,-0.933929,0.493273,,,,,,,,,,,,6.49496,3.12567,0.46434,50,6.41853,-1.95349,-113.36576,-3.16651,8.30259,24.15135,-28.17849,STA_CAR,NEV_WOL,KleinField,D1,ACC,20260302-KleinField-1,d8a868a0-167b-11f1-bf36-556e7965ad11,76.41291,,,7.36736,,,,,,,de9515af-15d5-42f8-a865-0b410fdd44e1,2026-03-02,21:07:38.78,2026-03-02T13:07:38.7873280-08:00,2026-03-02T21:07:38.7873280Z,,v3,471454,471377,8042348139ca444399dad98df98e228a,"Lavin, Luke",806138,Right,STA_CAR,83645fa2-6887-437a-ab74-c0bb4d7c9eda,54.9192,-114.40894,12.07567,6.52902,-1.94938,-14.08925,0.55646,-2.31211,4.15129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,126.052582,37.578072,902.517278,0.792523,10:15,-0.609766,0.631013,-0.479591,2.599734,-38.94045,-47.027175,177.572459,79.690023,0.007581,0.983854,-0.178813,79.699077,0.43434,0.983854,0.007581,0.178813,-79.699077,-0.43434,-0.983854,-0.007581,0.178813,-177.572459,-79.690023,-0.007581,-0.983854,-0.178813,,,
10,2026-03-02,13:07:53.76,3,3,"Ketelsen, Brock",828176,Left,STA_CAR,"Dobie, Jayce",833435,Right,NEV_WOL,Undefined,1,Top,2,1,1,ChangeUp,Changeup,InPlay,Undefined,LineDrive,Single,0,0,,79.83747,-0.069621,0.7326,1215.535415,141.943951,10:45,6.53574,-0.34863,5.71708,-36.80274,7.72473,-4.84315,3.40399,-0.06973,72.5244,-6.890969,-0.134582,0.48027,98.82362,13.871261,-29.621999,1957.266834,93.24113,17.97712,-58.36037,218.06431,213.7664,-35.21521,1.880834,2.7113,4.37047,0.29051,50,6.50721,-1.29683,-115.85908,-1.29991,3.64306,23.96362,-26.3016,STA_CAR,NEV_WOL,KleinField,D1,ACC,20260302-KleinField-1,e16754b0-167b-11f1-bf36-556e7965ad11,78.48177,17.97824,,7.31307,,,,3.16053,3.58194,0.11332,de9515af-15d5-42f8-a865-0b410fdd44e1,2026-03-02,21:07:53.76,2026-03-02T13:07:53.7609216-08:00,2026-03-02T21:07:53.7609216Z,LineDrive,v3,471454,471377,8042348139ca444399dad98df98e228a,"Lavin, Luke",806138,Right,STA_CAR,3cf7b058-39c0-4a9e-ac86-c02729c07cf3,54.78192,-116.84396,11.98181,6.53842,-0.21894,-13.1508,0.34688,-1.44656,1.82153,88.962682,3.1605,122.32691,-23.15703,5.76876,-1.1598,0.09639,0.04555,-0.02145,0.003,3.58195,34.74677,-22.51751,2.10069,-0.37568,0.11101,-0.04531,0.01306,-0.00159,0.1133,-69.54839,-0.42543,1.84956,-0.6709,0.09944,0.02593,-0.01576,0.00235,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,,133.554994,39.817658,933.63599,0.768086,10:30,-0.634203,0.555864,-0.537403,9.945109,-32.083433,-55.848506,94.141015,77.633994,0.213597,0.9768,-0.015464,89.09298,12.333214,0.9768,0.213597,0.015464,-89.09298,-12.333214,-0.9768,-0.213597,0.015464,-94.141015,-77.633994,-0.213597,-0.9768,-0.015464,,,
