PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallZAmb4,BatSpeed,VerticalAttackAngle,HorizontalAttackAngle
1,2026-02-27,15:01:24.54,1,1,"Schutte, Nic",1000248729,Right,MUR_RAC,"Williams, Dana",10106533,Left,MER_UNI,Undefined,1,Top,0,0,0,Fastball,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,83.33781,0.538334,-2.185305,2557.431936,159.853832,11:15,4.66993,2.95278,5.69213,-32.73852,8.11371,-2.47453,2.44382,0.70893,75.73637,-5.53526,-2.62724,0.460023,,,,,,,,,,,,0.59413,4.38398,-2.7675,50,4.69502,4.71364,-120.84569,0.05401,0.87196,25.20362,-25.73988,MUR_RAC,MER_UNI,TreveccaNazareneBC,D1,MVC,20260227-TreveccaNazareneBC-1,7a65a720-141f-11f1-8e52-b97e5687f6e9,81.93607,,,7.60145,,,,,,,a649c7dc-0cec-4e03-be44-beb94f5fe8ee,2026-02-27,21:01:24.54,2026-02-27T15:01:24.5435392-06:00,2026-02-27T21:01:24.5435392Z,,v3,471368,643-145308,,"Airhart, Parker",822849,Right,MUR_RAC,c4853356-2755-423d-808e-1d917fcb3378,54.8044,-121.84358,12.60181,4.6727,1.07313,-12.86994,-2.95345,4.67911,0.43598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2026-02-27,15:01:40.31,1,2,"Schutte, Nic",1000248729,Right,MUR_RAC,"Williams, Dana",10106533,Left,MER_UNI,Undefined,1,Top,0,0,1,Undefined,Sinker,InPlay,Undefined,GroundBall,Out,1,0,,91.34806,-0.640029,-3.868681,2296.602515,232.999291,1:45,4.77769,2.61578,6.0598,-18.9058,15.19772,18.40469,2.60844,0.56336,81.51287,-4.27081,-0.563923,0.420311,65.76627,-12.784918,-19.051427,,,,,14.31361,14.01844,-18.31318,0.12924,-10.85957,8.42339,-2.32499,50,4.718,8.15343,-132.2044,-2.03883,-18.76087,34.4546,-17.62191,MUR_RAC,MER_UNI,TreveccaNazareneBC,D1,MVC,20260227-TreveccaNazareneBC-1,83c4cad0-141f-11f1-8e52-b97e5687f6e9,89.67742,2.72386,,9.83519,,,,2.32975,2.72386,-0.55989,a649c7dc-0cec-4e03-be44-beb94f5fe8ee,2026-02-27,21:01:40.31,2026-02-27T15:01:40.3172864-06:00,2026-02-27T21:01:40.3172864Z,GroundBall,v3,471368,643-145308,,"Airhart, Parker",822849,Right,MUR_RAC,0978d7b0-3a25-46c2-903b-d51716e9f7ac,54.43797,-133.356,17.2273,4.7763,-1.44985,-8.81096,-2.60798,8.78048,-9.38043,168.496035,2.33003,88.88504,-13.7192,,,,,,,2.72354,-21.31181,1.86365,,,,,,,-0.5599,-30.70404,1.83247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2026-02-27,15:02:15.83,2,1,"Schutte, Nic",1000248729,Right,MUR_RAC,"Koslin, Logan",1000507928,Right,MER_UNI,Undefined,1,Top,1,0,0,Undefined,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,85.52928,0.305366,-4.594317,2680.479957,215.719177,1:15,4.74527,2.60289,6.06056,-32.5286,5.5524,3.14748,2.3181,-1.39621,78.38594,-5.724423,-4.030648,0.444146,,,,,,,,,,,,-2.8761,3.15248,-2.2472,50,4.75175,9.83296,-123.92537,-0.39267,-4.47908,24.43214,-27.26456,MUR_RAC,MER_UNI,TreveccaNazareneBC,D1,MVC,20260227-TreveccaNazareneBC-1,98f0dde0-141f-11f1-8e52-b97e5687f6e9,84.86501,,,7.14334,,,,,,,a649c7dc-0cec-4e03-be44-beb94f5fe8ee,2026-02-27,21:02:15.83,2026-02-27T15:02:15.8335488-06:00,2026-02-27T21:02:15.8335488Z,,v3,471368,643-145308,,"Airhart, Parker",822849,Right,MUR_RAC,0eb07766-f7b1-4bb9-807d-fc3893f539ef,54.43809,-124.79729,12.21607,4.7484,0.58032,-13.63228,-2.60096,9.9928,-2.23954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2026-02-27,15:02:29.38,2,2,"Schutte, Nic",1000248729,Right,MUR_RAC,"Koslin, Logan",1000507928,Right,MER_UNI,Undefined,1,Top,1,1,0,Undefined,Sinker,HitByPitch,Undefined,Undefined,Undefined,0,0,,92.02859,-0.583032,-3.004952,2292.868527,232.442838,1:45,4.78173,2.58109,5.94715,-17.21214,16.39044,19.65698,2.80585,1.42944,82.34036,-3.895591,0.521939,0.417213,,,,,,,,,,,,-11.1089,8.96162,-2.35285,50,4.72583,6.13488,-133.31453,-1.86473,-19.5721,34.27858,-16.3851,MUR_RAC,MER_UNI,TreveccaNazareneBC,D1,MVC,20260227-TreveccaNazareneBC-1,a102c110-141f-11f1-8e52-b97e5687f6e9,90.34347,,,9.68823,,,,,,,a649c7dc-0cec-4e03-be44-beb94f5fe8ee,2026-02-27,21:02:29.38,2026-02-27T15:02:29.3801984-06:00,2026-02-27T21:02:29.3801984Z,,v3,471368,643-145308,,"Airhart, Parker",822849,Right,MUR_RAC,fb4c409e-797a-49a8-b4ad-04c35e971937,54.55062,-134.47952,17.13929,4.77974,-1.30786,-8.19255,-2.57265,6.80005,-9.78605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2026-02-27,15:03:06.01,3,1,"Schutte, Nic",1000248729,Right,MUR_RAC,"Walker, Jayden",10065506,Left,MER_UNI,Undefined,1,Top,1,0,0,Undefined,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,76.37018,2.052031,0.324415,2666.070493,72.702812,8:30,4.57158,2.96868,5.17473,-52.122,-3.02354,-14.47272,2.15992,2.0679,70.24713,-7.404048,-2.24037,0.504319,,,,,,,,,,,,7.31048,-1.62784,-2.98732,50,4.72263,-0.05933,-110.86673,2.18218,9.11657,19.45985,-34.20404,MUR_RAC,MER_UNI,TreveccaNazareneBC,D1,MVC,20260227-TreveccaNazareneBC-1,b6eaf830-141f-11f1-8e52-b97e5687f6e9,74.7393,,,6.12305,,,,,,,a649c7dc-0cec-4e03-be44-beb94f5fe8ee,2026-02-27,21:03:06.01,2026-02-27T15:03:06.0182016-06:00,2026-02-27T21:03:06.0182016Z,,v3,471368,643-145308,,"Airhart, Parker",822849,Right,MUR_RAC,0bd70268-b433-46c5-b85b-fcf1b394db8a,55.32704,-111.79784,9.72992,4.57907,3.81877,-17.10202,-2.97404,-0.49554,4.55828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2026-02-27,15:03:28.33,3,2,"Schutte, Nic",1000248729,Right,MUR_RAC,"Walker, Jayden",10065506,Left,MER_UNI,Undefined,1,Top,1,1,0,Undefined,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,78.42773,1.468452,-2.776913,2924.095672,68.970352,8:15,4.55165,2.94002,5.19578,-53.01184,-5.27327,-18.26387,1.51721,-1.19609,70.80968,-8.166355,-6.005063,0.497286,,,,,,,,,,,,8.07071,-2.54291,-2.66833,50,4.64849,6.26262,-113.45049,1.0273,10.27623,25.21613,-35.4119,MUR_RAC,MER_UNI,TreveccaNazareneBC,D1,MVC,20260227-TreveccaNazareneBC-1,c4336400-141f-11f1-8e52-b97e5687f6e9,75.79633,,,7.61805,,,,,,,a649c7dc-0cec-4e03-be44-beb94f5fe8ee,2026-02-27,21:03:28.33,2026-02-27T15:03:28.3350016-06:00,2026-02-27T21:03:28.3350016Z,,v3,471368,643-145308,,"Airhart, Parker",822849,Right,MUR_RAC,e9051697-2a92-4052-befe-3b7fae83d1b6,55.30223,-114.62293,12.60806,4.56245,2.67381,-17.70595,-2.94841,5.78482,5.13812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2026-02-27,15:04:06.61,3,3,"Schutte, Nic",1000248729,Right,MUR_RAC,"Walker, Jayden",10065506,Left,MER_UNI,Undefined,1,Top,1,2,0,Undefined,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.32988,0.401816,-4.619394,2253.036977,237.356961,2:00,4.76649,2.70855,6.05078,-20.98147,14.13576,19.84993,3.39123,0.07717,80.10451,-3.619823,-1.061481,0.426512,,,,,,,,,,,,-11.72615,7.49851,-2.35834,50,4.78678,9.65934,-130.49694,0.29356,-19.66667,34.47107,-19.59784,MUR_RAC,MER_UNI,TreveccaNazareneBC,D1,MVC,20260227-TreveccaNazareneBC-1,dafcfa70-141f-11f1-8e52-b97e5687f6e9,88.37365,,,10.22537,,,,,,,a649c7dc-0cec-4e03-be44-beb94f5fe8ee,2026-02-27,21:04:06.61,2026-02-27T15:04:06.6186752-06:00,2026-02-27T21:04:06.6186752Z,,v3,471368,643-145308,,"Airhart, Parker",822849,Right,MUR_RAC,0de83e56-cdb2-4a5b-95f0-69d90b685824,54.4434,-131.66545,17.23554,4.76557,0.95789,-9.79892,-2.69707,10.326,-9.83334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2026-02-27,15:04:25.87,3,4,"Schutte, Nic",1000248729,Right,MUR_RAC,"Walker, Jayden",10065506,Left,MER_UNI,Undefined,1,Top,1,2,1,Undefined,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,89.6292,-2.146321,-5.562961,2180.792074,241.923404,2:00,4.69098,2.70132,6.28558,-23.53021,11.69178,19.36056,0.74175,-0.82841,80.34677,-6.610916,-2.082453,0.427148,,,,,,,,,,,,-11.82788,7.18229,-2.29861,50,4.52079,11.78778,-129.38638,-5.57863,-19.64996,32.02417,-20.24196,MUR_RAC,MER_UNI,TreveccaNazareneBC,D1,MVC,20260227-TreveccaNazareneBC-1,e677ab20-141f-11f1-8e52-b97e5687f6e9,88.24212,,,9.28243,,,,,,,a649c7dc-0cec-4e03-be44-beb94f5fe8ee,2026-02-27,21:04:25.87,2026-02-27T15:04:25.8714112-06:00,2026-02-27T21:04:25.8714112Z,,v3,471368,643-145308,,"Airhart, Parker",822849,Right,MUR_RAC,6ccf6d47-5dc4-4c14-831b-f393e307e5b1,54.21082,-130.42443,16.01209,4.69098,-4.9225,-10.12098,-2.69103,12.42472,-9.82498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2026-02-27,15:04:47.63,3,5,"Schutte, Nic",1000248729,Right,MUR_RAC,"Walker, Jayden",10065506,Left,MER_UNI,Undefined,1,Top,1,3,1,Undefined,Curveball,BallCalled,Walk,Undefined,Undefined,0,0,,74.5725,3.042305,0.255291,2828.543554,50.070434,7:45,4.79486,2.84893,5.29548,-66.17354,-13.43576,-18.4645,2.13954,1.54992,66.96337,-9.009598,-3.025773,0.522676,,,,,,,,,,,,9.2656,-7.14894,-2.85827,50,5.0239,0.24443,-107.93081,3.48703,10.63106,23.5655,-40.37654,MUR_RAC,MER_UNI,TreveccaNazareneBC,D1,MVC,20260227-TreveccaNazareneBC-1,f3822390-141f-11f1-8e52-b97e5687f6e9,72.1144,,,7.60913,,,,,,,a649c7dc-0cec-4e03-be44-beb94f5fe8ee,2026-02-27,21:04:47.63,2026-02-27T15:04:47.6325888-06:00,2026-02-27T21:04:47.6325888Z,,v3,471368,643-145308,,"Airhart, Parker",822849,Right,MUR_RAC,68d9785e-514f-4fa8-8e46-7fc29ae5cbf0,55.20538,-109.06143,11.78275,4.81013,5.4242,-20.18827,-2.85776,-0.26562,5.31553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2026-02-27,15:05:21.55,4,1,"Schutte, Nic",1000248729,Right,MUR_RAC,"Babcock, Luke",1000238537,Left,MER_UNI,Undefined,1,Top,1,0,0,Undefined,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.03491,-1.124625,-4.197347,2178.745496,241.793986,2:00,4.7099,2.66583,6.2934,-22.63296,12.26883,20.28773,1.78458,0.48176,80.27144,-5.447519,-0.538735,0.425202,,,,,,,,,,,,-11.88493,7.15237,-2.36525,50,4.61622,8.68966,-130.23068,-3.23331,-19.89379,33.80654,-20.20195,MUR_RAC,MER_UNI,TreveccaNazareneBC,D1,MVC,20260227-TreveccaNazareneBC-1,07a13370-1420-11f1-8e52-b97e5687f6e9,88.64596,,,9.76347,,,,,,,a649c7dc-0cec-4e03-be44-beb94f5fe8ee,2026-02-27,21:05:21.55,2026-02-27T15:05:21.5527424-06:00,2026-02-27T21:05:21.5527424Z,,v3,471368,643-145308,,"Airhart, Parker",822849,Right,MUR_RAC,53f1620b-a06f-4779-8be4-80cc63c79d75,54.20186,-131.3169,16.90327,4.70968,-2.5842,-10.10097,-2.65472,9.32887,-9.9469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
