PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallZAmb4,BatSpeed,VerticalAttackAngle,HorizontalAttackAngle
1,2026-03-03,17:05:50.70,1,1,"DiPasquale, Ean",1000162622,Right,SOU_IND16,"Stulga, Luke",10065124,Right,ILL_RED,Undefined,1,Top,0,0,0,Fastball,Four-Seam,InPlay,Undefined,GroundBall,Single,0,0,,88.21092,-2.57411,-2.648998,2138.079444,203.12162,12:45,6.36921,2.23711,5.35073,-19.27005,17.99001,7.09827,2.34462,0.34207,79.62593,-6.20477,-1.389434,0.439332,79.48928,-4.134316,-27.643801,2031.921434,,,,37.0233,35.00275,-27.617459,0.301158,-4.4311,10.2543,-2.00373,50,6.12384,5.59016,-127.61841,-6.36685,-7.20385,29.74458,-15.50316,SOU_IND16,ILL_RED,USIField,D1,OVC,20260303-USIField-1,2438aa10-174d-11f1-9eea-058b1b995197,85.79482,2.95985,,8.58498,,,,2.9638,2.95985,-0.75885,78627e17-7cbb-495b-b16c-ec020e922c8e,2026-03-03,22:05:50.70,2026-03-03T17:05:50.7000000-05:00,2026-03-03T22:05:50.7000000Z,GroundBall,v3,southernindiana,471316,8155da759d59457ab7bcc0079965fa11,"Wall, Micajah",1000131896,Right,SOU_IND16,58f92013-8746-4860-802d-01008a9c4ab3,55.15137,-128.81347,14.87229,6.36713,-5.74397,-7.75158,-2.23414,5.87959,-3.60192,,2.96599,102.91082,-12.74174,,,,,,,2.95868,-8.35335,-4.87208,,,,,,,-0.75807,-53.98535,-1.62387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2026-03-03,17:06:32.85,2,1,"DiPasquale, Ean",1000162622,Right,SOU_IND16,"Outlaw, Josh",1000334535,Left,ILL_RED,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,87.02941,-0.587758,-2.75811,2134.544934,207.010668,1:00,6.54891,2.22912,5.28616,-20.426,18.04048,8.46221,4.2941,0.34205,78.07701,-4.451484,-1.259005,0.446388,,,,,,,,,,,,-5.0952,9.59709,-1.9837,50,6.48095,5.67592,-125.89545,-1.9441,-8.0378,29.63281,-17.03444,SOU_IND16,ILL_RED,USIField,D1,OVC,20260303-USIField-1,3d5ef530-174d-11f1-9eea-058b1b995197,84.43873,,,8.9524,,,,,,,78627e17-7cbb-495b-b16c-ec020e922c8e,2026-03-03,22:06:32.85,2026-03-03T17:06:32.8550000-05:00,2026-03-03T22:06:32.8550000Z,,v3,southernindiana,471316,8155da759d59457ab7bcc0079965fa11,"Wall, Micajah",1000131896,Right,SOU_IND16,1c2f1b17-abff-458a-852a-16d1c19e1a9f,55.21212,-127.11634,14.8164,6.54658,-1.24227,-8.51722,-2.22438,6.00708,-4.0189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2026-03-03,17:06:52.06,2,2,"DiPasquale, Ean",1000162622,Right,SOU_IND16,"Outlaw, Josh",1000334535,Left,ILL_RED,Undefined,1,Top,0,0,1,ChangeUp,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,80.40239,-0.859886,-2.205095,1763.204438,208.34004,1:00,6.41732,1.95681,5.75588,-32.83147,11.33146,5.2389,2.88021,0.33956,72.62027,-6.981876,-1.267425,0.4783,,,,,,,,,,,,-3.37323,6.52595,-1.77688,50,6.32624,4.27771,-116.48535,-2.76297,-4.55925,25.20712,-23.35361,SOU_IND16,ILL_RED,USIField,D1,OVC,20260303-USIField-1,48d36450-174d-11f1-9eea-058b1b995197,78.80501,,,7.78211,,,,,,,78627e17-7cbb-495b-b16c-ec020e922c8e,2026-03-03,22:06:52.06,2026-03-03T17:06:52.0630000-05:00,2026-03-03T22:06:52.0630000Z,,v3,southernindiana,471316,8155da759d59457ab7bcc0079965fa11,"Wall, Micajah",1000131896,Right,SOU_IND16,309c37f8-6d53-4c35-9b9f-b350c8f26492,54.74393,-117.50744,12.60356,6.41907,-1.81604,-11.6768,-1.95408,4.46258,-2.27962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.105,1.983161,0.782746,1.200415,0.23726,2.73414,-0.31368,1.06133,5.96731,-0.70037,127.2755,-1.44232,2.13641,1.20886,119.78056,-12.43904,5.98594,7.733,-11.61862,-0.79072,-3.46699,5.00414,High,High,High,,,High,Medium,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2026-03-03,17:07:22.91,2,3,"DiPasquale, Ean",1000162622,Right,SOU_IND16,"Outlaw, Josh",1000334535,Left,ILL_RED,Undefined,1,Top,0,0,2,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,83.72807,-3.382791,-2.5144,1840.262134,235.429679,1:45,6.28274,1.95518,5.66208,-28.23336,12.36083,15.92422,0.76853,0.93582,76.5089,-8.601188,0.333191,0.458568,,,,,,,,,,,,-8.92524,7.68567,-1.7529,50,5.97804,4.6932,-121.25869,-8.08373,-13.19853,25.21485,-20.8086,SOU_IND16,ILL_RED,USIField,D1,OVC,20260303-USIField-1,5b316340-174d-11f1-9eea-058b1b995197,82.19604,,,7.21917,,,,,,,78627e17-7cbb-495b-b16c-ec020e922c8e,2026-03-03,22:07:22.91,2026-03-03T17:07:22.9140000-05:00,2026-03-03T22:07:22.9140000Z,,v3,southernindiana,471316,8155da759d59457ab7bcc0079965fa11,"Wall, Micajah",1000131896,Right,SOU_IND16,88bf1ddd-0613-4bd7-800c-2e80b552fda6,54.8426,-122.26153,12.60742,6.28309,-7.25614,-10.4043,-1.94999,5.21813,-6.59927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2026-03-03,17:07:42.55,2,4,"DiPasquale, Ean",1000162622,Right,SOU_IND16,"Outlaw, Josh",1000334535,Left,ILL_RED,Undefined,1,Top,0,1,2,ChangeUp,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,80.61999,-0.274121,-1.29905,1912.120028,224.242628,1:30,6.33274,2.06068,5.57288,-34.4188,9.65686,7.87012,3.20837,1.50282,72.94535,-6.659659,0.10573,0.477827,67.62202,28.939904,-160.737923,2570.078405,,,,,37.52057,,,-4.41488,5.41347,-1.95408,50,6.28675,2.33864,-116.89231,-1.66632,-6.02006,25.00813,-24.7923,SOU_IND16,ILL_RED,USIField,D1,OVC,20260303-USIField-1,66f61540-174d-11f1-9eea-058b1b995197,78.88299,19.03968,,7.67463,,,,0.61636,3.10386,-1.44872,78627e17-7cbb-495b-b16c-ec020e922c8e,2026-03-03,22:07:42.55,2026-03-03T17:07:42.5550000-05:00,2026-03-03T22:07:42.5550000Z,,v3,southernindiana,471316,8155da759d59457ab7bcc0079965fa11,"Wall, Micajah",1000131896,Right,SOU_IND16,c556534f-a154-453b-9b60-be8f61f231b6,54.92916,-117.94214,12.50407,6.33486,-0.62554,-12.39615,-2.05756,2.59136,-3.01003,,0.61719,-81.96252,6.76592,,,,,,,3.12319,47.41817,-27.3667,,,,,,,-1.45672,-28.39532,7.15777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2026-03-03,17:08:09.17,2,5,"DiPasquale, Ean",1000162622,Right,SOU_IND16,"Outlaw, Josh",1000334535,Left,ILL_RED,Undefined,1,Top,0,1,2,Slider,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,79.04327,-0.493292,-1.479535,2311.139326,78.776954,8:45,6.10223,2.30023,5.29282,-46.1679,-0.29638,-8.84201,1.79153,0.17377,72.6652,-8.871318,-3.050851,0.487465,62.53128,-45.605343,69.090289,,,,,3.36673,2.28192,38.573818,0.027569,4.02803,0.38898,-2.15864,50,6.02334,3.31274,-114.71089,-2.58236,5.34599,22.00067,-31.6578,SOU_IND16,ILL_RED,USIField,D1,OVC,20260303-USIField-1,76d57fa0-174d-11f1-9eea-058b1b995197,77.32345,1.81273,,6.37807,,,,1.9987,1.81273,0.44129,78627e17-7cbb-495b-b16c-ec020e922c8e,2026-03-03,22:08:09.17,2026-03-03T17:08:09.1790000-05:00,2026-03-03T22:08:09.1790000Z,GroundBall,v3,southernindiana,471316,8155da759d59457ab7bcc0079965fa11,"Wall, Micajah",1000131896,Right,SOU_IND16,71cfe4f3-ee43-49a2-b5a6-d1ec9d2b4292,55.21207,-115.70621,11.00033,6.10777,-1.15015,-15.8289,-2.30304,3.07089,2.673,,1.99836,22.97592,,,,,,,,1.81371,-65.75189,,,,,,,,0.4404,60.13739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2026-03-03,17:08:37.47,2,6,"DiPasquale, Ean",1000162622,Right,SOU_IND16,"Outlaw, Josh",1000334535,Left,ILL_RED,Undefined,1,Top,0,1,2,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,88.13457,-1.434168,-2.60812,2129.766158,208.522618,1:00,6.68571,1.91654,5.38066,-19.7119,17.49639,8.77721,3.69686,0.2012,79.50112,-5.154595,-1.049826,0.439027,77.09281,37.052453,-61.101182,3604.393327,41.78871,64.49527,-101.75313,269.94601,96.06803,-76.097861,4.282049,-5.22087,9.61725,-1.68925,50,6.54373,5.41639,-127.59236,-3.83236,-8.49467,29.4382,-16.52613,SOU_IND16,ILL_RED,USIField,D1,OVC,20260303-USIField-1,879d9c50-174d-11f1-9eea-058b1b995197,85.85449,69.35918,,8.63346,,,,0.14901,3.62443,-0.23557,78627e17-7cbb-495b-b16c-ec020e922c8e,2026-03-03,22:08:37.47,2026-03-03T17:08:37.4780000-05:00,2026-03-03T22:08:37.4780000Z,FlyBall,v3,southernindiana,471316,8155da759d59457ab7bcc0079965fa11,"Wall, Micajah",1000131896,Right,SOU_IND16,82e576e1-fa16-4b59-ab5a-32ad9fa7057a,55.11999,-128.76823,14.7191,6.68363,-3.17224,-8.26306,-1.91238,5.7557,-4.24733,,0.14861,43.61492,-14.1065,3.32225,-0.68332,0.14836,-0.032,0.00453,-0.00027,3.62517,68.11637,-20.07526,1.72136,-0.31081,0.02816,0.00268,-0.00068,3E-05,-0.23525,-79.00897,8.97935,-2.12289,0.45561,-0.11146,0.02564,-0.00367,0.00022,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2026-03-03,17:09:25.65,2,7,"DiPasquale, Ean",1000162622,Right,SOU_IND16,"Outlaw, Josh",1000334535,Left,ILL_RED,Undefined,1,Top,0,1,2,Slider,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,78.23924,-0.297813,-1.444208,2307.775802,106.707407,9:30,6.11786,2.24736,5.54494,-43.71794,2.81417,-4.23689,2.19627,0.54422,71.56339,-8.305463,-2.200498,0.490962,66.7738,8.651595,-176.06889,3067.735602,,,,79.38652,38.3646,-177.500627,0.942154,1.7024,2.00291,-2.11931,50,6.06329,3.02774,-113.51106,-2.02895,2.20588,22.10955,-29.57874,SOU_IND16,ILL_RED,USIField,D1,OVC,20260303-USIField-1,a468ac80-174d-11f1-9eea-058b1b995197,76.77262,5.23171,,6.67585,,,,2.4986,2.42611,-0.56448,78627e17-7cbb-495b-b16c-ec020e922c8e,2026-03-03,22:09:25.65,2026-03-03T17:09:25.6580000-05:00,2026-03-03T22:09:25.6580000Z,GroundBall,v3,southernindiana,471316,8155da759d59457ab7bcc0079965fa11,"Wall, Micajah",1000131896,Right,SOU_IND16,a3f9cbc8-04fe-45e3-a49b-bf6b01ee1078,54.95722,-114.47255,11.05477,6.12355,-0.74265,-14.78937,-2.2489,2.93181,1.10294,59.581688,2.45406,-95.94103,9.76237,,,,,,,2.48748,13.84318,-17.55875,,,,,,,-0.59496,-6.19101,3.37174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2026-03-03,17:09:52.22,2,8,"DiPasquale, Ean",1000162622,Right,SOU_IND16,"Outlaw, Josh",1000334535,Left,ILL_RED,Undefined,1,Top,0,1,2,Fastball,Four-Seam,InPlay,Undefined,GroundBall,Out,1,0,,88.05829,-1.679347,-3.004448,2169.311561,213.268711,1:00,6.61017,1.82759,5.40153,-20.58501,16.39174,9.93493,3.31838,-0.16262,80.08263,-5.534651,-1.24055,0.437659,96.88232,4.750545,19.809,820.956699,,,,105.76193,105.76193,19.353147,0.815219,-5.89902,9.10658,-1.56674,50,6.44614,6.25946,-127.56578,-4.42767,-9.67039,27.50495,-17.24544,SOU_IND16,ILL_RED,USIField,D1,OVC,20260303-USIField-1,b4383860-174d-11f1-9eea-058b1b995197,86.12284,4.94972,,7.97566,,,,1.47662,3.26153,0.19896,78627e17-7cbb-495b-b16c-ec020e922c8e,2026-03-03,22:09:52.22,2026-03-03T17:09:52.2260000-05:00,2026-03-03T22:09:52.2260000Z,GroundBall,v3,southernindiana,471316,8155da759d59457ab7bcc0079965fa11,"Wall, Micajah",1000131896,Right,SOU_IND16,fa068906-39c9-4400-93ad-049d8875ce87,55.10155,-128.66104,13.75248,6.60878,-3.74095,-8.62272,-1.82366,6.64454,-4.83519,,1.5289,132.35309,-14.57721,,,,,,,3.31074,10.94693,-18.47797,,,,,,,0.22285,47.58852,-6.00572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2026-03-03,17:10:34.07,3,1,"DiPasquale, Ean",1000162622,Right,SOU_IND16,"Mastros, Graham",10037098,Right,ILL_RED,Undefined,1,Top,1,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,86.93824,-3.485285,-3.934064,2053.505399,194.011766,12:30,6.53937,2.04104,5.42458,-16.83198,21.8669,5.07587,1.86021,-1.22689,77.91935,-6.704963,-3.034557,0.447735,,,,,,,,,,,,-3.88004,12.5932,-1.69485,50,6.21784,8.39706,-125.38862,-8.13107,-6.04746,30.31874,-12.54621,SOU_IND16,ILL_RED,USIField,D1,OVC,20260303-USIField-1,cd2f0f10-174d-11f1-9eea-058b1b995197,84.1848,,,9.01889,,,,,,,78627e17-7cbb-495b-b16c-ec020e922c8e,2026-03-03,22:10:34.07,2026-03-03T17:10:34.0710000-05:00,2026-03-03T22:10:34.0710000Z,,v3,southernindiana,471316,8155da759d59457ab7bcc0079965fa11,"Wall, Micajah",1000131896,Right,SOU_IND16,219e82af-900f-48fc-a812-fb59b1f408cb,55.07445,-126.60967,15.15937,6.53513,-7.62578,-6.2731,-2.03794,8.64062,-3.02373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
