PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallZAmb4,BatSpeed,VerticalAttackAngle,HorizontalAttackAngle
1,2026-02-07,14:48:44.68,1,1,"Naut, Jeshuah",10106696,Right,COA_COU,"Morgan, Hunter",10301406,Right,DOD_CIT1,Undefined,1,Top,0,0,0,Undefined,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,85.05559,0.559719,-4.03589,1770.963038,220.289599,1:15,5.81441,4.42845,6.19937,-22.55915,15.46473,12.15922,4.45248,1.7099,78.09809,-3.698737,-1.849316,0.443812,,,,,,,,,,,,-7.28725,8.20359,-4.13018,50,5.84502,8.23093,-123.4102,0.56901,-11.32714,22.74357,-19.42252,COA_COU,DOD_CIT1,JoeHunterField,JUCO,NJCAA,20260207-JoeHunterField-3,64fcf230-0466-11f1-ab02-6b8f885ae5d8,84.92876,,,6.9575,,,,,,,3c2ba6d1-972d-4765-b856-9a28adf0c700,2026-02-07,20:48:44.68,2026-02-07T14:48:44.6848000-06:00,2026-02-07T20:48:44.6848000Z,,v3,,,,"Rawls, Austin",10168918,Right,COA_COU,a1fecac4-b4ec-4b83-9a90-bc0866e4e87b,54.29973,-124.20008,11.37179,5.81354,1.24355,-9.71126,-4.42287,8.62432,-5.66357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2026-02-07,14:49:18.13,1,2,"Naut, Jeshuah",10106696,Right,COA_COU,"Morgan, Hunter",10301406,Right,DOD_CIT1,Undefined,1,Top,0,1,0,Undefined,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,85.14928,-1.358627,-5.512956,1948.113562,211.056957,1:00,5.72989,4.69435,6.22273,-21.15332,17.10969,9.57583,2.70742,0.38965,77.96258,-5.36085,-3.796565,0.445206,,,,,,,,,,,,-6.41461,9.5893,-4.2852,50,5.61704,11.51471,-123.19179,-3.51443,-9.88827,23.76096,-17.39192,COA_COU,DOD_CIT1,JoeHunterField,JUCO,NJCAA,20260207-JoeHunterField-3,78eb0700-0466-11f1-ab02-6b8f885ae5d8,84.66292,,,7.18671,,,,,,,3c2ba6d1-972d-4765-b856-9a28adf0c700,2026-02-07,20:49:18.13,2026-02-07T14:49:18.1365760-06:00,2026-02-07T20:49:18.1365760Z,,v3,,,,"Rawls, Austin",10168918,Right,COA_COU,558361ff-c83f-40b5-9b11-135bb63ad270,54.27544,-124.01369,11.88048,5.7282,-2.91284,-8.69596,-4.68941,11.85675,-4.94414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2026-02-07,14:49:30.04,1,3,"Naut, Jeshuah",10106696,Right,COA_COU,"Morgan, Hunter",10301406,Right,DOD_CIT1,Undefined,1,Top,0,1,1,Undefined,Changeup,InPlay,Undefined,LineDrive,Double,0,0,,84.97091,-1.114741,-4.32331,1790.323652,213.683199,1:00,5.76585,4.61308,6.24826,-21.71411,16.42383,10.17111,2.92518,1.46579,78.03858,-5.218515,-2.493354,0.444478,104.2296,15.7755,-0.239625,1880.140782,109.94319,27.21446,3.52162,330.44644,329.07979,7.469039,3.144667,-6.4537,9.18713,-4.2961,50,5.67191,8.93663,-123.2383,-3.00971,-9.97507,23.33963,-17.97408,COA_COU,DOD_CIT1,JoeHunterField,JUCO,NJCAA,20260207-JoeHunterField-3,800bac60-0466-11f1-ab02-6b8f885ae5d8,84.80164,32.8097,,6.93233,,,,0.835,2.87345,-1.45656,3c2ba6d1-972d-4765-b856-9a28adf0c700,2026-02-07,20:49:30.04,2026-02-07T14:49:30.0414464-06:00,2026-02-07T20:49:30.0414464Z,LineDrive,v3,,,,"Rawls, Austin",10168918,Right,COA_COU,ab1605f8-1e6d-4758-81a1-555be15a3cc0,54.25252,-124.04105,11.66982,5.76479,-2.39151,-8.98704,-4.60937,9.27971,-4.98753,235.050931,0.83501,147.11037,-21.90462,4.14283,-0.65422,0.03323,0.01692,-0.00498,0.00047,2.87353,41.55709,-15.1612,0.54504,-0.096,0.08588,-0.03626,0.00789,-0.00068,-1.45632,-0.62457,10.30373,-3.37032,0.74822,-0.07472,-0.01071,0.00445,-0.00043,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2026-02-07,14:50:15.82,2,1,"Naut, Jeshuah",10106696,Right,COA_COU,"Andrade, Jonah",10151078,Left,DOD_CIT1,Undefined,1,Top,0,0,0,Undefined,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,84.57441,-1.291734,-3.042395,1961.428742,216.054348,1:15,5.72224,4.8857,6.2123,-19.74517,19.0695,12.93635,2.88278,3.15324,76.95692,-5.067646,-0.710526,0.448404,,,,,,,,,,,,-7.53339,10.61879,-4.66338,50,5.61516,6.01086,-122.67862,-3.2832,-11.43127,25.24476,-16.06095,COA_COU,DOD_CIT1,JoeHunterField,JUCO,NJCAA,20260207-JoeHunterField-3,9b4e95f0-0466-11f1-ab02-6b8f885ae5d8,84.05915,,,7.61749,,,,,,,3c2ba6d1-972d-4765-b856-9a28adf0c700,2026-02-07,20:50:15.82,2026-02-07T14:50:15.8241280-06:00,2026-02-07T20:50:15.8241280Z,,v3,,,,"Rawls, Austin",10168918,Right,COA_COU,e4c9a9ce-9c7b-449f-baf4-0bf707ed00ce,54.2852,-123.55728,12.62238,5.7197,-2.72419,-8.03047,-4.87951,6.40874,-5.71563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2026-02-07,14:50:31.16,2,2,"Naut, Jeshuah",10106696,Right,COA_COU,"Andrade, Jonah",10151078,Left,DOD_CIT1,Undefined,1,Top,0,0,1,Undefined,Changeup,InPlay,Undefined,LineDrive,Out,2,0,,83.91314,-1.452366,-2.985362,1867.438777,208.17554,1:00,5.69617,4.96821,6.30835,-22.9973,16.09603,7.95709,2.43967,2.87861,76.85209,-5.803579,-1.548309,0.45001,,,,,,,,,,,,-4.97382,9.15697,-4.7529,50,5.57841,6.05618,-121.80951,-3.72131,-7.4752,23.85948,-18.41201,COA_COU,DOD_CIT1,JoeHunterField,JUCO,NJCAA,20260207-JoeHunterField-3,a4798a40-0466-11f1-ab02-6b8f885ae5d8,83.75903,,,7.06106,,,,,,,3c2ba6d1-972d-4765-b856-9a28adf0c700,2026-02-07,20:50:31.16,2026-02-07T14:50:31.1603200-06:00,2026-02-07T20:50:31.1603200Z,,v3,,,,"Rawls, Austin",10168918,Right,COA_COU,66ccdb3d-4a55-43fe-8d5d-86e8ec9229d4,54.191,-122.62767,11.92974,5.69519,-3.08994,-9.20601,-4.96497,6.31252,-3.7376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2026-02-07,14:51:00.26,3,1,"Naut, Jeshuah",10106696,Right,COA_COU,"Harrison, Preston",10317268,Right,DOD_CIT1,Undefined,1,Top,2,0,0,Undefined,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,73.20117,-3.05633,-6.262318,2180.511528,62.601412,8:00,5.71429,4.84483,5.76431,-55.60149,-1.86252,-7.08701,-1.78355,-1.59756,67.67259,-13.042377,-7.522547,0.527614,,,,,,,,,,,,1.69106,0.30252,-4.3197,50,5.42505,11.80929,-105.52083,-7.28061,1.87764,20.50767,-31.83813,COA_COU,DOD_CIT1,JoeHunterField,JUCO,NJCAA,20260207-JoeHunterField-3,b5cde160-0466-11f1-ab02-6b8f885ae5d8,71.43946,,,5.52859,,,,,,,3c2ba6d1-972d-4765-b856-9a28adf0c700,2026-02-07,20:51:00.26,2026-02-07T14:51:00.2639872-06:00,2026-02-07T20:51:00.2639872Z,,v3,,,,"Rawls, Austin",10168918,Right,COA_COU,8e2f473f-a889-49df-96c8-82cb0c0dbf13,54.7388,-106.43782,10.25384,5.71877,-5.85699,-15.91907,-4.84587,11.72534,0.93882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2026-02-07,14:51:18.11,3,2,"Naut, Jeshuah",10106696,Right,COA_COU,"Harrison, Preston",10317268,Right,DOD_CIT1,Undefined,1,Top,2,1,0,Undefined,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,84.33736,-1.587124,-4.83159,1836.304219,214.119104,1:15,5.77637,4.5964,6.17722,-22.24501,16.70426,10.493,2.45127,0.99816,77.36852,-5.782857,-2.948335,0.449181,,,,,,,,,,,,-6.68792,9.43217,-4.23541,50,5.64447,9.91763,-122.14861,-4.0167,-10.1474,23.10031,-17.8629,COA_COU,DOD_CIT1,JoeHunterField,JUCO,NJCAA,20260207-JoeHunterField-3,c07ed970-0466-11f1-ab02-6b8f885ae5d8,83.91372,,,6.96884,,,,,,,3c2ba6d1-972d-4765-b856-9a28adf0c700,2026-02-07,20:51:18.11,2026-02-07T14:51:18.1167104-06:00,2026-02-07T20:51:18.1167104Z,,v3,,,,"Rawls, Austin",10168918,Right,COA_COU,b3bcc9ac-1edc-4bb2-8e1c-499ca94dccc2,54.32148,-122.96316,11.55015,5.77499,-3.38683,-8.93145,-4.59142,10.27545,-5.0737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2026-02-07,14:51:30.42,3,3,"Naut, Jeshuah",10106696,Right,COA_COU,"Harrison, Preston",10317268,Right,DOD_CIT1,Undefined,1,Top,2,1,1,Undefined,Curveball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,70.85873,1.019424,-2.628888,2193.85197,48.441624,7:30,5.65495,4.77974,5.86633,-63.85838,-7.66166,-10.70264,1.2815,1.44405,65.20232,-10.643663,-4.549515,0.539544,,,,,,,,,,,,4.69024,-3.74126,-4.56031,50,5.70043,5.07779,-102.83903,-0.0153,4.97031,18.71939,-36.13871,COA_COU,DOD_CIT1,JoeHunterField,JUCO,NJCAA,20260207-JoeHunterField-3,c7df46f0-0466-11f1-ab02-6b8f885ae5d8,69.85979,,,5.6564,,,,,,,3c2ba6d1-972d-4765-b856-9a28adf0c700,2026-02-07,20:51:30.42,2026-02-07T14:51:30.4266240-06:00,2026-02-07T20:51:30.4266240Z,,v3,,,,"Rawls, Austin",10168918,Right,COA_COU,bdcfac4a-b302-464f-adb8-41acb43f06b4,54.63635,-103.67953,9.3597,5.66469,1.60733,-18.06935,-4.78329,4.85462,2.48515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2026-02-07,14:51:48.68,3,4,"Naut, Jeshuah",10106696,Right,COA_COU,"Harrison, Preston",10317268,Right,DOD_CIT1,Undefined,1,Top,2,1,2,Undefined,Changeup,InPlay,Undefined,LineDrive,Single,0,0,,86.24678,-1.262796,-4.702102,1701.892211,228.961454,1:45,5.71226,4.6896,6.29489,-24.05155,13.01363,13.61831,2.54023,1.48189,79.06207,-5.788436,-2.250395,0.438182,89.05833,11.868152,5.558276,1689.299376,109.09107,14.49705,14.11162,202.0263,201.79482,9.584823,1.958314,-8.33709,7.4589,-4.34936,50,5.60738,9.7555,-124.99858,-3.46525,-13.23233,24.44966,-20.33556,COA_COU,DOD_CIT1,JoeHunterField,JUCO,NJCAA,20260207-JoeHunterField-3,d2ad15d0-0466-11f1-ab02-6b8f885ae5d8,86.02007,14.53691,,7.18472,,,,-0.48308,2.36024,-1.4205,3c2ba6d1-972d-4765-b856-9a28adf0c700,2026-02-07,20:51:48.68,2026-02-07T14:51:48.6872064-06:00,2026-02-07T20:51:48.6872064Z,LineDrive,v3,,,,"Rawls, Austin",10168918,Right,COA_COU,c0ed9e8a-22f6-403f-a1be-7c4d50499915,54.20512,-125.81841,12.22483,5.71214,-2.78337,-10.16778,-4.68391,10.1992,-6.61616,235.18483,-0.4831,127.22799,-18.32074,3.97683,-1.0608,0.46982,-0.20855,0.05495,-0.00604,2.36028,26.85895,-15.20173,0.22553,0.54616,-0.5757,0.31259,-0.08631,0.0097,-1.42046,12.37686,5.00512,-1.95405,1.00052,-0.67451,0.33335,-0.09021,0.01006,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2026-02-07,14:52:27.63,4,1,"Naut, Jeshuah",10106696,Right,COA_COU,"Cipolla, Nic",1000524137,Right,DOD_CIT1,Undefined,1,Top,2,0,0,Undefined,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,84.24966,0.593008,-4.275164,1723.720141,206.228303,12:45,5.76443,4.63627,6.46672,-22.06403,16.57682,7.56977,4.47196,1.3332,76.90009,-3.61209,-2.90844,0.447399,,,,,,,,,,,,-5.10055,8.85701,-4.33709,50,5.79624,8.84412,-122.15152,0.69797,-7.71297,23.87129,-18.7807,COA_COU,DOD_CIT1,JoeHunterField,JUCO,NJCAA,20260207-JoeHunterField-3,e9ee9b60-0466-11f1-ab02-6b8f885ae5d8,84.24801,,,7.34957,,,,,,,3c2ba6d1-972d-4765-b856-9a28adf0c700,2026-02-07,20:52:27.63,2026-02-07T14:52:27.6377600-06:00,2026-02-07T20:52:27.6377600Z,,v3,,,,"Rawls, Austin",10168918,Right,COA_COU,7ae67477-da18-4457-a9ab-1f6378fff71f,54.0306,-122.93666,11.93564,5.76312,1.31569,-9.39035,-4.63216,9.09781,-3.85648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
