PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallZAmb4,BatSpeed,VerticalAttackAngle,HorizontalAttackAngle
1,2026-03-05,14:14:58.76,1,1,"Furuhata, Daichi",1000369250,Right,SOU_ORE,"Olson, Quinton",1000534455,Right,LAN_COM,Undefined,1,Top,0,0,0,Fastball,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,82.51306,-2.310836,-2.007153,1859.360119,231.401701,1:45,6.35932,1.10633,5.95965,-27.53911,14.01674,15.66367,1.91903,0.54959,74.70727,-7.477649,0.809526,0.463967,,,,,,,,,,,,-8.69437,8.37772,-0.9557,50,6.16046,3.58087,-119.58223,-5.64303,-12.4004,26.29318,-20.22528,SOU_ORE,LAN_COM,SouthwesternOregonStadium,JUCO,NJCAA,20260305-SouthwesternOregonStadium-2,bfbbc190-18e0-11f1-a9a4-6fe203673493,81.23942,,,7.80579,,,,,,,065248cd-e814-4b1a-8daa-59ff00abe519,2026-03-05,22:14:58.76,2026-03-05T14:14:58.7690000-08:00,2026-03-05T22:14:58.7690000Z,,v3,,,,"Benedictson, Beau",1000369251,Right,SOU_ORE,60114f44-a1bf-4c06-bab8-12e1c188316c,54.53912,-120.57614,13.14659,6.35932,-4.8785,-10.11264,-1.09992,4.04962,-6.2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2026-03-05,14:15:14.11,1,2,"Furuhata, Daichi",1000369250,Right,SOU_ORE,"Olson, Quinton",1000534455,Right,LAN_COM,Undefined,1,Top,0,0,1,Fastball,Changeup,InPlay,Undefined,LineDrive,Double,0,0,,83.80475,-1.912875,-1.906507,1803.806269,214.819415,1:15,6.30883,1.32554,5.88806,-23.29549,17.02001,10.8291,2.58965,0.45698,75.82443,-6.316698,0.036872,0.456991,91.26896,19.269738,-29.708865,3930.122233,90.64209,26.75494,-62.32079,226.70724,166.65786,-40.977871,2.565998,-6.1426,9.73658,-1.17802,50,6.14122,3.60939,-121.47414,-4.73541,-9.05783,26.71273,-17.81661,SOU_ORE,LAN_COM,SouthwesternOregonStadium,JUCO,NJCAA,20260305-SouthwesternOregonStadium-2,c8e3a8a0-18e0-11f1-a9a4-6fe203673493,82.47967,27.18883,,7.98032,,,,0.31474,2.26104,-0.25186,065248cd-e814-4b1a-8daa-59ff00abe519,2026-03-05,22:15:14.11,2026-03-05T14:15:14.1150000-08:00,2026-03-05T22:15:14.1150000Z,LineDrive,v3,,,,"Benedictson, Beau",1000369251,Right,SOU_ORE,5ae71bc4-29d0-42cd-a708-968c817bb1d0,54.60994,-122.4837,13.35636,6.30746,-4.06207,-8.9083,-1.3209,3.95171,-4.52892,,0.31474,109.75137,-26.6969,6.23162,-1.50604,0.35375,-0.07112,0.00978,-0.00065,2.26105,44.17601,-22.29032,3.02937,-0.75773,0.17916,-0.03552,0.005,-0.00034,-0.25186,-62.62379,3.00043,-0.70002,0.16011,-0.03687,0.00749,-0.00103,7E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2026-03-05,14:15:53.83,2,1,"Furuhata, Daichi",1000369250,Right,SOU_ORE,"Takahashi, Austin",1000394462,Right,LAN_COM,Undefined,1,Top,0,0,0,ChangeUp,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,78.9779,-1.89215,-2.26182,1641.172132,239.247106,2:00,6.21961,1.45699,5.86666,-33.29718,12.42694,17.97828,1.68513,0.85298,71.28367,-8.109825,0.966029,0.486681,,,,,,,,,,,,-9.99056,7.48138,-1.28435,50,6.04707,3.84245,-114.40869,-4.76356,-12.97563,25.06423,-22.45732,SOU_ORE,LAN_COM,SouthwesternOregonStadium,JUCO,NJCAA,20260305-SouthwesternOregonStadium-2,e0b168a0-18e0-11f1-a9a4-6fe203673493,77.44798,,,7.69423,,,,,,,065248cd-e814-4b1a-8daa-59ff00abe519,2026-03-05,22:15:53.83,2026-03-05T14:15:53.8360000-08:00,2026-03-05T22:15:53.8360000Z,,v3,,,,"Benedictson, Beau",1000369251,Right,SOU_ORE,53bda34e-2c2e-4666-aa09-322fe9922996,54.63217,-115.41903,12.53212,6.22084,-3.85831,-11.22866,-1.44978,4.3655,-6.48782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2026-03-05,14:16:16.00,2,2,"Furuhata, Daichi",1000369250,Right,SOU_ORE,"Takahashi, Austin",1000394462,Right,LAN_COM,Undefined,1,Top,0,0,1,Curveball,Curveball,InPlay,Undefined,Bunt,Out,1,0,,67.75357,1.504347,-0.539558,1925.419667,48.860031,7:45,6.33885,1.37618,5.61134,-69.55842,-6.98587,-10.57575,1.94687,-0.00877,61.76241,-11.19739,-2.433113,0.569329,,,,,,,,,,,,5.21008,-3.49032,-1.32293,50,6.42236,1.27496,-98.27107,0.59186,4.99067,18.54346,-35.51738,SOU_ORE,LAN_COM,SouthwesternOregonStadium,JUCO,NJCAA,20260305-SouthwesternOregonStadium-2,ede14360-18e0-11f1-a9a4-6fe203673493,66.20501,,,5.99116,,,,,,,065248cd-e814-4b1a-8daa-59ff00abe519,2026-03-05,22:16:16.00,2026-03-05T14:16:16.0020000-08:00,2026-03-05T22:16:16.0020000Z,,v3,,,,"Benedictson, Beau",1000369251,Right,SOU_ORE,df4500c0-c8fb-445e-928b-e5ca61595d01,54.89095,-99.18969,9.27173,6.34946,2.35134,-17.75869,-1.37996,1.02773,2.49533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2026-03-05,14:16:51.51,3,1,"Furuhata, Daichi",1000369250,Right,SOU_ORE,"Tyner, Peyton",10283976,Left,LAN_COM,Undefined,1,Top,1,0,0,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,73.14776,-0.21831,-0.222006,2134.26381,71.014894,8:15,6.37633,1.31968,5.26111,-57.35826,-3.07,-14.56123,1.39137,-0.10234,66.70018,-10.624184,-2.813496,0.530303,,,,,,,,,,,,7.24268,-0.94347,-1.28805,50,6.31398,0.95298,-106.05793,-2.25608,8.10065,21.19077,-33.22926,SOU_ORE,LAN_COM,SouthwesternOregonStadium,JUCO,NJCAA,20260305-SouthwesternOregonStadium-2,02f49e50-18e1-11f1-a9a4-6fe203673493,71.07713,,,6.44758,,,,,,,065248cd-e814-4b1a-8daa-59ff00abe519,2026-03-05,22:16:51.51,2026-03-05T14:16:51.5150000-08:00,2026-03-05T22:16:51.5150000Z,,v3,,,,"Benedictson, Beau",1000369251,Right,SOU_ORE,44a58a5b-b718-406e-ad1d-b9ab5db1be07,55.23992,-107.09976,10.59538,6.38474,-0.62238,-16.61463,-1.32511,0.55471,4.05032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2026-03-05,14:17:15.07,3,2,"Furuhata, Daichi",1000369250,Right,SOU_ORE,"Tyner, Peyton",10283976,Left,LAN_COM,Undefined,1,Top,1,1,0,Curveball,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,69.77158,2.262994,0.384864,2042.742538,47.4789,7:30,6.24751,1.54433,5.3526,-67.55161,-8.70347,-11.55619,2.74187,0.94229,64.11834,-9.99474,-1.672681,0.552125,,,,,,,,,,,,5.88457,-4.40386,-1.57051,50,6.40309,-0.26633,-101.25356,1.89678,6.07259,17.45477,-36.71863,SOU_ORE,LAN_COM,SouthwesternOregonStadium,JUCO,NJCAA,20260305-SouthwesternOregonStadium-2,1108be90-18e1-11f1-a9a4-6fe203673493,68.26789,,,5.65324,,,,,,,065248cd-e814-4b1a-8daa-59ff00abe519,2026-03-05,22:17:15.07,2026-03-05T14:17:15.0720000-08:00,2026-03-05T22:17:15.0720000Z,,v3,,,,"Benedictson, Beau",1000369251,Right,SOU_ORE,0965c26b-1ddf-4b73-af12-c86dbbbb0735,55.15071,-102.13761,8.72739,6.25993,3.75652,-18.35931,-1.54924,-0.57389,3.03629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2026-03-05,14:17:32.53,3,3,"Furuhata, Daichi",1000369250,Right,SOU_ORE,"Tyner, Peyton",10283976,Left,LAN_COM,Undefined,1,Top,1,1,1,ChangeUp,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,73.36271,1.668153,-1.666023,1311.578017,237.571179,2:00,6.29049,1.19993,5.91156,-43.18408,8.71957,11.15922,4.24123,0.58308,67.18629,-6.345526,0.336694,0.518526,,,,,,,,,,,,-6.13721,4.52709,-1.07239,50,6.39999,2.70244,-106.49497,1.87391,-7.04789,18.29219,-26.97521,SOU_ORE,LAN_COM,SouthwesternOregonStadium,JUCO,NJCAA,20260305-SouthwesternOregonStadium-2,1b641c90-18e1-11f1-a9a4-6fe203673493,72.69156,,,6.17642,,,,,,,065248cd-e814-4b1a-8daa-59ff00abe519,2026-03-05,22:17:32.53,2026-03-05T14:17:32.5320000-08:00,2026-03-05T22:17:32.5320000Z,,v3,,,,"Benedictson, Beau",1000369251,Right,SOU_ORE,9cba394f-8b0d-47ff-8f82-522d9878f93f,54.58711,-107.27999,9.14609,6.29473,3.03156,-13.48761,-1.19486,3.00491,-3.52395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2026-03-05,14:17:49.71,3,4,"Furuhata, Daichi",1000369250,Right,SOU_ORE,"Tyner, Peyton",10283976,Left,LAN_COM,Undefined,1,Top,1,1,2,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,81.97985,-1.410366,-1.836236,2008.064228,214.555432,1:15,6.15113,1.29328,6.16025,-23.72407,17.73643,11.23615,2.87026,0.53269,74.52202,-5.912981,0.190271,0.463435,,,,,,,,,,,,-6.33851,10.01008,-1.15937,50,6.03184,3.38598,-118.96867,-3.56932,-9.0129,24.49873,-17.94041,SOU_ORE,LAN_COM,SouthwesternOregonStadium,JUCO,NJCAA,20260305-SouthwesternOregonStadium-2,25b98720-18e1-11f1-a9a4-6fe203673493,81.3328,,,7.45783,,,,,,,065248cd-e814-4b1a-8daa-59ff00abe519,2026-03-05,22:17:49.71,2026-03-05T14:17:49.7170000-08:00,2026-03-05T22:17:49.7170000Z,,v3,,,,"Benedictson, Beau",1000369251,Right,SOU_ORE,81cad57a-9500-4f50-850c-9aca64c292c1,54.33778,-119.8586,12.24937,6.14966,-2.91762,-8.9702,-1.28832,3.71338,-4.50645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2026-03-05,14:18:12.07,3,5,"Furuhata, Daichi",1000369250,Right,SOU_ORE,"Tyner, Peyton",10283976,Left,LAN_COM,Undefined,1,Top,1,2,2,ChangeUp,Changeup,InPlay,Undefined,GroundBall,Error,0,1,,73.72695,0.443901,-1.181986,1409.106046,241.265702,2:00,6.20961,1.05473,6.06844,-42.10046,8.97371,13.40981,3.11214,1.07822,67.65267,-7.380266,1.234613,0.514366,69.11332,-23.277805,-14.128814,,,,,7.26089,7.20581,-22.555853,0.073386,-7.24347,4.99575,-0.97015,50,6.22164,1.75246,-107.12445,-0.33585,-8.40148,18.82608,-26.37964,SOU_ORE,LAN_COM,SouthwesternOregonStadium,JUCO,NJCAA,20260305-SouthwesternOregonStadium-2,33179dd0-18e1-11f1-a9a4-6fe203673493,73.27944,2.95249,,6.07428,,,,0.05016,2.95249,-1.1099,065248cd-e814-4b1a-8daa-59ff00abe519,2026-03-05,22:18:12.07,2026-03-05T14:18:12.0780000-08:00,2026-03-05T22:18:12.0780000Z,GroundBall,v3,,,,"Benedictson, Beau",1000369251,Right,SOU_ORE,55ae81f2-02fd-4067-993d-3b0331dec813,54.43155,-107.90044,9.41304,6.21307,0.75149,-13.18982,-1.04953,2.09876,-4.20074,180,0.04553,90.68966,,,,,,,,2.95454,-40.23256,,,,,,,,-1.10874,-22.82816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2026-03-05,14:18:52.40,4,1,"Furuhata, Daichi",1000369250,Right,SOU_ORE,"Roletto, Cody",10267781,Right,LAN_COM,Undefined,1,Top,1,0,0,Curveball,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,68.625,1.28845,-0.955874,1993.005587,55.071514,7:45,6.20645,1.21462,5.4461,-65.11421,-4.56969,-9.30804,1.987,-0.45611,63.29561,-10.536705,-2.616186,0.560027,,,,,,,,,,,,4.39733,-2.06193,-1.12361,50,6.27557,1.9836,-99.62477,0.29507,4.39666,16.77442,-34.23564,SOU_ORE,LAN_COM,SouthwesternOregonStadium,JUCO,NJCAA,20260305-SouthwesternOregonStadium-2,4b140ef0-18e1-11f1-a9a4-6fe203673493,67.3047,,,5.3294,,,,,,,065248cd-e814-4b1a-8daa-59ff00abe519,2026-03-05,22:18:52.40,2026-03-05T14:18:52.4030000-08:00,2026-03-05T22:18:52.4030000Z,,v3,,,,"Benedictson, Beau",1000369251,Right,SOU_ORE,513a3823-2e11-41a4-b381-7eec980bed5a,55.05604,-100.47248,8.38721,6.21695,2.02519,-17.11782,-1.21824,1.76141,2.19833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
