PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallZAmb4,BatSpeed,VerticalAttackAngle,HorizontalAttackAngle
1,2026-03-06,18:03:44.94,1,1,"Barnes, Bradyn",814818,Left,NMS_AGG,"Detlefsen, Drew",832285,Right,UTS_ROA,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,87.36529,-1.049669,2.124979,2100.827926,144.588006,10:45,5.87489,-1.93401,6.45688,-18.39678,17.06245,-11.41115,3.37682,-0.93203,80.63716,-4.552174,0.056217,0.428584,,,,,,,,,,,,6.47036,9.49949,1.78836,50,5.79203,-4.27671,-127.06345,-2.81466,10.69053,23.44381,-16.47866,NMS_AGG,UTS_ROA,PresleyAskewField,D1,CUSA,20260306-PresleyAskewField-1,7de813e0-19c1-11f1-9fdb-5591251ba134,87.94644,,,6.72813,,,,,,,a3ccf16f-5ad0-4de9-b87e-a45a9b8b0e4c,2026-03-07,01:03:44.94,2026-03-06T18:03:44.9474560-07:00,2026-03-07T01:03:44.9474560Z,,v3,471379,471467,8c15217eef6542c095f5a39b39a65ade,"Woodcook, Dane",1000263614,Right,NMS_AGG,35583c04-9726-4b80-ace0-de54101ce70b,54.04105,-127.80687,11.72191,5.873,-2.29211,-8.23933,1.92935,-4.61572,5.34527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2026-03-06,18:03:59.04,1,2,"Barnes, Bradyn",814818,Left,NMS_AGG,"Detlefsen, Drew",832285,Right,UTS_ROA,Undefined,1,Top,0,0,1,ChangeUp,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,77.1423,-0.493403,2.537564,1216.910428,105.685353,9:30,6.21714,-1.49392,6.31123,-41.56526,4.31362,-10.60508,2.29842,-0.03868,71.47137,-8.191638,0.618013,0.487504,57.17627,48.657302,151.755169,4185.470437,-99.52987,37.69384,46.83781,147.32213,58.16918,155.852352,3.187693,6.23067,2.74067,1.31314,50,6.16086,-4.61953,-112.1702,-2.13606,7.99014,19.05041,-28.65945,NMS_AGG,UTS_ROA,PresleyAskewField,D1,CUSA,20260306-PresleyAskewField-1,86592e10-19c1-11f1-9fdb-5591251ba134,77.31725,46.99377,,5.67093,,,,2.32712,2.47764,0.04781,a3ccf16f-5ad0-4de9-b87e-a45a9b8b0e4c,2026-03-07,01:03:59.04,2026-03-06T18:03:59.0436864-07:00,2026-03-07T01:03:59.0436864Z,Popup,v3,471379,471467,8c15217eef6542c095f5a39b39a65ade,"Woodcook, Dane",1000263614,Right,NMS_AGG,8c74670a-423b-4be6-8bed-95e4a54fced9,54.1891,-112.87941,9.5252,6.22053,-1.06912,-14.32972,1.49066,-4.91699,3.99507,344.053055,2.32658,-48.77808,-0.41577,1.5871,-0.76203,0.31172,-0.06885,0.00609,-5E-05,2.47799,62.94358,-25.24323,2.43272,-0.04404,-0.30802,0.15125,-0.03094,0.00237,0.04822,26.19849,-2.4862,-0.15759,0.37836,-0.24868,0.0775,-0.01146,0.00065,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2026-03-06,18:04:17.33,1,3,"Barnes, Bradyn",814818,Left,NMS_AGG,"Detlefsen, Drew",832285,Right,UTS_ROA,Undefined,1,Top,0,0,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,88.49503,1.778195,2.743593,2225.901355,140.904167,10:45,5.98137,-2.06742,6.46311,-21.42887,13.04198,-9.84985,5.83129,-0.36635,81.74939,-2.270228,0.960159,0.422569,,,,,,,,,,,,5.76713,6.69595,1.87757,50,6.09716,-5.7808,-128.64875,3.38693,9.80998,22.9427,-20.78416,NMS_AGG,UTS_ROA,PresleyAskewField,D1,CUSA,20260306-PresleyAskewField-1,91366640-19c1-11f1-9fdb-5591251ba134,89.19828,,,6.74563,,,,,,,a3ccf16f-5ad0-4de9-b87e-a45a9b8b0e4c,2026-03-07,01:04:17.33,2026-03-06T18:04:17.3351424-07:00,2026-03-07T01:04:17.3351424Z,,v3,471379,471467,8c15217eef6542c095f5a39b39a65ade,"Woodcook, Dane",1000263614,Right,NMS_AGG,91aa2b5b-93ad-405f-98a6-1397956c504d,54.03492,-129.36632,11.47135,5.98106,4.03699,-10.39208,2.06317,-6.08762,4.90499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2026-03-06,18:04:34.40,1,4,"Barnes, Bradyn",814818,Left,NMS_AGG,"Detlefsen, Drew",832285,Right,UTS_ROA,Undefined,1,Top,0,1,2,ChangeUp,Changeup,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,77.36698,-0.973548,1.603467,1174.340544,127.255162,10:15,6.14251,-1.70835,5.87592,-37.45447,8.73103,-9.7656,2.11669,-1.03255,71.88551,-7.867288,-0.150802,0.48913,,,,,,,,,,,,5.3928,5.1337,1.58438,50,6.04203,-2.79448,-112.48084,-3.04154,6.98789,18.21751,-25.52188,NMS_AGG,UTS_ROA,PresleyAskewField,D1,CUSA,20260306-PresleyAskewField-1,9b71e030-19c1-11f1-9fdb-5591251ba134,77.0602,,,5.48148,,,,,,,a3ccf16f-5ad0-4de9-b87e-a45a9b8b0e4c,2026-03-07,01:04:34.40,2026-03-06T18:04:34.4000000-07:00,2026-03-07T01:04:34.4000000Z,,v3,471379,471467,8c15217eef6542c095f5a39b39a65ade,"Woodcook, Dane",1000263614,Right,NMS_AGG,236d234c-3736-4cf2-843b-fd6150b61898,54.62249,-113.22702,9.10876,6.1452,-1.99617,-12.76094,1.7047,-3.0807,3.49395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.10882,,,1.324561,,,,-3.64866,4.40954,2.59842,69.21068,9.41206,-55.56147,-3.6111,58.32486,-2.52811,4.48826,23.70154,-15.08931,2.51436,-49.11208,3.97915,High,High,High,,,Medium,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2026-03-06,18:05:05.91,2,1,"Barnes, Bradyn",814818,Left,NMS_AGG,"Arquette, Josh",838732,Right,UTS_ROA,Undefined,1,Top,1,0,0,Slider,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,79.24021,1.435538,2.489804,2127.984773,282.360847,3:30,6.01977,-2.25787,5.62983,-44.31369,0.0585,5.09437,3.66792,0.4912,73.682,-6.649887,3.3983,0.479432,,,,,,,,,,,,-1.99055,0.08157,2.04257,50,6.11353,-5.20248,-115.14259,1.41465,-2.71086,18.48691,-32.06294,NMS_AGG,UTS_ROA,PresleyAskewField,D1,CUSA,20260306-PresleyAskewField-1,ae309cc0-19c1-11f1-9fdb-5591251ba134,78.61898,,,5.55821,,,,,,,a3ccf16f-5ad0-4de9-b87e-a45a9b8b0e4c,2026-03-07,01:05:05.91,2026-03-06T18:05:05.9123200-07:00,2026-03-07T01:05:05.9123200Z,,v3,471379,471467,8c15217eef6542c095f5a39b39a65ade,"Woodcook, Dane",1000263614,Right,NMS_AGG,58fb4ea5-849d-4bfd-af2c-87fa165bfb78,54.8699,-115.92185,9.24346,6.02542,2.76616,-16.03147,2.25946,-5.08821,-1.35543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2026-03-06,18:05:20.81,2,2,"Barnes, Bradyn",814818,Left,NMS_AGG,"Arquette, Josh",838732,Right,UTS_ROA,Undefined,1,Top,1,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.5406,0.665725,2.03931,2319.117711,143.193427,10:45,5.88733,-2.01575,6.39657,-18.70824,15.03123,-10.5602,4.94097,-1.01951,82.70587,-2.884034,0.127459,0.418062,,,,,,,,,,,,5.96044,7.96874,1.87373,50,5.92612,-4.21589,-130.26075,0.9895,10.38057,23.86988,-18.29585,NMS_AGG,UTS_ROA,PresleyAskewField,D1,CUSA,20260306-PresleyAskewField-1,b7107e50-19c1-11f1-9fdb-5591251ba134,90.15997,,,6.83472,,,,,,,a3ccf16f-5ad0-4de9-b87e-a45a9b8b0e4c,2026-03-07,01:05:20.81,2026-03-06T18:05:20.8170496-07:00,2026-03-07T01:05:20.8170496Z,,v3,471379,471467,8c15217eef6542c095f5a39b39a65ade,"Woodcook, Dane",1000263614,Right,NMS_AGG,b180656d-45c4-4501-ae91-846452fd5473,54.10118,-131.01013,11.93494,5.88604,1.56388,-9.14793,2.0112,-4.54178,5.19029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2026-03-06,18:05:35.31,2,3,"Barnes, Bradyn",814818,Left,NMS_AGG,"Arquette, Josh",838732,Right,UTS_ROA,Undefined,1,Top,1,1,1,Slider,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,80.92038,0.537519,1.336927,2355.994065,201.478677,12:45,5.91789,-2.12769,5.34617,-38.22215,4.56752,1.36224,3.23705,-0.75993,75.42956,-6.41676,1.579004,0.470805,65.67519,39.922905,160.852859,4247.587864,-104.51673,42.89345,34.29547,187.07397,65.0686,162.633989,2.969472,-0.38543,2.50142,2.00626,50,5.93861,-2.80065,-117.68472,-0.22097,-0.55034,18.53392,-28.60233,NMS_AGG,UTS_ROA,PresleyAskewField,D1,CUSA,20260306-PresleyAskewField-1,bfb94a50-19c1-11f1-9fdb-5591251ba134,80.05959,43.71943,,5.49082,,,,0.04,3.14486,0.73945,a3ccf16f-5ad0-4de9-b87e-a45a9b8b0e4c,2026-03-07,01:05:35.31,2026-03-06T18:05:35.3152512-07:00,2026-03-07T01:05:35.3152512Z,Popup,v3,471379,471467,8c15217eef6542c095f5a39b39a65ade,"Woodcook, Dane",1000263614,Right,NMS_AGG,7f619749-d91b-47ae-9706-316be9483fa7,55.15391,-118.49362,9.26696,5.92101,1.02736,-14.30117,2.12797,-2.77663,-0.27517,349.601012,0.04,-69.78746,2.05414,0.46413,0.14185,-0.23347,0.13001,-0.03255,0.00304,3.14507,61.80585,-26.54765,2.65026,-0.22567,-0.13521,0.06906,-0.0124,0.00077,0.73948,24.22853,-2.30423,0.22731,-0.06537,0.04916,-0.03088,0.00873,-0.00088,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2026-03-06,18:05:54.32,2,4,"Barnes, Bradyn",814818,Left,NMS_AGG,"Arquette, Josh",838732,Right,UTS_ROA,Undefined,1,Top,1,1,2,Fastball,Sinker,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,89.69487,-0.48384,1.868861,2306.575032,132.042129,10:30,5.83471,-2.05778,6.24646,-22.05537,11.94044,-12.14005,3.55028,-1.34524,82.55953,-4.632459,-0.324214,0.419647,,,,,,,,,,,,6.73937,6.6328,1.9243,50,5.78772,-3.75788,-130.41703,-1.77918,11.6955,25.47484,-20.66353,NMS_AGG,UTS_ROA,PresleyAskewField,D1,CUSA,20260306-PresleyAskewField-1,cb043870-19c1-11f1-9fdb-5591251ba134,89.8194,,,7.13534,,,,,,,a3ccf16f-5ad0-4de9-b87e-a45a9b8b0e4c,2026-03-07,01:05:54.32,2026-03-06T18:05:54.3260000-07:00,2026-03-07T01:05:54.3260000Z,,v3,471379,471467,8c15217eef6542c095f5a39b39a65ade,"Woodcook, Dane",1000263614,Right,NMS_AGG,f95c5e82-a810-4e83-8c54-ce4cd90389b2,54.2511,-131.24478,12.73742,5.83462,-1.10776,-10.33177,2.05258,-4.1379,5.84775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.28127,2.41037,0.912128,1.498242,-4.0879,3.08059,1.38737,-4.55483,4.46427,2.29926,64.81613,12.08408,-59.95749,-4.45776,49.972,-2.48023,4.63099,27.33903,-14.89834,2.1404,-46.41246,3.2926,High,High,High,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2026-03-06,18:06:28.48,3,1,"Barnes, Bradyn",814818,Left,NMS_AGG,"Haworth, Lane",825130,Left,UTS_ROA,Undefined,1,Top,2,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.1691,-3.170488,2.902092,2292.460052,138.698973,10:30,5.75241,-1.98672,6.50012,-19.78103,13.56576,-11.07119,1.18725,-0.24336,83.44773,-6.895212,0.893774,0.415622,,,,,,,,,,,,6.57807,8.22044,1.78843,50,5.52139,-6.22182,-130.9368,-7.8307,11.536,25.01428,-17.75781,NMS_AGG,UTS_ROA,PresleyAskewField,D1,CUSA,20260306-PresleyAskewField-1,df5c80c0-19c1-11f1-9fdb-5591251ba134,90.68925,,,6.72137,,,,,,,a3ccf16f-5ad0-4de9-b87e-a45a9b8b0e4c,2026-03-07,01:06:28.48,2026-03-06T18:06:28.4849152-07:00,2026-03-07T01:06:28.4849152Z,,v3,471379,471467,8c15217eef6542c095f5a39b39a65ade,"Woodcook, Dane",1000263614,Right,NMS_AGG,572f7d37-1c61-4034-8b25-8059af99c360,54.00001,-131.69875,12.50714,5.75168,-7.28978,-8.87891,1.9833,-6.57322,5.768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2026-03-06,18:06:42.48,3,2,"Barnes, Bradyn",814818,Left,NMS_AGG,"Haworth, Lane",825130,Left,UTS_ROA,Undefined,1,Top,2,1,0,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,81.12547,-1.054903,3.18659,2448.427064,234.662308,1:45,5.88704,-2.16178,5.64156,-38.70597,3.8463,3.73496,1.67586,1.12509,75.3566,-8.11126,3.852904,0.469497,,,,,,,,,,,,-1.09799,2.60571,1.88858,50,5.77259,-6.70202,-117.75804,-3.46563,-1.5567,20.33619,-28.4798,NMS_AGG,UTS_ROA,PresleyAskewField,D1,CUSA,20260306-PresleyAskewField-1,e7bf6a20-19c1-11f1-9fdb-5591251ba134,80.28262,,,5.76886,,,,,,,a3ccf16f-5ad0-4de9-b87e-a45a9b8b0e4c,2026-03-07,01:06:42.48,2026-03-06T18:06:42.4825856-07:00,2026-03-07T01:06:42.4825856Z,,v3,471379,471467,8c15217eef6542c095f5a39b39a65ade,"Woodcook, Dane",1000263614,Right,NMS_AGG,fd2005cb-37c5-4fd4-80e2-31c5d499d39c,54.85705,-118.59386,10.1681,5.89097,-2.29511,-14.2399,2.16272,-6.63803,-0.77835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
