PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallZAmb4,BatSpeed,VerticalAttackAngle,HorizontalAttackAngle
1,2026-03-07,17:32:33.58,1,1,"Danilowicz, Wyatt",804863,Left,LOU_CAR,"Cavazzoni, Gabe",1000274071,Right,SET_PIR,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,90.58846,-3.278147,0.960392,2286.662587,148.950919,11:00,6.01422,-0.93499,5.61188,-13.75343,21.88769,-12.26032,1.80461,-1.0602,80.20655,-5.975314,-1.228694,0.429682,,,,,,,,,,,,6.5313,12.70721,0.86093,50,5.72558,-1.62775,-130.8533,-7.84079,10.94145,36.29995,-10.88652,LOU_CAR,SET_PIR,JimPatterson,D1,ACC,20260307-JimPatterson-2,8941e950-1a75-11f1-9a5e-4f20fe33ab71,87.72174,,,10.38191,,,,,,,590716a9-a634-479c-a07e-ebdaf5719a97,2026-03-07,22:32:33.58,2026-03-07T17:32:33.5833088-05:00,2026-03-07T22:32:33.5833088Z,,v3,471341,471438,,"Baker, George",702989,Right,LOU_CAR,7ced7c99-113a-40f8-baf8-48418495448b,54.88089,-132.20037,18.14998,6.00905,-7.4368,-5.44326,0.92886,-2.03378,5.47073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2026-03-07,17:32:49.81,1,2,"Danilowicz, Wyatt",804863,Left,LOU_CAR,"Cavazzoni, Gabe",1000274071,Right,SET_PIR,Undefined,1,Top,0,0,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.88887,-3.627386,2.433441,2332.229578,148.446341,11:00,6.04721,-0.89621,5.76137,-12.60257,22.16828,-12.78808,1.6132,0.30443,81.55102,-6.094659,0.146202,0.424404,,,,,,,,,,,,7.30367,12.86509,0.70236,50,5.73879,-5.0123,-131.40068,-8.64395,12.52373,32.84193,-10.11405,LOU_CAR,SET_PIR,JimPatterson,D1,ACC,20260307-JimPatterson-2,92ebd1a0-1a75-11f1-9a5e-4f20fe33ab71,88.81269,,,9.33785,,,,,,,590716a9-a634-479c-a07e-ebdaf5719a97,2026-03-07,22:32:49.81,2026-03-07T17:32:49.8146304-05:00,2026-03-07T22:32:49.8146304Z,,v3,471341,471438,,"Baker, George",702989,Right,LOU_CAR,422a881c-dc7d-4f41-938a-9d9dd80150b7,54.73436,-132.5787,16.42097,6.04234,-8.28117,-5.05702,0.89021,-5.46152,6.26186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2026-03-07,17:33:09.46,1,3,"Danilowicz, Wyatt",804863,Left,LOU_CAR,"Cavazzoni, Gabe",1000274071,Right,SET_PIR,Undefined,1,Top,0,0,2,Fastball,Four-Seam,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,90.81294,-3.435382,2.050168,2381.305016,149.439839,11:00,6.06652,-0.82015,5.82252,-12.36843,22.38403,-12.42028,1.83608,0.05166,81.40572,-5.866243,-0.174612,0.424291,,,,,,,,,,,,7.02689,12.96371,0.6599,50,5.77816,-4.15422,-131.35814,-8.18321,12.02455,33.17462,-9.99034,LOU_CAR,SET_PIR,JimPatterson,D1,ACC,20260307-JimPatterson-2,9ecc21f0-1a75-11f1-9a5e-4f20fe33ab71,88.83624,,,9.40722,,,,,,,590716a9-a634-479c-a07e-ebdaf5719a97,2026-03-07,22:33:09.46,2026-03-07T17:33:09.4690000-05:00,2026-03-07T22:33:09.4690000Z,,v3,471341,471438,,"Baker, George",702989,Right,LOU_CAR,933c5793-2055-4368-839b-e7d6a437f918,54.67349,-132.53318,16.58731,6.06174,-7.82935,-4.99517,0.81459,-4.58012,6.01228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.39599,,,0.981519,,,,6.08013,4.07154,1.25712,73.1676,7.17226,-51.63004,6.10329,72.18748,-3.93252,4.11028,17.19611,-14.34006,1.17464,-61.55939,7.90482,High,High,High,,,High,Medium,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2026-03-07,17:33:39.97,2,1,"Danilowicz, Wyatt",804863,Left,LOU_CAR,"Dill, Aiden",831013,Left,SET_PIR,Undefined,1,Top,1,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.70426,-4.248227,1.369527,2338.802175,153.400451,11:00,6.07661,-0.89073,5.76047,-10.57603,24.12623,-11.44154,1.23274,-0.56922,81.92673,-6.336051,-0.678115,0.423985,,,,,,,,,,,,6.25776,13.99627,0.78433,50,5.71786,-2.63313,-131.21329,-9.97768,10.76953,31.09582,-8.0867,LOU_CAR,SET_PIR,JimPatterson,D1,ACC,20260307-JimPatterson-2,b0d04110-1a75-11f1-9a5e-4f20fe33ab71,88.90044,,,8.77753,,,,,,,590716a9-a634-479c-a07e-ebdaf5719a97,2026-03-07,22:33:39.97,2026-03-07T17:33:39.9774720-05:00,2026-03-07T22:33:39.9774720Z,,v3,471341,471438,,"Baker, George",702989,Right,LOU_CAR,7323e5e4-6556-491d-8c2c-7f29a3f2b6c3,54.73661,-132.33104,15.54791,6.07129,-9.687,-4.04335,0.88593,-3.02025,5.38477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2026-03-07,17:33:53.43,2,2,"Danilowicz, Wyatt",804863,Left,LOU_CAR,"Dill, Aiden",831013,Left,SET_PIR,Undefined,1,Top,1,1,0,Fastball,Four-Seam,InPlay,Undefined,Popup,Out,1,0,,90.71748,-2.609339,1.171476,2337.336297,151.735895,11:00,6.00776,-0.99923,5.5912,-13.26902,21.6193,-10.93056,2.4634,-0.81612,81.69476,-5.184282,-0.779089,0.42512,84.0963,77.47569,6.323286,,,,,,22.16385,,,5.93851,12.17926,0.90615,50,5.77567,-2.19999,-131.39814,-6.34928,10.21787,31.95628,-11.2182,LOU_CAR,SET_PIR,JimPatterson,D1,ACC,20260307-JimPatterson-2,b8d9bfd0-1a75-11f1-9a5e-4f20fe33ab71,88.66305,104.58403,,9.02272,,,,2.69584,2.5786,0.79924,590716a9-a634-479c-a07e-ebdaf5719a97,2026-03-07,22:33:53.43,2026-03-07T17:33:53.4368256-05:00,2026-03-07T22:33:53.4368256Z,,v3,471341,471438,,"Baker, George",702989,Right,LOU_CAR,37e42bb2-98be-49dc-b760-c7442d9a7cfe,54.9061,-132.58595,15.97814,6.00391,-5.9323,-5.6091,0.99498,-2.57979,5.10893,,2.69584,26.58179,-10.84956,2.60156,1.06645,-2.40142,2.05652,-0.92258,0.17338,2.5786,120.40654,-28.84635,3.91058,-1.20051,0.78261,-0.55412,0.24065,-0.04513,0.79925,2.94489,-3.37584,0.8357,0.4567,-0.95795,0.81622,-0.36596,0.06879,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Undefined,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.43793,23.9439,23.37413
6,2026-03-07,17:34:35.99,3,1,"Danilowicz, Wyatt",804863,Left,LOU_CAR,"Tomasetto, Nick",1000135333,Right,SET_PIR,Undefined,1,Top,2,0,0,Curveball,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,77.05648,1.364027,0.64664,2649.158187,332.132267,5:00,6.07596,-0.86956,5.05102,-69.61401,-20.10745,11.57749,1.56162,0.70513,69.98599,-11.160728,2.700727,0.50641,,,,,,,,,,,,-5.50559,-9.88229,0.79838,50,6.15021,-1.7349,-111.69339,0.11364,-6.7958,24.41117,-44.37217,LOU_CAR,SET_PIR,JimPatterson,D1,ACC,20260307-JimPatterson-2,d24fffb0-1a75-11f1-9a5e-4f20fe33ab71,74.43061,,,7.07049,,,,,,,590716a9-a634-479c-a07e-ebdaf5719a97,2026-03-07,22:34:35.99,2026-03-07T17:34:35.9930880-05:00,2026-03-07T22:34:35.9930880Z,,v3,471341,471438,,"Baker, George",702989,Right,LOU_CAR,55571f64-db4c-4cf4-87d3-c76ad3a0432a,55.45181,-112.87862,12.20558,6.09239,2.26804,-22.18608,0.8746,-1.40494,-3.3979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2026-03-07,17:34:50.48,3,2,"Danilowicz, Wyatt",804863,Left,LOU_CAR,"Tomasetto, Nick",1000135333,Right,SET_PIR,Undefined,1,Top,2,0,1,Fastball,Four-Seam,InPlay,Undefined,LineDrive,Double,0,0,,90.98327,-3.687146,2.414481,2341.247401,153.215438,11:00,5.95487,-0.89242,5.85533,-12.643,21.59312,-10.2865,1.4677,0.49505,82.45546,-6.141368,0.571572,0.421128,74.83314,19.808978,36.150682,4013.872396,83.76944,23.64342,71.29283,198.98885,193.61001,44.299675,2.593219,6.00725,12.5304,0.70241,50,5.64772,-5.10855,-131.70108,-8.81648,10.45294,30.39842,-10.37054,LOU_CAR,SET_PIR,JimPatterson,D1,ACC,20260307-JimPatterson-2,dad6ebd0-1a75-11f1-9a5e-4f20fe33ab71,89.5036,23.64759,,8.52781,,,,0.76026,1.42307,-0.53964,590716a9-a634-479c-a07e-ebdaf5719a97,2026-03-07,22:34:50.48,2026-03-07T17:34:50.4884736-05:00,2026-03-07T22:34:50.4884736Z,LineDrive,v3,471341,471438,,"Baker, George",702989,Right,LOU_CAR,fae2cbee-31d0-4ec8-b221-059a03fba7f2,54.64253,-132.76832,15.19921,5.95086,-8.45239,-5.18527,0.88821,-5.47553,5.22647,233.781514,0.76029,83.3781,-17.64622,4.03412,-0.80754,0.08913,0.0099,-0.00626,0.00085,1.42304,37.19606,-16.49365,0.82359,-0.08589,0.06013,-0.03252,0.00981,-0.00114,-0.53963,60.91415,-2.67472,-0.39599,0.2876,-0.10385,0.02926,-0.00541,0.00048,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.97786,-1.4158,5.62998
8,2026-03-07,17:35:48.77,4,1,"Danilowicz, Wyatt",804863,Left,LOU_CAR,"Sengenberger, Aidan",10034113,Right,SET_PIR,Undefined,1,Top,2,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.08999,-0.570914,1.164285,2282.773992,154.724806,11:15,5.9756,-0.9397,5.8011,-15.44686,20.32639,-8.99252,4.15724,-0.60606,80.24333,-3.558969,-0.446547,0.430478,,,,,,,,,,,,4.92158,10.88571,0.84933,50,5.91961,-2.22965,-129.18943,-1.69982,8.20321,30.36811,-14.0299,LOU_CAR,SET_PIR,JimPatterson,D1,ACC,20260307-JimPatterson-2,fd9719b0-1a75-11f1-9a5e-4f20fe33ab71,87.55959,,,8.84666,,,,,,,590716a9-a634-479c-a07e-ebdaf5719a97,2026-03-07,22:35:48.77,2026-03-07T17:35:48.7704064-05:00,2026-03-07T22:35:48.7704064Z,,v3,471341,471438,,"Baker, George",702989,Right,LOU_CAR,a1dd043b-0327-4118-b953-1d66625bb0b5,54.69389,-130.28813,15.18406,5.97193,-1.19223,-7.01495,0.93536,-2.52643,4.1016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2026-03-07,17:36:09.44,4,2,"Danilowicz, Wyatt",804863,Left,LOU_CAR,"Sengenberger, Aidan",10034113,Right,SET_PIR,Undefined,1,Top,2,1,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,89.41196,-2.085074,0.748579,2231.779207,153.184424,11:00,5.91737,-0.81222,5.94409,-14.73221,20.7993,-9.83548,2.75461,-0.93744,80.26347,-4.951712,-1.018506,0.429021,73.72145,12.058194,170.523824,5147.188327,,,,100.38197,50.57917,167.362936,0.989738,5.13937,11.60473,0.75717,50,5.74241,-1.23646,-129.4882,-5.06134,8.57466,31.41089,-12.81251,LOU_CAR,SET_PIR,JimPatterson,D1,ACC,20260307-JimPatterson-2,09eff560-1a76-11f1-9a5e-4f20fe33ab71,87.85694,7.34328,,9.1485,,,,-0.12439,2.46865,1.40605,590716a9-a634-479c-a07e-ebdaf5719a97,2026-03-07,22:36:09.44,2026-03-07T17:36:09.4481408-05:00,2026-03-07T22:36:09.4481408Z,GroundBall,v3,471341,471438,,"Baker, George",702989,Right,LOU_CAR,fcfb1ea0-4907-43b1-a873-cfe2429105d3,54.54547,-130.58618,15.70544,5.9115,-4.61347,-6.40626,0.80563,-1.53619,4.28733,,-0.07739,-104.93052,6.05912,,,,,,,2.53066,21.74494,-24.61358,,,,,,,1.3736,17.85007,3.01264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.24127,23.73106,-4.1373
10,2026-03-07,17:36:35.22,4,3,"Danilowicz, Wyatt",804863,Left,LOU_CAR,"Sengenberger, Aidan",10034113,Right,SET_PIR,Undefined,1,Top,2,1,1,Curveball,Curveball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,76.73703,1.883817,0.530365,2731.973999,335.123393,5:15,6.13676,-0.84035,5.2159,-70.04027,-20.46537,10.31627,2.0721,0.51804,69.65736,-10.766062,2.365362,0.50676,,,,,,,,,,,,-4.94654,-10.27091,0.78337,50,6.25813,-1.44498,-111.25273,1.15265,-6.06383,24.03308,-44.76495,LOU_CAR,SET_PIR,JimPatterson,D1,ACC,20260307-JimPatterson-2,1957e5d0-1a76-11f1-9a5e-4f20fe33ab71,74.37924,,,7.07967,,,,,,,590716a9-a634-479c-a07e-ebdaf5719a97,2026-03-07,22:36:35.22,2026-03-07T17:36:35.2258048-05:00,2026-03-07T22:36:35.2258048Z,,v3,471341,471438,,"Baker, George",702989,Right,LOU_CAR,62cacac2-6731-46ca-a05e-aed62779d0ff,55.28713,-112.38907,12.01654,6.1536,3.26924,-22.38247,0.84491,-1.15827,-3.03192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
