PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallZAmb4,BatSpeed,VerticalAttackAngle,HorizontalAttackAngle
1,2026-03-07,14:02:21.84,1,1,"Diehl, Liam",1000097853,Right,TOW_TIG,"Saucke, Sam",10148022,Right,MON_HAW,Undefined,1,Top,0,0,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,93.16778,-0.948187,-4.416037,2131.485299,256.135712,2:30,5.53033,1.88564,6.82893,-26.52931,5.50737,17.08343,2.45204,-0.72666,82.91696,-6.005457,-1.30443,0.407376,,,,,,,,,,,,-10.65115,3.63591,-1.60687,50,5.45991,9.73116,-134.86396,-3.03327,-19.0266,37.54803,-25.67906,TOW_TIG,MON_HAW,John B. Schuerholz Park,D1,CAA,20260307-John B. Schuerholz Park-1,2c105c70-1a58-11f1-bdbb-639cc724527d,92.52503,,,10.25082,,,,,,,027a529b-b118-492f-b681-24cec4683b15,2026-03-07,19:02:21.84,2026-03-07T14:02:21.8418176-05:00,2026-03-07T19:02:21.8418176Z,,v3,471469,4164,99012b4a5165459a9a1fcc553e12f232,"Heckelman, Brian",824547,Right,TOW_TIG,2a449523-ef21-4b25-b158-5f1eedd66384,53.66662,-135.88097,18.77402,5.53265,-2.33774,-12.83953,-1.87742,10.2465,-9.5133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2026-03-07,14:02:38.79,1,2,"Diehl, Liam",1000097853,Right,TOW_TIG,"Saucke, Sam",10148022,Right,MON_HAW,Undefined,1,Top,0,0,1,Fastball,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,91.85674,-0.253623,-3.034937,1934.766036,244.628894,2:15,5.44072,2.01423,6.41702,-24.07155,9.07245,16.48493,3.20127,0.59534,82.26005,-4.830344,-0.050233,0.414356,,,,,,,,,,,,-9.58627,5.18437,-1.80417,50,5.41185,6.36661,-133.15186,-1.33342,-16.83542,34.3934,-23.06927,TOW_TIG,MON_HAW,John B. Schuerholz Park,D1,CAA,20260307-John B. Schuerholz Park-1,362a1d90-1a58-11f1-bdbb-639cc724527d,90.96625,,,9.59669,,,,,,,027a529b-b118-492f-b681-24cec4683b15,2026-03-07,19:02:38.79,2026-03-07T14:02:38.7926016-05:00,2026-03-07T19:02:38.7926016Z,,v3,471469,4164,99012b4a5165459a9a1fcc553e12f232,"Heckelman, Brian",824547,Right,TOW_TIG,ed222c2d-6ac4-4584-9748-c5ad293d63c6,54.07828,-134.20115,17.1967,5.4418,-0.62961,-11.53463,-2.00624,6.88023,-8.41771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2026-03-07,14:03:04.20,1,3,"Diehl, Liam",1000097853,Right,TOW_TIG,"Saucke, Sam",10148022,Right,MON_HAW,Undefined,1,Top,0,0,2,Cutter,Slider,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,87.35907,0.677907,-2.601584,2017.755729,156.383452,11:15,5.35209,1.85811,6.10714,-31.34624,5.22807,-1.75787,3.36745,-0.69575,79.43261,-5.167477,-2.91781,0.435271,,,,,,,,,,,,0.12606,2.86685,-1.65736,50,5.38795,5.83103,-126.75594,0.47349,0.2036,27.66768,-27.54373,TOW_TIG,MON_HAW,John B. Schuerholz Park,D1,CAA,20260307-John B. Schuerholz Park-1,455441b0-1a58-11f1-bdbb-639cc724527d,86.59541,,,7.92646,,,,,,,027a529b-b118-492f-b681-24cec4683b15,2026-03-07,19:03:04.20,2026-03-07T14:03:04.2080000-05:00,2026-03-07T19:03:04.2080000Z,,v3,471469,4164,99012b4a5165459a9a1fcc553e12f232,"Heckelman, Brian",824547,Right,TOW_TIG,df0bcafe-c91e-44b2-b9a5-1c90c19438bc,54.38942,-127.71045,13.83384,5.35522,1.42372,-13.77186,-1.8584,5.82401,0.1018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.23686,3.114856,1.733069,1.381787,-1.61605,3.08289,0.85081,-2.55602,6.2979,1.76421,68.58848,11.61756,-56.22442,-2.45566,56.17152,-3.43396,6.40594,24.03275,-14.65048,1.66779,-46.26245,3.1513,High,High,High,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2026-03-07,14:03:35.40,2,1,"Diehl, Liam",1000097853,Right,TOW_TIG,"Hunt, Wyatt",1000327424,Left,MON_HAW,Undefined,1,Top,1,0,0,Cutter,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,84.6844,0.947852,-0.369333,2128.547917,103.874628,9:30,5.28145,2.35799,6.60301,-36.12104,2.34323,-3.91795,3.13975,1.69316,76.39104,-5.854835,-1.082444,0.446375,,,,,,,,,,,,1.9128,1.39221,-2.33153,50,5.33197,0.94274,-122.97277,0.95138,2.87882,28.28682,-30.07872,TOW_TIG,MON_HAW,John B. Schuerholz Park,D1,CAA,20260307-John B. Schuerholz Park-1,57f2f320-1a58-11f1-bdbb-639cc724527d,84.44117,,,8.29336,,,,,,,027a529b-b118-492f-b681-24cec4683b15,2026-03-07,19:03:35.40,2026-03-07T14:03:35.4056192-05:00,2026-03-07T19:03:35.4056192Z,,v3,471469,4164,99012b4a5165459a9a1fcc553e12f232,"Heckelman, Brian",824547,Right,TOW_TIG,77305864-64ea-4c08-ac55-dc8a4f634811,53.8914,-123.86466,14.14341,5.28702,1.89977,-15.03936,-2.35982,0.85197,1.43941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2026-03-07,14:03:52.17,2,2,"Diehl, Liam",1000097853,Right,TOW_TIG,"Hunt, Wyatt",1000327424,Left,MON_HAW,Undefined,1,Top,1,1,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,91.76379,-0.053283,-3.431968,2022.193514,247.347564,2:15,5.37844,2.09584,6.65984,-25.8808,7.10284,13.98957,3.17286,0.1174,82.04958,-4.980497,-0.889072,0.413353,,,,,,,,,,,,-8.48941,4.13839,-1.86978,50,5.36479,7.401,-132.99044,-0.9059,-14.84476,34.80287,-24.93761,TOW_TIG,MON_HAW,John B. Schuerholz Park,D1,CAA,20260307-John B. Schuerholz Park-1,61e926b0-1a58-11f1-bdbb-639cc724527d,91.18714,,,9.71421,,,,,,,027a529b-b118-492f-b681-24cec4683b15,2026-03-07,19:03:52.17,2026-03-07T14:03:52.1755648-05:00,2026-03-07T19:03:52.1755648Z,,v3,471469,4164,99012b4a5165459a9a1fcc553e12f232,"Heckelman, Brian",824547,Right,TOW_TIG,a13e95f0-100b-45bb-a767-93a143a12c8c,53.83459,-133.99017,17.40144,5.38053,-0.18955,-12.46881,-2.0885,7.82743,-7.42238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2026-03-07,14:04:12.00,2,3,"Diehl, Liam",1000097853,Right,TOW_TIG,"Hunt, Wyatt",1000327424,Left,MON_HAW,Undefined,1,Top,1,1,1,Fastball,Four-Seam,InPlay,Undefined,GroundBall,Out,1,0,,91.55206,-0.438897,-3.23418,2151.116866,221.001106,1:15,5.38917,2.09323,6.74599,-22.77745,9.99142,7.66422,3.08945,-0.22585,82.51589,-4.790569,-1.839082,0.412005,78.34338,-12.837132,31.978034,,,,,15.86089,12.25128,32.638935,0.157665,-5.11366,5.76544,-1.88339,50,5.35156,7.20938,-132.83305,-1.66397,-8.9866,32.81086,-22.04203,TOW_TIG,MON_HAW,John B. Schuerholz Park,D1,CAA,20260307-John B. Schuerholz Park-1,6db68b40-1a58-11f1-bdbb-639cc724527d,91.48544,4.43789,,9.03618,,,,-1.34093,4.43789,-0.0541,027a529b-b118-492f-b681-24cec4683b15,2026-03-07,19:04:12.00,2026-03-07T14:04:12.0070656-05:00,2026-03-07T19:04:12.0070656Z,GroundBall,v3,471469,4164,99012b4a5165459a9a1fcc553e12f232,"Heckelman, Brian",824547,Right,TOW_TIG,8c7ef7b6-790e-42df-8cef-d1275bf08709,53.75067,-133.75629,16.40543,5.38965,-1.04374,-11.02102,-2.08981,7.46224,-4.4933,,-1.34104,95.04058,-11.55239,,,,,,,4.43858,-25.58723,-16.29417,,,,,,,-0.05262,59.20707,-29.33511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2026-03-07,14:04:47.68,3,1,"Diehl, Liam",1000097853,Right,TOW_TIG,"Mustaro, RJ",10961139,Right,MON_HAW,Undefined,1,Top,2,0,0,Sweeper,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,79.20631,1.263772,-0.182412,1727.793211,81.224227,8:45,5.10565,2.17624,6.46282,-45.13042,-0.855,-15.83765,2.50575,0.68889,71.56972,-7.17819,-3.05819,0.478909,,,,,,,,,,,,8.16642,-0.35256,-2.15718,50,5.17571,0.93451,-115.01914,1.22223,10.72572,25.22775,-32.63709,TOW_TIG,MON_HAW,John B. Schuerholz Park,D1,CAA,20260307-John B. Schuerholz Park-1,83098740-1a58-11f1-bdbb-639cc724527d,78.70484,,,7.63659,,,,,,,027a529b-b118-492f-b681-24cec4683b15,2026-03-07,19:04:47.68,2026-03-07T14:04:47.6839424-05:00,2026-03-07T19:04:47.6839424Z,,v3,471469,4164,99012b4a5165459a9a1fcc553e12f232,"Heckelman, Brian",824547,Right,TOW_TIG,f3d1ef17-42b8-427c-a7bc-c7a3c47d3f33,54.03412,-115.90059,12.61388,5.11308,2.36256,-16.31855,-2.18328,0.55976,5.36286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2026-03-07,14:05:07.79,3,2,"Diehl, Liam",1000097853,Right,TOW_TIG,"Mustaro, RJ",10961139,Right,MON_HAW,Undefined,1,Top,2,0,1,Cutter,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,87.81499,0.042916,-3.248047,2135.121777,153.229165,11:00,5.39111,2.01098,6.34442,-28.72742,7.28201,-3.05835,3.03673,-1.23714,79.68665,-5.350466,-3.800071,0.431896,,,,,,,,,,,,0.57957,4.16319,-1.77353,50,5.381,7.35007,-127.34778,-0.79696,0.94201,28.65056,-25.40728,TOW_TIG,MON_HAW,John B. Schuerholz Park,D1,CAA,20260307-John B. Schuerholz Park-1,8eff0d40-1a58-11f1-bdbb-639cc724527d,87.27195,,,8.12834,,,,,,,027a529b-b118-492f-b681-24cec4683b15,2026-03-07,19:05:07.79,2026-03-07T14:05:07.7982208-05:00,2026-03-07T19:05:07.7982208Z,,v3,471469,4164,99012b4a5165459a9a1fcc553e12f232,"Heckelman, Brian",824547,Right,TOW_TIG,02ed0d1b-1e66-4126-b960-fd4515104f9b,54.15077,-128.27821,14.32528,5.39348,0.02815,-12.70364,-2.01173,7.31948,0.47101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2026-03-07,14:05:28.43,3,3,"Diehl, Liam",1000097853,Right,TOW_TIG,"Mustaro, RJ",10961139,Right,MON_HAW,Undefined,1,Top,2,1,1,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,91.8132,-0.055919,-4.986824,2047.979299,234.675029,1:45,5.34799,1.88247,6.85209,-21.61505,11.02406,13.85662,3.49556,-1.52086,82.40999,-4.208906,-2.468252,0.411188,,,,,,,,,,,,-8.95201,6.21154,-1.56765,50,5.3365,11.05313,-132.91975,-0.71574,-15.73074,33.21501,-21.25896,TOW_TIG,MON_HAW,John B. Schuerholz Park,D1,CAA,20260307-John B. Schuerholz Park-1,9b496a00-1a58-11f1-bdbb-639cc724527d,91.66711,,,9.40321,,,,,,,027a529b-b118-492f-b681-24cec4683b15,2026-03-07,19:05:28.43,2026-03-07T14:05:28.4317184-05:00,2026-03-07T19:05:28.4317184Z,,v3,471469,4164,99012b4a5165459a9a1fcc553e12f232,"Heckelman, Brian",824547,Right,TOW_TIG,f42ee3b3-9d1f-4b15-82b2-0164578cd630,53.64356,-133.82714,16.60751,5.34812,-0.13498,-10.62948,-1.87547,11.48287,-7.86537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2026-03-07,14:05:49.61,3,4,"Diehl, Liam",1000097853,Right,TOW_TIG,"Mustaro, RJ",10961139,Right,MON_HAW,Undefined,1,Top,2,2,1,Fastball,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,91.96677,-0.706716,-4.147241,2065.59496,263.176872,2:45,5.2869,2.08518,7.16009,-28.75911,3.5624,19.19694,2.24807,-0.08044,82.16282,-6.20074,-0.625075,0.409183,,,,,,,,,,,,-11.73516,2.54587,-1.84657,50,5.23743,8.9423,-133.3164,-2.46244,-20.54711,35.90814,-27.71647,TOW_TIG,MON_HAW,John B. Schuerholz Park,D1,CAA,20260307-John B. Schuerholz Park-1,a7e1e6c0-1a58-11f1-bdbb-639cc724527d,92.1164,,,9.80395,,,,,,,027a529b-b118-492f-b681-24cec4683b15,2026-03-07,19:05:49.61,2026-03-07T14:05:49.6118272-05:00,2026-03-07T19:05:49.6118272Z,,v3,471469,4164,99012b4a5165459a9a1fcc553e12f232,"Heckelman, Brian",824547,Right,TOW_TIG,d2a9481b-6b67-41c1-af31-e712ea7d8d70,53.33621,-134.21199,17.95407,5.29022,-1.77116,-13.85824,-2.07599,9.45477,-10.27356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
