PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallZAmb4,BatSpeed,VerticalAttackAngle,HorizontalAttackAngle
1,2026-03-08,12:00:48.34,1,1,"Hansen, Cole",809588,Right,ELO_PHO,"DiCarlo, Nick",1000397936,Left,NOR_AGG,Undefined,1,Top,0,0,0,Fastball,Four-Seam,InPlay,Undefined,LineDrive,Single,0,0,,88.7788,-3.468265,-2.047582,1958.958162,216.508948,1:15,6.27183,1.55193,5.53739,-20.35773,15.21332,10.51764,1.32758,0.51374,82.4215,-7.2278,-0.172162,0.429259,78.41618,8.144738,3.718217,835.934014,109.79191,4.61907,6.76278,137.88631,137.36981,3.63863,1.399469,-5.87744,8.86075,-1.38168,50,5.95694,4.16575,-128.82984,-8.50374,-10.01494,23.28253,-17.07566,ELO_PHO,NOR_AGG,LathamPark,D1,CAA,20260308-LathamPark-1,f9737350-1b07-11f1-926d-3f411b267e39,87.8081,6.79782,,6.3573,,,,3.43848,1.59715,-0.5197,3fc823c7-0d10-4f75-8c8a-e182274dbcd7,2026-03-08,16:00:48.34,2026-03-08T12:00:48.3495424-04:00,2026-03-08T16:00:48.3495424Z,GroundBall,v3,471503,471385,acc31fd18611424da1fbfd19397648a1,"Bogdanchik, Gavin",1000052136,Right,ELO_PHO,677d6aed-3be7-4d0f-a5a2-29e46047c284,54.96523,-129.72407,11.64126,6.27095,-7.84791,-8.53783,-1.54907,4.5504,-5.00747,185.327415,3.43848,113.61055,-16.0151,3.03733,-0.5891,0.11257,-0.02133,0.00347,-0.00032,1.59715,16.29377,-13.02344,0.44226,-0.0334,0.00303,0.00124,-0.00027,2E-05,-0.5197,7.38305,-0.52611,-0.03373,0.02507,-0.00874,0.002,-0.00036,4E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2026-03-08,12:01:39.36,2,1,"Hansen, Cole",809588,Right,ELO_PHO,"Tuggle, Reginald",1000507916,Right,NOR_AGG,Undefined,1,Top,0,0,0,Fastball,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,87.48144,-2.966029,-3.082242,1970.055451,219.987138,1:15,6.20604,1.61184,5.3867,-20.56785,16.8156,13.07347,1.70543,-0.19053,80.00864,-6.798441,-0.7608,0.440059,,,,,,,,,,,,-7.46874,9.65689,-1.34581,50,5.9262,6.25425,-126.67638,-7.25495,-12.13052,25.98726,-16.4896,ELO_PHO,NOR_AGG,LathamPark,D1,CAA,20260308-LathamPark-1,17e0c1d0-1b08-11f1-926d-3f411b267e39,85.65313,,,7.4728,,,,,,,3fc823c7-0d10-4f75-8c8a-e182274dbcd7,2026-03-08,16:01:39.36,2026-03-08T12:01:39.3699328-04:00,2026-03-08T16:01:39.3699328Z,,v3,471503,471385,acc31fd18611424da1fbfd19397648a1,"Bogdanchik, Gavin",1000052136,Right,ELO_PHO,05984966-eb19-4183-be01-e47fa13ca700,55.11352,-127.7211,12.99363,6.20453,-6.59205,-8.2448,-1.60704,6.74191,-6.06526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2026-03-08,12:02:01.06,2,2,"Hansen, Cole",809588,Right,ELO_PHO,"Tuggle, Reginald",1000507916,Right,NOR_AGG,Undefined,1,Top,0,0,1,Cutter,Slider,InPlay,Undefined,LineDrive,Single,0,0,,83.13065,-1.767555,-2.65656,1923.289227,174.268625,11:45,6.09317,1.76572,5.68032,-33.83585,6.78028,-0.55902,1.62352,-0.75906,76.83172,-7.967183,-2.756464,0.458691,76.96662,5.778664,0.709567,2623.307331,,,,78.91742,54.67895,4.199304,0.763327,-0.41449,4.26158,-1.54137,50,5.92261,5.62007,-120.65368,-4.85317,-0.61401,22.38705,-25.86106,ELO_PHO,NOR_AGG,LathamPark,D1,CAA,20260308-LathamPark-1,24d1e5e0-1b08-11f1-926d-3f411b267e39,82.17384,3.50561,,6.29892,,,,2.25821,1.78404,0.71196,3fc823c7-0d10-4f75-8c8a-e182274dbcd7,2026-03-08,16:02:01.06,2026-03-08T12:02:01.0665472-04:00,2026-03-08T16:02:01.0665472Z,GroundBall,v3,471503,471385,acc31fd18611424da1fbfd19397648a1,"Bogdanchik, Gavin",1000052136,Right,ELO_PHO,b470e83e-f315-4dad-b864-cfbb9ee98840,54.82089,-121.54489,11.19352,6.09532,-3.82366,-12.93053,-1.76559,5.64451,-0.307,279.175249,2.25821,112.30194,-17.86645,2.8771,-0.45236,0.0309,0.003,-0.00155,0.00021,1.78404,11.36584,-19.34619,2.06466,-0.36281,0.07635,-0.01399,0.0029,-0.00044,0.71196,1.39085,9.03496,-3.49841,1.03885,-0.2541,0.05845,-0.01198,0.00152,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2026-03-08,12:02:44.92,3,1,"Hansen, Cole",809588,Right,ELO_PHO,"Smith, Tyler",1000435339,Left,NOR_AGG,Undefined,1,Top,0,0,0,Cutter,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,82.38523,-1.421869,-2.511906,1929.266395,171.710053,11:45,6.1575,1.90762,5.60303,-36.27014,5.4017,-0.59665,1.80607,-0.48857,75.76984,-8.06492,-2.618418,0.464614,,,,,,,,,,,,-0.39925,3.47941,-1.69205,50,6.01193,5.26725,-119.53753,-4.18318,-0.57711,23.24792,-27.14442,ELO_PHO,NOR_AGG,LathamPark,D1,CAA,20260308-LathamPark-1,3ef72a70-1b08-11f1-926d-3f411b267e39,81.12627,,,6.61539,,,,,,,3fc823c7-0d10-4f75-8c8a-e182274dbcd7,2026-03-08,16:02:44.92,2026-03-08T12:02:44.9295872-04:00,2026-03-08T16:02:44.9295872Z,,v3,471503,471385,acc31fd18611424da1fbfd19397648a1,"Bogdanchik, Gavin",1000052136,Right,ELO_PHO,a938399e-3378-4c0e-99ac-06f15a405fa7,54.8983,-120.48639,11.62396,6.16006,-3.07528,-13.57221,-1.90751,5.29081,-0.28856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2026-03-08,12:03:06.27,3,2,"Hansen, Cole",809588,Right,ELO_PHO,"Smith, Tyler",1000435339,Left,NOR_AGG,Undefined,1,Top,0,0,1,Cutter,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,80.06372,0.512197,-1.394923,1792.727034,167.865664,11:30,6.10292,1.86834,5.37315,-40.6853,3.27677,-0.44059,3.19284,0.52355,74.20509,-6.899881,-1.473268,0.477211,,,,,,,,,,,,-0.12173,1.89012,-1.74298,50,6.11977,2.85084,-116.35542,-0.35779,-0.16874,19.57168,-29.5542,ELO_PHO,NOR_AGG,LathamPark,D1,CAA,20260308-LathamPark-1,4bb3a9f0-1b08-11f1-926d-3f411b267e39,78.98486,,,5.85863,,,,,,,3fc823c7-0d10-4f75-8c8a-e182274dbcd7,2026-03-08,16:03:06.27,2026-03-08T12:03:06.2771712-04:00,2026-03-08T16:03:06.2771712Z,,v3,471503,471385,acc31fd18611424da1fbfd19397648a1,"Bogdanchik, Gavin",1000052136,Right,ELO_PHO,ece0ceba-677d-44ba-82c6-2cbcea6eac8f,55.12815,-117.21483,9.78584,6.10699,0.93996,-14.7771,-1.86833,2.85825,-0.08437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2026-03-08,12:03:26.08,3,3,"Hansen, Cole",809588,Right,ELO_PHO,"Smith, Tyler",1000435339,Left,NOR_AGG,Undefined,1,Top,0,1,1,Cutter,Slider,InPlay,Undefined,GroundBall,Out,1,0,,81.83317,-1.03224,-1.360133,1867.472697,144.696926,10:45,6.13155,1.98819,5.59613,-37.94565,3.81851,-1.87142,2.00527,0.5621,75.98679,-7.957327,-1.694586,0.465129,77.67805,-36.738235,56.85257,,,,,5.12926,3.76868,20.882254,0.032889,0.6187,2.50929,-1.87029,50,6.01798,2.8966,-118.95813,-3.4213,0.89512,20.75896,-28.54371,ELO_PHO,NOR_AGG,LathamPark,D1,CAA,20260308-LathamPark-1,5781f8e0-1b08-11f1-926d-3f411b267e39,81.03653,2.24726,,5.84638,,,,3.14609,2.24726,-0.69247,3fc823c7-0d10-4f75-8c8a-e182274dbcd7,2026-03-08,16:03:26.08,2026-03-08T12:03:26.0841472-04:00,2026-03-08T16:03:26.0841472Z,GroundBall,v3,471503,471385,acc31fd18611424da1fbfd19397648a1,"Bogdanchik, Gavin",1000052136,Right,ELO_PHO,d3c01332-f9f8-4f0a-93ec-4819e55cf4ad,54.90621,-119.81123,10.37948,6.13448,-2.24827,-14.27185,-1.98857,2.85981,0.44756,,3.14539,50.05457,,,,,,,,2.24822,-68.32816,,,,,,,,-0.69354,76.6448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2026-03-08,12:04:02.16,4,1,"Hansen, Cole",809588,Right,ELO_PHO,"Wyche, Bruce",807248,Right,NOR_AGG,Undefined,1,Top,1,0,0,Slider,Slider,InPlay,Undefined,LineDrive,Double,0,2,,80.76562,-0.32001,-1.161207,1942.815652,93.578154,9:00,6.20858,1.67477,5.35828,-42.06892,1.71973,-5.15839,2.40266,0.15576,74.09039,-7.989631,-2.078981,0.476269,99.82888,24.815755,-33.549299,1948.021384,89.07924,42.69108,-64.5354,327.01126,275.62347,-43.195552,3.783502,2.28118,1.31142,-1.5665,50,6.1496,2.58173,-117.23982,-2.1104,3.16378,22.9007,-30.35527,ELO_PHO,NOR_AGG,LathamPark,D1,CAA,20260308-LathamPark-1,6d01d140-1b08-11f1-926d-3f411b267e39,79.14112,53.29857,,6.67523,,,,2.02315,2.44398,-0.1813,3fc823c7-0d10-4f75-8c8a-e182274dbcd7,2026-03-08,16:04:02.16,2026-03-08T12:04:02.1602304-04:00,2026-03-08T16:04:02.1602304Z,FlyBall,v3,471503,471385,acc31fd18611424da1fbfd19397648a1,"Bogdanchik, Gavin",1000052136,Right,ELO_PHO,951b13f6-2a73-4016-97b0-7cce20987d05,55.14285,-118.24012,11.45035,6.21283,-0.78449,-15.17764,-1.67625,2.44354,1.58189,,2.02311,110.74909,-22.6478,4.47385,-0.5757,-0.0529,0.04212,-0.00804,0.00057,2.44406,61.45323,-21.79091,2.84598,-0.90749,0.29832,-0.072,0.01053,-0.00067,-0.18162,-73.44351,5.92437,-1.35634,0.61626,-0.24769,0.06244,-0.00853,0.00048,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2026-03-08,12:05:51.26,5,1,"Hansen, Cole",809588,Right,ELO_PHO,"Bradshaw, Marcus",1000108865,Right,NOR_AGG,Undefined,1,Top,1,0,0,Fastball,Four-Seam,InPlay,Undefined,GroundBall,Out,1,0,,88.20125,-2.544804,-2.146507,1905.779013,217.186593,1:15,6.20547,1.87112,5.59913,-20.60741,15.74879,11.06473,2.10911,0.78824,80.79354,-6.394022,-0.171893,0.433971,97.36753,1.850662,-13.550681,2024.121983,,,,69.42515,67.15329,-15.977909,0.518236,-6.21721,9.03749,-1.69459,50,5.97398,4.32075,-127.90978,-6.36005,-10.30852,26.18293,-17.18934,ELO_PHO,NOR_AGG,LathamPark,D1,CAA,20260308-LathamPark-1,ae05cca0-1b08-11f1-926d-3f411b267e39,86.85479,2.33655,,7.40771,,,,0.65991,2.02632,-0.74389,3fc823c7-0d10-4f75-8c8a-e182274dbcd7,2026-03-08,16:05:51.26,2026-03-08T12:05:51.2682496-04:00,2026-03-08T16:05:51.2682496Z,GroundBall,v3,471503,471385,acc31fd18611424da1fbfd19397648a1,"Bogdanchik, Gavin",1000052136,Right,ELO_PHO,3565de96-ca5c-424d-b800-5802d0214f04,54.90084,-128.90907,13.09146,6.2042,-5.70401,-8.59467,-1.867,4.71418,-5.15426,87.385293,0.6839,138.13511,-20.66515,,,,,,,2.03636,4.35123,-16.01388,,,,,,,-0.73351,-33.7145,-3.4048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2026-03-08,12:06:25.68,6,1,"Hansen, Cole",809588,Right,ELO_PHO,"Campo, Jason",1000214664,Right,NOR_AGG,Undefined,1,Top,2,0,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,88.56563,-2.811866,-2.336909,1898.076836,221.549613,1:30,6.29252,1.37813,5.67142,-21.11674,14.43017,11.89973,1.90686,0.18976,82.13497,-6.7242,-0.210367,0.429114,90.26502,-52.255182,-111.936875,,,,,2.00601,2.00601,-52.504508,0.018597,-6.65422,8.33583,-1.18861,50,6.04145,4.75185,-128.58537,-7.02368,-11.29159,23.28333,-18.02888,ELO_PHO,NOR_AGG,LathamPark,D1,CAA,20260308-LathamPark-1,c28943a0-1b08-11f1-926d-3f411b267e39,87.83788,1.9502,,6.43066,,,,1.78507,1.9502,-0.19116,3fc823c7-0d10-4f75-8c8a-e182274dbcd7,2026-03-08,16:06:25.68,2026-03-08T12:06:25.6810496-04:00,2026-03-08T16:06:25.6810496Z,GroundBall,v3,471503,471385,acc31fd18611424da1fbfd19397648a1,"Bogdanchik, Gavin",1000052136,Right,ELO_PHO,f2ffe3f2-4f35-4170-b8ed-c58722f479b6,54.83062,-129.45711,11.64166,6.29178,-6.34867,-9.01444,-1.37444,5.17461,-5.64579,,1.78522,-30.32778,,,,,,,,1.95074,-104.86557,,,,,,,,-0.19077,-75.30264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2026-03-08,12:06:50.12,6,2,"Hansen, Cole",809588,Right,ELO_PHO,"Campo, Jason",1000214664,Right,NOR_AGG,Undefined,1,Top,2,0,1,Fastball,Four-Seam,InPlay,Undefined,GroundBall,Single,0,1,,88.55672,-2.253012,-2.998362,1916.359775,217.600341,1:15,6.27573,1.17609,5.72181,-20.99855,15.19095,10.74323,2.42328,-0.72407,80.49917,-6.19795,-1.07881,0.432975,96.88976,1.313107,21.601731,3023.830063,,,,62.08011,60.16516,24.572299,0.461518,-6.36764,8.76686,-0.93221,50,6.07442,6.25992,-128.28829,-5.72367,-10.53939,28.23423,-17.66363,ELO_PHO,NOR_AGG,LathamPark,D1,CAA,20260308-LathamPark-1,d117eb10-1b08-11f1-926d-3f411b267e39,87.05459,2.2804,,8.05755,,,,0.48553,2.13145,0.95946,3fc823c7-0d10-4f75-8c8a-e182274dbcd7,2026-03-08,16:06:50.12,2026-03-08T12:06:50.1203456-04:00,2026-03-08T16:06:50.1203456Z,GroundBall,v3,471503,471385,acc31fd18611424da1fbfd19397648a1,"Bogdanchik, Gavin",1000052136,Right,ELO_PHO,0a39f973-3b76-4ab0-a1dc-603fdcf86ec5,54.77704,-129.33537,14.11711,6.27454,-5.06861,-8.83181,-1.17161,6.65078,-5.2697,,0.50382,131.55799,-22.43967,,,,,,,2.13948,3.02308,-16.63061,,,,,,,0.95058,52.56293,2.88433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
