PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallZAmb4,BatSpeed,VerticalAttackAngle,HorizontalAttackAngle
1,2026-03-08,12:00:33.88,1,1,"DeCicco, Mark",10066000,Right,IlI_SPR,"Clay, Sam",10102259,Right,DAV_UNI,Undefined,1,Top,0,0,0,Undefined,,BallCalled,Undefined,Undefined,Undefined,0,0,,75.09282,-2.64455,-5.852691,1967.210389,,,6.05948,2.59288,4.99117,,,,0.95569,-0.40172,67.11615,-8.444001,-0.478682,0.524244,,,,,,,,,,,,-16.99603,12.35898,-2.05329,50,5.7793,9.81172,-108.00621,-5.94302,-19.60898,22.89315,-17.91501,IlI_SPR,DAV_UNI,UISBaseballField,D2,Team,20260308-UISBaseballField-1,0b686d84-f934-4ef7-a0d9-ccee30168df1,71.89861,,,7.97666,,,,,,,2d932d2b-1dc1-422b-937c-765472bdfb76,2026-03-08,17:00:33.88,2026-03-08T12:00:33.8830000-05:00,2026-03-08T17:00:33.8830000Z,,v3,643-145058,643-144752,,"Daker, Brian",813655,Right,IlI_SPR,cbc82791-1460-4ea7-a8b5-d85f91a19333,55.50605,-109.16704,11.44658,6.05762,-5.03461,-8.9575,-2.57602,10.80603,-9.80449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Low,Low,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2026-03-08,12:00:53.97,1,2,"DeCicco, Mark",10066000,Right,IlI_SPR,"Clay, Sam",10102259,Right,DAV_UNI,Undefined,1,Top,0,1,0,Undefined,,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,77.43368,0.249562,-1.548456,2429.845406,,,6.00381,2.59024,4.50763,,,,2.24716,0.04321,67.76385,-8.498002,-3.798467,0.517628,61.13324,-17.155298,-54.711034,,,,,10.19343,10.19342,-41.20605,0.093467,5.57485,2.37083,-2.41475,50,5.98554,3.57929,-111.51763,-1.25805,6.65083,29.85569,-29.34564,IlI_SPR,DAV_UNI,UISBaseballField,D2,Team,20260308-UISBaseballField-1,5915cc6c-5ebe-49fd-b26e-3081a97c533f,72.8176,2.4833,,9.66983,,,,3.02169,2.4833,-0.14884,2d932d2b-1dc1-422b-937c-765472bdfb76,2026-03-08,17:00:53.97,2026-03-08T12:00:53.9770000-05:00,2026-03-08T17:00:53.9770000Z,GroundBall,v3,643-145058,643-144752,,"Daker, Brian",813655,Right,IlI_SPR,5742b425-e525-4ac2-8780-03dd85056f3c,55.98542,-113.10871,14.92784,6.01091,0.30584,-14.67282,-2.59606,3.22486,3.32541,,3.01826,49.72128,,,,,,,,2.48513,-26.5688,,,,,,,,-0.14399,-70.25256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Low,Low,Low,Estimated,Estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2026-03-08,12:01:18.37,1,3,"DeCicco, Mark",10066000,Right,IlI_SPR,"Clay, Sam",10102259,Right,DAV_UNI,Undefined,1,Top,0,1,1,Undefined,,InPlay,Undefined,FlyBall,Out,1,0,,74.858,-1.726532,-4.679716,1995.531078,,,6.03303,2.48402,5.03982,,,,1.44923,0.2924,66.21839,-8.325797,0.041246,0.52751,89.7073,41.915192,-24.186793,3681.308243,100.98181,84.63528,-43.61958,337.90159,336.9764,-23.879133,5.347014,-15.10233,10.39016,-2.05927,50,5.84076,7.74995,-107.7916,-4.33584,-17.11004,25.19823,-20.40259,IlI_SPR,DAV_UNI,UISBaseballField,D2,Team,20260308-UISBaseballField-1,64cf6899-e9a4-4ae1-bc5c-78f31833228a,71.45347,107.35627,,8.63962,,,,2.35634,1.68898,-0.14376,2d932d2b-1dc1-422b-937c-765472bdfb76,2026-03-08,17:01:18.37,2026-03-08T12:01:18.3700000-05:00,2026-03-08T17:01:18.3700000Z,FlyBall,v3,643-145058,643-144752,,"Daker, Brian",813655,Right,IlI_SPR,622aa774-67d3-42ff-bbe3-0b056b9a9056,55.45674,-109.05976,12.59912,6.03313,-3.30904,-10.2013,-2.47097,8.61104,-8.55502,,2.36179,89.20133,-15.53733,3.35734,-0.32759,-0.03389,0.01374,-0.0014,5E-05,1.68727,87.92007,-21.45049,1.82021,-0.21319,-0.03917,0.02233,-0.00353,0.00019,-0.1466,-40.05356,7.74518,-1.78875,0.17249,0.02535,-0.01029,0.00122,-5E-05,,,,,,,,,,,,,,,,,,,,,,,Low,Low,Low,High,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2026-03-08,12:01:52.21,2,1,"DeCicco, Mark",10066000,Right,IlI_SPR,"Epple, Wyatt",1000397771,Right,DAV_UNI,Undefined,1,Top,1,0,0,Undefined,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,77.10094,1.167532,-2.461357,2386.540426,,,5.98741,2.573,4.53186,,,,2.96488,-0.08843,68.04083,-7.862464,-3.124609,0.517038,,,,,,,,,,,,0.84406,1.18721,-2.31227,50,6.06354,4.94374,-111.08706,0.43738,1.01231,27.34174,-30.75019,IlI_SPR,DAV_UNI,UISBaseballField,D2,Team,20260308-UISBaseballField-1,55f555bf-f0e9-4553-888a-d08a7e062004,72.90066,,,9.06011,,,,,,,2d932d2b-1dc1-422b-937c-765472bdfb76,2026-03-08,17:01:52.21,2026-03-08T12:01:52.2170000-05:00,2026-03-08T17:01:52.2170000Z,,v3,643-145058,643-144752,,"Daker, Brian",813655,Right,IlI_SPR,328b183d-1584-4e6a-812a-116115fc6f76,55.96053,-112.54456,13.67087,5.99653,2.07657,-15.3751,-2.57436,4.88978,0.50615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Low,Low,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2026-03-08,12:02:07.32,2,2,"DeCicco, Mark",10066000,Right,IlI_SPR,"Epple, Wyatt",1000397771,Right,DAV_UNI,Undefined,1,Top,1,0,1,Undefined,,BallCalled,Undefined,Undefined,Undefined,0,0,,75.74191,-3.028461,-5.229995,1952.233826,,,6.17074,2.60584,5.12205,,,,1.00603,0.194,66.7433,-8.262448,0.115881,0.521952,,,,,,,,,,,,-16.87454,14.20828,-2.137,50,5.8647,8.69601,-108.83687,-6.54021,-19.47201,25.85004,-15.7787,IlI_SPR,DAV_UNI,UISBaseballField,D2,Team,20260308-UISBaseballField-1,a7dac230-b045-4fbc-8338-04c42db22d7f,72.21436,,,8.99861,,,,,,,2d932d2b-1dc1-422b-937c-765472bdfb76,2026-03-08,17:02:07.32,2026-03-08T12:02:07.3200000-05:00,2026-03-08T17:02:07.3200000Z,,v3,643-145058,643-144752,,"Daker, Brian",813655,Right,IlI_SPR,10e63f1a-f129-4a4b-9355-e3ce2e193825,55.37164,-110.10531,12.92502,6.16662,-5.76597,-7.88935,-2.58715,9.65149,-9.736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Low,Low,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2026-03-08,12:02:20.11,2,3,"DeCicco, Mark",10066000,Right,IlI_SPR,"Epple, Wyatt",1000397771,Right,DAV_UNI,Undefined,1,Top,1,1,1,Undefined,,BallCalled,Undefined,Undefined,Undefined,0,0,,75.07781,-4.666629,-6.379895,1997.751148,,,5.96676,2.76522,5.08276,,,,-0.86429,-0.69815,66.35362,-10.078257,-0.951221,0.528588,,,,,,,,,,,,-18.13977,15.0708,-2.18536,50,5.50027,10.83436,-107.54645,-9.64598,-20.41947,25.39601,-15.20924,IlI_SPR,DAV_UNI,UISBaseballField,D2,Team,20260308-UISBaseballField-1,307d2f40-d70e-428a-b7b3-043d1648e231,71.30783,,,8.72419,,,,,,,2d932d2b-1dc1-422b-937c-765472bdfb76,2026-03-08,17:02:20.11,2026-03-08T12:02:20.1130000-05:00,2026-03-08T17:02:20.1130000Z,,v3,643-145058,643-144752,,"Daker, Brian",813655,Right,IlI_SPR,69678dd5-7610-4fdf-bfcf-f2950bf801fc,55.41716,-108.81814,12.69801,5.96422,-8.88439,-7.60462,-2.75349,11.85685,-10.20974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Low,Low,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2026-03-08,12:02:43.44,2,4,"DeCicco, Mark",10066000,Right,IlI_SPR,"Epple, Wyatt",1000397771,Right,DAV_UNI,Undefined,1,Top,1,2,1,Undefined,,InPlay,Undefined,LineDrive,Out,1,0,,76.2595,0.09661,-2.544383,2388.646827,,,6.09552,2.57924,4.56111,,,,2.32196,0.17402,66.36294,-8.42092,-2.506618,0.526505,86.94984,8.774529,10.850538,2851.010842,106.83254,9.3087,26.20586,177.21683,149.21693,15.763995,1.657748,-1.24606,4.11516,-2.31516,50,6.06371,4.86463,-109.68283,-1.44205,-1.43257,29.52531,-27.44292,IlI_SPR,DAV_UNI,UISBaseballField,D2,Team,20260308-UISBaseballField-1,b3949cdb-1c91-4257-b272-564c18aaef21,71.58988,9.78563,,9.89656,,,,1.80275,2.42257,-0.09786,2d932d2b-1dc1-422b-937c-765472bdfb76,2026-03-08,17:02:43.44,2026-03-08T12:02:43.4400000-05:00,2026-03-08T17:02:43.4400000Z,LineDrive,v3,643-145058,643-144752,,"Daker, Brian",813655,Right,IlI_SPR,653e18a7-e12d-4b8c-8f53-9fc89375ea94,55.92971,-111.26759,14.76265,6.10158,0.03094,-13.72146,-2.57833,4.94153,-0.71628,,1.80275,123.78049,-17.52141,3.38724,-0.62591,0.09928,-0.01476,0.00206,-0.00015,2.42257,19.4535,-12.93825,0.03833,0.13809,-0.04089,0.01115,-0.00172,0.00012,-0.09786,23.72536,5.26154,-1.83495,0.52133,-0.1228,0.02573,-0.00407,0.00034,,,,,,,,,,,,,,,,,,,,,,,Low,Low,Low,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2026-03-08,12:03:11.46,3,1,"DeCicco, Mark",10066000,Right,IlI_SPR,"Hultink, Cody",800671,Right,DAV_UNI,Undefined,1,Top,2,0,0,Undefined,,BallCalled,Undefined,Undefined,Undefined,0,0,,75.2281,-2.943018,-5.138758,2041.926018,,,6.00786,2.56262,4.90972,,,,0.9416,0.27907,66.77169,-8.082393,0.314843,0.52546,,,,,,,,,,,,-17.01308,14.5152,-2.08635,50,5.69781,8.43012,-108.18933,-6.35562,-19.55599,24.1817,-15.48931,IlI_SPR,DAV_UNI,UISBaseballField,D2,Team,20260308-UISBaseballField-1,8faabcb4-5588-48c2-9bea-74499ded9bef,71.73229,,,8.45641,,,,,,,2d932d2b-1dc1-422b-937c-765472bdfb76,2026-03-08,17:03:11.46,2026-03-08T12:03:11.4600000-05:00,2026-03-08T17:03:11.4600000Z,,v3,643-145058,643-144752,,"Daker, Brian",813655,Right,IlI_SPR,f3661e47-e98e-4659-8120-9f6b5459b7d2,55.58599,-109.43074,12.09085,6.00367,-5.56044,-7.74466,-2.54489,9.43406,-9.77799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Low,Low,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2026-03-08,12:03:24.74,3,2,"DeCicco, Mark",10066000,Right,IlI_SPR,"Hultink, Cody",800671,Right,DAV_UNI,Undefined,1,Top,2,1,0,Undefined,,BallCalled,Undefined,Undefined,Undefined,0,0,,76.01021,-2.856781,-5.82282,2066.862769,,,6.12909,2.60627,4.89068,,,,1.31042,-0.63588,67.47709,-7.632606,-1.022051,0.520304,,,,,,,,,,,,-15.44965,14.92036,-2.05762,50,5.82783,9.97836,-109.20219,-6.1816,-18.13471,24.23686,-14.66059,IlI_SPR,DAV_UNI,UISBaseballField,D2,Team,20260308-UISBaseballField-1,5b6bf18e-16b7-4993-a468-e5a816634ee6,72.44304,,,8.53312,,,,,,,2d932d2b-1dc1-422b-937c-765472bdfb76,2026-03-08,17:03:24.74,2026-03-08T12:03:24.7440000-05:00,2026-03-08T17:03:24.7440000Z,,v3,643-145058,643-144752,,"Daker, Brian",813655,Right,IlI_SPR,86c1fbd2-0501-4bc9-801a-a5ba3001bee1,55.60462,-110.4391,12.11843,6.12421,-5.43341,-7.3303,-2.59048,10.90385,-9.06736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Low,Low,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2026-03-08,12:03:39.03,3,3,"DeCicco, Mark",10066000,Right,IlI_SPR,"Hultink, Cody",800671,Right,DAV_UNI,Undefined,1,Top,2,2,0,Slider,,BallCalled,Undefined,Undefined,Undefined,0,0,,76.90223,-2.520283,-3.975235,2387.959515,,,6.16428,2.65495,4.68326,,,,0.59455,-0.77254,68.28689,-9.481955,-3.232401,0.517212,,,,,,,,,,,,-3.59752,8.27512,-2.25417,50,5.87452,7.5028,-110.604,-6.1723,-4.29324,26.44858,-22.29864,IlI_SPR,DAV_UNI,UISBaseballField,D2,Team,20260308-UISBaseballField-1,c19db180-1b10-11f1-9e8b-1b153232a986,72.87624,,,8.61534,,,,,,,2d932d2b-1dc1-422b-937c-765472bdfb76,2026-03-08,17:03:39.03,2026-03-08T12:03:39.0380000-05:00,2026-03-08T17:03:39.0380000Z,,v3,643-145058,643-144752,,"Daker, Brian",813655,Right,IlI_SPR,12c1e2e7-74db-4cb8-b8c8-ca8a6707b726,55.80854,-111.98437,13.22429,6.16629,-5.00851,-11.14932,-2.65159,7.72686,-2.14662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Low,Low,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
