PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallZAmb4,BatSpeed,VerticalAttackAngle,HorizontalAttackAngle
1,2026-03-10,17:05:50.97,1,1,"Mastalski, Ivan",814670,Right,IU,"Gregory, Gus",10053264,Left,WRI_RAI,Undefined,1,Top,0,0,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,87.51535,0.271113,-5.210684,2329.307663,236.549905,2:00,5.14742,3.55511,6.28433,-23.32549,12.59516,17.42564,3.45453,0.19171,80.23893,-4.120969,-2.078569,0.431364,,,,,,,,,,,,-10.35898,6.80233,-3.17803,50,5.15603,10.87493,-126.81779,-0.08734,-16.98753,24.24395,-21.01899,IU,WRI_RAI,Bart Kaufman Field,D1,BIG10,20260310-Bart Kaufman Field-1,eb7c84d0-1cc4-11f1-ae51-196ed4d3c797,87.37974,,,7.27641,,,,,,,8cc613ca-e6eb-4799-9f10-bf83df5c00a5,2026-03-10,21:05:50.97,2026-03-10T17:05:50.9786624-04:00,2026-03-10T21:05:50.9786624Z,,v3,4866,471496,,"Schuyler, T.J.",814104,Right,IU,619c9769-039b-49a2-9438-670ae19f7019,54.21452,-127.62095,12.12198,5.14739,0.60898,-10.5095,-3.54762,11.43769,-8.49376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2026-03-10,17:06:00.49,1,2,"Mastalski, Ivan",814670,Right,IU,"Gregory, Gus",10053264,Left,WRI_RAI,Undefined,1,Top,0,0,1,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,77.7626,0.275763,-3.655121,2515.788268,112.33908,9:45,4.63759,3.91872,5.65353,-40.80786,6.30457,-11.57816,1.49465,-0.45963,71.05674,-7.225565,-5.715126,0.494014,,,,,,,,,,,,4.78815,3.56673,-3.6012,50,4.63522,7.63135,-112.64753,-0.73489,6.09968,22.10381,-27.63036,IU,WRI_RAI,Bart Kaufman Field,D1,BIG10,20260310-Bart Kaufman Field-1,f1322880-1cc4-11f1-ae51-196ed4d3c797,76.29831,,,6.70586,,,,,,,8cc613ca-e6eb-4799-9f10-bf83df5c00a5,2026-03-10,21:06:00.49,2026-03-10T17:06:00.4901376-04:00,2026-03-10T21:06:00.4901376Z,,v3,4866,471496,,"Schuyler, T.J.",814104,Right,IU,3c6bae24-a3ec-447f-9c11-2510a756e3d8,54.84398,-113.59405,11.0519,4.64136,0.44828,-13.81518,-3.92239,7.37015,3.04984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2026-03-10,17:06:11.36,1,3,"Mastalski, Ivan",814670,Right,IU,"Gregory, Gus",10053264,Left,WRI_RAI,Undefined,1,Top,0,1,1,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,88.80973,1.296425,-4.019428,2376.05329,238.414224,2:00,5.35441,3.32811,6.24253,-21.82466,13.35879,19.85304,4.73459,1.26912,80.57921,-2.84555,-0.44446,0.426914,,,,,,,,,,,,-11.348,6.88276,-3.03742,50,5.44026,8.22189,-128.74109,2.27932,-18.98068,27.57719,-20.66191,IU,WRI_RAI,Bart Kaufman Field,D1,BIG10,20260310-Bart Kaufman Field-1,f7aaa700-1cc4-11f1-ae51-196ed4d3c797,88.29046,,,8.23053,,,,,,,8cc613ca-e6eb-4799-9f10-bf83df5c00a5,2026-03-10,21:06:11.36,2026-03-10T17:06:11.3692160-04:00,2026-03-10T21:06:11.3692160Z,,v3,4866,471496,,"Schuyler, T.J.",814104,Right,IU,9ea6289a-d95a-4dd8-8038-c5746c0e7249,54.25463,-129.64925,13.78859,5.354,2.95976,-10.33096,-3.31847,8.84695,-9.49034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2026-03-10,17:06:22.69,1,4,"Mastalski, Ivan",814670,Right,IU,"Gregory, Gus",10053264,Left,WRI_RAI,Undefined,1,Top,0,2,1,Fastball,Sinker,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,87.56472,-0.201905,-4.635492,2269.935645,233.137078,1:45,5.02255,3.60162,6.41429,-21.84871,13.96934,17.11954,3.01559,0.75728,79.96639,-4.3484,-1.546129,0.430747,,,,,,,,,,,,-10.14249,7.68272,-3.27684,50,4.99794,9.61929,-126.95453,-1.06169,-16.58025,25.59125,-19.61481,IU,WRI_RAI,Bart Kaufman Field,D1,BIG10,20260310-Bart Kaufman Field-1,fe695640-1cc4-11f1-ae51-196ed4d3c797,87.50481,,,7.59833,,,,,,,8cc613ca-e6eb-4799-9f10-bf83df5c00a5,2026-03-10,21:06:22.69,2026-03-10T17:06:22.6958336-04:00,2026-03-10T21:06:22.6958336Z,,v3,4866,471496,,"Schuyler, T.J.",814104,Right,IU,494f7839-734a-4304-967d-db78589ff767,54.08351,-127.77502,12.79562,5.0219,-0.43281,-9.80741,-3.59377,10.15088,-8.29013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2026-03-10,17:06:35.37,1,5,"Mastalski, Ivan",814670,Right,IU,"Gregory, Gus",10053264,Left,WRI_RAI,Undefined,1,Top,0,2,2,Slider,Slider,FoulBallFieldable,Undefined,Undefined,Undefined,0,0,,79.09564,0.595384,-3.338014,2531.243773,142.621051,10:45,4.75939,4.12811,5.72568,-36.43667,7.98248,-5.19618,2.27849,0.58265,73.54246,-6.091928,-4.264605,0.479686,85.39443,63.784023,-35.265989,4626.847755,,,,,58.79553,,,1.87969,4.26925,-3.84595,50,4.78634,6.89079,-114.88308,0.05389,2.54772,18.45644,-26.38754,IU,WRI_RAI,Bart Kaufman Field,D1,BIG10,20260310-Bart Kaufman Field-1,05f9fb80-1cc5-11f1-ae51-196ed4d3c797,78.57739,104.84109,,5.55318,,,,1.48963,2.16479,-0.51409,8cc613ca-e6eb-4799-9f10-bf83df5c00a5,2026-03-10,21:06:35.37,2026-03-10T17:06:35.3749504-04:00,2026-03-10T21:06:35.3749504Z,,v3,4866,471496,,"Schuyler, T.J.",814104,Right,IU,39988505-47a5-4c0a-b65f-726157f6b43c,54.77466,-115.64761,9.22822,4.76147,1.14695,-13.19377,-4.1292,6.78526,1.27386,154.299307,1.48965,45.16857,-16.12682,3.83299,1.5956,-3.98951,3.66001,-1.67877,0.30903,2.16479,112.36243,-29.1276,3.7472,-1.13131,0.83116,-0.63673,0.28217,-0.05184,-0.51408,-31.94776,-1.62608,0.77821,1.13505,-2.31028,2.08818,-0.95566,0.17604,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2026-03-10,17:07:04.55,1,6,"Mastalski, Ivan",814670,Right,IU,"Gregory, Gus",10053264,Left,WRI_RAI,Undefined,1,Top,0,2,2,ChangeUp,Changeup,InPlay,Undefined,FlyBall,Out,1,0,,84.33964,0.386916,-4.570839,2008.134772,262.168647,2:45,5.06148,3.57175,6.07455,-35.5873,3.76555,17.82572,2.45503,0.81892,76.74068,-6.223465,-1.371675,0.451502,89.41369,23.793768,-26.390735,2956.201653,95.42134,40.56199,-54.72413,317.03262,288.95445,-35.381416,3.803123,-10.56284,2.19618,-3.22702,50,5.07256,9.07756,-122.19401,-0.31324,-15.8812,25.33601,-28.87206,IU,WRI_RAI,Bart Kaufman Field,D1,BIG10,20260310-Bart Kaufman Field-1,175a1270-1cc5-11f1-ae51-196ed4d3c797,83.48237,48.46456,,7.59896,,,,1.32257,2.44892,-0.77854,8cc613ca-e6eb-4799-9f10-bf83df5c00a5,2026-03-10,21:07:04.55,2026-03-10T17:07:04.5588480-04:00,2026-03-10T21:07:04.5588480Z,LineDrive,v3,4866,471496,,"Schuyler, T.J.",814104,Right,IU,5a79e44f-41c6-4dff-a77d-d16fade65401,54.42479,-123.10804,12.66801,5.06508,0.72836,-14.43603,-3.56484,9.65049,-7.9406,137.37915,1.32187,107.50734,-20.23821,4.7559,-1.03672,0.22764,-0.05048,0.00793,-0.00053,2.4498,52.88316,-16.06068,0.38457,0.15903,-0.09858,0.0318,-0.00473,0.00025,-0.77867,-53.33324,0.95686,0.45282,-0.11632,-0.01292,0.01243,-0.00263,0.0002,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2026-03-10,17:07:38.54,2,1,"Mastalski, Ivan",814670,Right,IU,"Duncan, Andrew",806062,Right,WRI_RAI,Undefined,1,Top,1,0,0,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,79.65471,-0.00235,-4.251444,2434.003968,111.856105,9:45,4.84095,3.79112,5.57651,-42.55581,3.88799,-4.79288,1.29243,-0.58632,70.69086,-7.874267,-5.102804,0.490496,,,,,,,,,,,,0.74091,2.54673,-3.42152,50,4.81372,8.73598,-114.89313,-1.39878,0.95258,28.83686,-28.89965,IU,WRI_RAI,Bart Kaufman Field,D1,BIG10,20260310-Bart Kaufman Field-1,2ba0f5a0-1cc5-11f1-ae51-196ed4d3c797,76.84558,,,8.96385,,,,,,,8cc613ca-e6eb-4799-9f10-bf83df5c00a5,2026-03-10,21:07:38.54,2026-03-10T17:07:38.5450496-04:00,2026-03-10T21:07:38.5450496Z,,v3,4866,471496,,"Schuyler, T.J.",814104,Right,IU,e2ae33c2-e1b9-43c0-8105-47c5404bfddc,54.91504,-116.12019,14.41843,4.84707,-0.16904,-14.44982,-3.7924,8.69544,0.47629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2026-03-10,17:07:48.81,2,2,"Mastalski, Ivan",814670,Right,IU,"Duncan, Andrew",806062,Right,WRI_RAI,Undefined,1,Top,1,1,0,Slider,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,78.53703,1.010467,-4.465863,2542.089113,121.222562,10:00,4.80405,3.67426,5.55509,-42.10656,4.59638,-4.90414,2.24227,-0.91555,71.20919,-6.730866,-5.335307,0.491862,,,,,,,,,,,,1.05236,2.50559,-3.28433,50,4.86424,9.06075,-113.53387,0.64065,1.35563,23.32534,-28.94647,IU,WRI_RAI,Bart Kaufman Field,D1,BIG10,20260310-Bart Kaufman Field-1,31c2a190-1cc5-11f1-ae51-196ed4d3c797,76.6321,,,7.32784,,,,,,,8cc613ca-e6eb-4799-9f10-bf83df5c00a5,2026-03-10,21:07:48.81,2026-03-10T17:07:48.8123392-04:00,2026-03-10T21:07:48.8123392Z,,v3,4866,471496,,"Schuyler, T.J.",814104,Right,IU,46aa94cd-4088-4ead-a2e8-df337b7a11d1,54.94018,-114.54432,11.66267,4.80933,1.89461,-14.47324,-3.67557,9.00202,0.67781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2026-03-10,17:08:01.10,2,3,"Mastalski, Ivan",814670,Right,IU,"Duncan, Andrew",806062,Right,WRI_RAI,Undefined,1,Top,1,1,1,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,89.72668,0.380724,-5.684013,2334.375059,231.848454,1:45,5.25691,3.25002,6.3521,-18.61025,16.16524,18.97985,4.05822,-0.41732,80.64359,-3.200951,-2.272637,0.424432,,,,,,,,,,,,-11.54205,8.62036,-2.84436,50,5.2757,12.11117,-129.67966,0.37018,-19.41111,30.25567,-17.67659,IU,WRI_RAI,Bart Kaufman Field,D1,BIG10,20260310-Bart Kaufman Field-1,39107170-1cc5-11f1-ae51-196ed4d3c797,88.80682,,,9.08309,,,,,,,8cc613ca-e6eb-4799-9f10-bf83df5c00a5,2026-03-10,21:08:01.10,2026-03-10T17:08:01.1000832-04:00,2026-03-10T21:08:01.1000832Z,,v3,4866,471496,,"Schuyler, T.J.",814104,Right,IU,c81d6c1a-536f-41d3-ac44-d4103b75a8a3,54.1433,-130.64276,15.12784,5.25496,0.93286,-8.83829,-3.23972,12.72907,-9.70555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2026-03-10,17:08:11.49,2,4,"Mastalski, Ivan",814670,Right,IU,"Duncan, Andrew",806062,Right,WRI_RAI,Undefined,1,Top,1,2,1,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.48088,-0.435932,-5.885055,2346.510289,227.638601,1:30,5.22216,3.18432,6.41198,-20.94765,14.5341,14.61076,3.0736,-1.02789,80.187,-4.427214,-3.258336,0.42872,,,,,,,,,,,,-9.28315,8.05457,-2.76815,50,5.18113,12.59425,-127.91446,-1.55758,-15.29311,27.78758,-18.90494,IU,WRI_RAI,Bart Kaufman Field,D1,BIG10,20260310-Bart Kaufman Field-1,3f4186b0-1cc5-11f1-ae51-196ed4d3c797,87.91849,,,8.29388,,,,,,,8cc613ca-e6eb-4799-9f10-bf83df5c00a5,2026-03-10,21:08:11.49,2026-03-10T17:08:11.4957312-04:00,2026-03-10T21:08:11.4957312Z,,v3,4866,471496,,"Schuyler, T.J.",814104,Right,IU,4ae4535b-87dc-4a16-916b-bb81192f03eb,54.08401,-128.79859,13.89379,5.22112,-0.95607,-9.45247,-3.17661,13.08084,-7.64656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
