PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallZAmb4,BatSpeed,VerticalAttackAngle,HorizontalAttackAngle
1,2026-03-10,18:04:12.11,1,1,"Sobol, Alexander",1000187582,Left,UNC_SEA,"Wolfley, Caden",10149480,Left,CHA_BUC,Undefined,1,Top,0,0,0,Sinker,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,89.45351,-1.923859,4.411075,1938.183818,124.130058,10:15,5.72289,-2.40462,5.81157,-24.6119,10.30737,-13.67568,1.8769,0.56577,82.47262,-6.482118,1.968613,0.425309,,,,,,,,,,,,8.12611,6.07122,2.05066,50,5.54992,-9.42689,-129.64692,-5.20371,13.95036,24.91012,-21.75137,UNC_SEA,CHA_BUC,BrooksField,D1,CAA,20260310-BrooksField-1,125c5370-1ccd-11f1-90d6-692cb9de900d,88.62375,,,6.98089,,,,,,,29fc297d-fa2a-4a32-a462-f0581fb93661,2026-03-10,22:04:12.11,2026-03-10T18:04:12.1150000-04:00,2026-03-10T22:04:12.1150000Z,,v3,471373,471239,9d7bc53ed68a4a3e8a896f1bade337e5,"Rickett, Howie",10096826,Right,UNC_SEA,9f8d9373-5215-4c23-8000-cd8067999f53,54.6904,-130.54502,12.45506,5.7234,-4.4195,-10.87569,2.3996,-9.92985,6.97518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2026-03-10,18:04:28.79,1,2,"Sobol, Alexander",1000187582,Left,UNC_SEA,"Wolfley, Caden",10149480,Left,CHA_BUC,Undefined,1,Top,0,0,1,Sinker,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,89.33546,-1.764778,4.952837,2124.535093,122.100172,10:00,5.72883,-2.33707,5.83892,-23.59112,11.7452,-16.87383,2.11599,0.8716,81.53054,-6.168612,1.941344,0.427841,,,,,,,,,,,,9.99402,6.84146,1.94241,50,5.57059,-10.48076,-129.26915,-4.77693,16.89853,27.13178,-20.60602,UNC_SEA,CHA_BUC,BrooksField,D1,CAA,20260310-BrooksField-1,1c4df320-1ccd-11f1-90d6-692cb9de900d,88.09923,,,7.80492,,,,,,,29fc297d-fa2a-4a32-a462-f0581fb93661,2026-03-10,22:04:28.79,2026-03-10T18:04:28.7900000-04:00,2026-03-10T22:04:28.7900000Z,,v3,471373,471239,9d7bc53ed68a4a3e8a896f1bade337e5,"Rickett, Howie",10096826,Right,UNC_SEA,5a252025-286c-47d4-aa5a-294d0d45679a,54.66161,-130.24388,13.56589,5.7289,-4.03664,-10.30301,2.32984,-11.08785,8.44927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2026-03-10,18:04:45.55,1,3,"Sobol, Alexander",1000187582,Left,UNC_SEA,"Wolfley, Caden",10149480,Left,CHA_BUC,Undefined,1,Top,0,0,2,Slider,Slider,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,82.75954,-0.635936,3.38476,2429.295827,355.999638,5:45,5.73524,-2.40248,5.60721,-44.46621,-3.26406,0.31441,1.43503,0.78699,76.45529,-8.719887,3.440846,0.461989,,,,,,,,,,,,0.76,-1.17555,2.1124,50,5.65153,-7.1145,-120.08198,-2.88112,1.11212,22.78255,-33.89426,UNC_SEA,CHA_BUC,BrooksField,D1,CAA,20260310-BrooksField-1,26481e50-1ccd-11f1-90d6-692cb9de900d,81.58735,,,6.30426,,,,,,,29fc297d-fa2a-4a32-a462-f0581fb93661,2026-03-10,22:04:45.55,2026-03-10T18:04:45.5520000-04:00,2026-03-10T22:04:45.5520000Z,,v3,471373,471239,9d7bc53ed68a4a3e8a896f1bade337e5,"Rickett, Howie",10096826,Right,UNC_SEA,69e13908-79d4-4d55-b2d5-83bd6a863390,54.89574,-121.00726,11.39127,5.74059,-1.50456,-16.94713,2.40227,-7.15967,0.55606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.16939,2.393719,1.211443,1.182275,2.55763,1.60846,-0.71841,-0.94352,5.0548,-0.40231,74.7492,5.95055,-50.05085,-0.86108,70.72748,-5.73845,5.14685,18.31258,-14.92349,-0.51915,-49.18511,6.17807,High,High,High,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2026-03-10,18:05:15.96,2,1,"Sobol, Alexander",1000187582,Left,UNC_SEA,"Wright, Tyler",1000187025,Right,CHA_BUC,Undefined,1,Top,1,0,0,Sinker,Sinker,InPlay,Undefined,FlyBall,Out,1,0,,89.53531,-1.586089,3.87707,2067.793641,127.260861,10:15,5.84821,-2.58666,5.86971,-23.32671,11.36965,-13.6065,2.42725,-0.11364,82.56637,-5.922935,1.44221,0.423949,92.58032,33.20506,13.437086,4536.320671,104.01577,69.41569,35.78686,277.4132,236.00036,29.808365,4.935752,7.97189,6.53429,2.28042,50,5.70582,-8.23758,-129.89656,-4.38137,13.74652,24.85469,-20.90645,UNC_SEA,CHA_BUC,BrooksField,D1,CAA,20260310-BrooksField-1,3862f9c0-1ccd-11f1-90d6-692cb9de900d,88.908,86.44847,,6.96893,,,,0.96136,2.47283,0.11686,29fc297d-fa2a-4a32-a462-f0581fb93661,2026-03-10,22:05:15.96,2026-03-10T18:05:15.9640000-04:00,2026-03-10T22:05:15.9640000Z,FlyBall,v3,471373,471239,9d7bc53ed68a4a3e8a896f1bade337e5,"Rickett, Howie",10096826,Right,UNC_SEA,35028515-af78-4dc6-9cf7-7f413174f17f,54.63244,-130.77994,12.42735,5.84834,-3.63832,-10.45323,2.58188,-8.72615,6.87326,207.266245,0.96166,110.49345,-30.76162,7.75169,-1.58095,0.28372,-0.0446,0.00491,-0.00025,2.47479,74.32121,-17.50185,0.29168,0.20003,-0.09592,0.02353,-0.00281,0.00012,0.11638,26.41299,2.44874,-1.11221,0.24385,-0.02616,0.00013,0.00024,-2E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2026-03-10,18:05:53.02,3,1,"Sobol, Alexander",1000187582,Left,UNC_SEA,"Tuupo, Chandler",1000136826,Left,CHA_BUC,Undefined,1,Top,2,0,0,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,82.18651,0.130856,2.793596,2369.092826,303.047192,4:00,5.7628,-2.43274,5.67318,-43.45731,-2.05717,4.94733,2.26351,0.58615,76.22462,-7.787977,3.677112,0.463097,,,,,,,,,,,,-1.81177,-0.7363,2.19361,50,5.74621,-6.0195,-119.38999,-1.21775,-2.63644,21.2238,-33.24549,UNC_SEA,CHA_BUC,BrooksField,D1,CAA,20260310-BrooksField-1,4e863e10-1ccd-11f1-90d6-692cb9de900d,81.39203,,,5.96188,,,,,,,29fc297d-fa2a-4a32-a462-f0581fb93661,2026-03-10,22:05:53.02,2026-03-10T18:05:53.0289152-04:00,2026-03-10T22:05:53.0289152Z,,v3,471373,471239,9d7bc53ed68a4a3e8a896f1bade337e5,"Rickett, Howie",10096826,Right,UNC_SEA,2597f27f-04a1-401f-a748-78935f0a8a7a,54.82961,-120.24548,10.6119,5.76828,0.12231,-16.62275,2.4341,-5.91323,-1.31822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2026-03-10,18:06:09.32,3,2,"Sobol, Alexander",1000187582,Left,UNC_SEA,"Tuupo, Chandler",1000136826,Left,CHA_BUC,Undefined,1,Top,2,0,1,Sinker,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,90.22856,-0.298981,4.255122,2206.784914,124.802178,10:15,5.73626,-2.41678,5.78597,-22.09588,12.68725,-16.55615,3.61601,0.16962,81.80864,-4.450824,1.300204,0.424479,,,,,,,,,,,,9.6378,6.89552,2.0753,50,5.69838,-8.98806,-130.65572,-1.41124,16.5668,28.96643,-20.32106,UNC_SEA,CHA_BUC,BrooksField,D1,CAA,20260310-BrooksField-1,58344510-1ccd-11f1-90d6-692cb9de900d,88.79704,,,8.41992,,,,,,,29fc297d-fa2a-4a32-a462-f0581fb93661,2026-03-10,22:06:09.32,2026-03-10T18:06:09.3260000-04:00,2026-03-10T22:06:09.3260000Z,,v3,471373,471239,9d7bc53ed68a4a3e8a896f1bade337e5,"Rickett, Howie",10096826,Right,UNC_SEA,bf8b553e-29db-4ec5-b08b-84d60a988586,54.71307,-131.69647,14.48321,5.73597,-0.68111,-10.16053,2.40892,-9.58329,8.2834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2026-03-10,18:06:26.92,3,3,"Sobol, Alexander",1000187582,Left,UNC_SEA,"Tuupo, Chandler",1000136826,Left,CHA_BUC,Undefined,1,Top,2,1,1,Sinker,Sinker,HitByPitch,Undefined,Undefined,Undefined,0,0,,89.76244,0.918568,1.832196,2073.743386,121.63088,10:00,5.76833,-2.41401,5.80236,-24.71438,10.02662,-14.53528,4.56365,-1.92063,82.00997,-3.694236,-0.770802,0.424221,,,,,,,,,,,,7.97953,5.17918,2.27253,50,5.82904,-3.55849,-130.38303,1.2535,13.74465,27.25079,-23.253,UNC_SEA,CHA_BUC,BrooksField,D1,CAA,20260310-BrooksField-1,62af8720-1ccd-11f1-90d6-692cb9de900d,88.85087,,,7.75246,,,,,,,29fc297d-fa2a-4a32-a462-f0581fb93661,2026-03-10,22:06:26.92,2026-03-10T18:06:26.9200000-04:00,2026-03-10T22:06:26.9200000Z,,v3,471373,471239,9d7bc53ed68a4a3e8a896f1bade337e5,"Rickett, Howie",10096826,Right,UNC_SEA,e5d34909-781a-4707-b7c5-877b7355239a,54.69943,-131.36157,13.6254,5.76903,2.08848,-11.6265,2.40918,-4.05204,6.87233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2026-03-10,18:07:01.01,4,1,"Sobol, Alexander",1000187582,Left,UNC_SEA,"Marot, Alex",823917,Right,CHA_BUC,Undefined,1,Top,2,0,0,Sinker,Four-Seam,InPlay,Undefined,LineDrive,Single,0,0,,89.54154,-1.895743,4.732073,2033.578512,141.394381,10:45,5.77942,-2.49343,5.98111,-19.7219,15.48587,-11.38701,2.37201,0.95405,81.18227,-5.631247,2.695136,0.427062,73.02759,13.173496,18.345897,3241.054672,101.80424,10.3981,41.66316,151.69274,148.99315,24.481624,1.802895,7.29296,8.88788,2.12507,50,5.61823,-10.24612,-129.5278,-4.89754,12.28859,29.12168,-17.19803,UNC_SEA,CHA_BUC,BrooksField,D1,CAA,20260310-BrooksField-1,77033b90-1ccd-11f1-90d6-692cb9de900d,88.25992,12.45805,,8.35928,,,,1.80814,2.43658,-0.92954,29fc297d-fa2a-4a32-a462-f0581fb93661,2026-03-10,22:07:01.01,2026-03-10T18:07:01.0110000-04:00,2026-03-10T22:07:01.0110000Z,LineDrive,v3,471373,471239,9d7bc53ed68a4a3e8a896f1bade337e5,"Rickett, Howie",10096826,Right,UNC_SEA,16cd00ba-20a4-4b70-9b8e-559ffc23d058,54.51853,-130.53974,14.56084,5.77803,-4.29993,-8.59902,2.48853,-10.67313,6.14429,238.620368,1.80814,98.98789,-17.80538,3.67456,-0.75649,0.15174,-0.02951,0.0045,-0.00035,2.43658,24.40941,-15.46581,0.81788,-0.1185,0.01668,-0.00121,0.0002,-3E-05,-0.92954,32.82492,2.03373,-0.51728,0.14227,-0.0349,0.00747,-0.00118,0.0001,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2026-03-10,18:07:37.57,5,1,"Sobol, Alexander",1000187582,Left,UNC_SEA,"Reising, Mason",10109627,Right,CHA_BUC,Undefined,1,Top,2,0,0,Slider,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,80.0817,1.09089,1.765417,2542.420989,288.518777,3:30,5.78021,-2.56641,5.92461,-44.15018,-0.32346,5.29264,3.11391,-0.48665,72.99904,-7.060753,2.715713,0.476476,,,,,,,,,,,,-2.16473,-0.01791,2.42222,50,5.84287,-3.78613,-116.22305,0.79285,-2.93684,23.43781,-32.19833,UNC_SEA,CHA_BUC,BrooksField,D1,CAA,20260310-BrooksField-1,8ccf8640-1ccd-11f1-90d6-692cb9de900d,79.10669,,,7.08266,,,,,,,29fc297d-fa2a-4a32-a462-f0581fb93661,2026-03-10,22:07:37.57,2026-03-10T18:07:37.5759360-04:00,2026-03-10T22:07:37.5759360Z,,v3,471373,471239,9d7bc53ed68a4a3e8a896f1bade337e5,"Rickett, Howie",10096826,Right,UNC_SEA,9e4326ab-0ddd-46e4-9579-7c8757a147e6,54.57477,-117.14198,11.7189,5.78703,2.05525,-16.09917,2.56841,-3.67098,-1.46842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2026-03-10,18:07:55.81,5,2,"Sobol, Alexander",1000187582,Left,UNC_SEA,"Reising, Mason",10109627,Right,CHA_BUC,Undefined,1,Top,2,0,1,Slider,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,81.11511,-0.903686,3.082307,2482.655864,281.123928,3:15,5.733,-2.52886,5.87245,-41.6079,0.74626,2.51685,1.42501,0.54663,75.10155,-8.516432,3.533522,0.468403,,,,,,,,,,,,-0.48256,0.93693,2.27771,50,5.63522,-6.43538,-117.78333,-3.2011,-0.6807,21.49903,-30.85237,UNC_SEA,CHA_BUC,BrooksField,D1,CAA,20260310-BrooksField-1,97b23cb0-1ccd-11f1-90d6-692cb9de900d,80.47017,,,6.01356,,,,,,,29fc297d-fa2a-4a32-a462-f0581fb93661,2026-03-10,22:07:55.81,2026-03-10T18:07:55.8148608-04:00,2026-03-10T22:07:55.8148608Z,,v3,471373,471239,9d7bc53ed68a4a3e8a896f1bade337e5,"Rickett, Howie",10096826,Right,UNC_SEA,169ee284-c2de-4b69-a10c-8eef4a904b8b,54.63044,-118.62551,10.74951,5.73695,-1.99252,-15.42618,2.52928,-6.40872,-0.34035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
