PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallZAmb4,BatSpeed,VerticalAttackAngle,HorizontalAttackAngle
1,2026-03-14,15:34:45.29,1,1,"Stubbs, Benjamin",807876,Left,TRO_TRJ,"Aiken, TJ",10109727,Left,OLD_MON,Undefined,1,Top,0,0,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,92.83923,-0.633104,4.016689,2173.977426,127.212567,10:15,6.08697,-0.90679,5.24934,-21.24005,12.17138,-14.57831,3.72053,1.65918,84.44922,-4.57749,1.439695,0.416025,,,,,,,,,,,,8.34256,6.57957,0.54842,50,6.01327,-8.72423,-134.3847,-2.27823,15.23486,29.49778,-20.15873,TRO_TRJ,OLD_MON,RiddlePaceField,D1,SBELT,20260314-RiddlePaceField-1,3d17d560-1fe5-11f1-bb03-bd2abcb8a0eb,90.60146,,,8.39001,,,,,,,77b9d93a-3262-4c50-8aea-9e453dee97cc,2026-03-14,20:34:45.29,2026-03-14T15:34:45.2926976-05:00,2026-03-14T20:34:45.2926976Z,,v3,471470,3090,711d894a7bb5480bbd99d21abcabc3b4,"Janicki, Jimmy",1000359452,Right,TRO_TRJ,6ee25f5d-fab8-4f5f-bcb0-cd36a149fca4,55.2498,-135.53215,14.74889,6.08664,-1.49407,-10.07937,0.89931,-9.31686,7.61743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2026-03-14,15:35:04.19,1,2,"Stubbs, Benjamin",807876,Left,TRO_TRJ,"Aiken, TJ",10109727,Left,OLD_MON,Undefined,1,Top,0,1,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,94.01741,-2.258374,3.811451,2184.993523,119.620405,10:00,5.92989,-1.13395,5.25211,-23.01962,9.09607,-14.39965,1.88361,1.25295,87.03009,-6.468135,1.262958,0.407878,,,,,,,,,,,,8.11225,5.37567,0.79482,50,5.70507,-8.39487,-136.29194,-6.29312,15.47143,26.04376,-21.92169,TRO_TRJ,OLD_MON,RiddlePaceField,D1,SBELT,20260314-RiddlePaceField-1,48661ee0-1fe5-11f1-bb03-bd2abcb8a0eb,92.41111,,,6.98731,,,,,,,77b9d93a-3262-4c50-8aea-9e453dee97cc,2026-03-14,20:35:04.19,2026-03-14T15:35:04.1984512-05:00,2026-03-14T20:35:04.1984512Z,,v3,471470,3090,711d894a7bb5480bbd99d21abcabc3b4,"Janicki, Jimmy",1000359452,Right,TRO_TRJ,149fa3c2-9a9d-4435-b2ed-b6ee0ef267f3,55.25078,-137.29163,13.02188,5.93048,-5.45165,-10.96085,1.12845,-8.98875,7.73572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2026-03-14,15:35:20.35,1,3,"Stubbs, Benjamin",807876,Left,TRO_TRJ,"Aiken, TJ",10109727,Left,OLD_MON,Undefined,1,Top,0,2,0,Fastball,Sinker,InPlay,Undefined,GroundBall,Single,0,0,,93.41056,-2.076882,2.209205,2174.125661,128.02205,10:15,6.01248,-1.12858,5.04943,-20.09749,12.90178,-15.18524,2.3764,-0.30921,85.6439,-5.783048,-0.473398,0.413451,81.34285,-32.988207,8.402384,,,,,4.5271,4.5271,10.652157,0.035697,8.16209,7.27307,0.9308,50,5.79869,-4.49274,-135.44571,-5.68966,15.21662,28.59614,-18.6148,TRO_TRJ,OLD_MON,RiddlePaceField,D1,SBELT,20260314-RiddlePaceField-1,51f77620-1fe5-11f1-bb03-bd2abcb8a0eb,91.16551,2.32453,,7.76666,,,,0.90644,2.32453,0.31353,77b9d93a-3262-4c50-8aea-9e453dee97cc,2026-03-14,20:35:20.35,2026-03-14T15:35:20.3565568-05:00,2026-03-14T20:35:20.3565568Z,GroundBall,v3,471470,3090,711d894a7bb5480bbd99d21abcabc3b4,"Janicki, Jimmy",1000359452,Right,TRO_TRJ,68511110-8619-4f68-a877-60d61cb7ee1a,55.45275,-136.59207,14.29807,6.01182,-4.94343,-9.3074,1.12314,-5.10275,7.60831,,0.90503,99.24157,,,,,,,,2.32547,-65.11815,,,,,,,,0.31332,14.65894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2026-03-14,15:35:59.60,2,1,"Stubbs, Benjamin",807876,Left,TRO_TRJ,"Johnson, William",822847,Right,OLD_MON,Undefined,1,Top,0,0,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,93.58643,0.044979,3.315623,2195.512873,118.854448,10:00,5.96327,-1.11433,5.07937,-23.81218,8.64225,-14.09115,4.0214,0.84055,86.63944,-4.304723,0.829497,0.410023,,,,,,,,,,,,7.7326,4.56642,0.81124,50,5.94881,-7.1807,-135.84276,-0.85642,14.69624,24.98584,-23.49531,TRO_TRJ,OLD_MON,RiddlePaceField,D1,SBELT,20260314-RiddlePaceField-1,696b0830-1fe5-11f1-bb03-bd2abcb8a0eb,91.92754,,,6.94699,,,,,,,77b9d93a-3262-4c50-8aea-9e453dee97cc,2026-03-14,20:35:59.60,2026-03-14T15:35:59.6086784-05:00,2026-03-14T20:35:59.6086784Z,,v3,471470,3090,711d894a7bb5480bbd99d21abcabc3b4,"Janicki, Jimmy",1000359452,Right,TRO_TRJ,f9669c31-23ed-405a-8cb6-6f597309e23c,55.42308,-136.8366,12.49292,5.96429,0.07814,-11.74766,1.10849,-7.76526,7.34812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2026-03-14,15:36:18.43,2,2,"Stubbs, Benjamin",807876,Left,TRO_TRJ,"Johnson, William",822847,Right,OLD_MON,Undefined,1,Top,0,1,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,93.58291,-3.215546,4.163841,2139.755533,146.169504,10:45,6.10824,-1.05215,5.25366,-12.763,20.12418,-12.76296,2.01195,1.80377,85.41177,-5.646452,1.909108,0.412748,,,,,,,,,,,,7.64359,11.34603,0.67981,50,5.80353,-9.26561,-135.33848,-8.03667,14.17931,29.48816,-11.12653,TRO_TRJ,OLD_MON,RiddlePaceField,D1,SBELT,20260314-RiddlePaceField-1,74915750-1fe5-11f1-bb03-bd2abcb8a0eb,91.32076,,,8.17114,,,,,,,77b9d93a-3262-4c50-8aea-9e453dee97cc,2026-03-14,20:36:18.43,2026-03-14T15:36:18.4390144-05:00,2026-03-14T20:36:18.4390144Z,,v3,471470,3090,711d894a7bb5480bbd99d21abcabc3b4,"Janicki, Jimmy",1000359452,Right,TRO_TRJ,20ee8e7c-661b-4f73-a2a7-602e238625a8,55.24968,-136.47751,14.74408,6.10566,-7.60689,-5.56326,1.04829,-9.81331,7.08966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,Medium,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2026-03-14,15:36:41.80,2,3,"Stubbs, Benjamin",807876,Left,TRO_TRJ,"Johnson, William",822847,Right,OLD_MON,Undefined,1,Top,0,2,0,Fastball,Sinker,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,93.11911,-0.017995,2.695674,2208.886016,93.443192,9:00,5.85237,-1.15603,5.08157,-30.7812,1.62303,-14.3204,3.27029,0.1936,87.27414,-5.572886,0.165256,0.409706,,,,,,,,,,,,7.67418,1.05953,0.91226,50,5.82604,-5.69598,-135.43331,-1.33811,14.64647,21.92634,-30.15193,TRO_TRJ,OLD_MON,RiddlePaceField,D1,SBELT,20260314-RiddlePaceField-1,829068f0-1fe5-11f1-bb03-bd2abcb8a0eb,91.99875,,,5.84497,,,,,,,77b9d93a-3262-4c50-8aea-9e453dee97cc,2026-03-14,20:36:41.80,2026-03-14T15:36:41.8001920-05:00,2026-03-14T20:36:41.8001920Z,,v3,471470,3090,711d894a7bb5480bbd99d21abcabc3b4,"Janicki, Jimmy",1000359452,Right,TRO_TRJ,4df5c582-3b7d-4f4b-8c15-a135fc9f22b1,55.4236,-136.30855,10.96317,5.85543,-0.13453,-15.07597,1.1513,-6.28063,7.32324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2026-03-14,15:37:06.21,2,4,"Stubbs, Benjamin",807876,Left,TRO_TRJ,"Johnson, William",822847,Right,OLD_MON,Undefined,1,Top,0,2,1,Fastball,Sinker,InPlay,Undefined,GroundBall,Out,2,0,,94.13732,-1.946183,3.170026,2221.338163,119.301515,10:00,5.97119,-0.99924,5.1388,-21.88733,10.24296,-16.62611,2.31107,0.60342,87.05696,-5.953733,0.23069,0.40797,89.17257,-25.058349,-40.929055,,,,,6.78481,2.57126,-34.010469,0.042368,9.09737,5.85359,0.71543,50,5.7716,-6.77295,-136.57621,-5.51495,17.40782,26.39844,-20.97325,TRO_TRJ,OLD_MON,RiddlePaceField,D1,SBELT,20260314-RiddlePaceField-1,91174830-1fe5-11f1-bb03-bd2abcb8a0eb,92.39014,2.35174,,7.08037,,,,1.82394,2.35174,-0.49981,77b9d93a-3262-4c50-8aea-9e453dee97cc,2026-03-14,20:37:06.21,2026-03-14T15:37:06.2145024-05:00,2026-03-14T20:37:06.2145024Z,GroundBall,v3,471470,3090,711d894a7bb5480bbd99d21abcabc3b4,"Janicki, Jimmy",1000359452,Right,TRO_TRJ,1fcd82b9-236b-4c5e-8c00-faba90c0aedb,55.36502,-137.60929,13.19922,5.97137,-4.69418,-10.48662,0.99381,-7.45419,8.70391,,1.82269,89.6952,,,,,,,,2.35251,-55.50713,,,,,,,,-0.49873,-77.77607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2026-03-14,15:37:42.00,3,1,"Stubbs, Benjamin",807876,Left,TRO_TRJ,"Leite, Zachary",1000218664,Left,OLD_MON,Undefined,1,Top,2,0,0,Slider,Slider,InPlay,Undefined,GroundBall,Out,1,0,,85.79311,0.04104,1.851954,2546.485513,240.077356,2:00,5.89323,-1.2246,5.09376,-35.40549,3.28213,3.8411,2.98147,0.84148,79.49439,-6.375821,2.530999,0.447669,84.73443,-20.151748,25.975691,,,,,9.40287,5.03411,15.988081,0.068052,-1.47425,1.91469,1.04629,50,5.86902,-4.19604,-124.6317,-1.25813,-2.34549,22.35048,-29.12786,TRO_TRJ,OLD_MON,RiddlePaceField,D1,SBELT,20260314-RiddlePaceField-1,a673e120-1fe5-11f1-bb03-bd2abcb8a0eb,84.19703,2.92175,,6.29872,,,,1.88169,2.92175,-0.89727,77b9d93a-3262-4c50-8aea-9e453dee97cc,2026-03-14,20:37:42.00,2026-03-14T15:37:42.0062720-05:00,2026-03-14T20:37:42.0062720Z,GroundBall,v3,471470,3090,711d894a7bb5480bbd99d21abcabc3b4,"Janicki, Jimmy",1000359452,Right,TRO_TRJ,93519d8d-fc13-47a5-a213-f19f7f8e75c7,55.40975,-125.59809,11.17524,5.89618,0.00131,-14.56393,1.22552,-4.09463,-1.17275,180,1.87849,105.17579,,,,,,,,2.92305,-42.9338,,,,,,,,-0.89883,51.24243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2026-03-14,15:40:51.63,1,1,"Kuskie, Darin",1000255785,Right,OLD_MON,"Meier, Steven",1000136981,Left,TRO_TRJ,Undefined,1,Bottom,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,92.67073,-1.999588,-1.682066,2134.943755,223.563946,1:30,6.68688,1.09256,5.41431,-20.1147,12.73587,11.20453,3.13575,0.44996,85.51617,-5.720782,0.311322,0.412518,,,,,,,,,,,,-6.03394,7.20272,-0.95088,50,6.49499,3.42855,-134.55018,-5.4311,-11.1747,26.39239,-18.83478,TRO_TRJ,OLD_MON,RiddlePaceField,D1,SBELT,20260314-RiddlePaceField-1,177cf3c0-1fe6-11f1-bb03-bd2abcb8a0eb,91.37161,,,7.15456,,,,,,,77b9d93a-3262-4c50-8aea-9e453dee97cc,2026-03-14,20:40:51.63,2026-03-14T15:40:51.6321280-05:00,2026-03-14T20:40:51.6321280Z,,v3,471470,3090,711d894a7bb5480bbd99d21abcabc3b4,"Dye, Macaddin",831173,Right,OLD_MON,53462d7e-bf67-49b3-8b2c-c7070d4313c1,55.08693,-135.54433,13.19619,6.6862,-4.72163,-9.41739,-1.08795,3.84947,-5.58735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2026-03-14,15:41:07.62,1,2,"Kuskie, Darin",1000255785,Right,OLD_MON,"Meier, Steven",1000136981,Left,TRO_TRJ,Undefined,1,Bottom,0,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,93.80461,-3.112069,-3.126039,2185.371351,212.017498,1:00,6.78702,0.98806,5.44267,-14.96556,17.37198,10.22355,2.61865,-1.09,85.96332,-5.928819,-1.309901,0.409284,,,,,,,,,,,,-5.93508,9.85906,-0.71844,50,6.50099,6.93023,-135.8385,-7.88557,-11.13797,28.53738,-13.67219,TRO_TRJ,OLD_MON,RiddlePaceField,D1,SBELT,20260314-RiddlePaceField-1,21034e80-1fe6-11f1-bb03-bd2abcb8a0eb,92.09357,,,7.84129,,,,,,,77b9d93a-3262-4c50-8aea-9e453dee97cc,2026-03-14,20:41:07.62,2026-03-14T15:41:07.6263424-05:00,2026-03-14T20:41:07.6263424Z,,v3,471470,3090,711d894a7bb5480bbd99d21abcabc3b4,"Dye, Macaddin",831173,Right,OLD_MON,d93d46aa-a96a-4aec-820e-725726f061a3,55.05705,-136.89678,14.26869,6.78402,-7.37856,-6.8361,-0.98309,7.34327,-5.56899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
