PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallZAmb4,BatSpeed,VerticalAttackAngle,HorizontalAttackAngle
1,2026-03-15,12:02:23.67,1,1,"Andrews, Heath",814165,Right,NOR_WOL,"Solier, Julio",827632,Right,BOC_EAG,Undefined,1,Top,0,0,0,Sinker,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,93.17041,-1.68681,-2.4753,2217.524254,248.621761,2:15,5.43795,2.11486,5.81672,-25.96395,5.72067,12.553,1.704,0.85801,86.97451,-6.45286,-0.225208,0.405131,,,,,,,,,,,,-6.99819,3.54878,-1.9198,50,5.28403,5.31824,-135.49556,-4.9463,-13.27701,23.90711,-25.44128,NOR_WOL,BOC_EAG,DoakField,D1,ACC,20260315-DoakField-1,5b4537a0-2088-11f1-9f6e-4b51a83d3014,93.03765,,,6.1959,,,,,,,f90ca05a-961d-44d2-9dfc-b21fc58f3c75,2026-03-15,16:02:23.67,2026-03-15T12:02:23.6762112-04:00,2026-03-15T16:02:23.6762112Z,,v3,471387,227,e952733490c64cf9b9ed25163a50b4a8,"Lanphere, Drew",810835,Right,NOR_WOL,88eaf471-800f-4e86-aefc-ef17e6cf97b4,54.6851,-136.3197,11.95356,5.43942,-4.06928,-12.72064,-2.11102,5.77594,-6.6385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2026-03-15,12:02:40.49,1,2,"Andrews, Heath",814165,Right,NOR_WOL,"Solier, Julio",827632,Right,BOC_EAG,Undefined,1,Top,0,0,1,Sinker,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,94.03919,-3.326341,-3.779261,2289.676233,235.794126,1:45,5.52484,2.03081,5.84582,-21.91647,9.50367,12.68012,0.59715,-0.42961,87.23233,-7.370014,-1.50955,0.403437,,,,,,,,,,,,-7.39957,5.93894,-1.73048,50,5.2404,8.44901,-136.32139,-8.72046,-14.1188,26.04585,-20.84222,NOR_WOL,BOC_EAG,DoakField,D1,ACC,20260315-DoakField-1,654667b0-2088-11f1-9f6e-4b51a83d3014,93.42841,,,6.80687,,,,,,,f90ca05a-961d-44d2-9dfc-b21fc58f3c75,2026-03-15,16:02:40.49,2026-03-15T12:02:40.4903936-04:00,2026-03-15T16:02:40.4903936Z,,v3,471387,227,e952733490c64cf9b9ed25163a50b4a8,"Lanphere, Drew",810835,Right,NOR_WOL,d580384a-d182-43ec-8510-d52ee1be5522,54.65465,-137.20784,13.02293,5.52512,-8.01111,-10.42111,-2.02621,8.92953,-7.0594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2026-03-15,12:02:57.91,1,3,"Andrews, Heath",814165,Right,NOR_WOL,"Solier, Julio",827632,Right,BOC_EAG,Undefined,1,Top,0,1,1,Slider,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,83.57784,0.396538,-1.470657,2803.054928,88.027175,9:00,5.49645,2.06997,5.24608,-39.69601,0.5948,-12.55784,2.56123,-0.35887,78.00573,-6.785863,-3.697335,0.456851,70.28884,20.480399,142.083732,4413.76423,,,,,43.39117,,,5.98378,0.50626,-1.92514,50,5.50297,3.64206,-121.55179,-0.61925,9.10521,20.01376,-31.40369,NOR_WOL,BOC_EAG,DoakField,D1,ACC,20260315-DoakField-1,6fb59bd0-2088-11f1-9f6e-4b51a83d3014,82.50494,15.24201,,5.57211,,,,0.21856,2.35967,0.41534,f90ca05a-961d-44d2-9dfc-b21fc58f3c75,2026-03-15,16:02:57.91,2026-03-15T12:02:57.9123200-04:00,2026-03-15T16:02:57.9123200Z,,v3,471387,227,e952733490c64cf9b9ed25163a50b4a8,"Lanphere, Drew",810835,Right,NOR_WOL,dcc8a4b6-3a04-42d7-9e08-3144367280e0,55.25588,-122.41412,10.00688,5.5005,0.73384,-15.70185,-2.07362,3.24974,4.55261,,0.21827,-76.18149,4.16311,,,,,,,2.36664,35.87303,-18.39787,,,,,,,0.42843,58.97471,-11.91138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2026-03-15,12:03:20.62,1,4,"Andrews, Heath",814165,Right,NOR_WOL,"Solier, Julio",827632,Right,BOC_EAG,Undefined,1,Top,0,1,2,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,84.30467,-0.622999,-3.21451,2901.1587,95.511799,9:15,5.68991,1.91822,5.39715,-37.37541,2.54382,-14.55024,1.99053,-2.30982,78.06576,-7.405465,-5.79432,0.454739,,,,,,,,,,,,6.4954,1.79284,-1.62074,50,5.60796,7.47545,-122.32004,-2.6774,9.89162,22.96641,-29.44377,NOR_WOL,BOC_EAG,DoakField,D1,ACC,20260315-DoakField-1,7d3c4920-2088-11f1-9f6e-4b51a83d3014,82.888,,,6.23891,,,,,,,f90ca05a-961d-44d2-9dfc-b21fc58f3c75,2026-03-15,16:03:20.62,2026-03-15T12:03:20.6243328-04:00,2026-03-15T16:03:20.6243328Z,,v3,471387,227,e952733490c64cf9b9ed25163a50b4a8,"Lanphere, Drew",810835,Right,NOR_WOL,5248daf5-2d14-4853-93c3-06922a1d54c1,55.10312,-123.27446,11.48321,5.6938,-1.4538,-14.72189,-1.92285,7.06438,4.94581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2026-03-15,12:03:39.96,1,5,"Andrews, Heath",814165,Right,NOR_WOL,"Solier, Julio",827632,Right,BOC_EAG,Undefined,1,Top,0,2,2,Sinker,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,93.72723,-0.950457,-2.814976,2271.998643,253.135809,2:30,5.5948,2.01726,5.80355,-25.94549,5.74142,15.89131,2.54759,0.72144,86.37747,-5.742009,0.031153,0.405146,,,,,,,,,,,,-8.88154,3.44642,-1.79583,50,5.50104,5.99876,-136.15607,-3.21445,-16.80326,27.69949,-25.65364,NOR_WOL,BOC_EAG,DoakField,D1,ACC,20260315-DoakField-1,88b5e860-2088-11f1-9f6e-4b51a83d3014,93.03424,,,7.34976,,,,,,,f90ca05a-961d-44d2-9dfc-b21fc58f3c75,2026-03-15,16:03:39.96,2026-03-15T12:03:39.9638016-04:00,2026-03-15T16:03:39.9638016Z,,v3,471387,227,e952733490c64cf9b9ed25163a50b4a8,"Lanphere, Drew",810835,Right,NOR_WOL,7b69b828-1d8a-4d34-81c5-48e5187c9390,54.69748,-137.10839,13.84975,5.5964,-2.33246,-12.82682,-2.012,6.57646,-8.40163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2026-03-15,12:04:03.43,1,6,"Andrews, Heath",814165,Right,NOR_WOL,"Solier, Julio",827632,Right,BOC_EAG,Undefined,1,Top,0,2,2,Slider,Slider,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,84.81355,-0.757788,-2.516941,2965.935718,91.539399,9:00,5.58552,1.96033,5.07837,-38.80522,1.83579,-15.9315,1.63667,-1.74147,77.10304,-7.800082,-5.329827,0.458832,,,,,,,,,,,,7.10906,1.5724,-1.70864,50,5.48333,6.10499,-122.80128,-3.09489,10.69909,27.59129,-29.80757,NOR_WOL,BOC_EAG,DoakField,D1,ACC,20260315-DoakField-1,96c21960-2088-11f1-9f6e-4b51a83d3014,82.14866,,,7.71052,,,,,,,f90ca05a-961d-44d2-9dfc-b21fc58f3c75,2026-03-15,16:04:03.43,2026-03-15T12:04:03.4390000-04:00,2026-03-15T16:04:03.4390000Z,,v3,471387,227,e952733490c64cf9b9ed25163a50b4a8,"Lanphere, Drew",810835,Right,NOR_WOL,1169ec56-652d-45ad-a4de-56ff246d6cc9,55.41914,-124.01289,13.79565,5.59049,-1.78596,-14.90379,-1.96641,5.63516,5.34954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.59007,,,1.092773,,,,0.66008,4.53493,3.52822,74.33182,7.11167,-50.45131,0.70373,72.30386,-4.51257,4.58633,18.01251,-14.3732,3.43713,-56.62735,6.70178,High,High,High,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2026-03-15,12:04:34.03,2,1,"Andrews, Heath",814165,Right,NOR_WOL,"Mainolfi, Ty",1000275825,Left,BOC_EAG,Undefined,1,Top,1,0,0,Sinker,Sinker,InPlay,Undefined,GroundBall,Error,0,0,,93.30973,-1.119278,-2.873472,2364.134331,254.004908,2:30,5.42871,2.11342,5.78181,-27.39813,4.68024,12.98965,2.10272,0.52017,85.86513,-6.170383,-0.547992,0.40764,99.30503,-74.686174,168.399735,,,,,0.50375,0.50375,-127.30338,0.014021,-7.40252,2.96563,-1.88429,50,5.31967,6.2281,-135.48725,-3.6647,-13.83741,28.04142,-26.63046,NOR_WOL,BOC_EAG,DoakField,D1,ACC,20260315-DoakField-1,a8f3ff40-2088-11f1-9f6e-4b51a83d3014,92.46492,1.97244,,7.4446,,,,0.22379,1.97244,-0.50931,f90ca05a-961d-44d2-9dfc-b21fc58f3c75,2026-03-15,16:04:34.03,2026-03-15T12:04:34.0384768-04:00,2026-03-15T16:04:34.0384768Z,GroundBall,v3,471387,227,e952733490c64cf9b9ed25163a50b4a8,"Lanphere, Drew",810835,Right,NOR_WOL,cfff4aba-6cb5-4003-8f71-ba494aa33b31,54.71841,-136.46031,14.02071,5.43081,-2.7406,-13.31523,-2.10875,6.70827,-6.91871,,0.22391,-37.73493,,,,,,,,1.9729,-140.67847,,,,,,,,-0.50933,7.74605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2026-03-15,12:05:22.84,3,1,"Andrews, Heath",814165,Right,NOR_WOL,"Wang, Nick",813482,Right,BOC_EAG,Undefined,1,Top,1,0,0,Sinker,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,92.8978,-0.533866,-3.660957,2326.787342,253.08121,2:30,5.47346,2.11104,6.03699,-27.99246,4.25221,10.66036,2.64541,-0.39506,85.01565,-5.727766,-1.74647,0.408696,,,,,,,,,,,,-6.48445,2.65374,-1.83069,50,5.41667,8.16043,-134.76848,-2.25287,-11.93413,29.09712,-27.29005,NOR_WOL,BOC_EAG,DoakField,D1,ACC,20260315-DoakField-1,c61015a0-2088-11f1-9f6e-4b51a83d3014,92.22612,,,7.88215,,,,,,,f90ca05a-961d-44d2-9dfc-b21fc58f3c75,2026-03-15,16:05:22.84,2026-03-15T12:05:22.8404224-04:00,2026-03-15T16:05:22.8404224Z,,v3,471387,227,e952733490c64cf9b9ed25163a50b4a8,"Lanphere, Drew",810835,Right,NOR_WOL,1063fa9d-c901-4699-b0fd-70ad2b1bc5b9,54.46168,-135.72835,14.54856,5.47614,-1.35261,-13.64503,-2.10638,8.55412,-5.96707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2026-03-15,12:06:23.76,3,2,"Andrews, Heath",814165,Right,NOR_WOL,"Wang, Nick",813482,Right,BOC_EAG,Undefined,1,Top,1,0,1,Sinker,Sinker,BallinDirt,Undefined,Undefined,Undefined,0,0,,93.96312,-2.182326,-4.991078,2435.162294,249.714559,2:15,5.49304,1.98755,6.01312,-26.8908,4.70768,10.11729,1.22185,-1.80461,86.38824,-7.146492,-3.1795,0.40458,,,,,,,,,,,,-6.53859,3.30547,-1.60062,50,5.30646,11.44056,-136.02688,-6.16781,-12.30041,28.71188,-25.95576,NOR_WOL,BOC_EAG,DoakField,D1,ACC,20260315-DoakField-1,ea611cb0-2088-11f1-9f6e-4b51a83d3014,93.16435,,,7.57488,,,,,,,f90ca05a-961d-44d2-9dfc-b21fc58f3c75,2026-03-15,16:06:23.76,2026-03-15T12:06:23.7683200-04:00,2026-03-15T16:06:23.7683200Z,,v3,471387,227,e952733490c64cf9b9ed25163a50b4a8,"Lanphere, Drew",810835,Right,NOR_WOL,c5d58f5b-123c-450f-914c-cc8ff2f3b6cf,54.48626,-136.97054,14.35594,5.49516,-5.31473,-12.97788,-1.98328,11.84484,-6.15021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2026-03-15,12:06:56.68,3,3,"Andrews, Heath",814165,Right,NOR_WOL,"Wang, Nick",813482,Right,BOC_EAG,Undefined,1,Top,1,1,1,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,84.35821,-0.453683,-2.000091,2857.269556,79.923153,8:45,5.49795,2.22046,5.29347,-41.47565,-1.22933,-13.95485,1.6154,-0.82113,77.5382,-7.976097,-4.476756,0.456599,,,,,,,,,,,,6.42678,-0.10898,-2.02788,50,5.42636,4.87037,-122.40854,-2.50938,9.7235,24.8021,-32.33894,NOR_WOL,BOC_EAG,DoakField,D1,ACC,20260315-DoakField-1,fe04e210-2088-11f1-9f6e-4b51a83d3014,82.55049,,,6.82001,,,,,,,f90ca05a-961d-44d2-9dfc-b21fc58f3c75,2026-03-15,16:06:56.68,2026-03-15T12:06:56.6827520-04:00,2026-03-15T16:06:56.6827520Z,,v3,471387,227,e952733490c64cf9b9ed25163a50b4a8,"Lanphere, Drew",810835,Right,NOR_WOL,24d6aa4d-4367-4e6d-87e0-783008cb92b2,55.20621,-123.4589,12.40105,5.50363,-1.13983,-16.16947,-2.22542,4.45858,4.86175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
