PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallZAmb4,BatSpeed,VerticalAttackAngle,HorizontalAttackAngle
1,2026-03-14,12:59:12.02,1,1,"Muniz, Ethan",1000471507,Right,ANG_COL,"Schumacher, Brian",10125329,Left,PAN_COL,Undefined,1,Top,0,0,0,Undefined,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,88.13829,-2.039645,-2.893612,2419.023993,205.419977,12:45,5.75265,2.33142,5.35486,-18.46729,18.71588,8.26599,2.29744,0.30398,79.7265,-5.528105,-1.427351,0.438879,,,,,,,,,,,,-5.02701,10.39134,-2.07695,50,5.55619,6.0746,-127.5574,-5.13289,-8.19812,28.73343,-15.2277,ANG_COL,PAN_COL,AngelinaCollege,JUCO,NJCAA,20260314-AngelinaCollege-1,820d3130-1fcf-11f1-9f54-c7afce135543,85.88347,,,8.4118,,,,,,,19324616-d387-4581-a834-1c83869b5368,2026-03-14,17:59:12.02,2026-03-14T12:59:12.0225280-05:00,2026-03-14T17:59:12.0225280Z,,v3,,,,"Arcia-Palma, Jorge",1000471496,Right,ANG_COL,c3e218c8-e474-446b-8a56-762b45b928e9,55.14483,-128.7111,14.36671,5.75001,-4.52147,-7.61385,-2.32746,6.40377,-4.09906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2026-03-14,12:59:28.06,1,2,"Muniz, Ethan",1000471507,Right,ANG_COL,"Schumacher, Brian",10125329,Left,PAN_COL,Undefined,1,Top,0,1,0,Undefined,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,86.6219,-1.736984,-1.82702,2393.119273,208.446484,1:00,5.6361,2.385,5.57791,-19.82607,18.14741,9.12587,2.36022,1.43843,78.66617,-5.479644,-0.199285,0.443518,,,,,,,,,,,,-5.13394,10.06575,-2.23368,50,5.47375,3.60852,-125.56498,-4.41664,-8.14153,27.01695,-16.21154,ANG_COL,PAN_COL,AngelinaCollege,JUCO,NJCAA,20260314-AngelinaCollege-1,8ba4ca00-1fcf-11f1-9f54-c7afce135543,84.98508,,,7.95573,,,,,,,19324616-d387-4581-a834-1c83869b5368,2026-03-14,17:59:28.06,2026-03-14T12:59:28.0648704-05:00,2026-03-14T17:59:28.0648704Z,,v3,,,,"Arcia-Palma, Jorge",1000471496,Right,ANG_COL,d585cd62-7ac0-4d20-8357-76046066b06d,54.92169,-126.61952,13.50847,5.63379,-3.78387,-8.10577,-2.38073,3.92631,-4.07076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2026-03-14,12:59:44.70,1,3,"Muniz, Ethan",1000471507,Right,ANG_COL,"Schumacher, Brian",10125329,Left,PAN_COL,Undefined,1,Top,0,1,1,Undefined,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,80.48451,-0.990582,-3.624199,1856.74265,268.292453,3:00,5.30859,2.48922,5.5799,-42.10235,1.96492,15.77194,0.87292,0.41406,73.49137,-8.699151,-0.810941,0.477782,,,,,,,,,,,,-9.11178,1.70162,-2.18771,50,5.19553,6.76706,-116.60927,-3.42914,-12.44698,23.54463,-29.84954,ANG_COL,PAN_COL,AngelinaCollege,JUCO,NJCAA,20260314-AngelinaCollege-1,958f64d0-1fcf-11f1-9f54-c7afce135543,78.89049,,,6.99314,,,,,,,19324616-d387-4581-a834-1c83869b5368,2026-03-14,17:59:44.70,2026-03-14T12:59:44.7048704-05:00,2026-03-14T17:59:44.7048704Z,,v3,,,,"Arcia-Palma, Jorge",1000471496,Right,ANG_COL,e0ebfea2-554a-425c-8400-208e6bf5c14c,54.92357,-117.59919,11.77232,5.31332,-2.17414,-14.92477,-2.48323,7.29038,-6.22349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2026-03-14,13:00:15.24,1,4,"Muniz, Ethan",1000471507,Right,ANG_COL,"Schumacher, Brian",10125329,Left,PAN_COL,Undefined,1,Top,0,1,2,Undefined,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.37898,0.08866,-2.181773,2452.380082,210.878772,1:00,5.80896,2.22479,5.30291,-20.04048,15.81741,8.76386,4.22221,0.90582,81.33996,-3.66467,-0.627746,0.430986,,,,,,,,,,,,-4.98236,8.22882,-2.03294,50,5.80282,4.53301,-129.60558,-0.48204,-8.46073,27.50272,-18.20037,ANG_COL,PAN_COL,AngelinaCollege,JUCO,NJCAA,20260314-AngelinaCollege-1,a7ba45d0-1fcf-11f1-9f54-c7afce135543,87.4562,,,8.03902,,,,,,,19324616-d387-4581-a834-1c83869b5368,2026-03-14,18:00:15.24,2026-03-14T13:00:15.2408064-05:00,2026-03-14T18:00:15.2408064Z,,v3,,,,"Arcia-Palma, Jorge",1000471496,Right,ANG_COL,cae9f5c0-3d24-45ea-8504-3df03091bb19,55.19736,-130.70382,13.75136,5.80755,0.24474,-9.10018,-2.2207,4.87086,-4.23036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2026-03-14,13:00:32.36,1,5,"Muniz, Ethan",1000471507,Right,ANG_COL,"Schumacher, Brian",10125329,Left,PAN_COL,Undefined,1,Top,0,2,2,Undefined,Four-Seam,FoulBallFieldable,Undefined,Undefined,Undefined,0,0,,87.51983,-1.976979,-3.344149,2477.683606,205.598937,12:45,5.58201,2.25787,5.40347,-20.90682,16.29324,7.24268,1.98331,-0.27584,80.19875,-5.870123,-2.059082,0.438978,56.32724,-15.000302,-47.988271,,,,,7.56444,7.07464,-41.856321,0.08989,-4.55654,9.08749,-1.96477,50,5.39107,7.09453,-126.81229,-5.0816,-7.43948,25.29113,-17.33684,ANG_COL,PAN_COL,AngelinaCollege,JUCO,NJCAA,20260314-AngelinaCollege-1,b1f26460-1fcf-11f1-9f54-c7afce135543,85.86399,1.93013,,7.32107,,,,0.81316,1.93013,0.30456,19324616-d387-4581-a834-1c83869b5368,2026-03-14,18:00:32.36,2026-03-14T13:00:32.3641856-05:00,2026-03-14T18:00:32.3641856Z,GroundBall,v3,,,,"Arcia-Palma, Jorge",1000471496,Right,ANG_COL,739582d3-bae1-4fae-acbf-0ca79d6e7122,55.09864,-127.8251,12.64556,5.58067,-4.38732,-8.66842,-2.25484,7.39246,-3.71974,180,0.80991,53.63207,,,,,,,,1.93143,-21.4722,,,,,,,,0.30816,-59.53993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2026-03-14,13:00:56.25,1,6,"Muniz, Ethan",1000471507,Right,ANG_COL,"Schumacher, Brian",10125329,Left,PAN_COL,Undefined,1,Top,0,2,2,Undefined,Four-Seam,InPlay,Undefined,Popup,Out,1,0,,88.89222,-1.440495,-3.015428,2452.176591,208.886961,1:00,5.74973,2.40327,5.55225,-15.72855,20.35139,10.55386,3.09077,0.46232,80.69838,-4.445722,-1.137034,0.432319,79.62851,74.844476,-18.018252,,,,,,15.10771,,,-6.24618,11.08556,-2.14941,50,5.61494,6.32563,-128.81558,-3.70764,-10.43624,28.16272,-13.6521,ANG_COL,PAN_COL,AngelinaCollege,JUCO,NJCAA,20260314-AngelinaCollege-1,c035aaf0-1fcf-11f1-9f54-c7afce135543,87.18668,50.62396,,8.19384,,,,2.0989,2.86233,-0.30927,19324616-d387-4581-a834-1c83869b5368,2026-03-14,18:00:56.25,2026-03-14T13:00:56.2552832-05:00,2026-03-14T18:00:56.2552832Z,,v3,,,,"Arcia-Palma, Jorge",1000471496,Right,ANG_COL,44456da9-9bbc-4c03-a397-4db082be48ad,54.94963,-129.8932,14.08136,5.74681,-3.18525,-6.82605,-2.39909,6.72496,-5.21812,178.84304,2.11867,28.49433,-7.6713,,,,,,,2.9047,111.57189,-32.2217,,,,,,,-0.31483,-9.29233,2.24652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2026-03-14,13:01:30.45,2,1,"Muniz, Ethan",1000471507,Right,ANG_COL,"Crawford, Kade",1000270045,Right,PAN_COL,Undefined,1,Top,1,0,0,Undefined,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.27762,-1.781638,-4.069345,2426.914009,211.015618,1:00,5.73066,2.14006,5.25172,-20.43336,16.35729,9.13863,2.34888,-0.92887,80.88357,-5.57911,-2.454694,0.436556,,,,,,,,,,,,-5.6615,9.00441,-1.77304,50,5.5519,8.68235,-127.80441,-4.68639,-9.40034,25.38371,-17.22313,ANG_COL,PAN_COL,AngelinaCollege,JUCO,NJCAA,20260314-AngelinaCollege-1,d48a49c0-1fcf-11f1-9f54-c7afce135543,86.34044,,,7.39406,,,,,,,19324616-d387-4581-a834-1c83869b5368,2026-03-14,18:01:30.45,2026-03-14T13:01:30.4568832-05:00,2026-03-14T18:01:30.4568832Z,,v3,,,,"Arcia-Palma, Jorge",1000471496,Right,ANG_COL,47af374a-5dee-4a64-933a-0dde3802d047,55.25036,-128.84298,12.69186,5.72923,-3.98171,-8.61157,-2.13615,9.06697,-4.70017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2026-03-14,13:01:47.34,2,2,"Muniz, Ethan",1000471507,Right,ANG_COL,"Crawford, Kade",1000270045,Right,PAN_COL,Undefined,1,Top,1,0,1,Undefined,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,84.41039,-2.621941,-4.319555,2170.392625,213.836729,1:15,5.78648,2.05485,5.40887,-23.06934,16.94847,10.51898,1.39863,-1.12357,77.57763,-6.897719,-2.4557,0.4553,,,,,,,,,,,,-6.45981,9.60764,-1.67726,50,5.53634,8.78895,-122.15192,-6.3594,-9.80794,22.96041,-17.58675,ANG_COL,PAN_COL,AngelinaCollege,JUCO,NJCAA,20260314-AngelinaCollege-1,dea59180-1fcf-11f1-9f54-c7afce135543,82.78588,,,6.83276,,,,,,,19324616-d387-4581-a834-1c83869b5368,2026-03-14,18:01:47.34,2026-03-14T13:01:47.3413120-05:00,2026-03-14T18:01:47.3413120Z,,v3,,,,"Arcia-Palma, Jorge",1000471496,Right,ANG_COL,306dfd31-1322-4e5e-a640-872f1aaaea2d,55.094,-123.10569,11.48021,5.78533,-5.62885,-8.79337,-2.05081,9.19637,-4.90397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2026-03-14,13:02:04.93,2,3,"Muniz, Ethan",1000471507,Right,ANG_COL,"Crawford, Kade",1000270045,Right,PAN_COL,Undefined,1,Top,1,1,1,Undefined,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,87.11075,-2.201113,-3.761519,2364.923446,210.52099,1:00,5.78465,1.89335,5.30819,-19.50643,18.12095,9.99319,2.08738,-0.81002,79.97671,-5.837632,-1.992806,0.441492,,,,,,,,,,,,-5.99327,10.01142,-1.5589,50,5.57045,7.85464,-126.16247,-5.50147,-9.71527,24.28439,-15.94518,ANG_COL,PAN_COL,AngelinaCollege,JUCO,NJCAA,20260314-AngelinaCollege-1,e92df2f0-1fcf-11f1-9f54-c7afce135543,85.37506,,,7.13404,,,,,,,19324616-d387-4581-a834-1c83869b5368,2026-03-14,18:02:04.93,2026-03-14T13:02:04.9323008-05:00,2026-03-14T18:02:04.9323008Z,,v3,,,,"Arcia-Palma, Jorge",1000471496,Right,ANG_COL,7a3110c6-b186-492c-a487-0dfde2bc73e8,55.19397,-127.1583,12.1422,5.78264,-4.8476,-7.97259,-1.88917,8.25304,-4.85763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2026-03-14,13:02:20.92,2,4,"Muniz, Ethan",1000471507,Right,ANG_COL,"Crawford, Kade",1000270045,Right,PAN_COL,Undefined,1,Top,1,1,2,Undefined,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,,88.47284,-0.584535,-3.633743,2347.095016,206.028588,12:45,5.86611,1.87542,5.3818,-18.66611,18.04619,8.20575,3.76151,-0.85178,80.23649,-4.106806,-2.179753,0.436091,89.99453,49.165078,31.384186,4892.597647,,,,,50.98164,,,-5.21925,9.61209,-1.55586,50,5.80103,7.77315,-128.11189,-1.91145,-8.62076,27.98745,-16.29749,ANG_COL,PAN_COL,AngelinaCollege,JUCO,NJCAA,20260314-AngelinaCollege-1,f2a3abe0-1fcf-11f1-9f54-c7afce135543,86.43252,59.86398,,8.23636,,,,0.05855,3.86134,0.88559,19324616-d387-4581-a834-1c83869b5368,2026-03-14,18:02:20.92,2026-03-14T13:02:20.9216000-05:00,2026-03-14T18:02:20.9216000Z,,v3,,,,"Arcia-Palma, Jorge",1000471496,Right,ANG_COL,e996b70a-f6c6-4526-aa3e-f6fb8cca503c,55.11984,-129.22554,13.99373,5.86419,-1.26296,-8.14874,-1.87199,8.11617,-4.31038,207.587871,0.05855,73.67984,-19.78419,5.00519,-1.19674,0.2935,-0.07194,0.01469,-0.00165,3.86134,99.86453,-25.10382,2.98018,-0.61507,0.12373,-0.02229,0.00086,0.00106,0.88559,44.94645,-2.76775,0.26557,0.0123,-0.01496,0.00642,-0.00241,0.00056,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
