PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallZAmb4,BatSpeed,VerticalAttackAngle,HorizontalAttackAngle
1,2026-03-17,15:03:04.15,1,1,"Brown, Zachary",1000334133,Right,GEO_BUL,"Williams, Jayden",10143361,Right,CIT_BUL,Undefined,1,Top,0,0,0,Sinker,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,92.1568,-0.333123,-4.381647,2070.453295,261.262102,2:45,5.00797,2.76859,6.72418,-28.676,3.71351,16.64273,2.31294,0.14289,83.17872,-5.746862,-1.356646,0.409613,,,,,,,,,,,,-10.25638,2.37921,-2.48466,50,4.97486,9.59565,-133.60333,-1.66102,-18.2583,32.8405,-27.93859,GEO_BUL,CIT_BUL,UGeorgia,D1,SEC,20260317-UGeorgia-1,ed6baf90-2233-11f1-9b6c-4fbb10d99801,92.01967,,,8.97809,,,,,,,d993423b-7068-47e6-a388-ac8167b27385,2026-03-17,19:03:04.15,2026-03-17T15:03:04.1504768-04:00,2026-03-17T19:03:04.1504768Z,,v3,226,471271,6510abe7b020482c8c6b96f890f81284,"Hudson, Brennan",830984,Right,GEO_BUL,c3a4a409-80a4-4f3f-8b57-5810bb52344a,53.77728,-134.52861,16.42025,5.01056,-0.87386,-13.9693,-2.76226,10.11008,-9.12915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2026-03-17,15:03:23.23,1,2,"Brown, Zachary",1000334133,Right,GEO_BUL,"Williams, Jayden",10143361,Right,CIT_BUL,Undefined,1,Top,0,0,1,ChangeUp,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,84.92643,0.447189,-5.13853,1762.008201,277.226869,3:15,5.14615,2.75345,6.5856,-39.16715,-0.95484,17.78635,2.29369,-0.48599,77.15105,-6.86691,-1.918729,0.444911,,,,,,,,,,,,-10.86016,-0.22193,-2.40726,50,5.1611,10.39965,-123.01976,-0.23168,-16.49944,26.36738,-32.51122,GEO_BUL,CIT_BUL,UGeorgia,D1,SEC,20260317-UGeorgia-1,f8d7ba40-2233-11f1-9b6c-4fbb10d99801,84.7191,,,7.77538,,,,,,,d993423b-7068-47e6-a388-ac8167b27385,2026-03-17,19:03:23.23,2026-03-17T15:03:23.2380928-04:00,2026-03-17T19:03:23.2380928Z,,v3,226,471271,6510abe7b020482c8c6b96f890f81284,"Hudson, Brennan",830984,Right,GEO_BUL,5eb3ca83-eb54-4ed7-844f-774917d1f5d3,53.91602,-123.85626,13.18369,5.15209,0.79973,-16.25561,-2.74548,10.92308,-8.24972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2026-03-17,15:03:40.82,1,3,"Brown, Zachary",1000334133,Right,GEO_BUL,"Williams, Jayden",10143361,Right,CIT_BUL,Undefined,1,Top,0,0,2,Cutter,Cutter,BallCalled,Undefined,Undefined,Undefined,0,0,,87.66564,-0.511201,-4.639456,2477.008615,168.811841,11:45,5.10447,2.68787,6.58432,-20.50261,15.63513,-2.83626,2.92589,-1.80953,79.02541,-4.446216,-5.15173,0.432665,,,,,,,,,,,,-0.03756,8.75048,-2.3684,50,5.06058,10.4069,-126.88612,-1.66222,-0.06019,30.00638,-18.14633,GEO_BUL,CIT_BUL,UGeorgia,D1,SEC,20260317-UGeorgia-1,0350b260-2234-11f1-9b6c-4fbb10d99801,87.11685,,,8.64023,,,,,,,d993423b-7068-47e6-a388-ac8167b27385,2026-03-17,19:03:40.82,2026-03-17T15:03:40.8203776-04:00,2026-03-17T19:03:40.8203776Z,,v3,226,471271,6510abe7b020482c8c6b96f890f81284,"Hudson, Brennan",830984,Right,GEO_BUL,d286adc1-2956-448b-8147-41b77e16a148,53.91266,-127.80805,15.00319,5.10309,-1.10469,-9.07317,-2.68817,10.40875,-0.0301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2026-03-17,15:04:00.09,1,4,"Brown, Zachary",1000334133,Right,GEO_BUL,"Williams, Jayden",10143361,Right,CIT_BUL,Undefined,1,Top,0,1,2,Cutter,Slider,InPlay,Undefined,GroundBall,Single,0,0,,86.2278,-0.686196,-3.720553,2557.958062,138.533346,10:30,5.08609,2.82607,6.62693,-29.01506,7.64059,-5.75114,2.03847,-1.06484,79.11683,-6.12854,-4.763125,0.435755,103.88198,-22.01442,-64.815729,,,,,7.72638,5.90775,-31.780497,0.046268,2.00032,4.5454,-2.57137,50,5.02749,8.34438,-125.18882,-2.3316,3.16719,25.81309,-24.97711,GEO_BUL,CIT_BUL,UGeorgia,D1,SEC,20260317-UGeorgia-1,0ec632f0-2234-11f1-9b6c-4fbb10d99801,86.49923,2.64679,,7.11097,,,,3.78233,2.64679,1.85481,d993423b-7068-47e6-a388-ac8167b27385,2026-03-17,19:04:00.09,2026-03-17T15:04:00.0933888-04:00,2026-03-17T19:04:00.0933888Z,GroundBall,v3,226,471271,6510abe7b020482c8c6b96f890f81284,"Hudson, Brennan",830984,Right,GEO_BUL,133cb05f-a1b0-4c57-8d1f-6e14088676b0,53.87507,-125.9853,12.90655,5.08755,-1.56092,-12.48856,-2.82734,8.24665,1.5836,180,3.78158,60.20685,,,,,,,,2.6475,-57.20566,,,,,,,,1.85639,-128.03729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2026-03-17,15:04:56.09,2,1,"Brown, Zachary",1000334133,Right,GEO_BUL,"Barbrey, Miles",10124234,Right,CIT_BUL,Undefined,1,Top,0,0,0,Cutter,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,85.22393,0.120684,-2.704776,2433.266539,145.1539,10:45,5.01252,2.75794,6.88013,-30.64998,6.25654,-3.59799,2.56846,-0.00849,78.44693,-5.653685,-3.361527,0.437243,,,,,,,,,,,,1.20256,3.59709,-2.5853,50,5.00903,5.97619,-123.96774,-0.5684,1.87577,24.24194,-26.56337,GEO_BUL,CIT_BUL,UGeorgia,D1,SEC,20260317-UGeorgia-1,302a2c30-2234-11f1-9b6c-4fbb10d99801,86.20475,,,6.777,,,,,,,d993423b-7068-47e6-a388-ac8167b27385,2026-03-17,19:04:56.09,2026-03-17T15:04:56.0919552-04:00,2026-03-17T19:04:56.0919552Z,,v3,226,471271,6510abe7b020482c8c6b96f890f81284,"Hudson, Brennan",830984,Right,GEO_BUL,b10e2a7e-01a0-43c4-90e3-c786a6b7f685,53.62271,-124.67415,12.12097,5.01432,0.20566,-13.28169,-2.75865,5.92153,0.93788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2026-03-17,15:05:24.42,2,2,"Brown, Zachary",1000334133,Right,GEO_BUL,"Barbrey, Miles",10124234,Right,CIT_BUL,Undefined,1,Top,0,0,1,ChangeUp,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,84.48281,-0.380581,-4.924695,1632.645867,282.755987,3:30,5.02081,2.71216,7.26581,-40.71927,-2.82402,18.56934,1.28201,-0.20595,76.3517,-8.079417,-1.513251,0.443061,,,,,,,,,,,,-11.61217,-0.95858,-2.43627,50,4.98893,9.93205,-122.4888,-1.90632,-17.31255,28.40752,-33.60322,GEO_BUL,CIT_BUL,UGeorgia,D1,SEC,20260317-UGeorgia-1,41136570-2234-11f1-9b6c-4fbb10d99801,85.07274,,,8.13111,,,,,,,d993423b-7068-47e6-a388-ac8167b27385,2026-03-17,19:05:24.42,2026-03-17T15:05:24.4242432-04:00,2026-03-17T19:05:24.4242432Z,,v3,226,471271,6510abe7b020482c8c6b96f890f81284,"Hudson, Brennan",830984,Right,GEO_BUL,8b5ab831-2746-4291-afda-84a1f472bb64,53.23553,-123.2369,14.20376,5.02748,-1.02139,-16.80161,-2.70383,10.38797,-8.65628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2026-03-17,15:05:45.12,2,3,"Brown, Zachary",1000334133,Right,GEO_BUL,"Barbrey, Miles",10124234,Right,CIT_BUL,Undefined,1,Top,0,0,2,Slider,Slider,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,79.01827,0.095484,-2.322208,2507.427237,107.774462,9:30,4.93957,2.73189,6.60041,-37.34998,7.64851,-18.22375,1.91462,-0.9154,70.52105,-6.973974,-5.629923,0.482803,,,,,,,,,,,,8.61142,4.52969,-2.56713,50,4.93134,5.29313,-114.50616,-0.80606,11.03044,28.07808,-26.37196,GEO_BUL,CIT_BUL,UGeorgia,D1,SEC,20260317-UGeorgia-1,4d725ba0-2234-11f1-9b6c-4fbb10d99801,78.06996,,,8.49722,,,,,,,d993423b-7068-47e6-a388-ac8167b27385,2026-03-17,19:05:45.12,2026-03-17T15:05:45.1282432-04:00,2026-03-17T19:05:45.1282432Z,,v3,226,471271,6510abe7b020482c8c6b96f890f81284,"Hudson, Brennan",830984,Right,GEO_BUL,3df16aca-b10a-408a-95b7-8c467aec5941,53.89542,-115.45741,14.03904,4.94351,0.08739,-13.18598,-2.74012,4.91944,5.51522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2026-03-17,15:06:18.67,3,1,"Brown, Zachary",1000334133,Right,GEO_BUL,"Daniels, Phillips",1000097151,Right,CIT_BUL,Undefined,1,Top,1,0,0,Cutter,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,86.02295,-0.96351,-4.428907,2556.740919,155.205023,11:15,5.05783,2.61592,6.88153,-30.21458,6.67016,-2.50205,1.65925,-1.63644,78.23064,-6.66521,-4.884152,0.437114,,,,,,,,,,,,-0.06102,4.24906,-2.33432,50,4.98625,9.74716,-124.67278,-2.93539,-0.09493,27.74592,-25.56303,GEO_BUL,CIT_BUL,UGeorgia,D1,SEC,20260317-UGeorgia-1,61679c60-2234-11f1-9b6c-4fbb10d99801,86.23018,,,7.79231,,,,,,,d993423b-7068-47e6-a388-ac8167b27385,2026-03-17,19:06:18.67,2026-03-17T15:06:18.6732032-04:00,2026-03-17T19:06:18.6732032Z,,v3,226,471271,6510abe7b020482c8c6b96f890f81284,"Hudson, Brennan",830984,Right,GEO_BUL,365753fb-1c3f-45d0-b16e-3bac79b7be51,53.61663,-125.47508,13.87296,5.06044,-2.19621,-12.78151,-2.61621,9.7499,-0.04746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2026-03-17,15:06:37.68,3,2,"Brown, Zachary",1000334133,Right,GEO_BUL,"Daniels, Phillips",1000097151,Right,CIT_BUL,Undefined,1,Top,1,1,0,Sinker,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,91.67939,-1.558514,-4.751941,2211.611564,260.274963,2:45,4.96602,2.86502,6.76934,-28.09565,4.45638,19.47879,1.19622,0.13881,83.2753,-6.852611,-1.208511,0.410639,,,,,,,,,,,,-11.75682,3.165,-2.56069,50,4.85345,10.29462,-132.86753,-4.48079,-20.82331,30.91615,-26.56828,GEO_BUL,CIT_BUL,UGeorgia,D1,SEC,20260317-UGeorgia-1,6cb68220-2234-11f1-9b6c-4fbb10d99801,91.78965,,,8.40409,,,,,,,d993423b-7068-47e6-a388-ac8167b27385,2026-03-17,19:06:37.68,2026-03-17T15:06:37.6804352-04:00,2026-03-17T19:06:37.6804352Z,,v3,226,471271,6510abe7b020482c8c6b96f890f81284,"Hudson, Brennan",830984,Right,GEO_BUL,31602424-b76a-4360-b5f7-0e21bd321d54,53.73235,-133.73316,15.45807,4.9685,-3.7369,-13.28414,-2.8571,10.87767,-10.41166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2026-03-17,15:07:03.92,3,3,"Brown, Zachary",1000334133,Right,GEO_BUL,"Daniels, Phillips",1000097151,Right,CIT_BUL,Undefined,1,Top,1,1,1,Cutter,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,85.86049,0.124354,-2.795271,2450.723599,136.380368,10:30,5.12012,2.66253,6.64901,-31.4486,5.2989,-4.0011,2.61336,-0.23143,78.92892,-5.770715,-3.522296,0.4363,,,,,,,,,,,,1.34193,3.1137,-2.47267,50,5.11594,6.23934,-124.79227,-0.64798,2.12032,24.65019,-27.25428,GEO_BUL,CIT_BUL,UGeorgia,D1,SEC,20260317-UGeorgia-1,7c6084a0-2234-11f1-9b6c-4fbb10d99801,86.39112,,,6.93157,,,,,,,d993423b-7068-47e6-a388-ac8167b27385,2026-03-17,19:07:03.92,2026-03-17T15:07:03.9237632-04:00,2026-03-17T19:07:03.9237632Z,,v3,226,471271,6510abe7b020482c8c6b96f890f81284,"Hudson, Brennan",830984,Right,GEO_BUL,b90662d8-146b-42d3-80fb-73fa9205026b,53.85162,-125.55078,12.3251,5.12298,0.19065,-13.62714,-2.66365,6.1741,1.06016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
