PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallZAmb4,BatSpeed,VerticalAttackAngle,HorizontalAttackAngle
1,2026-03-18,18:03:47.01,1,1,"Sabers, Zachary",1000268351,Right,CAM_CAM,"Mihos, Dean",811763,Right,COA_CHA,Undefined,1,Top,0,0,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,90.84047,-1.303404,-3.849439,2510.031459,232.704059,1:45,5.41317,3.57416,5.39572,-22.21245,12.35914,14.78056,2.33764,1.19285,83.05094,-5.424413,-1.228036,0.423186,,,,,,,,,,,,-8.47493,6.89595,-3.24091,50,5.28118,8.17956,-131.60277,-3.79755,-14.89053,27.44372,-20.05784,CAM_CAM,COA_CHA,JimPerry,D1,CAA,20260318-JimPerry-1,56bd3850-2316-11f1-aea0-29a407be2c0e,89.0683,,,7.78953,,,,,,,deee2488-4870-4405-802c-3cf6adcc5a54,2026-03-18,22:03:47.01,2026-03-18T18:03:47.0157824-04:00,2026-03-18T22:03:47.0157824Z,,v3,471264,4104,eb4b0f0766854d2e876fafdc8a3811cd,"Thompson, Jackson",810918,Right,CAM_CAM,bf40152d-8dc4-4588-ae46-5b1d5d763f5d,55.10496,-132.66306,13.72186,5.41293,-3.02261,-10.02892,-3.56804,8.75486,-7.44527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2026-03-18,18:04:03.12,1,2,"Sabers, Zachary",1000268351,Right,CAM_CAM,"Mihos, Dean",811763,Right,COA_CHA,Undefined,1,Top,0,1,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,91.91073,-1.551914,-3.315851,2489.89449,231.09362,1:45,5.47368,3.44108,5.65575,-19.87871,13.50851,15.43143,2.36697,1.6311,84.09417,-5.27045,-0.563128,0.415874,,,,,,,,,,,,-8.89103,7.61949,-3.1705,50,5.32953,7.0649,-133.32189,-4.29771,-16.01842,28.40019,-18.44651,CAM_CAM,COA_CHA,JimPerry,D1,CAA,20260318-JimPerry-1,60519cd0-2316-11f1-aea0-29a407be2c0e,90.6343,,,7.81656,,,,,,,deee2488-4870-4405-802c-3cf6adcc5a54,2026-03-18,22:04:03.12,2026-03-18T18:04:03.1203328-04:00,2026-03-18T22:04:03.1203328Z,,v3,471264,4104,eb4b0f0766854d2e876fafdc8a3811cd,"Thompson, Jackson",810918,Right,CAM_CAM,4bdce928-429c-472d-b6f9-91ddd491a2b6,54.84765,-134.35057,14.2001,5.4731,-3.62957,-9.22325,-3.43691,7.6451,-8.00921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2026-03-18,18:04:21.03,1,3,"Sabers, Zachary",1000268351,Right,CAM_CAM,"Mihos, Dean",811763,Right,COA_CHA,Undefined,1,Top,0,2,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,91.00833,-1.765392,-5.051408,2497.148886,217.191304,1:15,5.5218,3.39316,5.4775,-19.63533,14.88985,10.44442,2.22661,-0.47559,83.04148,-5.432651,-3.202492,0.422902,,,,,,,,,,,,-6.66335,8.32918,-2.9558,50,5.35302,11.15645,-131.57797,-4.74,-11.68376,27.86694,-17.56935,CAM_CAM,COA_CHA,JimPerry,D1,CAA,20260318-JimPerry-1,6b0c58e0-2316-11f1-aea0-29a407be2c0e,89.12817,,,7.96685,,,,,,,deee2488-4870-4405-802c-3cf6adcc5a54,2026-03-18,22:04:21.03,2026-03-18T18:04:21.0354176-04:00,2026-03-18T22:04:21.0354176Z,,v3,471264,4104,eb4b0f0766854d2e876fafdc8a3811cd,"Thompson, Jackson",810918,Right,CAM_CAM,c484b207-7676-4d81-899c-b4dfda3c8524,55.02235,-132.63739,13.93347,5.52052,-4.07206,-8.78468,-3.38838,11.60064,-5.84188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2026-03-18,18:04:36.89,1,4,"Sabers, Zachary",1000268351,Right,CAM_CAM,"Mihos, Dean",811763,Right,COA_CHA,Undefined,1,Top,0,2,1,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,91.67247,-0.264212,-3.451016,2633.125055,214.48589,1:15,5.56662,3.41275,5.46895,-18.49749,15.38749,9.82268,3.77744,0.99761,83.52196,-3.738808,-1.706767,0.418962,,,,,,,,,,,,-5.89268,8.14237,-3.1157,50,5.53096,7.55789,-132.85582,-1.23819,-10.53009,28.51161,-17.62378,CAM_CAM,COA_CHA,JimPerry,D1,CAA,20260318-JimPerry-1,747bf750-2316-11f1-aea0-29a407be2c0e,89.96615,,,8.15051,,,,,,,deee2488-4870-4405-802c-3cf6adcc5a54,2026-03-18,22:04:36.89,2026-03-18T18:04:36.8905216-04:00,2026-03-18T22:04:36.8905216Z,,v3,471264,4104,eb4b0f0766854d2e876fafdc8a3811cd,"Thompson, Jackson",810918,Right,CAM_CAM,3b41fe68-3afb-4354-ae8f-96a62ab245cf,55.03028,-133.931,14.25581,5.56512,-0.5736,-8.81189,-3.4082,7.95499,-5.26504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2026-03-18,18:04:55.50,1,5,"Sabers, Zachary",1000268351,Right,CAM_CAM,"Mihos, Dean",811763,Right,COA_CHA,Undefined,1,Top,0,2,2,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,79.93137,1.972143,-3.557542,2640.518254,90.945933,9:00,5.13066,3.77819,4.96368,-44.14924,1.8589,-19.39135,3.319,-1.20293,72.62658,-6.041542,-6.958382,0.48819,,,,,,,,,,,,8.45406,0.76366,-3.41681,50,5.28602,8.00921,-115.5712,2.38919,11.29173,24.0428,-31.15407,CAM_CAM,COA_CHA,JimPerry,D1,CAA,20260318-JimPerry-1,7f9a7e40-2316-11f1-aea0-29a407be2c0e,77.20857,,,7.30479,,,,,,,deee2488-4870-4405-802c-3cf6adcc5a54,2026-03-18,22:04:55.50,2026-03-18T18:04:55.5063808-04:00,2026-03-18T22:04:55.5063808Z,,v3,471264,4104,eb4b0f0766854d2e876fafdc8a3811cd,"Thompson, Jackson",810918,Right,CAM_CAM,037042c6-fca8-4170-abd2-a75ebe2f86dc,55.53636,-116.71727,12.0214,5.13674,3.87424,-15.57703,-3.78577,7.47096,5.64586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2026-03-18,18:05:13.81,1,6,"Sabers, Zachary",1000268351,Right,CAM_CAM,"Mihos, Dean",811763,Right,COA_CHA,Undefined,1,Top,0,3,2,Fastball,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,91.02034,-0.83878,-4.942068,2489.840852,235.860105,1:45,5.3807,3.50925,5.31962,-23.30348,11.37508,15.11304,2.64856,0.11901,82.98475,-5.151385,-2.272136,0.42384,,,,,,,,,,,,-8.94965,6.26453,-3.07201,50,5.28784,10.68706,-131.65655,-2.78921,-15.71151,27.89783,-21.1764,CAM_CAM,COA_CHA,JimPerry,D1,CAA,20260318-JimPerry-1,8a8041f0-2316-11f1-aea0-29a407be2c0e,88.93083,,,8.03559,,,,,,,deee2488-4870-4405-802c-3cf6adcc5a54,2026-03-18,22:05:13.81,2026-03-18T18:05:13.8178560-04:00,2026-03-18T22:05:13.8178560Z,,v3,471264,4104,eb4b0f0766854d2e876fafdc8a3811cd,"Thompson, Jackson",810918,Right,CAM_CAM,f6cf7dff-8595-4be9-9b85-3a8bc5a7105c,55.18109,-132.74988,13.94891,5.38089,-1.9593,-10.5882,-3.5029,11.3028,-7.85575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2026-03-18,18:05:33.79,1,7,"Sabers, Zachary",1000268351,Right,CAM_CAM,"Mihos, Dean",811763,Right,COA_CHA,Undefined,1,Top,0,3,2,Fastball,Four-Seam,BallCalled,Walk,Undefined,Undefined,0,0,,90.32196,0.688062,-4.874086,2563.401949,189.636204,12:15,5.48053,3.51749,5.16928,-21.98285,13.89087,2.1426,4.29855,-0.90217,81.33462,-3.410506,-4.497363,0.431082,,,,,,,,,,,,-2.58914,7.05827,-3.06389,50,5.52868,11.01608,-130.38514,0.78727,-4.40296,30.51984,-20.17104,CAM_CAM,COA_CHA,JimPerry,D1,CAA,20260318-JimPerry-1,966414b0-2316-11f1-aea0-29a407be2c0e,87.43689,,,8.98734,,,,,,,deee2488-4870-4405-802c-3cf6adcc5a54,2026-03-18,22:05:33.79,2026-03-18T18:05:33.7933824-04:00,2026-03-18T22:05:33.7933824Z,,v3,471264,4104,eb4b0f0766854d2e876fafdc8a3811cd,"Thompson, Jackson",810918,Right,CAM_CAM,ac5df067-54e8-46d1-aa1a-d75405328eac,55.3269,-131.62613,15.25992,5.47999,1.60746,-10.08552,-3.51546,11.19511,-2.20148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2026-03-18,18:06:07.16,2,1,"Sabers, Zachary",1000268351,Right,CAM_CAM,"Mazon, Trace",836180,Right,COA_CHA,Undefined,1,Top,0,0,0,Cutter,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,85.4806,-0.311947,-3.43131,2602.248316,152.828777,11:00,5.30793,3.71127,5.27797,-34.83994,4.99827,-1.82941,2.11108,0.33218,77.2276,-6.704033,-3.755056,0.454278,,,,,,,,,,,,-0.19783,3.01008,-3.39625,50,5.2541,7.49471,-123.65952,-1.94504,-0.30149,28.31403,-27.58716,CAM_CAM,COA_CHA,JimPerry,D1,CAA,20260318-JimPerry-1,aa4e0ad0-2316-11f1-aea0-29a407be2c0e,82.97227,,,8.253,,,,,,,deee2488-4870-4405-802c-3cf6adcc5a54,2026-03-18,22:06:07.16,2026-03-18T18:06:07.1602176-04:00,2026-03-18T22:06:07.1602176Z,,v3,471264,4104,eb4b0f0766854d2e876fafdc8a3811cd,"Thompson, Jackson",810918,Right,CAM_CAM,d285711a-6e2c-46c1-9e8a-37211aa48d7a,55.22032,-124.84908,14.15701,5.31148,-0.78602,-13.79358,-3.71139,7.50738,-0.15074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2026-03-18,18:06:24.90,2,2,"Sabers, Zachary",1000268351,Right,CAM_CAM,"Mazon, Trace",836180,Right,COA_CHA,Undefined,1,Top,0,0,1,Sinker,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,91.53093,-1.484308,-5.750081,2480.675061,240.338763,2:00,5.39543,3.49812,5.44316,-24.2436,11.04796,16.78198,1.97796,-0.50558,81.0302,-6.03215,-2.783753,0.42757,,,,,,,,,,,,-10.45493,6.51406,-2.99973,50,5.24743,12.45727,-131.73622,-4.29247,-17.81246,35.93155,-21.07582,CAM_CAM,COA_CHA,JimPerry,D1,CAA,20260318-JimPerry-1,b4db4e40-2316-11f1-aea0-29a407be2c0e,88.15508,,,10.50073,,,,,,,deee2488-4870-4405-802c-3cf6adcc5a54,2026-03-18,22:06:24.90,2026-03-18T18:06:24.9091584-04:00,2026-03-18T22:06:24.9091584Z,,v3,471264,4104,eb4b0f0766854d2e876fafdc8a3811cd,"Thompson, Jackson",810918,Right,CAM_CAM,c462da32-c8ef-41a8-9007-f6769483fbf1,55.05126,-133.10684,17.96577,5.39583,-3.48853,-10.53791,-3.48787,13.13674,-8.90623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2026-03-18,18:06:42.06,2,3,"Sabers, Zachary",1000268351,Right,CAM_CAM,"Mazon, Trace",836180,Right,COA_CHA,Undefined,1,Top,0,0,2,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,91.41206,-1.991352,-4.692702,2619.585339,196.287204,12:30,5.43144,3.45342,5.41192,-18.67261,16.21076,4.3524,2.00268,-0.59028,82.10307,-5.514079,-3.92299,0.42509,87.56039,27.982395,33.068403,5093.792624,86.14003,50.27779,68.40961,283.41243,202.70027,47.139847,4.422648,-3.74957,9.18611,-3.03825,50,5.24119,10.63018,-131.94376,-5.22213,-6.48999,32.82657,-16.27421,CAM_CAM,COA_CHA,JimPerry,D1,CAA,20260318-JimPerry-1,bf1345c0-2316-11f1-aea0-29a407be2c0e,88.66934,59.36707,,9.30899,,,,1.22379,2.10709,0.75022,deee2488-4870-4405-802c-3cf6adcc5a54,2026-03-18,22:06:42.06,2026-03-18T18:06:42.0628480-04:00,2026-03-18T22:06:42.0628480Z,LineDrive,v3,471264,4104,eb4b0f0766854d2e876fafdc8a3811cd,"Thompson, Jackson",810918,Right,CAM_CAM,631326e8-157d-4982-a8c5-75d3db4b950d,55.08584,-133.20307,16.41329,5.42955,-4.59782,-8.1371,-3.45083,10.87915,-3.245,,1.22253,95.07414,-25.99388,7.17014,-2.06254,0.61011,-0.15178,0.02303,-0.00144,2.10773,60.23787,-17.29864,0.43463,0.39743,-0.21181,0.06103,-0.0086,0.00045,0.75154,61.85145,-3.25277,-1.10034,0.67951,-0.21338,0.03884,-0.00318,5E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
