PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallZAmb4,BatSpeed,VerticalAttackAngle,HorizontalAttackAngle
1,2026-03-18,16:07:09.74,1,1,"Baker, Adam",831407,Right,CHA_FOR,"Zenor, Henry",10101738,Left,USC_UPS,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,93.1616,-4.148065,-3.77816,2300.949523,204.057002,12:45,6.17902,1.44099,6.05678,-12.13575,20.99127,8.75863,1.31318,-1.33124,82.89663,-6.547822,-2.206579,0.41425,,,,,,,,,,,,-5.80339,12.61174,-1.15149,50,5.84901,8.47147,-134.34446,-10.02675,-10.31466,36.55905,-9.75861,CHA_FOR,USC_UPS,UNCCharlotte,D1,AMER,20260318-UNCCharlotte-1,bf9333e0-2305-11f1-ad9e-e3d709a18214,90.98955,,,10.26498,,,,,,,d1685407-72e3-474b-99eb-6232c3bb2567,2026-03-18,20:07:09.74,2026-03-18T16:07:09.7425408-04:00,2026-03-18T20:07:09.7425408Z,,v3,471371,471513,19756,"Stricklin, Cale",812802,Right,CHA_FOR,e9dd4518-6aac-401b-ae44-4d0a3eacdfce,54.43499,-135.54598,18.27952,6.17326,-9.70603,-4.8793,-1.43547,8.81047,-5.15733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2026-03-18,16:07:26.04,1,2,"Baker, Adam",831407,Right,CHA_FOR,"Zenor, Henry",10101738,Left,USC_UPS,Undefined,1,Top,0,1,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,93.21437,-3.665994,-4.287287,2288.463452,219.050774,1:15,6.20746,1.22211,5.99404,-16.01993,17.05103,12.74973,1.46104,-1.69583,83.19927,-6.752544,-2.002923,0.413899,,,,,,,,,,,,-7.98544,10.38957,-0.89051,50,5.90885,9.49982,-134.46191,-9.09027,-14.2588,35.86284,-13.62244,CHA_FOR,USC_UPS,UNCCharlotte,D1,AMER,20260318-UNCCharlotte-1,c95007f0-2305-11f1-ad9e-e3d709a18214,91.06666,,,10.0151,,,,,,,d1685407-72e3-474b-99eb-6232c3bb2567,2026-03-18,20:07:26.04,2026-03-18T16:07:26.0473856-04:00,2026-03-18T20:07:26.0473856Z,,v3,471371,471513,19756,"Stricklin, Cale",812802,Right,CHA_FOR,13af6d0d-f4cc-4229-b830-dafe071fd0c9,54.49923,-135.65661,17.93142,6.20411,-8.63647,-6.81122,-1.21489,9.97483,-7.1294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2026-03-18,16:07:42.42,1,3,"Baker, Adam",831407,Right,CHA_FOR,"Zenor, Henry",10101738,Left,USC_UPS,Undefined,1,Top,0,2,0,Cutter,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,82.90019,-1.084943,-1.784948,2334.553123,129.0903,10:15,6.02637,1.55612,6.07029,-35.339,5.13485,-4.73437,2.07689,-0.49066,76.04865,-7.62677,-2.637949,0.457887,,,,,,,,,,,,1.92323,3.36843,-1.41546,50,5.92369,3.9339,-120.38442,-3.39698,2.81383,24.02822,-27.24578,CHA_FOR,USC_UPS,UNCCharlotte,D1,AMER,20260318-UNCCharlotte-1,d313b9d0-2305-11f1-ad9e-e3d709a18214,82.31819,,,6.85153,,,,,,,d1685407-72e3-474b-99eb-6232c3bb2567,2026-03-18,20:07:42.42,2026-03-18T16:07:42.4246784-04:00,2026-03-18T20:07:42.4246784Z,,v3,471371,471513,19756,"Stricklin, Cale",812802,Right,CHA_FOR,628b0144-32c0-486d-a54d-7912eaf5447c,54.42711,-121.26483,12.01411,6.02987,-2.39867,-13.62289,-1.55771,3.8308,1.40691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2026-03-18,16:07:59.82,1,4,"Baker, Adam",831407,Right,CHA_FOR,"Zenor, Henry",10101738,Left,USC_UPS,Undefined,1,Top,0,2,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,93.07696,-3.019017,-3.937954,2316.549518,207.904032,1:00,6.13432,1.27819,5.99442,-13.67016,19.4454,9.59123,2.18825,-1.57753,82.97285,-5.692299,-2.219314,0.414178,,,,,,,,,,,,-6.39433,11.48898,-0.97312,50,5.88871,8.84316,-134.46082,-7.4689,-11.39039,36.48943,-11.70843,CHA_FOR,USC_UPS,UNCCharlotte,D1,AMER,20260318-UNCCharlotte-1,dd688820-2305-11f1-ad9e-e3d709a18214,91.00532,,,10.10411,,,,,,,d1685407-72e3-474b-99eb-6232c3bb2567,2026-03-18,20:07:59.82,2026-03-18T16:07:59.8216704-04:00,2026-03-18T20:07:59.8216704Z,,v3,471371,471513,19756,"Stricklin, Cale",812802,Right,CHA_FOR,9d693f03-6e50-4c8a-94c1-1a834ae39698,54.50239,-135.67716,18.24471,6.13118,-7.07862,-5.85422,-1.27422,9.22285,-5.69519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2026-03-18,16:08:18.22,1,5,"Baker, Adam",831407,Right,CHA_FOR,"Zenor, Henry",10101738,Left,USC_UPS,Undefined,1,Top,0,3,1,Cutter,Slider,BallCalled,Walk,Undefined,Undefined,0,0,,83.12704,-3.264903,-3.230429,2354.629161,142.101471,10:45,6.00334,1.49607,6.16178,-36.12573,5.34268,-2.84543,-0.0312,-1.72836,74.53383,-9.9715,-3.743635,0.463479,,,,,,,,,,,,0.25953,4.46587,-1.24946,50,5.73712,6.88764,-120.09547,-7.97073,0.36655,30.40303,-25.86699,CHA_FOR,USC_UPS,UNCCharlotte,D1,AMER,20260318-UNCCharlotte-1,e867c740-2305-11f1-ad9e-e3d709a18214,81.32501,,,8.59321,,,,,,,d1685407-72e3-474b-99eb-6232c3bb2567,2026-03-18,20:08:18.22,2026-03-18T16:08:18.2211584-04:00,2026-03-18T20:08:18.2211584Z,,v3,471371,471513,19756,"Stricklin, Cale",812802,Right,CHA_FOR,a3989b51-4586-4a77-8a30-a827834842f2,54.33273,-121.18736,15.20152,6.0067,-7.04174,-12.93349,-1.49658,6.87447,0.18327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2026-03-18,16:08:53.43,2,1,"Baker, Adam",831407,Right,CHA_FOR,"Armsey, Jake",813549,Right,USC_UPS,Undefined,1,Top,0,0,0,Cutter,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,83.49444,-1.577474,-1.338111,2326.016449,121.74564,10:00,6.02743,1.74258,5.9319,-36.5025,4.2454,-4.4391,1.52125,0.13096,75.5071,-8.339802,-2.136625,0.459435,,,,,,,,,,,,1.81461,3.17453,-1.63331,50,5.88128,3.00613,-121.01746,-4.52635,2.63932,27.84792,-27.5567,CHA_FOR,USC_UPS,UNCCharlotte,D1,AMER,20260318-UNCCharlotte-1,fd699600-2305-11f1-ad9e-e3d709a18214,82.04085,,,7.98733,,,,,,,d1685407-72e3-474b-99eb-6232c3bb2567,2026-03-18,20:08:53.43,2026-03-18T16:08:53.4305280-04:00,2026-03-18T20:08:53.4305280Z,,v3,471371,471513,19756,"Stricklin, Cale",812802,Right,CHA_FOR,cea70f8a-c9c7-44d4-b91b-b78c1489a06d,54.56286,-122.06293,13.92396,6.03178,-3.49181,-13.77835,-1.74431,2.90704,1.31966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2026-03-18,16:09:10.74,2,2,"Baker, Adam",831407,Right,CHA_FOR,"Armsey, Jake",813549,Right,USC_UPS,Undefined,1,Top,0,1,0,Cutter,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,82.86843,-1.044598,-3.647617,2353.206237,131.14371,10:15,6.05274,1.42967,6.04436,-36.6725,4.79099,-3.69299,2.02753,-2.25965,74.64227,-7.859933,-4.310667,0.463451,,,,,,,,,,,,0.62913,3.30272,-1.14333,50,5.95195,7.78944,-119.90754,-3.34855,0.89473,28.19716,-27.47714,CHA_FOR,USC_UPS,UNCCharlotte,D1,AMER,20260318-UNCCharlotte-1,07b9f780-2306-11f1-ad9e-e3d709a18214,81.32985,,,8.22615,,,,,,,d1685407-72e3-474b-99eb-6232c3bb2567,2026-03-18,20:09:10.74,2026-03-18T16:09:10.7432960-04:00,2026-03-18T20:09:10.7432960Z,,v3,471371,471513,19756,"Stricklin, Cale",812802,Right,CHA_FOR,c036a42b-63d5-41c9-b9e1-ffa72a7bdf56,54.45021,-120.94951,14.09858,6.05693,-2.33318,-13.73857,-1.43056,7.75637,0.44737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2026-03-18,16:10:08.95,2,3,"Baker, Adam",831407,Right,CHA_FOR,"Armsey, Jake",813549,Right,USC_UPS,Undefined,1,Top,0,2,0,Cutter,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,81.95362,0.186148,-2.748084,2238.729903,61.332286,8:00,6.01928,1.76687,5.98264,-43.25924,-1.1937,-4.87296,2.58708,-1.18833,74.37843,-7.801624,-3.623384,0.466804,,,,,,,,,,,,1.6013,-0.18382,-1.54717,50,6.01066,5.89484,-118.81292,-1.03105,2.25465,25.95069,-32.43284,CHA_FOR,USC_UPS,UNCCharlotte,D1,AMER,20260318-UNCCharlotte-1,2a6b7f60-2306-11f1-ad9e-e3d709a18214,80.74572,,,7.57519,,,,,,,d1685407-72e3-474b-99eb-6232c3bb2567,2026-03-18,20:10:08.95,2026-03-18T16:10:08.9581056-04:00,2026-03-18T20:10:08.9581056Z,,v3,471371,471513,19756,"Stricklin, Cale",812802,Right,CHA_FOR,71442553-3077-4fbc-b6c6-96f149248a02,54.5137,-119.79473,12.97534,6.02645,0.196,-16.21642,-1.76858,5.80954,1.12733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2026-03-18,16:10:43.78,2,4,"Baker, Adam",831407,Right,CHA_FOR,"Armsey, Jake",813549,Right,USC_UPS,Undefined,1,Top,0,2,1,Cutter,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,83.19698,-0.435953,-1.993524,2386.908696,160.604673,11:15,6.08819,1.68219,5.89279,-35.15809,5.23083,-1.39492,2.75333,-0.2857,76.30627,-6.932591,-2.243889,0.457407,,,,,,,,,,,,0.15567,3.16071,-1.52079,50,6.03274,4.25942,-120.82495,-2.05787,0.22975,23.9001,-27.50931,CHA_FOR,USC_UPS,UNCCharlotte,D1,AMER,20260318-UNCCharlotte-1,3f2bd850-2306-11f1-ad9e-e3d709a18214,82.40463,,,6.89071,,,,,,,d1685407-72e3-474b-99eb-6232c3bb2567,2026-03-18,20:10:43.78,2026-03-18T16:10:43.7845504-04:00,2026-03-18T20:10:43.7845504Z,,v3,471371,471513,19756,"Stricklin, Cale",812802,Right,CHA_FOR,42e21061-2237-4df9-8e99-73239425af99,54.60614,-121.73267,11.95005,6.09106,-1.01307,-13.75466,-1.6824,4.25069,0.11488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2026-03-18,16:11:28.15,2,5,"Baker, Adam",831407,Right,CHA_FOR,"Armsey, Jake",813549,Right,USC_UPS,Undefined,1,Top,0,2,2,Cutter,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,80.60834,1.960265,0.04058,2280.255295,103.641754,9:30,6.10913,1.57471,5.87744,-38.85093,4.54414,-12.70465,4.69281,0.55368,73.10242,-5.258125,-2.238559,0.474124,,,,,,,,,,,,6.46323,2.19043,-1.57085,50,6.24543,0.41656,-116.95431,2.76612,8.86665,24.02142,-29.16906,CHA_FOR,USC_UPS,UNCCharlotte,D1,AMER,20260318-UNCCharlotte-1,59a2bf50-2306-11f1-ad9e-e3d709a18214,79.49918,,,7.50592,,,,,,,d1685407-72e3-474b-99eb-6232c3bb2567,2026-03-18,20:11:28.15,2026-03-18T16:11:28.1516032-04:00,2026-03-18T20:11:28.1516032Z,,v3,471371,471513,19756,"Stricklin, Cale",812802,Right,CHA_FOR,67be06d9-1a80-4153-adb9-667857370ddd,54.619,-117.8992,12.01071,6.11405,3.91348,-14.58453,-1.58037,0.06779,4.43333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
