PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallZAmb4,BatSpeed,VerticalAttackAngle,HorizontalAttackAngle
1,2026-03-19,15:57:38.13,1,1,"Riding, Grayson",10173065,Right,CSI_EAG,"Ford, Cam",1000509790,Right,UTS_EAG,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,92.6066,-1.403392,-2.326242,2232.400108,194.574601,12:30,5.64103,1.73634,6.35558,-15.8082,15.65517,3.85725,3.0307,-0.08445,86.1066,-4.396164,-1.6287,0.403714,,,,,,,,,,,,-2.53272,8.74922,-1.56941,50,5.53148,5.31705,-134.72859,-3.7576,-4.74293,24.10508,-15.78969,CSI_EAG,UTS_EAG,SouthernIdaho,JUCO,NJCAA,20260319-SouthernIdaho-1,a53a0170-23de-11f1-8b25-9decafcb199e,93.36418,,,6.5,,,,,,,eb96ba9e-eb59-45ce-890e-4501f3fcf259,2026-03-19,21:57:38.13,2026-03-19T15:57:38.1340000-06:00,2026-03-19T21:57:38.1340000Z,,v3,643-147572,643-147614,e796diou7qgmrpyk,"Critchley, Stetson",10304756,Right,CSI_EAG,f0bf55e3-ba67-4c74-ab6d-e187dcde89b5,54.14433,-135.46805,12.05254,5.63932,-3.27323,-7.89484,-1.73475,5.46255,-2.37146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2026-03-19,15:57:52.47,1,2,"Riding, Grayson",10173065,Right,CSI_EAG,"Ford, Cam",1000509790,Right,UTS_EAG,Undefined,1,Top,0,0,1,Sweeper,Four-Seam,InPlay,Undefined,Popup,Out,1,0,,92.67679,-2.12382,-2.375014,2065.680797,195.33602,12:30,5.74145,1.69948,6.11902,-18.76808,12.97194,3.32878,2.21135,-0.22012,86.26165,-5.628734,-1.775542,0.405485,82.93087,36.290444,-11.489717,3366.075172,107.27114,69.80771,-24.34838,342.80284,334.65575,-15.515248,5.292078,-2.27614,7.47315,-1.51928,50,5.56862,5.4539,-134.75411,-5.60533,-4.26058,24.34221,-18.18541,CSI_EAG,UTS_EAG,SouthernIdaho,JUCO,NJCAA,20260319-SouthernIdaho-1,adc1b0e0-23de-11f1-8b25-9decafcb199e,92.95636,89.40803,,6.41514,,,,1.35357,2.29673,0.20503,eb96ba9e-eb59-45ce-890e-4501f3fcf259,2026-03-19,21:57:52.47,2026-03-19T15:57:52.4730000-06:00,2026-03-19T21:57:52.4730000Z,FlyBall,v3,643-147572,643-147614,e796diou7qgmrpyk,"Critchley, Stetson",10304756,Right,CSI_EAG,b1b72a7b-75dc-4595-91c7-1bd316afecb0,54.38229,-135.54342,12.17111,5.74082,-5.01566,-9.0927,-1.69837,5.59205,-2.13029,167.292139,1.35629,96.01909,-14.54441,2.86088,-0.27765,-0.05005,0.02181,-0.00285,0.00013,2.29408,72.0366,-16.61109,1.11982,-0.31862,0.08537,-0.01233,0.00077,-1E-05,0.20458,-19.51842,0.54449,0.03148,-0.05575,0.02156,-0.00417,0.0004,-2E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2026-03-19,15:58:36.67,2,1,"Riding, Grayson",10173065,Right,CSI_EAG,"Duryea, Truman",1000401405,Left,UTS_EAG,Undefined,1,Top,1,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,93.25814,-2.299634,-1.125315,2081.214898,201.334501,12:45,5.52309,1.90521,6.15721,-15.93292,15.5158,5.71366,2.06928,1.3416,86.26356,-5.309759,-0.094533,0.40362,,,,,,,,,,,,-3.22386,8.86819,-1.82259,50,5.33998,2.42129,-135.57722,-5.92398,-6.07428,26.22887,-15.46494,CSI_EAG,UTS_EAG,SouthernIdaho,JUCO,NJCAA,20260319-SouthernIdaho-1,c81b72f0-23de-11f1-8b25-9decafcb199e,93.38595,,,6.99458,,,,,,,eb96ba9e-eb59-45ce-890e-4501f3fcf259,2026-03-19,21:58:36.67,2026-03-19T15:58:36.6720000-06:00,2026-03-19T21:58:36.6720000Z,,v3,643-147572,643-147614,e796diou7qgmrpyk,"Critchley, Stetson",10304756,Right,CSI_EAG,1aff1849-7230-4108-95f8-c66e22c60b25,54.34191,-136.41462,13.11444,5.52123,-5.43024,-7.73247,-1.90299,2.61523,-3.03714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2026-03-19,15:58:49.10,2,2,"Riding, Grayson",10173065,Right,CSI_EAG,"Duryea, Truman",1000401405,Left,UTS_EAG,Undefined,1,Top,1,0,1,ChangeUp,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,85.48179,-2.601913,-1.942764,1361.317272,217.928188,1:15,5.41577,2.00014,5.74678,-28.33958,9.75969,6.75989,0.62867,0.75404,79.33939,-7.809949,-0.731864,0.444252,,,,,,,,,,,,-3.97091,5.94252,-1.84305,50,5.18181,3.94595,-124.1521,-6.58655,-6.26474,22.34163,-22.7988,CSI_EAG,UTS_EAG,SouthernIdaho,JUCO,NJCAA,20260319-SouthernIdaho-1,cf89ea30-23de-11f1-8b25-9decafcb199e,84.84469,,,6.1424,,,,,,,eb96ba9e-eb59-45ce-890e-4501f3fcf259,2026-03-19,21:58:49.10,2026-03-19T15:58:49.1070000-06:00,2026-03-19T21:58:49.1070000Z,,v3,643-147572,643-147614,e796diou7qgmrpyk,"Critchley, Stetson",10304756,Right,CSI_EAG,5640b195-42f9-4860-b742-e9315bafac3e,54.75439,-125.00474,11.17082,5.41658,-5.71646,-11.3994,-1.99821,4.18504,-3.13237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2026-03-19,15:59:03.99,2,3,"Riding, Grayson",10173065,Right,CSI_EAG,"Duryea, Truman",1000401405,Left,UTS_EAG,Undefined,1,Top,1,0,2,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,86.34009,-3.940085,-2.855785,1694.579797,238.317194,2:00,5.46411,2.18796,5.75873,-32.15699,5.1817,6.74992,-0.89344,0.09007,80.70778,-9.779792,-1.646099,0.439795,,,,,,,,,,,,-4.19642,3.83051,-1.95554,50,5.11661,5.98729,-125.22411,-9.73268,-6.75789,21.92674,-26.00545,CSI_EAG,UTS_EAG,SouthernIdaho,JUCO,NJCAA,20260319-SouthernIdaho-1,d864c2b0-23de-11f1-8b25-9decafcb199e,85.70447,,,5.63232,,,,,,,eb96ba9e-eb59-45ce-890e-4501f3fcf259,2026-03-19,21:59:03.99,2026-03-19T15:59:03.9970000-06:00,2026-03-19T21:59:03.9970000Z,,v3,643-147572,643-147614,e796diou7qgmrpyk,"Critchley, Stetson",10304756,Right,CSI_EAG,c66ac266-c79d-43c2-93e5-7056c4c52ec4,54.74412,-126.05207,10.96337,5.46558,-8.75072,-13.00272,-2.18644,6.24247,-3.37895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2026-03-19,15:59:25.41,2,4,"Riding, Grayson",10173065,Right,CSI_EAG,"Duryea, Truman",1000401405,Left,UTS_EAG,Undefined,1,Top,1,1,2,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,87.18807,-2.650574,-2.928142,1470.729415,246.011591,2:15,5.4595,2.03529,6.10327,-29.67734,6.28111,11.97367,0.53021,0.32281,81.41185,-8.109577,-0.76997,0.431591,,,,,,,,,,,,-6.96201,4.12044,-1.81669,50,5.23937,6.03196,-126.69492,-6.83569,-11.50615,21.80786,-25.3642,CSI_EAG,UTS_EAG,SouthernIdaho,JUCO,NJCAA,20260319-SouthernIdaho-1,e5290a60-23de-11f1-8b25-9decafcb199e,87.33377,,,5.77622,,,,,,,eb96ba9e-eb59-45ce-890e-4501f3fcf259,2026-03-19,21:59:25.41,2026-03-19T15:59:25.4140000-06:00,2026-03-19T21:59:25.4140000Z,,v3,643-147572,643-147614,e796diou7qgmrpyk,"Critchley, Stetson",10304756,Right,CSI_EAG,1adeffcc-8718-48fe-930a-17710010c181,54.39954,-127.44995,10.90393,5.46084,-5.95753,-12.6821,-2.03242,6.43033,-5.75308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2026-03-19,15:59:40.95,2,5,"Riding, Grayson",10173065,Right,CSI_EAG,"Duryea, Truman",1000401405,Left,UTS_EAG,Undefined,1,Top,1,2,2,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,92.79513,-0.697308,-1.69243,2164.793075,191.859586,12:30,5.56789,1.77091,6.25868,-16.80942,14.90993,2.93886,3.52382,0.4548,85.43918,-3.888198,-1.161615,0.405353,,,,,,,,,,,,-1.96831,8.22359,-1.64683,50,5.50778,3.86824,-134.96187,-2.14291,-3.65905,27.20339,-16.8866,CSI_EAG,UTS_EAG,SouthernIdaho,JUCO,NJCAA,20260319-SouthernIdaho-1,ee6e6480-23de-11f1-8b25-9decafcb199e,92.98665,,,7.35595,,,,,,,eb96ba9e-eb59-45ce-890e-4501f3fcf259,2026-03-19,21:59:40.95,2026-03-19T15:59:40.9570000-06:00,2026-03-19T21:59:40.9570000Z,,v3,643-147572,643-147614,e796diou7qgmrpyk,"Critchley, Stetson",10304756,Right,CSI_EAG,857dc65a-745d-42c0-8912-786cf2337d7c,54.24128,-135.81406,13.60169,5.56662,-1.61391,-8.4433,-1.76981,3.98287,-1.82952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2026-03-19,16:00:00.54,2,6,"Riding, Grayson",10173065,Right,CSI_EAG,"Duryea, Truman",1000401405,Left,UTS_EAG,Undefined,1,Top,1,2,2,ChangeUp,Changeup,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,85.74886,0.098772,-1.522047,1305.507324,237.618391,2:00,5.3747,1.95438,5.90351,-32.80939,4.76351,5.84622,2.7323,1.02835,79.30448,-5.95544,-0.472202,0.441173,,,,,,,,,,,,-3.37355,2.75351,-1.83541,50,5.36376,3.07854,-124.69484,-0.88921,-5.36697,22.62586,-27.79352,CSI_EAG,UTS_EAG,SouthernIdaho,JUCO,NJCAA,20260319-SouthernIdaho-1,fa21d870-23de-11f1-8b25-9decafcb199e,85.43694,,,6.44438,,,,,,,eb96ba9e-eb59-45ce-890e-4501f3fcf259,2026-03-19,22:00:00.54,2026-03-19T16:00:00.5440000-06:00,2026-03-19T22:00:00.5440000Z,,v3,643-147572,643-147614,e796diou7qgmrpyk,"Critchley, Stetson",10304756,Right,CSI_EAG,8a0b7270-e6cb-4e68-8475-62d8d764b6a1,54.59622,-125.52605,11.31293,5.37767,0.13185,-13.89676,-1.95213,3.27571,-2.68348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.62818,,,0.877808,,,,-1.00761,6.0033,5.76001,68.49736,5.28764,56.29482,-0.96797,84.71926,-6.34789,6.04177,12.28433,-14.95867,5.7947,62.12783,-5.22608,High,High,High,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2026-03-19,16:00:25.76,3,1,"Riding, Grayson",10173065,Right,CSI_EAG,"Olsen, Jace",10873694,Right,UTS_EAG,Undefined,1,Top,2,0,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,92.67947,-1.901194,-1.81798,2174.476408,187.516026,12:15,5.71835,1.75031,6.16949,-19.11481,12.85127,1.57197,2.36791,0.20159,85.42591,-5.493102,-1.534468,0.406927,79.23549,22.16682,79.195027,5251.909398,,,,,86.69628,,,-1.28579,7.44276,-1.61345,50,5.56444,4.21036,-134.69178,-5.07583,-2.37919,27.27213,-18.40227,CSI_EAG,UTS_EAG,SouthernIdaho,JUCO,NJCAA,20260319-SouthernIdaho-1,09238d00-23df-11f1-8b25-9decafcb199e,92.62712,30.64735,,7.25357,,,,1.23538,2.35045,-0.19673,eb96ba9e-eb59-45ce-890e-4501f3fcf259,2026-03-19,22:00:25.76,2026-03-19T16:00:25.7630000-06:00,2026-03-19T22:00:25.7630000Z,,v3,643-147572,643-147614,e796diou7qgmrpyk,"Critchley, Stetson",10304756,Right,CSI_EAG,53b0cd01-3263-4ef8-ba39-015cb15ecc40,54.33023,-135.56572,13.63606,5.71765,-4.48612,-9.20113,-1.74959,4.28661,-1.18959,,1.23538,20.17568,-10.72932,1.95945,-0.49179,0.21885,-0.17077,0.09321,-0.02159,2.35045,43.84726,-14.46373,0.83465,-0.09406,0.00794,0.01261,-0.0091,0.00222,-0.19673,105.71451,-12.09267,1.27564,-0.22152,0.00864,0.01755,-0.01268,0.00318,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Undefined,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2026-03-19,16:00:42.53,3,2,"Riding, Grayson",10173065,Right,CSI_EAG,"Olsen, Jace",10873694,Right,UTS_EAG,Undefined,1,Top,2,0,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,92.79921,-2.357139,-2.548583,2216.154716,207.11378,1:00,5.75753,1.50745,5.97692,-20.24414,11.78843,5.57335,1.88206,-0.39219,85.91303,-6.126436,-1.547476,0.40735,,,,,,,,,,,,-3.4891,6.92374,-1.30893,50,5.55953,5.76118,-134.77566,-6.23004,-6.4962,25.93164,-19.28296,CSI_EAG,UTS_EAG,SouthernIdaho,JUCO,NJCAA,20260319-SouthernIdaho-1,131c3190-23df-11f1-8b25-9decafcb199e,92.53091,,,6.88618,,,,,,,eb96ba9e-eb59-45ce-890e-4501f3fcf259,2026-03-19,22:00:42.53,2026-03-19T16:00:42.5360000-06:00,2026-03-19T22:00:42.5360000Z,,v3,643-147572,643-147614,e796diou7qgmrpyk,"Critchley, Stetson",10304756,Right,CSI_EAG,2f38fa7c-d603-40a8-8d9f-11ca1946dae8,54.5228,-135.64308,12.96582,5.75714,-5.58501,-9.64148,-1.50528,5.97848,-3.2481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
