PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallZAmb4,BatSpeed,VerticalAttackAngle,HorizontalAttackAngle
1,2026-03-20,18:36:47.01,1,1,"Schaaf, Jason",1000268879,Right,MIS_BEA,"Nowak, Owen",10065786,Left,MTSU_BLU,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.29543,-1.638427,-0.428651,2284.29659,210.706399,1:00,5.69418,1.03957,5.64384,-19.03678,15.56741,8.58764,2.579,1.35536,82.51626,-5.214124,1.106121,0.423385,,,,,,,,,,,,-4.45689,8.68276,-1.00867,50,5.54311,0.59751,-131.06922,-4.36736,-7.74918,27.83218,-17.07738,MIS_BEA,MTSU_BLU,Hammons,D1,CUSA,20260320-Hammons-1,aa31d8b0-24b5-11f1-b680-e944a86fed0d,89.02635,,,7.77916,,,,,,,162c0d96-942d-439b-a194-7eb7b9b553eb,2026-03-20,23:36:47.01,2026-03-20T18:36:47.0164480-05:00,2026-03-20T23:36:47.0164480Z,,v3,471451,471359,fd4f281166ae42bf9f86757c602edea4,"Bergman, Carter",1000138588,Right,MIS_BEA,87756a5b-d6b7-4db3-8c30-42a2f6051e1a,54.8526,-132.09563,13.91609,5.69256,-3.73757,-8.53869,-1.03598,0.88329,-3.87459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2026-03-20,18:37:01.26,1,2,"Schaaf, Jason",1000268879,Right,MIS_BEA,"Nowak, Owen",10065786,Left,MTSU_BLU,Undefined,1,Top,0,1,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.5459,-1.275125,-1.339485,2395.398117,203.614066,12:45,5.66487,0.94428,5.73895,-18.1621,16.20517,6.59339,2.96352,0.24626,82.49722,-4.708817,-0.159567,0.421933,,,,,,,,,,,,-3.72012,8.93756,-0.83682,50,5.54769,2.77948,-131.40464,-3.49465,-6.48693,28.55035,-16.58927,MIS_BEA,MTSU_BLU,Hammons,D1,CUSA,20260320-Hammons-1,b2af00d0-24b5-11f1-b680-e944a86fed0d,89.33266,,,8.04869,,,,,,,162c0d96-942d-439b-a194-7eb7b9b553eb,2026-03-20,23:37:01.26,2026-03-20T18:37:01.2606976-05:00,2026-03-20T23:37:01.2606976Z,,v3,471451,471359,fd4f281166ae42bf9f86757c602edea4,"Bergman, Carter",1000138588,Right,MIS_BEA,5b6b1dc4-85c0-4be0-8c56-8603c372739c,54.75693,-132.43415,14.27517,5.66292,-2.89645,-8.29464,-0.94126,3.0134,-3.24346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2026-03-20,18:37:15.91,1,3,"Schaaf, Jason",1000268879,Right,MIS_BEA,"Nowak, Owen",10065786,Left,MTSU_BLU,Undefined,1,Top,0,1,1,ChangeUp,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,86.08082,-1.052443,-1.57976,2056.653762,252.75449,2:30,5.37881,1.31309,5.03208,-32.8171,6.32563,16.18489,1.65061,1.17098,78.52697,-7.039266,1.282021,0.450295,,,,,,,,,,,,-8.56847,3.79811,-1.17602,50,5.25203,2.72594,-124.82051,-3.53259,-13.43946,26.48873,-26.21677,MIS_BEA,MTSU_BLU,Hammons,D1,CUSA,20260320-Hammons-1,bb6f7380-24b5-11f1-b680-e944a86fed0d,83.7061,,,7.55385,,,,,,,162c0d96-942d-439b-a194-7eb7b9b553eb,2026-03-20,23:37:15.91,2026-03-20T18:37:15.9176704-05:00,2026-03-20T23:37:15.9176704Z,,v3,471451,471359,fd4f281166ae42bf9f86757c602edea4,"Bergman, Carter",1000138588,Right,MIS_BEA,2b166cc5-651f-458c-b626-0563183e2f81,55.46705,-125.97536,13.24437,5.38113,-2.3896,-13.10838,-1.30763,3.31187,-6.71973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2026-03-20,18:37:38.08,1,4,"Schaaf, Jason",1000268879,Right,MIS_BEA,"Nowak, Owen",10065786,Left,MTSU_BLU,Undefined,1,Top,0,1,2,Slider,Slider,InPlay,Undefined,LineDrive,Single,0,0,,85.79269,-0.417381,-1.834748,2794.567363,97.112717,9:15,5.31379,1.31223,4.94988,-37.52612,1.9998,-5.68166,1.79201,-0.8955,78.37979,-7.219766,-2.837037,0.452494,61.02254,30.225215,38.433934,3266.663657,85.22043,36.53887,69.5518,194.76501,193.78657,39.711026,3.284703,2.28823,1.46232,-1.12927,50,5.24232,4.23854,-124.37239,-2.36531,3.56517,26.17706,-29.89569,MIS_BEA,MTSU_BLU,Hammons,D1,CUSA,20260320-Hammons-1,c89f2730-24b5-11f1-b680-e944a86fed0d,83.2994,36.62905,,7.4129,,,,1.82214,1.93834,0.89906,162c0d96-942d-439b-a194-7eb7b9b553eb,2026-03-20,23:37:38.08,2026-03-20T18:37:38.0800512-05:00,2026-03-20T23:37:38.0800512Z,LineDrive,v3,471451,471359,fd4f281166ae42bf9f86757c602edea4,"Bergman, Carter",1000138588,Right,MIS_BEA,c1ea474a-10d9-49eb-b0f0-8660dd11f5aa,55.54838,-125.53474,13.08853,5.31788,-1.03783,-14.94785,-1.31397,4.08024,1.78259,191.607354,1.82234,60.56888,-8.76163,1.92278,-0.24447,-0.00698,0.00499,0.00074,-0.0002,1.93828,45.05668,-15.40423,0.58637,-0.02473,-0.0735,0.05105,-0.01282,0.00113,0.89912,48.06891,-5.49237,1.11757,-0.18707,0.03516,-0.01273,0.0035,-0.00035,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2026-03-20,18:38:19.45,2,1,"Schaaf, Jason",1000268879,Right,MIS_BEA,"Minnick, Tyler",806166,Right,MTSU_BLU,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.15637,-2.812373,-1.343691,2439.137486,200.0633,12:45,5.63815,1.03219,5.72983,-16.80851,17.61068,6.05146,1.61546,0.28488,82.99691,-5.973801,-0.260804,0.422252,,,,,,,,,,,,-3.42898,10.01804,-0.92394,50,5.39317,2.80793,-130.85723,-6.95166,-5.98651,25.83788,-14.68403,MIS_BEA,MTSU_BLU,Hammons,D1,CUSA,20260320-Hammons-1,e1487a20-24b5-11f1-b680-e944a86fed0d,89.26527,,,7.15947,,,,,,,162c0d96-942d-439b-a194-7eb7b9b553eb,2026-03-20,23:38:19.45,2026-03-20T18:38:19.4549760-05:00,2026-03-20T23:38:19.4549760Z,,v3,471451,471359,fd4f281166ae42bf9f86757c602edea4,"Bergman, Carter",1000138588,Right,MIS_BEA,787e366a-1c9d-4164-beaf-666c64e30088,54.76819,-131.79535,12.91894,5.63589,-6.41851,-7.34202,-1.02984,3.02529,-2.99325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2026-03-20,18:38:58.91,2,2,"Schaaf, Jason",1000268879,Right,MIS_BEA,"Minnick, Tyler",806166,Right,MTSU_BLU,Undefined,1,Top,0,0,1,Slider,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,82.76583,-0.390105,-1.726501,2892.087529,70.819672,8:15,5.31417,1.47003,4.82961,-45.25534,-2.54551,-11.32501,1.17328,-1.10923,75.78641,-8.532963,-3.72133,0.470365,,,,,,,,,,,,5.07922,-0.74335,-1.28865,50,5.23652,4.11484,-119.97393,-2.57161,7.35282,24.68073,-33.25013,MIS_BEA,MTSU_BLU,Hammons,D1,CUSA,20260320-Hammons-1,f8d64af0-24b5-11f1-b680-e944a86fed0d,80.13439,,,6.97942,,,,,,,162c0d96-942d-439b-a194-7eb7b9b553eb,2026-03-20,23:38:58.91,2026-03-20T18:38:58.9117952-05:00,2026-03-20T23:38:58.9117952Z,,v3,471451,471359,fd4f281166ae42bf9f86757c602edea4,"Bergman, Carter",1000138588,Right,MIS_BEA,bf0d0c9d-6fbe-47ab-83c3-d7dd61f2d687,55.66921,-121.13457,12.34036,5.32068,-1.00798,-16.62507,-1.47402,3.76907,3.67641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2026-03-20,18:39:17.16,2,3,"Schaaf, Jason",1000268879,Right,MIS_BEA,"Minnick, Tyler",806166,Right,MTSU_BLU,Undefined,1,Top,0,0,2,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,84.0059,-0.071279,-2.671145,2850.645218,91.298154,9:00,5.2991,1.32495,5.04565,-39.80593,1.73732,-11.90575,1.91464,-2.18855,76.11281,-7.310122,-4.771137,0.463897,,,,,,,,,,,,5.01173,1.34634,-1.06039,50,5.26097,6.20498,-121.57557,-1.65729,7.38534,27.26429,-30.19008,MIS_BEA,MTSU_BLU,Hammons,D1,CUSA,20260320-Hammons-1,03b66950-24b6-11f1-b680-e944a86fed0d,81.25172,,,7.89309,,,,,,,162c0d96-942d-439b-a194-7eb7b9b553eb,2026-03-20,23:39:17.16,2026-03-20T18:39:17.1650048-05:00,2026-03-20T23:39:17.1650048Z,,v3,471451,471359,fd4f281166ae42bf9f86757c602edea4,"Bergman, Carter",1000138588,Right,MIS_BEA,62e4b05f-1c09-4894-becd-21185365c187,55.44992,-122.79167,13.63214,5.30487,-0.31069,-15.09504,-1.32981,5.87556,3.69267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2026-03-20,18:39:58.19,2,4,"Schaaf, Jason",1000268879,Right,MIS_BEA,"Minnick, Tyler",806166,Right,MTSU_BLU,Undefined,1,Top,0,1,2,Slider,Curveball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,80.27743,-0.120533,-0.511199,2990.18612,52.987775,7:45,5.71387,1.12661,4.76344,-49.59326,-4.665,-7.92233,1.46681,-0.0183,74.3857,-9.00053,-1.907138,0.482427,57.17463,64.481027,141.53175,4716.191738,,,,119.36572,109.77263,150.746276,3.884416,3.80512,-1.97016,-1.06791,50,5.65751,1.37214,-116.59154,-2.12454,5.26561,20.82816,-34.9004,MIS_BEA,MTSU_BLU,Hammons,D1,CUSA,20260320-Hammons-1,1c299110-24b6-11f1-b680-e944a86fed0d,78.13093,67.16798,,5.89172,,,,3.01381,1.58239,-0.0469,162c0d96-942d-439b-a194-7eb7b9b553eb,2026-03-20,23:39:58.19,2026-03-20T18:39:58.1944832-05:00,2026-03-20T23:39:58.1944832Z,Popup,v3,471451,471359,fd4f281166ae42bf9f86757c602edea4,"Bergman, Carter",1000138588,Right,MIS_BEA,d3865219-5354-402c-bb6e-028ede5e4583,55.73814,-117.61214,10.41408,5.71971,-0.41438,-17.4502,-1.12883,1.11412,2.63281,340.388218,3.01307,-28.26714,-2.99364,1.69484,-0.24681,-0.13404,0.08724,-0.01866,0.0014,1.58432,75.61807,-25.16545,2.01586,0.33532,-0.41315,0.13515,-0.02011,0.00115,-0.04581,22.44301,-3.65159,0.52649,0.22878,-0.1858,0.05325,-0.00698,0.00034,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2026-03-20,18:40:24.81,2,5,"Schaaf, Jason",1000268879,Right,MIS_BEA,"Minnick, Tyler",806166,Right,MTSU_BLU,Undefined,1,Top,0,1,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.19926,-3.010225,-2.998109,2554.671646,198.286093,12:30,5.6725,0.90002,5.89092,-15.72335,17.93906,5.57425,1.56087,-1.4217,83.55021,-5.991484,-1.999581,0.417584,,,,,,,,,,,,-3.65977,10.32162,-0.66148,50,5.4204,6.68038,-132.16597,-7.42172,-6.48792,27.57649,-13.87618,MIS_BEA,MTSU_BLU,Hammons,D1,CUSA,20260320-Hammons-1,2c009700-24b6-11f1-b680-e944a86fed0d,90.26306,,,7.64905,,,,,,,162c0d96-942d-439b-a194-7eb7b9b553eb,2026-03-20,23:40:24.81,2026-03-20T18:40:24.8177152-05:00,2026-03-20T23:40:24.8177152Z,,v3,471451,471359,fd4f281166ae42bf9f86757c602edea4,"Bergman, Carter",1000138588,Right,MIS_BEA,bea00030-7999-4060-ad3e-8fbc63b7082c,54.60611,-133.12356,13.78825,5.66975,-6.93987,-6.93809,-0.89737,6.90568,-3.24396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2026-03-20,18:40:45.69,2,6,"Schaaf, Jason",1000268879,Right,MIS_BEA,"Minnick, Tyler",806166,Right,MTSU_BLU,Undefined,1,Top,0,2,2,Fastball,Four-Seam,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,90.82224,-3.109683,-2.357658,2576.044818,203.443027,12:45,5.63814,0.91072,5.90229,-14.51639,19.41737,7.94563,1.53648,-0.61696,83.0963,-5.881545,-0.93269,0.419264,,,,,,,,,,,,-4.70803,11.12489,-0.72568,50,5.37948,5.07842,-131.66968,-7.56416,-8.27352,27.69137,-12.62406,MIS_BEA,MTSU_BLU,Hammons,D1,CUSA,20260320-Hammons-1,3872c710-24b6-11f1-b680-e944a86fed0d,89.90147,,,7.72594,,,,,,,162c0d96-942d-439b-a194-7eb7b9b553eb,2026-03-20,23:40:45.69,2026-03-20T18:40:45.6956928-05:00,2026-03-20T23:40:45.6956928Z,,v3,471451,471359,fd4f281166ae42bf9f86757c602edea4,"Bergman, Carter",1000138588,Right,MIS_BEA,dc6b5c17-821b-4480-b215-6f66bd8cc264,54.59486,-132.6325,13.84569,5.63486,-7.12523,-6.31203,-0.90726,5.36609,-4.13676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
