PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallZAmb4,BatSpeed,VerticalAttackAngle,HorizontalAttackAngle
1,2026-03-20,16:05:52.51,1,1,"Sanford, Will",805164,Right,ORE_DUC,"Lausch, Jack",702594,Left,NOR_CAT,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,93.57937,-2.577059,-2.206355,2285.764317,204.569095,12:45,5.84288,1.3807,6.48633,-9.93544,21.44127,9.32099,2.64557,0.13079,85.07729,-4.555281,-0.516339,0.403158,,,,,,,,,,,,-5.48953,12.2539,-1.22941,50,5.65681,4.84182,-135.79901,-6.29587,-10.20102,31.09348,-9.403,ORE_DUC,NOR_CAT,PKPark,D1,BIG10,20260320-PKPark-1,5b5deed0-24b1-11f1-81ee-c9510bfc125d,93.49301,,,8.50208,,,,,,,89b00862-5f9f-4b67-8714-526bd9f7840c,2026-03-20,23:05:52.51,2026-03-20T16:05:52.5109248-07:00,2026-03-20T23:05:52.5109248Z,,v3,4807,471395,,"Mabeus, Burke",1000222806,Right,ORE_DUC,8daf1cc8-5032-4f38-9efe-935b9d0ab384,54.01044,-136.71418,15.54674,5.83804,-6.01911,-4.7015,-1.37634,5.14207,-5.10051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2026-03-20,16:06:09.66,1,2,"Sanford, Will",805164,Right,ORE_DUC,"Lausch, Jack",702594,Left,NOR_CAT,Undefined,1,Top,0,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,93.6362,-3.395326,-0.154374,2298.626769,201.691726,12:45,5.8953,1.32184,6.36035,-9.08524,22.43978,8.50048,2.00981,1.88814,85.13732,-5.210408,1.38455,0.40411,,,,,,,,,,,,-4.4367,12.96241,-1.3142,50,5.64447,0.00206,-135.83369,-8.20782,-8.24174,31.34471,-8.09463,ORE_DUC,NOR_CAT,PKPark,D1,BIG10,20260320-PKPark-1,6599ddf0-24b1-11f1-81ee-c9510bfc125d,93.27283,,,8.49888,,,,,,,89b00862-5f9f-4b67-8714-526bd9f7840c,2026-03-20,23:06:09.66,2026-03-20T16:06:09.6663552-07:00,2026-03-20T23:06:09.6663552Z,,v3,4807,471395,,"Mabeus, Burke",1000222806,Right,ORE_DUC,5e726a02-3a9d-46f8-8950-7421c7992212,54.13591,-136.78476,15.67236,5.88978,-7.96221,-4.04732,-1.31805,0.25213,-4.12087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2026-03-20,16:06:28.75,1,3,"Sanford, Will",805164,Right,ORE_DUC,"Lausch, Jack",702594,Left,NOR_CAT,Undefined,1,Top,0,1,1,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,93.9623,-3.09821,-1.810598,2364.673266,194.584625,12:30,5.8398,1.35031,6.47392,-8.7393,22.3521,5.54827,2.26219,0.14941,85.61049,-4.851621,-0.804692,0.401321,,,,,,,,,,,,-3.39937,12.84894,-1.22498,50,5.61686,4.0766,-136.34149,-7.51819,-6.38114,30.74771,-8.05477,ORE_DUC,NOR_CAT,PKPark,D1,BIG10,20260320-PKPark-1,70f287b0-24b1-11f1-81ee-c9510bfc125d,93.92102,,,8.3518,,,,,,,89b00862-5f9f-4b67-8714-526bd9f7840c,2026-03-20,23:06:28.75,2026-03-20T16:06:28.7522816-07:00,2026-03-20T23:06:28.7522816Z,,v3,4807,471395,,"Mabeus, Burke",1000222806,Right,ORE_DUC,23528975-882f-4732-b75b-fd66fe8fe316,54.0228,-137.24571,15.37386,5.83447,-7.28132,-4.02739,-1.34763,4.26426,-3.19057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2026-03-20,16:06:52.36,1,4,"Sanford, Will",805164,Right,ORE_DUC,"Lausch, Jack",702594,Left,NOR_CAT,Undefined,1,Top,0,1,2,Curveball,Curveball,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,77.51573,1.987339,-0.29799,2980.38284,31.282644,7:00,5.67803,1.73873,5.89332,-68.45342,-20.98241,-13.80253,1.81949,0.31185,70.17478,-10.538127,-2.783931,0.49589,,,,,,,,,,,,6.94205,-10.898,-1.70688,50,5.79936,1.10293,-112.50045,1.64498,8.66873,25.28568,-45.78267,ORE_DUC,NOR_CAT,PKPark,D1,BIG10,20260320-PKPark-1,7f14b1b0-24b1-11f1-81ee-c9510bfc125d,76.00963,,,7.34095,,,,,,,89b00862-5f9f-4b67-8714-526bd9f7840c,2026-03-20,23:06:52.36,2026-03-20T16:06:52.3679232-07:00,2026-03-20T23:06:52.3679232Z,,v3,4807,471395,,"Mabeus, Burke",1000222806,Right,ORE_DUC,a45c0142-78e9-4f64-bd2a-abb7b634a5ba,54.60961,-113.53179,12.64284,5.69418,3.51232,-22.89134,-1.74466,0.74936,4.33436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2026-03-20,16:07:24.36,2,1,"Sanford, Will",805164,Right,ORE_DUC,"Kucherak, Ryan",807725,Right,NOR_CAT,Undefined,1,Top,1,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,93.7599,-3.308966,-2.432751,2474.411229,207.520765,1:00,5.86456,1.31688,6.49175,-10.55697,20.70245,10.24193,1.94104,-0.06425,85.38912,-5.39291,-0.575815,0.402404,,,,,,,,,,,,-6.05646,12.1032,-1.15044,50,5.62717,5.35581,-135.98501,-8.08384,-11.29665,30.90171,-9.59887,ORE_DUC,NOR_CAT,PKPark,D1,BIG10,20260320-PKPark-1,921ecf20-24b1-11f1-81ee-c9510bfc125d,93.6682,,,8.37078,,,,,,,89b00862-5f9f-4b67-8714-526bd9f7840c,2026-03-20,23:07:24.36,2026-03-20T16:07:24.3648512-07:00,2026-03-20T23:07:24.3648512Z,,v3,4807,471395,,"Mabeus, Burke",1000222806,Right,ORE_DUC,2e970aab-1dfc-4970-810e-535cb12492d6,54.00612,-136.89235,15.45086,5.86039,-7.802,-4.79944,-1.31256,5.68751,-5.64832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2026-03-20,16:07:42.37,2,2,"Sanford, Will",805164,Right,ORE_DUC,"Kucherak, Ryan",807725,Right,NOR_CAT,Undefined,1,Top,1,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,93.23127,-4.770282,-2.83247,2510.528511,209.845476,1:00,5.96479,1.20506,6.22212,-11.80398,20.30474,11.01764,0.56393,-0.49248,84.9154,-7.063312,-0.845701,0.407833,,,,,,,,,,,,-6.58638,12.29158,-0.99864,50,5.60097,6.21871,-134.8879,-11.56016,-12.07177,30.76356,-9.64557,ORE_DUC,NOR_CAT,PKPark,D1,BIG10,20260320-PKPark-1,9cd174e0-24b1-11f1-81ee-c9510bfc125d,92.42116,,,8.31587,,,,,,,89b00862-5f9f-4b67-8714-526bd9f7840c,2026-03-20,23:07:42.37,2026-03-20T16:07:42.3762944-07:00,2026-03-20T23:07:42.3762944Z,,v3,4807,471395,,"Mabeus, Burke",1000222806,Right,ORE_DUC,bf3b2d6e-3ff7-483e-aba5-7011a409d6ac,54.27706,-135.85986,15.38178,5.9614,-11.25541,-4.82278,-1.20114,6.60011,-6.03589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2026-03-20,16:08:05.98,2,3,"Sanford, Will",805164,Right,ORE_DUC,"Kucherak, Ryan",807725,Right,NOR_CAT,Undefined,1,Top,1,1,1,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,94.08954,-3.06494,-1.106248,2440.207056,200.151874,12:45,5.8737,1.33421,6.50986,-9.42528,21.683,7.5617,2.27239,0.94903,85.31164,-4.952447,0.266464,0.40143,84.67164,71.577151,166.053992,4790.066227,,,,,20.19686,,,-4.32099,12.64764,-1.26018,50,5.65533,2.33044,-136.55141,-7.48579,-8.0813,32.72759,-8.5198,ORE_DUC,NOR_CAT,PKPark,D1,BIG10,20260320-PKPark-1,aae67f80-24b1-11f1-81ee-c9510bfc125d,93.8955,57.88313,,8.7779,,,,2.68408,2.43391,-0.93404,89b00862-5f9f-4b67-8714-526bd9f7840c,2026-03-20,23:08:05.98,2026-03-20T16:08:05.9833344-07:00,2026-03-20T23:08:05.9833344Z,,v3,4807,471395,,"Mabeus, Burke",1000222806,Right,ORE_DUC,b00d44f5-49a1-497a-b71d-c54f99da3539,53.98842,-137.504,16.3638,5.86961,-7.23781,-4.2599,-1.33144,2.56566,-4.04065,359.943441,2.68408,-38.0886,-4.90091,2.17994,0.9673,-5.35388,10.28385,-10.28549,4.25336,2.43391,117.82053,-35.35839,5.39727,-0.68259,-1.47785,3.17956,-3.21456,1.33164,-0.93404,9.45838,1.19086,-0.66415,-0.45206,2.19547,-4.19109,4.18855,-1.73183,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.9051,27.62687,-32.39508
8,2026-03-20,16:08:35.00,2,4,"Sanford, Will",805164,Right,ORE_DUC,"Kucherak, Ryan",807725,Right,NOR_CAT,Undefined,1,Top,1,1,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,95.07305,-0.088631,-1.5073,2406.049498,197.286416,12:30,6.10867,1.19559,6.12116,-9.21619,21.33934,6.34922,5.25869,0.33091,86.83628,-1.91579,-0.363459,0.397847,,,,,,,,,,,,-3.65981,11.28162,-1.08327,50,6.09661,3.35133,-138.1524,-0.39581,-7.08922,30.12378,-10.32097,ORE_DUC,NOR_CAT,PKPark,D1,BIG10,20260320-PKPark-1,bc38dad0-24b1-11f1-81ee-c9510bfc125d,94.74098,,,8.23677,,,,,,,89b00862-5f9f-4b67-8714-526bd9f7840c,2026-03-20,23:08:35.00,2026-03-20T16:08:35.0034944-07:00,2026-03-20T23:08:35.0034944Z,,v3,4807,471395,,"Mabeus, Burke",1000222806,Right,ORE_DUC,5c3c13ca-b70d-4351-a744-9da61f4dcdfb,54.37565,-139.10323,15.06189,6.10396,-0.07004,-5.16049,-1.19258,3.57509,-3.54461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2026-03-20,16:08:56.32,2,5,"Sanford, Will",805164,Right,ORE_DUC,"Kucherak, Ryan",807725,Right,NOR_CAT,Undefined,1,Top,1,2,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,94.72835,-1.56869,-1.072594,2489.416965,203.686826,12:45,5.91602,1.43559,6.21629,-8.78493,22.07336,9.23686,3.73572,1.21541,86.10504,-3.329668,0.594948,0.399814,,,,,,,,,,,,-5.06067,12.15209,-1.35951,50,5.79366,2.16849,-137.57364,-3.91947,-9.65758,31.73188,-8.98348,ORE_DUC,NOR_CAT,PKPark,D1,BIG10,20260320-PKPark-1,c8e6db60-24b1-11f1-81ee-c9510bfc125d,94.27504,,,8.62331,,,,,,,89b00862-5f9f-4b67-8714-526bd9f7840c,2026-03-20,23:08:56.32,2026-03-20T16:08:56.3273728-07:00,2026-03-20T23:08:56.3273728Z,,v3,4807,471395,,"Mabeus, Burke",1000222806,Right,ORE_DUC,b7603960-3d98-4565-9db7-2a1de1ed3562,54.28028,-138.55739,15.86594,5.91085,-3.64096,-4.49174,-1.43138,2.46789,-4.82879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2026-03-20,16:09:16.64,2,6,"Sanford, Will",805164,Right,ORE_DUC,"Kucherak, Ryan",807725,Right,NOR_CAT,Undefined,1,Top,1,3,2,Fastball,Four-Seam,InPlay,Undefined,Popup,Out,1,0,,93.25463,-3.264318,-2.077419,2421.437825,203.455531,12:45,5.71176,1.33037,6.55011,-9.9991,21.43226,8.85477,1.87995,0.16247,85.14645,-5.245655,-0.469766,0.403509,89.71906,78.262102,25.344989,,,,,,25.04842,,,-5.26166,12.51607,-1.19048,50,5.4814,4.5595,-135.35267,-7.92241,-9.74388,30.02738,-8.99598,ORE_DUC,NOR_CAT,PKPark,D1,BIG10,20260320-PKPark-1,d5079010-24b1-11f1-81ee-c9510bfc125d,93.41171,129.40053,,8.10818,,,,2.38542,1.9685,-0.17066,89b00862-5f9f-4b67-8714-526bd9f7840c,2026-03-20,23:09:16.64,2026-03-20T16:09:16.6480896-07:00,2026-03-20T23:09:16.6480896Z,,v3,4807,471395,,"Mabeus, Burke",1000222806,Right,ORE_DUC,788c4c8d-a326-4b6f-a4f1-da49d3aab73c,53.94911,-136.22594,15.01369,5.708,-7.66078,-4.49799,-1.3272,4.84287,-4.87194,,2.38539,24.1989,-14.84059,5.39087,-2.94182,2.74747,-1.9394,0.76404,-0.12556,1.96851,128.8357,-32.14922,4.40624,-0.7693,0.00191,0.09747,-0.0453,0.00741,-0.17065,11.45725,2.25899,-1.24983,0.86546,-0.87001,0.62214,-0.24542,0.04029,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Undefined,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.6282,20.24586,-20.87727
