PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallZAmb4,BatSpeed,VerticalAttackAngle,HorizontalAttackAngle
1,2026-03-20,18:04:56.21,1,1,"Eagen, Matthew",1000258849,Right,QUN_RYL,"Walter, Cade",1000376520,Left,JUD,Undefined,1,Top,0,0,0,Sinker,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,90.14362,-3.148131,-1.953471,2351.222838,239.87171,2:00,5.93058,1.74323,5.95533,-25.33202,9.24075,13.92284,0.89548,1.09118,82.30125,-7.854755,0.551045,0.423193,,,,,,,,,,,,-7.77559,6.01937,-1.59599,50,5.66598,3.87888,-130.69078,-8.03817,-13.35955,29.23815,-21.83196,QUN_RYL,JUD,StickWilliamsField,D1,ASUN,20260320-StickWilliamsField-1,d4bfa0b0-24a8-11f1-8430-25900cd074ed,89.06681,,,7.84237,,,,,,,299d0b80-6795-46e2-93aa-9bf3e8ee4b97,2026-03-20,22:04:56.21,2026-03-20T18:04:56.2112000-04:00,2026-03-20T22:04:56.2112000Z,,v3,queensnc,471326,4a2a88926a1344119cd9d191c88172e2,"Marcantel, Charlie",10097007,Right,QUN_RYL,33a721d5-a32b-43ce-844c-46a05c152572,54.54348,-131.70333,14.61908,5.93126,-7.28211,-10.91598,-1.73833,4.34154,-6.67978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,229.175891,18.655823,2227.683001,0.947457,1:45,-0.300977,-0.733445,-0.609484,62.967492,-25.714886,48.20736,112.585239,69.706378,0.320232,0.937928,-0.133203,81.916989,18.676985,0.937928,0.320232,0.133203,-81.916989,-18.676985,-0.937928,-0.320232,0.133203,-112.585239,-69.706378,-0.320232,-0.937928,-0.133203,,,
2,2026-03-20,18:06:09.25,1,2,"Eagen, Matthew",1000258849,Right,QUN_RYL,"Walter, Cade",1000376520,Left,JUD,Undefined,1,Top,0,1,0,Sinker,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,89.65547,-1.922217,-1.829617,2394.424119,243.965102,2:15,5.95317,1.59722,6.22051,-25.21757,9.33252,16.73241,2.07643,1.30276,81.68228,-6.650041,1.194497,0.423054,,,,,,,,,,,,-9.17949,5.76622,-1.46813,50,5.7968,3.46641,-130.14426,-5.17041,-15.63299,29.10775,-22.35396,QUN_RYL,JUD,StickWilliamsField,D1,ASUN,20260320-StickWilliamsField-1,0054b3a0-24a9-11f1-8430-25900cd074ed,89.09603,,,7.97319,,,,,,,299d0b80-6795-46e2-93aa-9bf3e8ee4b97,2026-03-20,22:06:09.25,2026-03-20T18:06:09.2548096-04:00,2026-03-20T22:06:09.2548096Z,,v3,queensnc,471326,4a2a88926a1344119cd9d191c88172e2,"Marcantel, Charlie",10097007,Right,QUN_RYL,17f75f25-2ac2-4c89-804b-5086ae15a10e,54.27694,-131.09734,14.55388,5.95411,-4.43846,-11.17698,-1.59002,3.97829,-7.81649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,226.784109,20.581353,2241.597587,0.936174,1:30,-0.348754,-0.693671,-0.630231,44.740202,-38.133263,40.789582,124.573525,72.424916,0.24863,0.953322,-0.171349,79.810545,14.396436,0.953322,0.24863,0.171349,-79.810545,-14.396436,-0.953322,-0.24863,0.171349,-124.573525,-72.424916,-0.24863,-0.953322,-0.171349,,,
3,2026-03-20,18:06:23.07,1,3,"Eagen, Matthew",1000258849,Right,QUN_RYL,"Walter, Cade",1000376520,Left,JUD,Undefined,1,Top,0,2,0,Sinker,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,,91.20676,-2.974023,-2.984151,2476.909376,217.000029,1:15,5.99805,1.44447,6.26493,-15.09623,18.3843,12.9745,1.99191,-0.22808,82.74941,-5.885747,-0.642485,0.416455,92.23386,60.521566,-9.407854,,102.86128,156.18652,-38.9815,225.22561,218.78124,-26.605884,6.327676,-7.68252,10.81308,-1.22969,50,5.77003,6.36385,-132.18071,-7.27517,-13.47064,30.52122,-13.21427,QUN_RYL,JUD,StickWilliamsField,D1,ASUN,20260320-StickWilliamsField-1,088e1c00-24a9-11f1-8430-25900cd074ed,90.50794,161.37753,,8.45735,,,,2.889,2.14244,0.21073,299d0b80-6795-46e2-93aa-9bf3e8ee4b97,2026-03-20,22:06:23.07,2026-03-20T18:06:23.0756352-04:00,2026-03-20T22:06:23.0756352Z,FlyBall,v3,queensnc,471326,4a2a88926a1344119cd9d191c88172e2,"Marcantel, Charlie",10097007,Right,QUN_RYL,2e0d795d-689a-4e20-96a6-4eadeeca10fa,54.23334,-133.15462,15.26061,5.99545,-6.85351,-6.60713,-1.43961,6.79369,-6.73532,,2.89782,65.48364,-16.78969,3.62137,-0.18712,-0.14016,0.04272,-0.00502,0.00022,2.11791,118.13552,-29.13892,4.82704,-1.44788,0.33781,-0.04811,0.0035,-0.0001,0.21167,-10.9342,-4.50348,1.3167,-0.06411,-0.07625,0.02461,-0.00308,0.00014,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Low,,,,221.058776,14.666834,2396.197991,0.967414,1:15,-0.257566,-0.647711,-0.717029,55.64451,-49.559316,46.085043,151.382327,74.621229,0.12702,0.964194,-0.232801,76.425942,7.297444,0.964194,0.12702,0.232801,-76.425942,-7.297444,-0.964194,-0.12702,0.232801,-151.382327,-74.621229,-0.12702,-0.964194,-0.232801,,,
4,2026-03-20,18:07:19.79,2,1,"Eagen, Matthew",1000258849,Right,QUN_RYL,"Ogbourne, Archer",10909661,Right,JUD,Undefined,1,Top,1,0,0,Sinker,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.14105,-2.994085,-3.204891,2443.952073,223.55386,1:30,5.822,1.68992,6.12576,-18.30249,15.5393,13.61973,1.52223,-0.14075,82.47147,-6.478518,-0.753038,0.418695,,,,,,,,,,,,-7.95965,9.29166,-1.45119,50,5.58297,6.7975,-131.93696,-7.44453,-13.87158,31.0349,-15.98111,QUN_RYL,JUD,StickWilliamsField,D1,ASUN,20260320-StickWilliamsField-1,2a5e4490-24a9-11f1-8430-25900cd074ed,90.02359,,,8.66957,,,,,,,299d0b80-6795-46e2-93aa-9bf3e8ee4b97,2026-03-20,22:07:19.79,2026-03-20T18:07:19.7946880-04:00,2026-03-20T22:07:19.7946880Z,,v3,queensnc,471326,4a2a88926a1344119cd9d191c88172e2,"Marcantel, Charlie",10097007,Right,QUN_RYL,7b3f9a27-20cd-4cc2-9987-96a23af0150f,54.36944,-132.96079,15.51745,5.81987,-6.91732,-7.99056,-1.68299,7.25512,-6.93579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,227.524017,19.999845,2296.56599,0.939694,1:30,-0.340348,-0.709999,-0.616494,55.626668,-39.498526,47.463309,146.416804,76.748152,0.126799,0.973372,-0.190969,78.899929,7.284654,0.973372,0.126799,0.190969,-78.899929,-7.284654,-0.973372,-0.126799,0.190969,-146.416804,-76.748152,-0.126799,-0.973372,-0.190969,,,
5,2026-03-20,18:07:36.16,2,2,"Eagen, Matthew",1000258849,Right,QUN_RYL,"Ogbourne, Archer",10909661,Right,JUD,Undefined,1,Top,1,1,0,Sinker,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,90.83904,-2.70594,-2.527492,2375.672641,243.783462,2:15,5.91205,1.47148,5.93443,-25.57312,8.51469,14.95458,1.26626,0.37135,82.81342,-7.460065,0.16001,0.420214,,,,,,,,,,,,-8.41926,5.51733,-1.27809,50,5.68141,5.17161,-131.67621,-7.10033,-14.68353,29.6966,-22.55161,QUN_RYL,JUD,StickWilliamsField,D1,ASUN,20260320-StickWilliamsField-1,341bdbf0-24a9-11f1-8430-25900cd074ed,89.69812,,,8.02562,,,,,,,299d0b80-6795-46e2-93aa-9bf3e8ee4b97,2026-03-20,22:07:36.16,2026-03-20T18:07:36.1655296-04:00,2026-03-20T22:07:36.1655296Z,,v3,queensnc,471326,4a2a88926a1344119cd9d191c88172e2,"Marcantel, Charlie",10097007,Right,QUN_RYL,9a2649b7-d0a8-42dd-a5ed-44963b5c89df,54.56347,-132.70141,14.8483,5.91309,-6.3218,-11.27581,-1.46538,5.67852,-7.34176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,227.030179,13.81508,2306.947914,0.971071,1:30,-0.233967,-0.721026,-0.652212,65.147006,-32.504633,46.52372,125.941758,68.044311,0.302706,0.927473,-0.219459,76.687498,17.620213,0.927473,0.302706,0.219459,-76.687498,-17.620213,-0.927473,-0.302706,0.219459,-125.941758,-68.044311,-0.302706,-0.927473,-0.219459,,,
6,2026-03-20,18:07:51.02,2,3,"Eagen, Matthew",1000258849,Right,QUN_RYL,"Ogbourne, Archer",10909661,Right,JUD,Undefined,1,Top,1,2,0,Sinker,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,90.79581,-2.854705,-3.516379,2353.911306,233.568261,1:45,5.84447,1.48032,6.13964,-22.52025,11.46138,13.93158,1.32245,-0.61244,82.51497,-7.086302,-1.007795,0.41956,,,,,,,,,,,,-8.18292,7.13465,-1.21861,50,5.61477,7.47932,-131.46344,-7.27992,-14.20749,29.92324,-19.78662,QUN_RYL,JUD,StickWilliamsField,D1,ASUN,20260320-StickWilliamsField-1,3cf18450-24a9-11f1-8430-25900cd074ed,89.8381,,,8.28084,,,,,,,299d0b80-6795-46e2-93aa-9bf3e8ee4b97,2026-03-20,22:07:51.02,2026-03-20T18:07:51.0247936-04:00,2026-03-20T22:07:51.0247936Z,,v3,queensnc,471326,4a2a88926a1344119cd9d191c88172e2,"Marcantel, Charlie",10097007,Right,QUN_RYL,6c2131a3-60e3-4e8f-944c-8133ce24be56,54.35615,-132.45126,14.96162,5.84431,-6.62673,-9.89331,-1.47325,7.94834,-7.10375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,226.502743,16.851522,2252.832487,0.957059,1:30,-0.294881,-0.707834,-0.641885,61.386545,-26.009956,47.35969,106.557703,68.266397,0.354937,0.928916,-0.105526,83.51891,20.789572,0.928916,0.354937,0.105526,-83.51891,-20.789572,-0.928916,-0.354937,0.105526,-106.557703,-68.266397,-0.354937,-0.928916,-0.105526,,,
7,2026-03-20,18:08:10.21,2,4,"Eagen, Matthew",1000258849,Right,QUN_RYL,"Ogbourne, Archer",10909661,Right,JUD,Undefined,1,Top,1,3,0,Sinker,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,89.99566,-1.282319,-2.143905,2366.614803,249.53783,2:15,5.96941,1.1979,6.01428,-27.50907,6.9265,15.57158,2.4881,0.50863,82.21409,-6.401231,0.658763,0.422353,,,,,,,,,,,,-8.58796,4.28138,-1.03794,50,5.8539,4.22926,-130.65574,-3.8604,-14.79797,28.34635,-24.7968,QUN_RYL,JUD,StickWilliamsField,D1,ASUN,20260320-StickWilliamsField-1,486f6950-24a9-11f1-8430-25900cd074ed,89.24403,,,7.78157,,,,,,,299d0b80-6795-46e2-93aa-9bf3e8ee4b97,2026-03-20,22:08:10.21,2026-03-20T18:08:10.2183424-04:00,2026-03-20T22:08:10.2183424Z,,v3,queensnc,471326,4a2a88926a1344119cd9d191c88172e2,"Marcantel, Charlie",10097007,Right,QUN_RYL,ef5d0e45-89ec-4e85-b4d6-4b8530220603,54.48355,-131.62487,14.17317,5.97139,-3.01262,-12.3984,-1.19118,4.73518,-7.39898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,225.440226,20.696547,2213.886102,0.935465,1:30,-0.362731,-0.674279,-0.643253,59.4608,-32.610703,41.497097,119.13924,72.152971,0.267689,0.951878,-0.149234,81.089795,15.526777,0.951878,0.267689,0.149234,-81.089795,-15.526777,-0.951878,-0.267689,0.149234,-119.13924,-72.152971,-0.267689,-0.951878,-0.149234,,,
8,2026-03-20,18:08:25.69,2,5,"Eagen, Matthew",1000258849,Right,QUN_RYL,"Ogbourne, Archer",10909661,Right,JUD,Undefined,1,Top,1,3,1,FourSeamFastBall,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,90.62332,-1.392328,-2.852737,2399.288317,217.430234,1:15,5.88433,1.3301,6.30272,-16.72717,17.34678,12.31402,3.2058,-0.27413,81.47077,-4.629427,-0.62858,0.420129,,,,,,,,,,,,-7.23083,9.78516,-1.1257,50,5.77373,6.01387,-131.3215,-3.62797,-12.42101,32.04132,-15.3652,QUN_RYL,JUD,StickWilliamsField,D1,ASUN,20260320-StickWilliamsField-1,519b6f10-24a9-11f1-8430-25900cd074ed,89.71632,,,9.15255,,,,,,,299d0b80-6795-46e2-93aa-9bf3e8ee4b97,2026-03-20,22:08:25.69,2026-03-20T18:08:25.6997888-04:00,2026-03-20T22:08:25.6997888Z,,v3,queensnc,471326,4a2a88926a1344119cd9d191c88172e2,"Marcantel, Charlie",10097007,Right,QUN_RYL,c052f452-93b9-4b10-b2e2-1691b2b83b97,54.1906,-132.34002,16.02066,5.8813,-3.13954,-7.6826,-1.32314,6.40871,-6.21051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,222.710113,23.009699,2208.397819,0.920439,1:30,-0.408797,-0.633637,-0.656802,56.814637,-36.441646,46.51001,114.591066,80.492649,0.150193,0.986264,-0.068735,86.01335,8.638113,0.986264,0.150193,0.068735,-86.01335,-8.638113,-0.986264,-0.150193,0.068735,-114.591066,-80.492649,-0.150193,-0.986264,-0.068735,,,
9,2026-03-20,18:08:43.24,2,6,"Eagen, Matthew",1000258849,Right,QUN_RYL,"Ogbourne, Archer",10909661,Right,JUD,Undefined,1,Top,1,3,2,FourSeamFastBall,Four-Seam,BallCalled,Walk,Undefined,Undefined,0,0,,91.2157,-3.134023,-3.199329,2467.324371,218.547524,1:15,5.8226,1.38289,6.30938,-16.98076,16.46025,12.18788,1.51313,-0.55169,82.81484,-6.383127,-0.998038,0.416209,,,,,,,,,,,,-7.25138,9.82985,-1.15359,50,5.58413,6.87361,-132.11733,-7.70907,-12.71478,30.2401,-14.93812,QUN_RYL,JUD,StickWilliamsField,D1,ASUN,20260320-StickWilliamsField-1,5c1ddd10-24a9-11f1-8430-25900cd074ed,90.56139,,,8.40086,,,,,,,299d0b80-6795-46e2-93aa-9bf3e8ee4b97,2026-03-20,22:08:43.24,2026-03-20T18:08:43.2440832-04:00,2026-03-20T22:08:43.2440832Z,,v3,queensnc,471326,4a2a88926a1344119cd9d191c88172e2,"Marcantel, Charlie",10097007,Right,QUN_RYL,81125ea5-adb5-42ac-9a04-bdeee24d5dd2,54.18657,-133.07213,15.12005,5.82009,-7.23741,-7.46906,-1.37695,7.27506,-6.35739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,223.80913,20.267641,2314.559301,0.938085,1:30,-0.347682,-0.667364,-0.658591,58.908375,-42.129538,45.571913,147.41778,77.34116,0.118012,0.975692,-0.184656,79.28315,6.777372,0.975692,0.118012,0.184656,-79.28315,-6.777372,-0.975692,-0.118012,0.184656,-147.41778,-77.34116,-0.118012,-0.975692,-0.184656,,,
10,2026-03-20,18:09:16.15,3,1,"Eagen, Matthew",1000258849,Right,QUN_RYL,"Vergara, Roger",816188,Left,JUD,Undefined,1,Top,1,0,0,Sinker,Sinker,InPlay,Undefined,GroundBall,FieldersChoice,0,0,,90.27844,-2.69869,-2.395837,2355.919316,243.057277,2:00,5.86278,1.73922,5.94119,-25.54824,8.89347,15.24402,1.22639,0.78586,82.43865,-7.44757,0.344276,0.42239,45.99706,-10.358992,-13.120347,,,,,9.91057,6.95061,-14.102144,0.115771,-8.59748,5.68729,-1.55712,50,5.63302,4.846,-130.92216,-7.03491,-14.83877,29.0867,-22.35813,QUN_RYL,JUD,StickWilliamsField,D1,ASUN,20260320-StickWilliamsField-1,6fb08b70-24a9-11f1-8430-25900cd074ed,89.23606,1.69232,,7.83979,,,,2.17598,1.69232,-0.61535,299d0b80-6795-46e2-93aa-9bf3e8ee4b97,2026-03-20,22:09:16.15,2026-03-20T18:09:16.1530880-04:00,2026-03-20T22:09:16.1530880Z,GroundBall,v3,queensnc,471326,4a2a88926a1344119cd9d191c88172e2,"Marcantel, Charlie",10097007,Right,QUN_RYL,a84e3e8d-1782-4cd5-add2-f8468f29a3e2,54.55824,-131.93097,14.54335,5.86356,-6.25947,-11.17907,-1.73412,5.36065,-7.41938,,2.17588,64.64178,-3.54534,,,,,,,1.69235,-12.13339,-21.46463,,,,,,,-0.61534,-15.06593,-4.11886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,,227.609401,19.138778,2225.701131,0.944727,1:30,-0.321009,-0.712406,-0.624044,65.249861,-24.486089,50.13761,104.622978,70.655453,0.320518,0.943544,-0.083626,84.935124,18.694273,0.943544,0.320518,0.083626,-84.935124,-18.694273,-0.943544,-0.320518,0.083626,-104.622978,-70.655453,-0.320518,-0.943544,-0.083626,,,
