PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallZAmb4,BatSpeed,VerticalAttackAngle,HorizontalAttackAngle
1,2026-03-21,14:06:39.98,1,1,"Nayral, Mathis",1000252574,Right,KAN_JAY,"Helton, McClane",1000437465,Left,HOU_COU,Undefined,1,Top,0,0,0,FourSeamFastBall,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,94.6822,-3.421097,-3.50608,2310.187032,212.914094,1:00,6.05505,3.06169,6.15468,-12.42796,18.63918,11.39918,1.84893,0.76829,86.3543,-5.823191,-1.455262,0.401164,,,,,,,,,,,,-6.86496,10.90032,-2.80063,50,5.7878,7.90367,-137.12134,-8.53622,-13.05047,30.75096,-11.4523,KAN_JAY,HOU_COU,KansasUniversity,D1,BIG12,20260321-KansasUniversity-1,1907ba90-2559-11f1-a6a0-6d568e31a2a5,93.9577,,,8.3279,,,,,,,d1a960e6-0e0b-403f-a5a7-a5c02de28013,2026-03-21,19:06:39.98,2026-03-21T14:06:39.9823360-05:00,2026-03-21T19:06:39.9823360Z,,v3,471329,3030,7792405f6ba743f894c73a46b4d494e8,"Mungarrieta, Augusto",1000334193,Right,KAN_JAY,855ee2e6-0a0b-4bfd-9c07-a296e462bb31,54.34409,-138.09212,15.37548,6.05157,-8.17468,-5.72615,-3.05664,8.31566,-6.52523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,218.052975,12.987109,2251.093956,0.974421,1:15,-0.235061,-0.612963,-0.754336,-38.949822,-19.248872,-48.122018,178.072324,3.183148,0.033586,0.055528,-0.997892,3.184946,1.9247,0.055528,0.033586,0.997892,-3.184946,-1.9247,-0.055528,-0.033586,0.997892,-178.072324,-3.183148,-0.033586,-0.055528,-0.997892,,,
2,2026-03-21,14:07:00.06,1,2,"Nayral, Mathis",1000252574,Right,KAN_JAY,"Helton, McClane",1000437465,Left,HOU_COU,Undefined,1,Top,0,0,1,Splitter,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,85.22005,-3.213789,-2.862608,2322.358766,235.632457,1:45,6.21875,2.67692,5.78147,-26.69608,12.18694,15.93383,0.99703,1.33909,78.02955,-8.162114,-0.008379,0.448798,,,,,,,,,,,,-8.92489,7.52603,-2.45022,50,5.93709,5.5181,-123.44267,-7.79923,-13.73581,25.16252,-20.59115,KAN_JAY,HOU_COU,KansasUniversity,D1,BIG12,20260321-KansasUniversity-1,24ff6370-2559-11f1-a6a0-6d568e31a2a5,83.98523,,,7.1905,,,,,,,d1a960e6-0e0b-403f-a5a7-a5c02de28013,2026-03-21,19:07:00.06,2026-03-21T14:07:00.0634880-05:00,2026-03-21T19:07:00.0634880Z,,v3,471329,3030,7792405f6ba743f894c73a46b4d494e8,"Mungarrieta, Augusto",1000334193,Right,KAN_JAY,9402609d-4e60-4798-9bf2-51e74b74ae88,54.71743,-124.40056,12.58126,6.21907,-7.01536,-10.29558,-2.67023,6.041,-6.8679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,218.764521,19.176813,2193.489638,0.944509,1:15,-0.331226,-0.608863,-0.720816,65.526154,11.683133,13.545957,98.265065,18.006159,0.941146,0.309119,-0.136712,66.141921,70.244845,0.309119,0.941146,0.136712,-66.141921,-70.244845,-0.309119,-0.941146,0.136712,-98.265065,-18.006159,-0.941146,-0.309119,-0.136712,,,
3,2026-03-21,14:07:20.69,1,3,"Nayral, Mathis",1000252574,Right,KAN_JAY,"Helton, McClane",1000437465,Left,HOU_COU,Undefined,1,Top,0,1,1,Cutter,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,90.82277,-2.663742,-3.8064,2172.1838,212.330219,1:00,6.01124,3.17275,6.28769,-19.60304,13.91678,8.1265,1.91559,0.33688,83.12236,-6.366263,-2.341115,0.416699,,,,,,,,,,,,-5.31985,8.31733,-2.89594,50,5.80493,8.43502,-131.64167,-6.72009,-9.32875,28.12636,-17.589,KAN_JAY,HOU_COU,KansasUniversity,D1,BIG12,20260321-KansasUniversity-1,3153f960-2559-11f1-a6a0-6d568e31a2a5,90.45485,,,7.70041,,,,,,,d1a960e6-0e0b-403f-a5a7-a5c02de28013,2026-03-21,19:07:20.69,2026-03-21T14:07:20.6969344-05:00,2026-03-21T19:07:20.6969344Z,,v3,471329,3030,7792405f6ba743f894c73a46b4d494e8,"Mungarrieta, Augusto",1000334193,Right,KAN_JAY,122e6341-b587-4452-8281-a0598772be53,54.21246,-132.53864,14.06318,6.0103,-6.15916,-8.7945,-3.16968,8.73253,-4.66437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,216.341187,42.144929,1610.565456,0.74145,1:15,-0.688078,-0.470087,-0.552781,-37.528044,38.31774,-21.710404,178.722527,6.18345,0.022165,0.107712,-0.993935,6.184975,1.27004,0.107712,0.022165,0.993935,-6.184975,-1.27004,-0.107712,-0.022165,0.993935,-178.722527,-6.18345,-0.022165,-0.107712,-0.993935,,,
4,2026-03-21,14:08:10.12,1,4,"Nayral, Mathis",1000252574,Right,KAN_JAY,"Helton, McClane",1000437465,Left,HOU_COU,Undefined,1,Top,0,1,2,Slider,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,86.00772,-0.728719,-3.404823,2789.450802,63.738939,8:00,6.12454,3.00782,5.75493,-40.16758,-1.59284,-5.94922,2.09765,-0.66117,78.14128,-8.093799,-4.467977,0.447016,,,,,,,,,,,,1.94728,-0.21854,-2.72136,50,6.03952,7.65652,-124.5866,-3.00066,3.01369,28.61198,-32.5123,KAN_JAY,HOU_COU,KansasUniversity,D1,BIG12,20260321-KansasUniversity-1,4eb94dc0-2559-11f1-a6a0-6d568e31a2a5,84.32014,,,7.86644,,,,,,,d1a960e6-0e0b-403f-a5a7-a5c02de28013,2026-03-21,19:08:10.12,2026-03-21T14:08:10.1231616-05:00,2026-03-21T19:08:10.1231616Z,,v3,471329,3030,7792405f6ba743f894c73a46b4d494e8,"Mungarrieta, Augusto",1000334193,Right,KAN_JAY,77ef91ba-4039-4c79-9641-32aec738eb9d,54.74437,-125.67145,14.30599,6.12993,-1.76793,-16.25615,-3.0095,7.54225,1.50685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,225.656177,88.826503,57.12783,0.02048,1:30,-0.998609,-0.027361,0.045073,71.298593,-45.905588,39.60831,127.310131,-49.634448,0.515128,-0.761928,-0.392567,62.7412,-31.006043,0.761928,-0.515128,0.392567,-62.7412,31.006043,-0.761928,0.515128,0.392567,-127.310131,49.634448,-0.515128,0.761928,-0.392567,,,
5,2026-03-21,14:08:34.90,1,5,"Nayral, Mathis",1000252574,Right,KAN_JAY,"Helton, McClane",1000437465,Left,HOU_COU,Undefined,1,Top,0,1,2,Slider,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,85.3653,-0.582904,-2.384177,2625.28203,89.262368,9:00,6.11907,2.98758,5.73597,-37.78471,1.29358,-5.15044,2.42704,0.33691,77.50475,-7.537932,-3.305641,0.449924,67.70157,55.384786,-116.534336,5364.348246,,,,,29.38482,,,1.86768,1.23185,-2.7857,50,6.0474,5.36509,-123.75868,-2.57253,2.85618,27.91641,-30.2902,KAN_JAY,HOU_COU,KansasUniversity,D1,BIG12,20260321-KansasUniversity-1,5d84d720-2559-11f1-a6a0-6d568e31a2a5,83.77512,37.66811,,7.86055,,,,1.21624,2.5666,-0.45911,d1a960e6-0e0b-403f-a5a7-a5c02de28013,2026-03-21,19:08:34.90,2026-03-21T14:08:34.9020160-05:00,2026-03-21T19:08:34.9020160Z,,v3,471329,3030,7792405f6ba743f894c73a46b4d494e8,"Mungarrieta, Augusto",1000334193,Right,KAN_JAY,fa5314e2-b806-4288-96ac-794908ebc1b2,54.7625,-124.82834,13.95821,6.12374,-1.41191,-15.1451,-2.98917,5.25565,1.42809,,1.21624,-25.19849,-5.85118,2.75294,-0.79744,0.20062,-0.04778,0.01063,-0.00147,2.5666,81.71874,-30.40026,4.08569,-0.80267,0.13268,-0.02082,0.00093,0.00092,-0.45911,-50.46459,2.67171,0.51196,-0.29367,0.09958,-0.02789,0.00849,-0.00183,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Undefined,,,,219.521756,86.891908,142.342386,0.05422,1:15,-0.999002,-0.044661,-0.000266,70.264953,-38.453302,32.100477,112.42876,-42.518698,0.681302,-0.675831,-0.281213,67.407852,-42.945461,0.675831,-0.681302,0.281213,-67.407852,42.945461,-0.675831,0.681302,0.281213,-112.42876,42.518698,-0.681302,0.675831,-0.281213,,,
6,2026-03-21,14:08:59.30,1,6,"Nayral, Mathis",1000252574,Right,KAN_JAY,"Helton, McClane",1000437465,Left,HOU_COU,Undefined,1,Top,0,1,2,FourSeamFastBall,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,95.3153,-3.641401,-3.600589,2261.455842,204.601831,12:45,6.0796,2.92355,5.96333,-10.22312,20.77222,9.02615,1.83996,0.33271,86.63778,-5.645899,-1.983529,0.4007,,,,,,,,,,,,-5.6617,12.01489,-2.64257,50,5.78408,8.26883,-137.90129,-9.03191,-10.85456,31.92207,-9.13914,KAN_JAY,HOU_COU,KansasUniversity,D1,BIG12,20260321-KansasUniversity-1,6c16d9f0-2559-11f1-a6a0-6d568e31a2a5,94.06643,,,8.67752,,,,,,,d1a960e6-0e0b-403f-a5a7-a5c02de28013,2026-03-21,19:08:59.30,2026-03-21T14:08:59.3070080-05:00,2026-03-21T19:08:59.3070080Z,,v3,471329,3030,7792405f6ba743f894c73a46b4d494e8,"Mungarrieta, Augusto",1000334193,Right,KAN_JAY,95c1ce96-7c31-4936-a215-1005c407a694,54.53475,-138.94705,15.96103,6.07506,-8.73252,-4.56957,-2.91928,8.62442,-5.42728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,219.131435,9.643939,2229.496622,0.985868,1:15,-0.175445,-0.631566,-0.755211,-44.755899,-10.893514,-40.064746,172.775151,7.756133,0.124613,0.134957,-0.982984,7.817444,7.158405,0.134957,0.124613,0.982984,-7.817444,-7.158405,-0.134957,-0.124613,0.982984,-172.775151,-7.756133,-0.124613,-0.134957,-0.982984,,,
7,2026-03-21,14:09:23.89,1,7,"Nayral, Mathis",1000252574,Right,KAN_JAY,"Helton, McClane",1000437465,Left,HOU_COU,Undefined,1,Top,0,2,2,Slider,Slider,InPlay,Undefined,GroundBall,Out,1,0,,85.29536,-0.521073,-2.839978,2636.80511,69.203281,8:15,6.17855,2.97178,5.94374,-39.99758,-0.84776,-6.03154,2.36147,-0.16733,76.96645,-7.908632,-3.922632,0.450336,91.5635,-3.558028,26.907169,,,,,26.28712,26.28712,26.32008,0.191534,2.145,0.09047,-2.74189,50,6.11448,6.36975,-123.59173,-2.46865,3.2424,29.84814,-32.03731,KAN_JAY,HOU_COU,KansasUniversity,D1,BIG12,20260321-KansasUniversity-1,7ab279b0-2559-11f1-a6a0-6d568e31a2a5,83.69854,2.37315,,8.32891,,,,1.4266,2.37315,0.10782,d1a960e6-0e0b-403f-a5a7-a5c02de28013,2026-03-21,19:09:23.89,2026-03-21T14:09:23.8909952-05:00,2026-03-21T19:09:23.8909952Z,GroundBall,v3,471329,3030,7792405f6ba743f894c73a46b4d494e8,"Mungarrieta, Augusto",1000334193,Right,KAN_JAY,e9d96a5e-3e21-48bb-bc4e-ea9e31340280,54.55537,-124.68702,14.92407,6.1835,-1.29302,-16.01866,-2.97345,6.25077,1.6212,308.568957,1.42759,119.45556,-20.34472,,,,,,,2.37411,-8.40106,-20.87969,,,,,,,0.10759,60.67216,-1.98482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,,93.117967,88.34287,76.252032,0.028918,9:00,-0.998653,0.019784,0.047966,61.574056,-32.8717,41.324931,122.891296,-45.092129,0.592804,-0.708243,-0.383374,61.57317,-36.356223,0.708243,-0.592804,0.383374,-61.57317,36.356223,-0.708243,0.592804,0.383374,-122.891296,45.092129,-0.592804,0.708243,-0.383374,,,
8,2026-03-21,14:10:02.76,2,1,"Nayral, Mathis",1000252574,Right,KAN_JAY,"Broussard, Tre",821507,Left,HOU_COU,Undefined,1,Top,1,0,0,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,83.2372,-0.072832,-1.655346,2548.876538,108.902057,9:45,6.14939,3.09584,5.84813,-37.98337,2.68425,-3.88792,2.9164,1.23318,75.88543,-7.087112,-2.352847,0.458982,,,,,,,,,,,,1.4763,1.8402,-2.95899,50,6.12157,3.64845,-120.7962,-1.42353,2.16447,25.22782,-29.47605,KAN_JAY,HOU_COU,KansasUniversity,D1,BIG12,20260321-KansasUniversity-1,91efb980-2559-11f1-a6a0-6d568e31a2a5,82.12179,,,7.35178,,,,,,,d1a960e6-0e0b-403f-a5a7-a5c02de28013,2026-03-21,19:10:02.76,2026-03-21T14:10:02.7659776-05:00,2026-03-21T19:10:02.7659776Z,,v3,471329,3030,7792405f6ba743f894c73a46b4d494e8,"Mungarrieta, Augusto",1000334193,Right,KAN_JAY,9c49a29b-554b-4a23-810e-f55a99c09750,54.6493,-121.76332,12.61391,6.15449,-0.29356,-14.73803,-3.09726,3.56548,1.08224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,82.583788,85.007082,221.835394,0.087033,8:45,-0.995574,0.085038,0.04001,70.558712,-29.483177,29.655968,119.089342,-37.107608,0.696909,-0.603314,-0.387725,57.272835,-44.179522,0.603314,-0.696909,0.387725,-57.272835,44.179522,-0.603314,0.696909,0.387725,-119.089342,37.107608,-0.696909,0.603314,-0.387725,,,
9,2026-03-21,14:10:21.15,2,2,"Nayral, Mathis",1000252574,Right,KAN_JAY,"Broussard, Tre",821507,Left,HOU_COU,Undefined,1,Top,1,1,0,Cutter,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,89.53088,-2.430688,-4.033553,2224.772009,196.455516,12:30,6.00977,3.077,6.27907,-22.80631,11.43855,3.08229,1.86189,-0.39016,82.70209,-6.688144,-3.478304,0.421181,,,,,,,,,,,,-2.63201,6.88587,-2.7803,50,5.81864,9.03329,-129.83312,-6.22688,-4.5295,25.09205,-20.32393,KAN_JAY,HOU_COU,KansasUniversity,D1,BIG12,20260321-KansasUniversity-1,9cdbbec0-2559-11f1-a6a0-6d568e31a2a5,89.4922,,,6.82879,,,,,,,d1a960e6-0e0b-403f-a5a7-a5c02de28013,2026-03-21,19:10:21.15,2026-03-21T14:10:21.1558912-05:00,2026-03-21T19:10:21.1558912Z,,v3,471329,3030,7792405f6ba743f894c73a46b4d494e8,"Mungarrieta, Augusto",1000334193,Right,KAN_JAY,349e9677-afd3-4635-bdc7-0f427048efec,54.22083,-130.6463,12.54602,6.00977,-5.56822,-10.16197,-3.07543,9.18009,-2.26475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,210.475357,48.512802,1473.806205,0.662453,1:00,-0.772522,-0.367442,-0.517876,-45.447341,39.610885,-25.820704,175.273644,-3.394436,0.082252,-0.059209,-0.994851,3.40599,-4.718045,0.059209,-0.082252,0.994851,-3.40599,4.718045,-0.059209,0.082252,0.994851,-175.273644,3.394436,-0.082252,0.059209,-0.994851,,,
10,2026-03-21,14:10:42.27,2,3,"Nayral, Mathis",1000252574,Right,KAN_JAY,"Broussard, Tre",821507,Left,HOU_COU,Undefined,1,Top,1,1,1,FourSeamFastBall,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,94.57175,-3.729276,-3.658933,2336.793183,220.640696,1:15,6.06064,3.17575,6.07558,-14.31178,17.05717,13.71843,1.40541,0.92878,86.01474,-6.469927,-1.194207,0.403108,,,,,,,,,,,,-8.1178,10.19316,-2.89943,50,5.76351,8.14404,-136.83566,-9.34501,-15.31392,31.61195,-12.94501,KAN_JAY,HOU_COU,KansasUniversity,D1,BIG12,20260321-KansasUniversity-1,a96c2530-2559-11f1-a6a0-6d568e31a2a5,93.50458,,,8.557,,,,,,,d1a960e6-0e0b-403f-a5a7-a5c02de28013,2026-03-21,19:10:42.27,2026-03-21T14:10:42.2720000-05:00,2026-03-21T19:10:42.2720000Z,,v3,471329,3030,7792405f6ba743f894c73a46b4d494e8,"Mungarrieta, Augusto",1000334193,Right,KAN_JAY,f240d526-a0b7-4647-b721-c49ab16d0f34,54.42296,-137.85367,15.80597,6.05774,-8.92814,-6.47251,-3.16964,8.6372,-7.65696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,218.661197,10.057575,2300.883125,0.984633,1:15,-0.183052,-0.62517,-0.758719,-43.852023,-9.612149,-39.423979,172.72962,6.650229,0.1257,0.115808,-0.985286,6.703642,7.2212,0.115808,0.1257,0.985286,-6.703642,-7.2212,-0.115808,-0.1257,0.985286,-172.72962,-6.650229,-0.1257,-0.115808,-0.985286,,,
