PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallZAmb4,BatSpeed,VerticalAttackAngle,HorizontalAttackAngle
1,2026-03-21,13:05:13.44,1,1,"Ware, Tanner",1000218534,Left,OAK_GOL,"Wang, Jackson",1000181175,Right,NOK_NOR,Undefined,1,Top,0,0,0,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,85.54318,-1.706519,1.52104,1989.714053,114.399782,9:45,5.8585,-1.6112,6.59651,-28.4495,10.12504,-18.66328,1.92317,-1.77256,75.71379,-7.1414,-1.87713,0.447015,,,,,,,,,,,,10.24087,6.47996,1.5133,50,5.73065,-2.54497,-123.88042,-4.48432,15.28975,33.77836,-22.49934,OAK_GOL,NOK_NOR,OaklandBaseballField,D1,HORZ,20260321-OaklandBaseballField-1,82616b70-2550-11f1-a35b-634d602ee136,84.32034,,,9.82939,,,,,,,84c0de08-d3b1-4e60-bdd5-29f4db1c196c,2026-03-21,18:05:13.44,2026-03-21T13:05:13.4435840-05:00,2026-03-21T18:05:13.4435840Z,,v3,471397,471393,,"Schuck, Aidan",1000228502,Right,OAK_GOL,8e0225d4-23f4-4b33-8b9c-f5336cea289a,53.89659,-124.93838,16.88918,5.86006,-3.77962,-11.24967,1.60051,-3.02386,7.64488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2026-03-21,13:05:29.86,1,2,"Ware, Tanner",1000218534,Left,OAK_GOL,"Wang, Jackson",1000181175,Right,NOK_NOR,Undefined,1,Top,0,1,0,Fastball,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,85.5933,-0.908058,2.706339,2023.565579,123.65798,10:00,5.83689,-1.71054,6.32705,-27.83911,10.40745,-13.47481,2.67972,-0.33929,76.94606,-6.175755,0.269298,0.44511,72.17171,-56.29374,-104.238463,,,,,2.18564,2.18564,-41.120215,0.031145,7.95827,6.12603,1.51915,50,5.75747,-5.34906,-124.10185,-2.78408,12.15235,29.66661,-22.81955,OAK_GOL,NOK_NOR,OaklandBaseballField,D1,HORZ,20260321-OaklandBaseballField-1,8c298a20-2550-11f1-a35b-634d602ee136,84.68116,2.75301,,8.64724,,,,2.0982,2.75301,0.34268,84c0de08-d3b1-4e60-bdd5-29f4db1c196c,2026-03-21,18:05:29.86,2026-03-21T13:05:29.8647552-05:00,2026-03-21T18:05:29.8647552Z,GroundBall,v3,471397,471393,,"Schuck, Aidan",1000228502,Right,OAK_GOL,99892db5-1d01-4936-b0dd-b8a82b9ae339,54.17182,-125.09515,14.8333,5.8379,-2.02003,-11.40977,1.70506,-5.75594,6.07617,,2.09848,-14.50305,,,,,,,,2.75469,-88.39413,,,,,,,,0.34377,-57.15412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2026-03-21,13:05:53.14,1,3,"Ware, Tanner",1000218534,Left,OAK_GOL,"Wang, Jackson",1000181175,Right,NOK_NOR,Undefined,1,Top,0,1,1,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,77.59008,-0.150461,1.759038,1374.170183,111.022659,9:45,5.80028,-1.84137,6.51271,-38.33931,8.46221,-16.96095,2.4672,-1.64005,69.02423,-7.421504,-1.323428,0.492381,,,,,,,,,,,,9.3926,5.10032,1.72446,50,5.77416,-2.83192,-112.42023,-1.3238,11.60731,26.89791,-25.8711,OAK_GOL,NOK_NOR,OaklandBaseballField,D1,HORZ,20260321-OaklandBaseballField-1,9a149e90-2550-11f1-a35b-634d602ee136,76.55133,,,8.56585,,,,,,,84c0de08-d3b1-4e60-bdd5-29f4db1c196c,2026-03-21,18:05:53.14,2026-03-21T13:05:53.1428864-05:00,2026-03-21T18:05:53.1428864Z,,v3,471397,471393,,"Schuck, Aidan",1000228502,Right,OAK_GOL,6d062912-cc4a-424a-bcc7-5e09dc6c3bc5,53.98062,-113.36865,13.44895,5.80475,-0.4116,-12.93555,1.83152,-3.24119,5.80366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2026-03-21,13:06:12.38,1,4,"Ware, Tanner",1000218534,Left,OAK_GOL,"Wang, Jackson",1000181175,Right,NOK_NOR,Undefined,1,Top,0,2,1,Fastball,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,85.51449,-1.791283,4.390893,1968.305638,106.037935,9:30,5.74756,-1.72214,6.68221,-31.44557,6.4215,-17.43721,1.48323,0.84905,77.15019,-7.724054,1.221257,0.442897,,,,,,,,,,,,10.61308,4.40607,1.43429,50,5.61542,-8.85879,-123.82859,-4.78287,16.1733,29.00044,-25.45962,OAK_GOL,NOK_NOR,OaklandBaseballField,D1,HORZ,20260321-OaklandBaseballField-1,a58452c0-2550-11f1-a35b-634d602ee136,85.10438,,,8.36429,,,,,,,84c0de08-d3b1-4e60-bdd5-29f4db1c196c,2026-03-21,18:06:12.38,2026-03-21T13:06:12.3837440-05:00,2026-03-21T18:06:12.3837440Z,,v3,471397,471393,,"Schuck, Aidan",1000228502,Right,OAK_GOL,ba927ca1-e3c6-41e6-b6e5-256404196c4b,53.81666,-124.71924,14.50022,5.7503,-4.00097,-12.72981,1.71398,-9.3555,8.08665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2026-03-21,13:06:33.20,1,5,"Ware, Tanner",1000218534,Left,OAK_GOL,"Wang, Jackson",1000181175,Right,NOK_NOR,Undefined,1,Top,0,2,2,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,78.94142,-2.472966,2.757098,1611.090348,110.059217,9:45,5.58757,-1.82226,6.34915,-36.66278,8.74012,-18.89462,0.25185,-0.85687,70.80025,-9.353832,-0.668087,0.484968,,,,,,,,,,,,10.89327,5.96768,1.63055,50,5.39088,-4.83325,-114.28311,-5.95589,13.96788,27.03481,-24.52203,OAK_GOL,NOK_NOR,OaklandBaseballField,D1,HORZ,20260321-OaklandBaseballField-1,b1ed0cf0-2550-11f1-a35b-634d602ee136,77.72147,,,8.14118,,,,,,,84c0de08-d3b1-4e60-bdd5-29f4db1c196c,2026-03-21,18:06:33.20,2026-03-21T13:06:33.2028416-05:00,2026-03-21T18:06:33.2028416Z,,v3,471397,471393,,"Schuck, Aidan",1000228502,Right,OAK_GOL,bef0d85d-c708-4a71-91b9-ba186a9d3402,54.1492,-115.26047,13.5174,5.59017,-5.06938,-12.26101,1.81441,-5.33822,6.98394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2026-03-21,13:06:58.62,1,6,"Ware, Tanner",1000218534,Left,OAK_GOL,"Wang, Jackson",1000181175,Right,NOK_NOR,Undefined,1,Top,0,3,2,Fastball,Changeup,InPlay,Undefined,GroundBall,Out,1,0,,85.06947,-1.740653,3.114315,1982.172406,118.287462,10:00,5.63448,-1.7363,6.60159,-28.77545,9.44465,-14.95469,1.63903,-0.12662,76.86743,-7.184763,0.395407,0.444956,78.97182,-20.48412,-56.359089,,,,,6.59865,6.59865,-35.888894,0.044242,8.92571,5.93528,1.52958,50,5.50372,-6.168,-123.37147,-4.55797,13.51694,28.53391,-23.1858,OAK_GOL,NOK_NOR,OaklandBaseballField,D1,HORZ,20260321-OaklandBaseballField-1,c1111690-2550-11f1-a35b-634d602ee136,84.71044,1.7968,,8.20204,,,,2.68135,1.7968,0.13608,84c0de08-d3b1-4e60-bdd5-29f4db1c196c,2026-03-21,18:06:58.62,2026-03-21T13:06:58.6295808-05:00,2026-03-21T18:06:58.6295808Z,GroundBall,v3,471397,471393,,"Schuck, Aidan",1000228502,Right,OAK_GOL,0fb69e0c-a62c-4123-8814-9e72c25b3429,53.89822,-124.2698,14.26696,5.63573,-3.82802,-11.5929,1.73046,-6.59355,6.75847,,2.6805,60.22795,,,,,,,,1.79738,-40.61344,,,,,,,,0.13736,-90.51007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2026-03-21,13:07:34.61,2,1,"Ware, Tanner",1000218534,Left,OAK_GOL,"Bauerle, Pierce",1000347968,Right,NOK_NOR,Undefined,1,Top,1,0,0,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,78.00465,-1.921668,4.07117,1517.631,97.512302,9:15,5.56244,-1.93894,6.49043,-41.97408,4.52374,-19.61438,0.29526,0.17041,69.73041,-9.79498,0.51124,0.490781,,,,,,,,,,,,11.83453,3.62858,1.661,50,5.40946,-7.34924,-112.81962,-4.94657,14.72923,27.08803,-27.65792,OAK_GOL,NOK_NOR,OaklandBaseballField,D1,HORZ,20260321-OaklandBaseballField-1,d68926c0-2550-11f1-a35b-634d602ee136,76.80091,,,8.27424,,,,,,,84c0de08-d3b1-4e60-bdd5-29f4db1c196c,2026-03-21,18:07:34.61,2026-03-21T13:07:34.6176512-05:00,2026-03-21T18:07:34.6176512Z,,v3,471397,471393,,"Schuck, Aidan",1000228502,Right,OAK_GOL,74d76ec0-92b8-45c4-b0fb-1e75188567f9,54.00787,-113.77784,13.54402,5.56714,-3.9682,-13.82896,1.93019,-7.87028,7.36462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2026-03-21,13:08:03.05,2,2,"Ware, Tanner",1000218534,Left,OAK_GOL,"Bauerle, Pierce",1000347968,Right,NOK_NOR,Undefined,1,Top,1,1,0,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,86.21334,0.051414,3.122043,2030.919081,115.901976,9:45,5.88734,-1.49033,6.55228,-27.80513,9.5776,-16.84214,3.61746,-0.02816,77.36962,-5.236797,0.065317,0.440055,,,,,,,,,,,,9.79898,5.4213,1.28061,50,5.87932,-6.15943,-124.99935,-0.68113,15.1917,29.92469,-23.76922,OAK_GOL,NOK_NOR,OaklandBaseballField,D1,HORZ,20260321-OaklandBaseballField-1,e779b300-2550-11f1-a35b-634d602ee136,85.65393,,,8.84371,,,,,,,84c0de08-d3b1-4e60-bdd5-29f4db1c196c,2026-03-21,18:08:03.05,2026-03-21T13:08:03.0552576-05:00,2026-03-21T18:08:03.0552576Z,,v3,471397,471393,,"Schuck, Aidan",1000228502,Right,OAK_GOL,c3a6f5bf-e6b5-4feb-ab8b-c460c953ae1e,53.94485,-125.9402,14.96235,5.88899,0.06619,-11.88461,1.48177,-6.63706,7.59585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2026-03-21,13:08:22.17,2,3,"Ware, Tanner",1000218534,Left,OAK_GOL,"Bauerle, Pierce",1000347968,Right,NOK_NOR,Undefined,1,Top,1,2,0,Fastball,Changeup,InPlay,Undefined,GroundBall,Error,0,0,,85.75577,-1.637886,2.996683,1990.164108,112.06743,9:45,5.79157,-1.56632,6.39702,-29.20427,8.86036,-18.29564,1.84906,-0.33242,77.13236,-7.149447,-0.317841,0.44405,85.63198,-12.048708,-27.452646,,,,,11.45766,11.28176,-18.447174,0.071497,10.62001,5.58402,1.35926,50,5.66059,-5.81213,-124.3007,-4.41739,16.24948,30.0316,-23.63003,OAK_GOL,NOK_NOR,OaklandBaseballField,D1,HORZ,20260321-OaklandBaseballField-1,f2d93a90-2550-11f1-a35b-634d602ee136,84.88327,1.87752,,8.62342,,,,3.06321,1.87752,0.42965,84c0de08-d3b1-4e60-bdd5-29f4db1c196c,2026-03-21,18:08:22.17,2026-03-21T13:08:22.1708800-05:00,2026-03-21T18:08:22.1708800Z,GroundBall,v3,471397,471393,,"Schuck, Aidan",1000228502,Right,OAK_GOL,8ea4736e-4b0e-4aab-b561-07f1e01554bb,54.10264,-125.28799,15.0158,5.79304,-3.64054,-11.81501,1.55912,-6.34634,8.12474,180,3.06113,109.17562,,,,,,,,1.87802,-26.26011,,,,,,,,0.43073,-56.7186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2026-03-21,13:09:06.20,3,1,"Ware, Tanner",1000218534,Left,OAK_GOL,"Paulick, Jake",1000093630,Right,NOK_NOR,Undefined,1,Top,1,0,0,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,77.46255,-0.395478,1.706648,1664.050775,120.906142,10:00,5.78553,-1.68338,6.46755,-33.91959,12.72107,-18.2043,2.59551,-1.63245,69.41552,-6.840171,-1.59782,0.491534,,,,,,,,,,,,9.99693,7.33162,1.56972,50,5.74303,-2.69119,-112.32523,-1.65357,12.44294,25.23147,-23.04859,OAK_GOL,NOK_NOR,OaklandBaseballField,D1,HORZ,20260321-OaklandBaseballField-1,0d262b60-2551-11f1-a35b-634d602ee136,76.68326,,,8.04703,,,,,,,84c0de08-d3b1-4e60-bdd5-29f4db1c196c,2026-03-21,18:09:06.20,2026-03-21T13:09:06.2013440-05:00,2026-03-21T18:09:06.2013440Z,,v3,471397,471393,,"Schuck, Aidan",1000228502,Right,OAK_GOL,06976325-5d95-4ef1-9e36-16c8b12a7f03,54.0276,-113.22633,12.61574,5.78738,-0.83043,-11.52429,1.67377,-3.13557,6.22147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
