PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallZAmb4,BatSpeed,VerticalAttackAngle,HorizontalAttackAngle
1,2026-03-21,13:02:24.26,1,1,"Bradle, Ty",831430,Right,FLO_SOU3,"Gimson, Ean",1000299941,Left,ECK_COL,Undefined,1,Top,0,0,0,Fastball,Cutter,BallCalled,Undefined,Undefined,Undefined,0,0,,87.8136,-1.035138,-1.023744,2200.777682,171.707072,11:45,6.3341,1.12378,6.65326,-19.06261,16.35013,-2.20945,3.79794,0.00263,79.77149,-4.704174,-1.425976,0.428303,,,,,,,,,,,,0.84756,9.26847,-1.05417,50,6.2564,2.36488,-127.59206,-2.78213,1.38598,28.21827,-17.01758,FLO_SOU3,ECK_COL,HenleyField,D2,Team,20260321-HenleyField-2,bbc4ab10-2547-11f1-abc5-27bfe7023b9a,88.00413,,,8.04211,,,,,,,a751e179-c105-4f56-8883-49c30a55b5c3,2026-03-21,17:02:24.26,2026-03-21T13:02:24.2606080-04:00,2026-03-21T17:02:24.2606080Z,,v3,643-144895,643-144824,,"Filley, Cory",1000220753,Right,FLO_SOU3,6d5c073b-2332-4763-83fc-4a7d21d17b94,53.84323,-128.43921,14.10913,6.33226,-2.27123,-8.50879,-1.12454,2.32327,0.69299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2026-03-21,13:02:42.71,1,2,"Bradle, Ty",831430,Right,FLO_SOU3,"Gimson, Ean",1000299941,Left,ECK_COL,Undefined,1,Top,0,1,0,Fastball,Cutter,BallCalled,Undefined,Undefined,Undefined,0,0,,86.06753,-0.843553,-1.633565,2176.404912,195.97474,12:30,6.19225,1.174,6.39546,-22.39958,14.45083,3.81591,3.54943,-0.0108,79.018,-5.082802,-0.942366,0.436911,,,,,,,,,,,,-2.42473,8.11512,-1.05836,50,6.1212,3.42275,-125.11863,-2.46779,-3.85691,24.43196,-19.26575,FLO_SOU3,ECK_COL,HenleyField,D2,Team,20260321-HenleyField-2,c6c040b0-2547-11f1-abc5-27bfe7023b9a,86.27033,,,7.04952,,,,,,,a751e179-c105-4f56-8883-49c30a55b5c3,2026-03-21,17:02:42.71,2026-03-21T13:02:42.7169792-04:00,2026-03-21T17:02:42.7169792Z,,v3,643-144895,643-144824,,"Filley, Cory",1000220753,Right,FLO_SOU3,978bb0c4-3de1-4449-9a57-1a59cd56e725,54.10303,-125.91728,12.21598,6.19158,-1.83802,-9.63287,-1.17231,3.54883,-1.92845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2026-03-21,13:03:00.74,1,3,"Bradle, Ty",831430,Right,FLO_SOU3,"Gimson, Ean",1000299941,Left,ECK_COL,Undefined,1,Top,0,2,0,Fastball,Cutter,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,86.29887,-2.697378,-1.828991,2243.42654,184.758332,12:15,6.21281,1.09161,6.5895,-21.57147,14.90702,1.14693,1.94045,-0.48931,79.37625,-6.780202,-1.620426,0.4347,79.41256,-7.037395,59.300258,,,,,15.70994,4.6326,51.963777,0.124435,-1.10492,8.93552,-0.96697,50,6.01892,3.96212,-125.37094,-6.48577,-1.76215,24.86511,-17.92346,FLO_SOU3,ECK_COL,HenleyField,D2,Team,20260321-HenleyField-2,d1818c70-2547-11f1-abc5-27bfe7023b9a,86.70904,1.77859,,6.92262,,,,2.32412,1.77859,-0.01507,a751e179-c105-4f56-8883-49c30a55b5c3,2026-03-21,17:03:00.74,2026-03-21T13:03:00.7482880-04:00,2026-03-21T17:03:00.7482880Z,GroundBall,v3,643-144895,643-144824,,"Filley, Cory",1000220753,Right,FLO_SOU3,405d8049-df21-4c4b-99df-34050b743ec9,53.91043,-126.14411,12.43256,6.21193,-5.92844,-8.96173,-1.09102,4.01692,-0.88107,180,2.32216,59.11312,,,,,,,,1.77907,-14.29341,,,,,,,,-0.01837,99.55886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2026-03-21,13:03:23.81,1,4,"Bradle, Ty",831430,Right,FLO_SOU3,"Gimson, Ean",1000299941,Left,ECK_COL,Undefined,1,Top,0,2,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.15621,-2.796798,-0.716414,2228.154416,187.058987,12:15,6.19576,1.01471,6.47573,-20.29206,14.71769,1.6913,1.93422,0.49773,81.22621,-6.630414,-0.409299,0.425859,,,,,,,,,,,,-1.07571,8.78217,-0.965,50,5.98961,1.53762,-128.1059,-6.82303,-1.79637,25.2494,-17.50835,FLO_SOU3,ECK_COL,HenleyField,D2,Team,20260321-HenleyField-2,df467b40-2547-11f1-abc5-27bfe7023b9a,88.50921,,,6.93,,,,,,,a751e179-c105-4f56-8883-49c30a55b5c3,2026-03-21,17:03:23.81,2026-03-21T13:03:23.8187520-04:00,2026-03-21T17:03:23.8187520Z,,v3,643-144895,643-144824,,"Filley, Cory",1000220753,Right,FLO_SOU3,b333ae48-857d-4605-a20a-859ce21e43e4,54.02363,-128.89651,12.6247,6.19467,-6.27481,-8.75417,-1.01403,1.59387,-0.89818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2026-03-21,13:03:42.68,1,5,"Bradle, Ty",831430,Right,FLO_SOU3,"Gimson, Ean",1000299941,Left,ECK_COL,Undefined,1,Top,0,2,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,88.3688,-0.580558,-1.325923,2236.388295,186.516984,12:15,6.23955,0.96336,6.38033,-19.498,15.50639,1.64882,4.08047,-0.11926,80.96182,-4.291541,-1.027353,0.425826,,,,,,,,,,,,-1.21654,8.57016,-0.86854,50,6.18845,2.90842,-128.46766,-1.84143,-2.0377,26.04587,-17.81902,FLO_SOU3,ECK_COL,HenleyField,D2,Team,20260321-HenleyField-2,ea827540-2547-11f1-abc5-27bfe7023b9a,88.51598,,,7.40698,,,,,,,a751e179-c105-4f56-8883-49c30a55b5c3,2026-03-21,17:03:42.68,2026-03-21T13:03:42.6890240-04:00,2026-03-21T17:03:42.6890240Z,,v3,643-144895,643-144824,,"Filley, Cory",1000220753,Right,FLO_SOU3,4c2ee3fd-156f-49a3-bace-a8a4c3ef794b,54.11776,-129.29981,13.02294,6.23819,-1.27213,-8.90951,-0.96251,2.97352,-1.01885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2026-03-21,13:04:00.67,1,6,"Bradle, Ty",831430,Right,FLO_SOU3,"Gimson, Ean",1000299941,Left,ECK_COL,Undefined,1,Top,0,3,2,Fastball,Slider,BallCalled,Walk,Undefined,Undefined,0,0,,86.01658,-0.456858,-0.727932,2017.139971,196.462892,12:30,6.19392,1.25174,6.41026,-25.78997,11.06796,2.94063,3.62466,0.82746,78.9857,-5.312005,-0.19475,0.436955,,,,,,,,,,,,-1.72665,6.25418,-1.20092,50,6.14941,1.47724,-125.0949,-1.74869,-2.74422,24.52896,-22.23411,FLO_SOU3,ECK_COL,HenleyField,D2,Team,20260321-HenleyField-2,f5389d70-2547-11f1-abc5-27bfe7023b9a,86.26157,,,7.03087,,,,,,,a751e179-c105-4f56-8883-49c30a55b5c3,2026-03-21,17:04:00.67,2026-03-21T13:04:00.6781952-04:00,2026-03-21T17:04:00.6781952Z,,v3,643-144895,643-144824,,"Filley, Cory",1000220753,Right,FLO_SOU3,63d8ff50-c465-42a6-b625-f7dec6c69604,54.0882,-125.89397,12.26448,6.19458,-1.02437,-11.11705,-1.2505,1.56664,-1.37211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2026-03-21,13:04:33.29,2,1,"Bradle, Ty",831430,Right,FLO_SOU3,"Hodierne, Corey",1000359121,Right,ECK_COL,Undefined,1,Top,0,0,0,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,80.54844,0.843843,-2.008085,2115.811818,152.202132,11:00,5.95877,1.87922,5.85069,-37.13152,6.35559,-2.58036,3.64912,-0.20251,73.22356,-6.048282,-2.470459,0.474626,,,,,,,,,,,,0.70398,3.44925,-1.71447,50,6.00595,4.19748,-116.83689,0.54837,0.96489,23.74906,-27.44642,FLO_SOU3,ECK_COL,HenleyField,D2,Team,20260321-HenleyField-2,08afad80-2548-11f1-abc5-27bfe7023b9a,79.41503,,,7.32489,,,,,,,a751e179-c105-4f56-8883-49c30a55b5c3,2026-03-21,17:04:33.29,2026-03-21T13:04:33.2948992-04:00,2026-03-21T17:04:33.2948992Z,,v3,643-144895,643-144824,,"Filley, Cory",1000220753,Right,FLO_SOU3,af0f07d5-eba5-4b76-8973-331d65f3944b,54.64616,-117.77752,11.87453,5.9627,1.63544,-13.72321,-1.87996,4.15927,0.48244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2026-03-21,13:05:08.62,2,2,"Bradle, Ty",831430,Right,FLO_SOU3,"Hodierne, Corey",1000359121,Right,ECK_COL,Undefined,1,Top,0,0,1,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,81.23852,1.574297,-1.175193,2209.086879,134.397228,10:30,6.013,1.75375,5.71004,-37.96955,4.81886,-3.51185,4.31627,0.36605,74.04648,-5.445141,-1.803054,0.470798,,,,,,,,,,,,1.43791,2.42378,-1.65316,50,6.12148,2.5585,-117.88895,1.99268,2.01536,23.25958,-28.77691,FLO_SOU3,ECK_COL,HenleyField,D2,Team,20260321-HenleyField-2,1dc3cbc0-2548-11f1-abc5-27bfe7023b9a,80.06078,,,7.19204,,,,,,,a751e179-c105-4f56-8883-49c30a55b5c3,2026-03-21,17:05:08.62,2026-03-21T13:05:08.6294016-04:00,2026-03-21T17:05:08.6294016Z,,v3,643-144895,643-144824,,"Filley, Cory",1000220753,Right,FLO_SOU3,4470949a-9b7c-4dee-b9d6-1179e147be10,54.78784,-118.82984,11.62979,6.01733,3.15675,-14.38846,-1.75501,2.47698,1.00768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2026-03-21,13:05:29.87,2,3,"Bradle, Ty",831430,Right,FLO_SOU3,"Hodierne, Corey",1000359121,Right,ECK_COL,Undefined,1,Top,0,1,1,Fastball,Cutter,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,88.03797,-2.899184,-1.46608,2244.314241,189.024483,12:15,6.12795,1.36821,6.62015,-22.61974,11.91827,1.74728,1.58482,0.17092,82.10636,-7.133736,-1.14795,0.42298,,,,,,,,,,,,-1.26815,7.25681,-1.26944,50,5.92143,3.21567,-128.07242,-7.12941,-2.14117,22.34533,-19.92139,FLO_SOU3,ECK_COL,HenleyField,D2,Team,20260321-HenleyField-2,2a63e9a0-2548-11f1-abc5-27bfe7023b9a,89.11158,,,5.93161,,,,,,,a751e179-c105-4f56-8883-49c30a55b5c3,2026-03-21,17:05:29.87,2026-03-21T13:05:29.8775552-04:00,2026-03-21T17:05:29.8775552Z,,v3,643-144895,643-144824,,"Filley, Cory",1000220753,Right,FLO_SOU3,b6b8f46a-f25d-4d71-bf6d-20a5428b399c,53.88173,-128.7479,11.17266,6.12785,-6.5272,-9.9607,-1.36762,3.2804,-1.07058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2026-03-21,13:05:46.86,2,4,"Bradle, Ty",831430,Right,FLO_SOU3,"Hodierne, Corey",1000359121,Right,ECK_COL,Undefined,1,Top,0,1,2,Fastball,Cutter,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,88.14645,-1.072298,-1.014662,2259.245044,181.667556,12:00,6.20842,1.31587,6.4139,-23.1069,11.65178,0.31161,3.29673,0.40888,81.75144,-5.407607,-0.958163,0.424329,,,,,,,,,,,,-0.40685,6.65512,-1.24351,50,6.12104,2.26061,-128.30351,-3.08605,-0.68725,23.21541,-20.9319,FLO_SOU3,ECK_COL,HenleyField,D2,Team,20260321-HenleyField-2,3482b3d0-2548-11f1-abc5-27bfe7023b9a,88.82826,,,6.39501,,,,,,,a751e179-c105-4f56-8883-49c30a55b5c3,2026-03-21,17:05:46.86,2026-03-21T13:05:46.8627456-04:00,2026-03-21T17:05:46.8627456Z,,v3,643-144895,643-144824,,"Filley, Cory",1000220753,Right,FLO_SOU3,94f111e0-ae84-45ce-80de-4c4271c934f2,54.08673,-129.04085,11.6077,6.2085,-2.42124,-10.46595,-1.31565,2.28244,-0.34363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
