PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallZAmb4,BatSpeed,VerticalAttackAngle,HorizontalAttackAngle
1,2026-03-22,13:02:18.43,1,1,"Johnson, Conner",10292565,Right,ORA_GOL,"Recchio, Tanner",1000255768,Left,THO_M,Undefined,1,Top,0,0,0,ChangeUp,Changeup,BallinDirt,Undefined,Undefined,Undefined,0,0,,82.9316,-1.36159,-3.33407,2221.113414,298.198127,4:00,5.59494,1.41958,5.79541,-45.68373,-4.62642,11.12363,0.51907,-0.75821,76.11385,-9.700462,-1.338937,0.461176,,,,,,,,,,,,-6.69229,-1.59791,-1.15193,50,5.45525,6.57071,-120.26418,-4.4241,-9.74099,24.66479,-34.49992,ORA_GOL,THO_M,JLJohnsonStadium,D1,SUM,20260322-JLJohnsonStadium-1,4481a120-2619-11f1-8d6a-4d669c9761b0,81.73118,,,6.81775,,,,,,,6a23402b-7354-44d2-91ad-49a0c2dd4809,2026-03-22,18:02:18.43,2026-03-22T13:02:18.4353792-05:00,2026-03-22T18:02:18.4353792Z,,v3,471403,stthomas,,"Kane-Yates, Wailele",1000224435,Right,ORA_GOL,11ac3973-2a1c-4c69-8532-e8963ebe9e4e,54.70576,-121.22544,12.3324,5.60147,-3.07955,-17.24996,-1.41541,6.95034,-4.8705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2026-03-22,13:02:32.92,1,2,"Johnson, Conner",10292565,Right,ORA_GOL,"Recchio, Tanner",1000255768,Left,THO_M,Undefined,1,Top,0,1,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.56278,-1.385526,-2.6891,2208.275368,219.589319,1:15,5.81051,1.18045,5.93418,-18.14473,15.85891,12.22737,3.01136,-0.29725,82.82661,-4.818447,-0.495283,0.419695,,,,,,,,,,,,-6.97359,8.82634,-0.9724,50,5.68947,5.64523,-131.43277,-3.73568,-12.2186,27.42405,-16.70916,ORA_GOL,THO_M,JLJohnsonStadium,D1,SUM,20260322-JLJohnsonStadium-1,4d1d26b0-2619-11f1-8d6a-4d669c9761b0,89.80907,,,7.73617,,,,,,,6a23402b-7354-44d2-91ad-49a0c2dd4809,2026-03-22,18:02:32.92,2026-03-22T13:02:32.9249792-05:00,2026-03-22T18:02:32.9249792Z,,v3,471403,stthomas,,"Kane-Yates, Wailele",1000224435,Right,ORA_GOL,07c67221-0181-4372-ae9d-773405c1583c,54.56407,-132.38166,13.71202,5.80872,-3.15753,-8.35458,-1.17505,6.068,-6.1093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2026-03-22,13:02:48.29,1,3,"Johnson, Conner",10292565,Right,ORA_GOL,"Recchio, Tanner",1000255768,Left,THO_M,Undefined,1,Top,0,1,1,ChangeUp,Curveball,InPlay,Undefined,FlyBall,Out,1,0,,78.18917,0.948707,-1.448611,2084.023813,349.051196,5:45,5.61324,1.30189,5.69251,-50.06333,-4.56059,1.12299,2.32583,0.04513,72.70648,-8.175287,-1.247545,0.485501,81.73169,45.862103,-18.569941,,98.07706,91.18617,-49.80803,253.04431,146.03414,-34.101156,5.148794,-0.93555,-2.26618,-1.18089,50,5.66096,2.83507,-113.72803,0.25702,-1.23849,18.75082,-35.17408,ORA_GOL,THO_M,JLJohnsonStadium,D1,SUM,20260322-JLJohnsonStadium-1,564ed1c0-2619-11f1-8d6a-4d669c9761b0,77.63618,98.20332,,5.48269,,,,0.94025,2.3768,-0.05372,6a23402b-7354-44d2-91ad-49a0c2dd4809,2026-03-22,18:02:48.29,2026-03-22T13:02:48.2982912-05:00,2026-03-22T18:02:48.2982912Z,FlyBall,v3,471403,stthomas,,"Kane-Yates, Wailele",1000224435,Right,ORA_GOL,2536b0c5-1f3a-4863-8a44-853e0b988985,54.81066,-114.51844,9.37541,5.61888,1.73972,-17.58704,-1.30149,2.88728,-0.61925,146.002909,0.95603,78.80451,-18.12657,2.83634,0.82801,-0.66698,0.17754,-0.02176,0.00103,2.37276,86.08269,-22.59061,1.73283,0.00531,-0.16353,0.06474,-0.01046,0.00061,-0.04754,-26.70157,-2.98642,1.17434,-0.02369,-0.09648,0.02715,-0.00288,0.0001,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2026-03-22,13:03:22.22,2,1,"Johnson, Conner",10292565,Right,ORA_GOL,"Puder, Adam",10307401,Right,THO_M,Undefined,1,Top,1,0,0,ChangeUp,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,86.25798,-1.459721,-3.826829,2162.989856,185.133175,12:15,5.73609,1.20812,5.7536,-32.66305,5.23583,0.36343,1.65198,-2.3293,79.19911,-7.460964,-3.761949,0.443082,,,,,,,,,,,,-1.25169,3.4563,-0.89039,50,5.59491,8.34516,-124.98564,-4.31997,-1.97964,25.23161,-26.70775,ORA_GOL,THO_M,JLJohnsonStadium,D1,SUM,20260322-JLJohnsonStadium-1,6a889590-2619-11f1-8d6a-4d669c9761b0,85.06869,,,7.05887,,,,,,,6a23402b-7354-44d2-91ad-49a0c2dd4809,2026-03-22,18:03:22.22,2026-03-22T13:03:22.2219776-05:00,2026-03-22T18:03:22.2219776Z,,v3,471403,stthomas,,"Kane-Yates, Wailele",1000224435,Right,ORA_GOL,da89796c-253c-4e4a-aa6e-16aad80c3765,54.74457,-125.93981,12.6158,5.73918,-3.30997,-13.35388,-1.20739,8.42003,-0.98982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2026-03-22,13:03:38.62,2,2,"Johnson, Conner",10292565,Right,ORA_GOL,"Puder, Adam",10307401,Right,THO_M,Undefined,1,Top,1,1,0,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,85.50083,-0.110991,-3.664288,2137.808315,126.38455,10:15,5.6804,1.22042,5.56036,-35.18671,3.96311,-3.58839,2.64427,-2.50673,77.77742,-6.577331,-4.302237,0.450336,,,,,,,,,,,,0.68917,2.46217,-0.90128,50,5.64795,8.08243,-123.79564,-1.48971,1.06013,26.73663,-28.38665,ORA_GOL,THO_M,JLJohnsonStadium,D1,SUM,20260322-JLJohnsonStadium-1,7450db50-2619-11f1-8d6a-4d669c9761b0,83.69855,,,7.72341,,,,,,,6a23402b-7354-44d2-91ad-49a0c2dd4809,2026-03-22,18:03:38.62,2026-03-22T13:03:38.6277888-05:00,2026-03-22T18:03:38.6277888Z,,v3,471403,stthomas,,"Kane-Yates, Wailele",1000224435,Right,ORA_GOL,b04e3f97-665b-48b7-b09d-39c5e08efc3a,54.93626,-124.85719,13.36831,5.68472,-0.36265,-14.19332,-1.22135,8.04034,0.53007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2026-03-22,13:03:54.47,2,3,"Johnson, Conner",10292565,Right,ORA_GOL,"Puder, Adam",10307401,Right,THO_M,Undefined,1,Top,1,2,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,92.30622,-3.774433,-3.59852,2296.634307,217.326848,1:15,5.95023,0.88039,5.84312,-16.02989,16.93879,12.11493,1.09466,-1.45868,84.64763,-6.799483,-1.431139,0.413259,,,,,,,,,,,,-7.17804,10.00402,-0.59434,50,5.63258,7.87748,-133.62295,-9.3278,-13.01775,27.96621,-14.0312,ORA_GOL,THO_M,JLJohnsonStadium,D1,SUM,20260322-JLJohnsonStadium-1,7dbc8220-2619-11f1-8d6a-4d669c9761b0,91.20779,,,7.65859,,,,,,,6a23402b-7354-44d2-91ad-49a0c2dd4809,2026-03-22,18:03:54.47,2026-03-22T13:03:54.4756736-05:00,2026-03-22T18:03:54.4756736Z,,v3,471403,stthomas,,"Kane-Yates, Wailele",1000224435,Right,ORA_GOL,c2edf94c-0ca4-4072-9b6b-c6c393324e82,54.65662,-134.59401,13.98311,5.94801,-8.84059,-7.0156,-0.87572,8.3295,-6.50887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2026-03-22,13:04:14.03,2,4,"Johnson, Conner",10292565,Right,ORA_GOL,"Puder, Adam",10307401,Right,THO_M,Undefined,1,Top,1,3,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,89.21023,-1.791238,-1.47108,2186.221983,212.864673,1:00,5.93724,1.10392,5.8929,-16.698,18.69095,11.28776,2.88154,0.67842,80.90817,-4.985902,0.554649,0.428159,,,,,,,,,,,,-6.17181,10.43792,-0.99168,50,5.78328,2.83225,-129.39435,-4.51621,-10.38085,28.99477,-14.61776,ORA_GOL,THO_M,JLJohnsonStadium,D1,SUM,20260322-JLJohnsonStadium-1,89645d50-2619-11f1-8d6a-4d669c9761b0,88.03371,,,8.30206,,,,,,,6a23402b-7354-44d2-91ad-49a0c2dd4809,2026-03-22,18:04:14.03,2026-03-22T13:04:14.0379136-05:00,2026-03-22T18:04:14.0379136Z,,v3,471403,stthomas,,"Kane-Yates, Wailele",1000224435,Right,ORA_GOL,665e1a09-4048-4a76-becc-2ea4440bb2f0,54.60329,-130.42178,14.49739,5.93414,-3.99823,-7.30888,-1.09856,3.2001,-5.19042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2026-03-22,13:04:29.92,2,5,"Johnson, Conner",10292565,Right,ORA_GOL,"Puder, Adam",10307401,Right,THO_M,Undefined,1,Top,1,3,1,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,90.81455,-2.850809,-2.561534,2207.332601,207.112532,1:00,5.92076,1.01799,6.06412,-18.64178,15.36706,7.26642,1.72409,-0.74871,82.50885,-6.383655,-1.254285,0.419727,68.28108,36.384036,124.377747,4618.312925,,,,,40.93643,,,-4.54634,9.1441,-0.82318,50,5.68942,5.58695,-131.61586,-7.12122,-7.90501,30.2157,-16.2746,ORA_GOL,THO_M,JLJohnsonStadium,D1,SUM,20260322-JLJohnsonStadium-1,92dcae50-2619-11f1-8d6a-4d669c9761b0,89.80218,26.41422,,8.3057,,,,1.36779,1.71895,0.67011,6a23402b-7354-44d2-91ad-49a0c2dd4809,2026-03-22,18:04:29.92,2026-03-22T13:04:29.9211264-05:00,2026-03-22T18:04:29.9211264Z,,v3,471403,stthomas,,"Kane-Yates, Wailele",1000224435,Right,ORA_GOL,a7a7ef01-b214-4be3-8b30-154f98d992fb,54.43465,-132.63004,15.10785,5.91927,-6.57497,-8.1373,-1.01515,5.85228,-3.95251,,1.36779,-45.52349,-2.27896,2.30665,-0.7314,0.20609,-0.04708,0.01105,-0.00151,1.71895,59.40572,-27.45545,3.57384,-0.74057,0.13674,-0.02493,0.00595,-0.00108,0.67011,66.5408,-12.79571,2.00211,-0.36739,0.0375,-0.00627,0.00241,-0.00086,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2026-03-22,13:04:49.10,2,6,"Johnson, Conner",10292565,Right,ORA_GOL,"Puder, Adam",10307401,Right,THO_M,Undefined,1,Top,1,3,2,Fastball,Four-Seam,BallCalled,Walk,Undefined,Undefined,0,0,,91.38505,-3.896119,-2.933815,2264.133009,217.984814,1:15,5.92516,0.84832,5.93855,-16.30217,17.33284,12.66107,0.94199,-0.8206,83.48012,-6.984805,-0.662007,0.417414,,,,,,,,,,,,-7.35339,10.3465,-0.62145,50,5.60449,6.24369,-132.31867,-9.50895,-13.00943,28.78512,-13.86922,ORA_GOL,THO_M,JLJohnsonStadium,D1,SUM,20260322-JLJohnsonStadium-1,9e416600-2619-11f1-8d6a-4d669c9761b0,90.2998,,,7.90492,,,,,,,6a23402b-7354-44d2-91ad-49a0c2dd4809,2026-03-22,18:04:49.10,2026-03-22T13:04:49.1004416-05:00,2026-03-22T18:04:49.1004416Z,,v3,471403,stthomas,,"Kane-Yates, Wailele",1000224435,Right,ORA_GOL,964ddd15-1a9c-4533-b6f1-8d632985083c,54.5609,-133.30718,14.39256,5.92286,-9.03267,-6.93461,-0.84354,6.69044,-6.50471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2026-03-22,13:05:34.35,3,1,"Johnson, Conner",10292565,Right,ORA_GOL,"Maulik, Matthew",1000283220,Right,THO_M,Undefined,1,Top,1,0,0,Slider,Curveball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,77.32872,0.516697,-1.578766,2134.141698,1.485152,6:00,5.69122,1.26157,5.4928,-53.09613,-6.18193,-0.19378,1.75009,-0.23181,72.01026,-9.104158,-1.613352,0.492973,76.08452,-16.180426,55.212852,,,,,8.1377,8.1377,42.902047,0.060441,-0.29563,-2.93626,-1.12324,50,5.69979,3.1064,-112.44616,-0.75329,-0.38226,18.50024,-35.97071,ORA_GOL,THO_M,JLJohnsonStadium,D1,SUM,20260322-JLJohnsonStadium-1,b94bda70-2619-11f1-8d6a-4d669c9761b0,76.45938,1.88364,,5.31846,,,,2.25725,1.88364,0.20814,6a23402b-7354-44d2-91ad-49a0c2dd4809,2026-03-22,18:05:34.35,2026-03-22T13:05:34.3597568-05:00,2026-03-22T18:05:34.3597568Z,GroundBall,v3,471403,stthomas,,"Kane-Yates, Wailele",1000224435,Right,ORA_GOL,d8753de0-2e5d-411e-be77-1d77a077488a,55.01047,-113.26751,9.25012,5.69779,0.84369,-17.98535,-1.26153,3.12337,-0.19113,,2.25593,61.27889,,,,,,,,1.88431,-31.16485,,,,,,,,0.20625,88.21099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
