PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallZAmb4,BatSpeed,VerticalAttackAngle,HorizontalAttackAngle
1,2026-03-22,13:04:43.08,1,1,"Calveric, Luke",1000138611,Right,WM_TRI,"DiCarlo, Nick",1000397936,Left,NOR_AGG,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,92.8879,-2.444841,-2.539906,2340.98857,219.586684,1:15,6.17564,1.85206,5.92291,-13.61938,18.94371,14.75398,2.76837,0.7231,84.43006,-5.068566,0.107055,0.410709,,,,,,,,,,,,-8.28977,10.74205,-1.65702,50,5.97199,5.32202,-134.674,-6.13145,-15.14751,30.63268,-12.54555,WM_TRI,NOR_AGG,PlumeriPark,D1,CAA,20260322-PlumeriPark-1,38fa18d0-2611-11f1-ae3d-330aaa377786,91.77407,,,8.45784,,,,,,,250157ac-77f9-45a1-8cca-8d9b3aec4869,2026-03-22,17:04:43.08,2026-03-22T13:04:43.0870016-04:00,2026-03-22T17:04:43.0870016Z,,v3,471493,471385,7c57d1d00ce049c9ba5ec660159dfbd6,"Scafidi, Witt",1000090918,Right,WM_TRI,3c6458a0-394a-4a51-becb-396c4d3ccf8b,54.57617,-135.7109,15.31634,6.17235,-5.70679,-6.27277,-1.84585,5.83475,-7.57376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2026-03-22,13:05:03.60,1,2,"Calveric, Luke",1000138611,Right,WM_TRI,"DiCarlo, Nick",1000397936,Left,NOR_AGG,Undefined,1,Top,0,0,1,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,82.44722,-2.445992,-4.136249,2109.742213,357.625948,6:00,5.96721,2.12642,5.56001,-48.04196,-6.28843,0.31213,-0.3289,-1.71876,76.57514,-11.094469,-4.080586,0.46507,,,,,,,,,,,,-1.30083,-2.29138,-1.76885,50,5.72288,8.62539,-119.43809,-6.78418,-1.8809,22.79563,-35.48719,WM_TRI,NOR_AGG,PlumeriPark,D1,CAA,20260322-PlumeriPark-1,452f18d0-2611-11f1-ae3d-330aaa377786,81.04688,,,5.87208,,,,,,,250157ac-77f9-45a1-8cca-8d9b3aec4869,2026-03-22,17:05:03.60,2026-03-22T13:05:03.6081152-04:00,2026-03-22T17:05:03.6081152Z,,v3,471493,471385,7c57d1d00ce049c9ba5ec660159dfbd6,"Scafidi, Witt",1000090918,Right,WM_TRI,5c7fa422-61d2-4617-b90a-35422524c012,54.94367,-120.37793,11.39782,5.97242,-5.32108,-17.7436,-2.12606,8.70294,-0.94045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2026-03-22,13:05:27.17,1,3,"Calveric, Luke",1000138611,Right,WM_TRI,"DiCarlo, Nick",1000397936,Left,NOR_AGG,Undefined,1,Top,0,1,1,Slider,Slider,InPlay,Undefined,GroundBall,Out,1,0,,84.12183,-0.355005,-1.850068,1975.208665,356.739838,6:00,5.99398,2.11302,5.6289,-42.50223,-2.99732,0.23386,2.1207,0.40564,78.05433,-8.091674,-1.808247,0.452373,89.47375,-15.865977,10.850307,,,,,11.44204,10.83044,5.699712,0.066126,-0.59024,-1.1911,-1.9556,50,5.93581,3.94122,-122.29972,-2.24969,-0.90148,22.22077,-33.99324,WM_TRI,NOR_AGG,PlumeriPark,D1,CAA,20260322-PlumeriPark-1,5338ffe0-2611-11f1-ae3d-330aaa377786,83.32154,2.37702,,6.0675,,,,3.17154,2.37702,-0.43801,250157ac-77f9-45a1-8cca-8d9b3aec4869,2026-03-22,17:05:27.17,2026-03-22T13:05:27.1759872-04:00,2026-03-22T17:05:27.1759872Z,GroundBall,v3,471493,471385,7c57d1d00ce049c9ba5ec660159dfbd6,"Scafidi, Witt",1000090918,Right,WM_TRI,2dd40f17-70fa-478a-9b30-a78080d9e20a,54.87447,-123.18218,11.11039,5.99835,-0.8997,-16.99662,-2.11283,3.97702,-0.45074,180,3.16893,124.21717,,,,,,,,2.37778,-35.94711,,,,,,,,-0.4385,23.80874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2026-03-22,13:06:07.15,2,1,"Calveric, Luke",1000138611,Right,WM_TRI,"Smith, Tyler",1000435339,Left,NOR_AGG,Undefined,1,Top,1,0,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,93.67743,-2.558921,-2.443226,2316.052018,220.969523,1:15,6.21431,1.82868,6.03083,-14.70013,16.97399,13.86954,2.61582,0.7205,85.75267,-5.362052,0.050641,0.405064,77.6358,24.982611,-151.137282,1719.934072,,,,,38.94001,,,-7.83012,9.7519,-1.64524,50,6.00606,5.20366,-135.94371,-6.51413,-14.67618,29.36097,-13.89585,WM_TRI,NOR_AGG,PlumeriPark,D1,CAA,20260322-PlumeriPark-1,6b056050-2611-11f1-ae3d-330aaa377786,93.05306,15.77139,,7.92476,,,,0.25025,2.40142,-0.64493,250157ac-77f9-45a1-8cca-8d9b3aec4869,2026-03-22,17:06:07.15,2026-03-22T13:06:07.1543808-04:00,2026-03-22T17:06:07.1543808Z,,v3,471493,471385,7c57d1d00ce049c9ba5ec660159dfbd6,"Scafidi, Witt",1000090918,Right,WM_TRI,01637679-6b35-48c4-9d36-a422b614cc6e,54.4698,-136.90569,14.68049,6.21203,-6.05885,-6.94793,-1.82361,5.68451,-7.33809,,0.2558,-90.58534,8.35978,,,,,,,2.42724,47.21892,-34.86845,,,,,,,-0.66056,-49.29501,16.98043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2026-03-22,13:06:30.61,2,2,"Calveric, Luke",1000138611,Right,WM_TRI,"Smith, Tyler",1000435339,Left,NOR_AGG,Undefined,1,Top,1,0,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,93.25774,-3.119211,-3.138664,2350.619637,221.989259,1:30,6.16634,1.81686,6.01324,-13.96383,18.44788,15.5671,2.10591,0.20361,84.4012,-5.813664,-0.342779,0.409753,,,,,,,,,,,,-8.9341,10.76339,-1.5787,50,5.91341,6.71482,-135.01725,-7.74861,-16.32825,32.11855,-12.50251,WM_TRI,NOR_AGG,PlumeriPark,D1,CAA,20260322-PlumeriPark-1,79070a00-2611-11f1-ae3d-330aaa377786,91.98813,,,8.85654,,,,,,,250157ac-77f9-45a1-8cca-8d9b3aec4869,2026-03-22,17:06:30.61,2026-03-22T13:06:30.6179072-04:00,2026-03-22T17:06:30.6179072Z,,v3,471493,471385,7c57d1d00ce049c9ba5ec660159dfbd6,"Scafidi, Witt",1000090918,Right,WM_TRI,7897d51a-bd8f-4a00-8f64-565bd876f6a9,54.48509,-136.08,16.05928,6.16296,-7.33492,-6.25125,-1.80982,7.2551,-8.16412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2026-03-22,13:06:54.73,2,3,"Calveric, Luke",1000138611,Right,WM_TRI,"Smith, Tyler",1000435339,Left,NOR_AGG,Undefined,1,Top,1,0,2,Fastball,Four-Seam,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,94.61848,-1.916135,-1.80398,2356.99088,220.846825,1:15,6.2475,1.71347,5.98426,-12.09886,19.28056,15.72997,3.46168,1.35167,85.65664,-4.273173,1.023059,0.403175,,,,,,,,,,,,-8.5752,10.77568,-1.57939,50,6.08932,3.60878,-137.24948,-4.90287,-16.20893,32.94497,-11.80576,WM_TRI,NOR_AGG,PlumeriPark,D1,CAA,20260322-PlumeriPark-1,876838d0-2611-11f1-ae3d-330aaa377786,93.48893,,,8.96183,,,,,,,250157ac-77f9-45a1-8cca-8d9b3aec4869,2026-03-22,17:06:54.73,2026-03-22T13:06:54.7367424-04:00,2026-03-22T17:06:54.7367424Z,,v3,471493,471385,7c57d1d00ce049c9ba5ec660159dfbd6,"Scafidi, Witt",1000090918,Right,WM_TRI,3f7aa58d-ade1-450f-9a24-25d3f6508664,54.51378,-138.32871,16.47249,6.2436,-4.51613,-5.90288,-1.70631,4.13976,-8.10447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2026-03-22,13:07:26.99,3,1,"Calveric, Luke",1000138611,Right,WM_TRI,"Wyche, Bruce",807248,Right,NOR_AGG,Undefined,1,Top,2,0,0,Fastball,Four-Seam,InPlay,Undefined,FlyBall,Single,0,0,,93.36587,-3.258968,-2.646335,2292.1351,204.895812,12:45,6.199,1.70823,6.35279,-14.38993,17.50091,7.6026,1.99367,-0.09578,84.63866,-6.037444,-1.271664,0.406447,104.05189,24.293279,-5.538778,2708.895575,109.76656,46.16546,-7.16164,407.93054,400.26578,-0.489594,4.746118,-4.79559,10.46816,-1.51968,50,5.95535,5.94057,-135.30059,-8.09213,-8.79696,32.39072,-12.97138,WM_TRI,NOR_AGG,PlumeriPark,D1,CAA,20260322-PlumeriPark-1,9aa266f0-2611-11f1-ae3d-330aaa377786,92.73635,70.42634,,8.72721,,,,2.27889,2.13,0.07151,250157ac-77f9-45a1-8cca-8d9b3aec4869,2026-03-22,17:07:26.99,2026-03-22T13:07:26.9974016-04:00,2026-03-22T17:07:26.9974016Z,FlyBall,v3,471493,471385,7c57d1d00ce049c9ba5ec660159dfbd6,"Scafidi, Witt",1000090918,Right,WM_TRI,543929cd-823d-4fa0-8fa2-07d895cb6816,54.14644,-136.28962,16.19536,6.19639,-7.69605,-6.48569,-1.70517,6.20918,-4.39848,204.737077,2.27929,138.437,-23.94397,5.30532,-1.05243,0.20067,-0.0356,0.00449,-0.00025,2.13143,62.7519,-15.20898,0.11576,0.3277,-0.18351,0.05294,-0.0074,0.0004,0.07101,-13.4126,7.6122,-2.24959,0.489,-0.09016,0.01487,-0.0018,0.0001,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2026-03-22,13:08:21.39,4,1,"Calveric, Luke",1000138611,Right,WM_TRI,"Edwards, Savoi",10147498,Left,NOR_AGG,Undefined,1,Top,2,0,0,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,82.34323,0.932227,-1.345658,2001.401601,0.588236,6:00,5.9284,2.44948,5.56539,-47.58345,-5.38288,-0.07028,2.83432,1.18628,74.74561,-7.777582,-1.358208,0.467553,,,,,,,,,,,,-0.38988,-2.5315,-2.33334,50,5.97787,2.80825,-119.42414,0.24826,-0.5557,25.80016,-35.7823,WM_TRI,NOR_AGG,PlumeriPark,D1,CAA,20260322-PlumeriPark-1,bb1aeec0-2611-11f1-ae3d-330aaa377786,80.61644,,,7.59762,,,,,,,250157ac-77f9-45a1-8cca-8d9b3aec4869,2026-03-22,17:08:21.39,2026-03-22T13:08:21.3916160-04:00,2026-03-22T17:08:21.3916160Z,,v3,471493,471385,7c57d1d00ce049c9ba5ec660159dfbd6,"Scafidi, Witt",1000090918,Right,WM_TRI,8048e8f8-b7d1-4b1d-90bf-d58645e78ba9,54.93353,-120.48526,12.90008,5.9374,1.71992,-17.89115,-2.4493,2.83111,-0.27785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2026-03-22,13:08:40.24,4,2,"Calveric, Luke",1000138611,Right,WM_TRI,"Edwards, Savoi",10147498,Left,NOR_AGG,Undefined,1,Top,2,1,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,93.34059,-3.454972,-3.950505,2396.395593,221.321595,1:30,6.07349,1.8665,6.28235,-14.85863,16.80934,13.90276,1.63943,-0.62184,85.62636,-6.291517,-1.444266,0.405025,,,,,,,,,,,,-8.28827,9.96804,-1.58124,50,5.8104,8.76164,-135.2235,-8.59875,-15.40655,28.40602,-13.64514,WM_TRI,NOR_AGG,PlumeriPark,D1,CAA,20260322-PlumeriPark-1,c649c960-2611-11f1-ae3d-330aaa377786,93.06205,,,7.71423,,,,,,,250157ac-77f9-45a1-8cca-8d9b3aec4869,2026-03-22,17:08:40.24,2026-03-22T13:08:40.2481152-04:00,2026-03-22T17:08:40.2481152Z,,v3,471493,471385,7c57d1d00ce049c9ba5ec660159dfbd6,"Scafidi, Witt",1000090918,Right,WM_TRI,257f37f0-c24d-43a8-bc34-a9e5e3fc5de9,54.21839,-136.10676,14.20301,6.07117,-8.17447,-6.82257,-1.86113,9.2407,-7.70327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2026-03-22,13:09:22.20,4,3,"Calveric, Luke",1000138611,Right,WM_TRI,"Edwards, Savoi",10147498,Left,NOR_AGG,Undefined,1,Top,2,1,1,Slider,Curveball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,83.14787,-1.091364,-3.932498,1985.477975,341.455222,5:30,6.02536,2.25794,5.55417,-47.9481,-6.81457,2.7161,1.0074,-1.19599,76.63809,-9.775398,-3.448384,0.461604,,,,,,,,,,,,-2.51008,-2.82933,-1.91931,50,5.89863,8.1759,-120.51094,-4.00466,-3.68171,23.98688,-36.32404,WM_TRI,NOR_AGG,PlumeriPark,D1,CAA,20260322-PlumeriPark-1,df4dbf70-2611-11f1-ae3d-330aaa377786,81.65539,,,6.50978,,,,,,,250157ac-77f9-45a1-8cca-8d9b3aec4869,2026-03-22,17:09:22.20,2026-03-22T13:09:22.2086144-04:00,2026-03-22T17:09:22.2086144Z,,v3,471493,471385,7c57d1d00ce049c9ba5ec660159dfbd6,"Scafidi, Witt",1000090918,Right,WM_TRI,13553884-d241-4ac6-983f-caac480b3acf,54.94834,-121.49187,11.99344,6.03203,-2.51919,-18.16202,-2.25674,8.32646,-1.84086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
