PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallZAmb4,BatSpeed,VerticalAttackAngle,HorizontalAttackAngle
1,2026-03-22,12:04:24.20,1,1,"Santana, Thomas",1000194824,Right,COL_LION,"Rickheim, Jack",831897,Right,HAR_CRI,Undefined,1,Top,0,0,0,FourSeamFastBall,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.35918,-3.712273,0.376607,2480.529647,203.563677,12:45,5.75803,1.01109,6.1286,-15.22867,18.423,7.50933,1.05247,1.98501,82.7466,-6.633837,1.730693,0.417518,,,,,,,,,,,,-3.76059,11.0389,-1.0437,50,5.46588,-1.18682,-132.36403,-8.99931,-6.58769,31.57446,-12.83641,COL_LION,HAR_CRI,Robertson Field,D1,IVY,20260322-Robertson Field-2,cbe2d370-2608-11f1-985e-4f69d60a2dae,90.27749,,,8.61258,,,,,,,994038bc-adfe-4ea7-abd6-f45daf9964c1,2026-03-22,16:04:24.20,2026-03-22T12:04:24.2060000-04:00,2026-03-22T16:04:24.2060000Z,,v3,471274,471310,7c884ee675bf49ee95d8bdd1fc5cacf5,"Estabrook, Owen",10109967,Right,COL_LION,fb52f791-9baf-47ca-97d9-6d56bd79995c,54.37109,-133.40265,15.78723,5.75496,-8.57707,-6.41821,-1.00823,-0.97012,-3.29385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2026-03-22,12:04:44.28,1,2,"Santana, Thomas",1000194824,Right,COL_LION,"Rickheim, Jack",831897,Right,HAR_CRI,Undefined,1,Top,0,1,0,FourSeamFastBall,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,92.37139,-4.600955,-2.710198,2375.882033,206.813447,1:00,5.78684,1.05065,6.02052,-11.80103,21.3569,10.18528,0.52767,-0.61286,83.59314,-6.903757,-0.880535,0.414443,,,,,,,,,,,,-6.07461,12.76048,-0.84366,50,5.41881,5.87928,-133.5315,-11.03809,-10.84583,31.74204,-9.39101,COL_LION,HAR_CRI,Robertson Field,D1,IVY,20260322-Robertson Field-2,d7da0720-2608-11f1-985e-4f69d60a2dae,90.94715,,,8.77825,,,,,,,994038bc-adfe-4ea7-abd6-f45daf9964c1,2026-03-22,16:04:44.28,2026-03-22T12:04:44.2860000-04:00,2026-03-22T16:04:44.2860000Z,,v3,471274,471310,7c884ee675bf49ee95d8bdd1fc5cacf5,"Estabrook, Owen",10109967,Right,COL_LION,a8e4c70d-75c8-4951-98fa-b4f5127c6fb3,54.47947,-134.59211,15.87102,5.78239,-10.7243,-4.69551,-1.04616,6.24167,-5.42292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2026-03-22,12:05:05.24,1,3,"Santana, Thomas",1000194824,Right,COL_LION,"Rickheim, Jack",831897,Right,HAR_CRI,Undefined,1,Top,0,2,0,FourSeamFastBall,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,,92.55133,-2.946047,-1.369694,2456.14488,199.913842,12:45,5.79827,1.06011,6.18729,-10.24268,22.46056,7.70859,2.22123,0.43752,83.53705,-4.987481,0.020879,0.411592,75.88571,33.263032,5.673412,3509.711417,108.66962,55.66842,17.05448,249.72018,246.77524,13.037136,4.073047,-4.41721,12.89154,-0.96054,50,5.57047,2.8785,-134.16504,-7.1074,-7.94427,32.62758,-8.98879,COL_LION,HAR_CRI,Robertson Field,D1,IVY,20260322-Robertson Field-2,e4595690-2608-11f1-985e-4f69d60a2dae,91.57719,59.28084,,9.01428,,,,0.77116,2.20198,-0.43058,994038bc-adfe-4ea7-abd6-f45daf9964c1,2026-03-22,16:05:05.24,2026-03-22T12:05:05.2450000-04:00,2026-03-22T16:05:05.2450000Z,FlyBall,v3,471274,471310,7c884ee675bf49ee95d8bdd1fc5cacf5,"Estabrook, Owen",10109967,Right,COL_LION,35965faf-e7d5-4764-88cd-0f46295b913b,54.31227,-135.20967,16.31379,5.79342,-6.81961,-4.49439,-1.05677,3.13285,-3.97213,206.69244,0.77101,92.61249,-16.84437,4.03207,-0.92532,0.24917,-0.06226,0.00958,-0.00061,2.20285,61.02162,-17.78872,0.75364,0.22001,-0.20451,0.0672,-0.01017,0.00059,-0.43065,9.20217,2.96933,-0.91686,0.24269,-0.06597,0.01527,-0.00219,0.00013,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2026-03-22,12:05:41.30,2,1,"Santana, Thomas",1000194824,Right,COL_LION,"Witkow, Matthew",10081956,Left,HAR_CRI,Undefined,1,Top,1,0,0,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,76.86236,0.21918,-0.045351,2136.361776,44.649838,7:30,5.86498,0.98441,5.52191,-61.42669,-12.96485,-14.4245,0.95102,-0.26003,70.40535,-10.921054,-2.627496,0.501039,,,,,,,,,,,,7.29119,-6.16823,-0.97051,50,5.84279,0.63636,-111.6054,-1.63975,9.06233,22.81607,-39.84063,COL_LION,HAR_CRI,Robertson Field,D1,IVY,20260322-Robertson Field-2,f9e0a900-2608-11f1-985e-4f69d60a2dae,75.22859,,,6.45701,,,,,,,994038bc-adfe-4ea7-abd6-f45daf9964c1,2026-03-22,16:05:41.30,2026-03-22T12:05:41.3070000-04:00,2026-03-22T16:05:41.3070000Z,,v3,471274,471310,7c884ee675bf49ee95d8bdd1fc5cacf5,"Estabrook, Owen",10109967,Right,COL_LION,73a569b4-3dde-49c6-97dd-d06d3eeee56f,54.98328,-112.61955,11.40804,5.87632,0.13113,-19.92032,-0.98984,0.23355,4.53116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2026-03-22,12:05:59.84,2,2,"Santana, Thomas",1000194824,Right,COL_LION,"Witkow, Matthew",10081956,Left,HAR_CRI,Undefined,1,Top,1,1,0,Cutter,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,87.0258,-2.855246,-1.265556,2405.272696,163.299785,11:30,5.71027,1.03992,5.88367,-27.09057,9.91201,-2.61862,0.79829,-0.35378,79.88638,-7.868517,-1.735925,0.437812,,,,,,,,,,,,0.99118,6.23859,-0.93618,50,5.46384,2.89511,-126.26185,-7.18699,1.59737,26.10825,-22.11992,COL_LION,HAR_CRI,Robertson Field,D1,IVY,20260322-Robertson Field-2,04e03640-2609-11f1-985e-4f69d60a2dae,86.0928,,,7.13942,,,,,,,994038bc-adfe-4ea7-abd6-f45daf9964c1,2026-03-22,16:05:59.84,2026-03-22T12:05:59.8410000-04:00,2026-03-22T16:05:59.8410000Z,,v3,471274,471310,7c884ee675bf49ee95d8bdd1fc5cacf5,"Estabrook, Owen",10109967,Right,COL_LION,751939d2-fb0f-436a-bd41-63e12a5d30c7,54.61806,-127.21319,13.05412,5.71104,-6.38098,-11.05996,-1.04061,2.8369,0.79869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2026-03-22,12:06:19.38,2,3,"Santana, Thomas",1000194824,Right,COL_LION,"Witkow, Matthew",10081956,Left,HAR_CRI,Undefined,1,Top,1,2,0,FourSeamFastBall,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,92.47675,-2.133483,-1.82839,2406.951782,200.842402,12:45,5.82648,0.91093,6.09433,-9.76367,23.01182,8.32091,3.03746,-0.08749,83.57295,-4.086999,-0.330516,0.412046,,,,,,,,,,,,-4.80906,12.7978,-0.77406,50,5.65641,3.91215,-134.09337,-5.17229,-8.66664,31.76456,-9.1106,COL_LION,HAR_CRI,Robertson Field,D1,IVY,20260322-Robertson Field-2,108d8fb0-2609-11f1-985e-4f69d60a2dae,91.47622,,,8.9038,,,,,,,994038bc-adfe-4ea7-abd6-f45daf9964c1,2026-03-22,16:06:19.38,2026-03-22T12:06:19.3870000-04:00,2026-03-22T16:06:19.3870000Z,,v3,471274,471310,7c884ee675bf49ee95d8bdd1fc5cacf5,"Estabrook, Owen",10109967,Right,COL_LION,22776f33-9c55-4b23-90cd-1095de6d192c,54.40387,-135.13255,15.88228,5.82074,-4.87424,-4.5553,-0.90669,4.19568,-4.33332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2026-03-22,12:06:38.85,2,4,"Santana, Thomas",1000194824,Right,COL_LION,"Witkow, Matthew",10081956,Left,HAR_CRI,Undefined,1,Top,1,2,1,FourSeamFastBall,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.96495,-0.593006,-2.154935,2379.366562,218.001086,1:15,5.72358,1.12836,6.18151,-17.07481,16.54072,12.03871,3.75265,0.14062,82.49747,-3.867789,0.015908,0.417293,,,,,,,,,,,,-6.80654,9.04288,-0.97108,50,5.66989,4.45091,-132.02833,-1.84299,-11.93293,29.8891,-16.32052,COL_LION,HAR_CRI,Robertson Field,D1,IVY,20260322-Robertson Field-2,1c1efcb0-2609-11f1-985e-4f69d60a2dae,90.32601,,,8.46748,,,,,,,994038bc-adfe-4ea7-abd6-f45daf9964c1,2026-03-22,16:06:38.85,2026-03-22T12:06:38.8590000-04:00,2026-03-22T16:06:38.8590000Z,,v3,471274,471310,7c884ee675bf49ee95d8bdd1fc5cacf5,"Estabrook, Owen",10109967,Right,COL_LION,8c97af62-4c09-4637-9975-217ecee14910,54.31734,-133.00211,14.94455,5.72127,-1.31127,-8.16026,-1.12242,4.83968,-5.96646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2026-03-22,12:06:57.92,2,5,"Santana, Thomas",1000194824,Right,COL_LION,"Witkow, Matthew",10081956,Left,HAR_CRI,Undefined,1,Top,1,3,1,FourSeamFastBall,Four-Seam,BallCalled,Walk,Undefined,Undefined,0,0,,92.96491,-3.39145,-3.327749,2391.963229,216.306405,1:15,5.7354,0.94948,6.35423,-15.77005,16.43229,11.24119,1.2906,-1.18026,84.29894,-6.419157,-1.29649,0.408428,,,,,,,,,,,,-6.86272,9.92682,-0.71283,50,5.4812,7.35743,-134.61171,-8.41963,-12.47137,31.83862,-14.13444,COL_LION,HAR_CRI,Robertson Field,D1,IVY,20260322-Robertson Field-2,2781dfa0-2609-11f1-985e-4f69d60a2dae,92.2867,,,8.66597,,,,,,,994038bc-adfe-4ea7-abd6-f45daf9964c1,2026-03-22,16:06:57.92,2026-03-22T12:06:57.9220000-04:00,2026-03-22T16:06:57.9220000Z,,v3,471274,471310,7c884ee675bf49ee95d8bdd1fc5cacf5,"Estabrook, Owen",10109967,Right,COL_LION,d0e3923f-ea73-41ca-8e33-c17b8e3387a8,54.14605,-135.58879,15.91931,5.73293,-7.98586,-7.06722,-0.94449,7.74016,-6.23569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2026-03-22,12:07:26.73,3,1,"Santana, Thomas",1000194824,Right,COL_LION,"Colasante, Gio",702687,Right,HAR_CRI,Undefined,1,Top,1,0,0,FourSeamFastBall,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,91.90027,-1.782234,-1.205903,2379.610841,199.347068,12:45,5.70518,1.1958,6.22054,-11.01347,21.84525,7.28122,3.14186,0.68961,83.42713,-3.957713,0.108545,0.412569,,,,,,,,,,,,-4.10437,12.14016,-1.10888,50,5.56583,2.49751,-133.41426,-4.37947,-7.35166,30.36773,-10.42887,COL_LION,HAR_CRI,Robertson Field,D1,IVY,20260322-Robertson Field-2,38adee40-2609-11f1-985e-4f69d60a2dae,91.3603,,,8.47314,,,,,,,994038bc-adfe-4ea7-abd6-f45daf9964c1,2026-03-22,16:07:26.73,2026-03-22T12:07:26.7340000-04:00,2026-03-22T16:07:26.7340000Z,,v3,471274,471310,7c884ee675bf49ee95d8bdd1fc5cacf5,"Estabrook, Owen",10109967,Right,COL_LION,4d77a6d9-8611-4e8a-84c0-3f4bab7e8b2d,54.27876,-134.38466,15.18386,5.70045,-4.04621,-5.21444,-1.19245,2.73243,-3.67583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2026-03-22,12:07:45.03,3,2,"Santana, Thomas",1000194824,Right,COL_LION,"Colasante, Gio",702687,Right,HAR_CRI,Undefined,1,Top,1,0,1,Sweeper,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,79.93931,-1.386895,-2.26561,2401.667144,97.226632,9:15,5.60044,1.39391,5.57659,-41.23187,3.47811,-15.65351,0.86778,-2.02781,73.18181,-8.915448,-5.057916,0.481253,,,,,,,,,,,,7.20556,2.6602,-1.18844,50,5.45423,5.20486,-115.88545,-4.17812,9.69725,23.74716,-28.59394,COL_LION,HAR_CRI,Robertson Field,D1,IVY,20260322-Robertson Field-2,43a3de90-2609-11f1-985e-4f69d60a2dae,78.32141,,,6.75751,,,,,,,994038bc-adfe-4ea7-abd6-f45daf9964c1,2026-03-22,16:07:45.03,2026-03-22T12:07:45.0340000-04:00,2026-03-22T16:07:45.0340000Z,,v3,471274,471310,7c884ee675bf49ee95d8bdd1fc5cacf5,"Estabrook, Owen",10109967,Right,COL_LION,7a91d135-f069-45db-add9-8f04950d1da3,54.92417,-116.89015,11.87358,5.6054,-2.96836,-14.29697,-1.39997,4.79458,4.84862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
